level,date,sid,property,exception,other
WARNING , 02/16/2024 02:59:49 PM , SID: 1, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 05:22:48 PM , SID: 1, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 05:40:08 PM , SID: 11, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 05:49:15 PM , SID: 16, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 05:56:17 PM , SID: 20, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 05:59:55 PM , SID: 22, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 06:05:20 PM , SID: 25, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 06:14:10 PM , SID: 30, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 06:16:19 PM , SID: 31, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 06:28:26 PM , SID: 38, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 06:34:15 PM , SID: 41, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 06:38:08 PM , SID: 43, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 34 (char 33),0
WARNING , 02/16/2024 06:58:03 PM , SID: 54, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 07:29:27 PM , SID: 72, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 07:33:11 PM , SID: 74, Property: high, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 07:35:02 PM , SID: 75, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 07:45:16 PM , SID: 81, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 07:53:57 PM , SID: 86, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 08:34:45 PM , SID: 109, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 08:53:58 PM , SID: 120, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 09:06:08 PM , SID: 127, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 09:09:40 PM , SID: 129, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 09:14:53 PM , SID: 132, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
WARNING , 02/16/2024 09:44:25 PM ,0,0,0,0
WARNING , 02/16/2024 10:12:24 PM , SID: 166, Property: forcefulness, Exception: JSONDecodeError - Unterminated string starting at: line 1 column 33 (char 32),0
