sentence_id,count,properties,all_properties,all_count,feature_id
265,1,[{'simple'}],"[{'simple'}, {'simple'}, {'simple'}, {'simple'}, {'simple'}]",5,Aspect
265,0,[],"[{'indicative'}, {'indicative'}, {'indicative'}]",0,Mood
265,0,[],[],0,Verb_choices
265,1,[{'subordinate'}],"[{'subordinate'}, {'subordinate', 'adjective'}, {'subordinate', 'adjective'}]",1,Modifying_clauses
265,1,"[{'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}]","[{'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}]",5,Modifying_phrases
265,1,"[{'left branching', 'middle branching', 'Periodic sentences'}]","[{'left branching', 'middle branching', 'Periodic sentences'}, {'left branching', 'middle branching', 'Periodic sentences'}, {'left branching', 'middle branching', 'Periodic sentences'}]",3,Sentence_architecture
265,1,"[{'by sentence role', 'by position'}]","[{'by sentence role', 'by position'}, {'by sentence role', 'by position'}, {'by sentence role', 'by position'}]",1,Emphasis
446,1,"[{'Old English Core', 'Latin/Greek'}]","[{'Old English Core', 'Latin/Greek'}, {'Old English Core', 'Latin/Greek'}, {'Old English Core', 'Latin/Greek'}]",2,Language_of_origin
446,1,[{'foreign borrowing'}],"[{'foreign borrowing'}, {'foreign borrowing'}]",2,New_words_and_changing_uses
446,2,"[{'abstract', 'definite/hypothesis'}, {'abstract', 'definite/hypothesis', 'prototype'}]","[{'abstract', 'definite/hypothesis', 'prototype'}, {'abstract', 'definite/hypothesis', 'prototype'}, {'abstract', 'definite/hypothesis', 'prototype'}, {'abstract', 'definite/hypothesis'}, {'abstract', 'definite/hypothesis'}, {'abstract', 'definite/hypothesis'}, {'abstract', 'definite/hypothesis'}]",7,Lexical_and_semantic_fields
446,2,"[{'middle', 'forcefulness', 'clarity', 'appropriateness', 'correctness'}, {'middle', 'forcefulness', 'clarity', 'appropriateness', 'correctness'}]","[{'middle', 'forcefulness', 'clarity', 'appropriateness', 'correctness'}, {'middle', 'forcefulness', 'clarity', 'appropriateness', 'correctness'}, {'middle', 'forcefulness', 'clarity', 'appropriateness', 'correctness'}]",2,Language_varieties
446,2,"[{'hyperbole'}, {'metaphor'}]","[{'metaphor'}, {'hyperbole'}, {'metaphor', 'synecdoche'}, {'metaphor', 'synecdoche'}, {'hyperbole', 'euphemism'}]",2,Tropes
446,2,"[{'active'}, {'stative', 'active'}]","[{'active'}, {'active'}, {'active'}, {'stative', 'active'}, {'stative', 'active'}, {'stative', 'active'}, {'stative', 'active'}, {'stative', 'active'}, {'stative', 'active'}]",9,Predication
446,2,"[{'abstractions', 'concepts'}, {'humans', 'abstractions'}]","[{'humans', 'abstractions'}, {'humans', 'abstractions'}, {'humans', 'abstractions'}, {'abstractions', 'concepts'}, {'abstractions', 'concepts'}, {'abstractions', 'concepts'}, {'humans', 'concepts'}, {'humans', 'abstractions'}, {'humans', 'abstractions'}]",6,Subject_choices
446,1,[{'present'}],"[{'present'}, {'present'}, {'present'}, {'present'}, {'present'}, {'present'}, {'present'}, {'present', 'future'}]",5,Tense
446,1,[{'simple'}],"[{'simple'}, {'simple'}, {'simple'}, {'simple'}, {'simple'}, {'simple'}, {'simple'}, {'simple'}]",8,Aspect
446,1,[{'indicative'}],"[{'indicative'}, {'indicative'}, {'indicative'}]",1,Mood
446,2,"[{'nominalization'}, {'modality'}]","[{'modality'}, {'nominalization'}]",2,Verb_choices
446,1,"[{'subordinate', 'noun'}]","[{'subordinate', 'noun'}, {'adjective', 'noun'}, {'adjective'}]",1,Modifying_clauses
446,1,[{'inifinitive phrases'}],"[{'inifinitive phrases'}, {'inifinitive phrases'}, {'inifinitive phrases'}]",2,Phrases_built_on_verbs
446,2,"[{'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}]","[{'single word modifiers', 'prepositional phrases'}, {'single word modifiers', 'prepositional phrases'}, {'single word modifiers', 'prepositional phrases'}, {'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}]",7,Modifying_phrases
446,1,"[{'right branching', 'Periodic sentences'}]","[{'right branching', 'Periodic sentences'}, {'right branching', 'Periodic sentences'}]",2,Sentence_architecture
446,0,[],"[{'by sentence role', 'by position'}, {'by sentence role', 'by position'}, {'by position'}]",0,Emphasis
446,1,"[{'definite/hypothesis', 'concrete'}]",[],1,Figures_of_word_choice
311,2,"[{'Old English Core', 'Latin/Greek'}, {'Old English Core', 'Latin/Greek'}]","[{'Old English Core', 'Latin/Greek'}, {'Old English Core', 'Latin/Greek'}, {'Old English Core', 'Latin/Greek'}]",2,Language_of_origin
311,1,"[{'abstract', 'definite/hypothesis'}]","[{'abstract', 'definite/hypothesis'}, {'abstract', 'definite/hypothesis'}, {'abstract', 'definite/hypothesis'}, {'abstract', 'definite/hypothesis'}, {'abstract', 'definite/hypothesis'}, {'abstract', 'definite/hypothesis'}, {'abstract', 'definite/hypothesis'}]",7,Lexical_and_semantic_fields
311,2,"[{'clarity', 'middle', 'forcefulness', 'correctness'}, {'middle', 'forcefulness', 'clarity', 'appropriateness', 'correctness'}]","[{'clarity', 'middle', 'forcefulness', 'correctness'}, {'middle', 'forcefulness', 'clarity', 'appropriateness', 'correctness'}, {'high', 'forcefulness', 'clarity', 'appropriateness', 'correctness'}]",2,Language_varieties
311,2,"[{'synecdoche', 'antonomasia'}, {'metonymy'}]","[{'synecdoche', 'antonomasia'}, {'metonymy'}, {'metonymy'}, {'metonymy'}, {'metonymy'}, {'metonymy'}, {'metonymy'}, {'metonymy'}]",5,Tropes
311,1,[{'active'}],"[{'active'}, {'active'}, set()]",1,Predication
311,2,"[{'humans', 'abstractions'}, {'humans', 'concepts', 'things'}]","[{'humans', 'abstractions'}, {'humans', 'concepts', 'things'}, {'concepts', 'things'}, {'humans', 'concepts', 'things'}, {'humans', 'concepts', 'things'}]",2,Subject_choices
311,1,[{'present'}],"[{'present'}, {'present'}, {'present'}, {'present'}, {'present'}]",2,Tense
311,0,[],"[{'simple'}, {'simple'}, {'simple'}]",0,Aspect
311,1,[{'simple'}],"[{'indicative'}, {'indicative'}, {'indicative'}]",1,Mood
311,1,[{'appositives'}],"[{'appositives'}, {'appositives'}, {'appositives'}]",2,Phrases_built_on_nouns
311,1,[{'Periodic sentences'}],"[{'Periodic sentences'}, {'Periodic sentences'}]",2,Sentence_architecture
311,1,"[{'by sentence role', 'by position'}]","[{'by sentence role', 'by position'}, {'by sentence role', 'by position'}, {'by sentence role', 'by position'}]",1,Emphasis
311,1,[{'agnominatio'}],"[{'agnominatio'}, {'agnominatio', 'emphasis'}, {'agnominatio', 'emphasis'}]",1,Figures_of_word_choice
311,2,"[{'indicative', 'imperative'}, {'multiplication'}]","[{'indicative', 'imperative'}, {'multiplication'}]",2,Verb_choices
311,1,[{'antithesis'}],"[{'antithesis'}, {'antithesis'}, {'antithesis'}]",1,Figures_of_argument
3326,1,"[{'Old English Core', 'Latin/Greek'}]","[{'Old English Core', 'Latin/Greek'}, {'Norman French', 'Old English Core', 'Latin/Greek'}, {'Old English Core', 'Latin/Greek'}]",1,Language_of_origin
3326,3,"[{'prefixes/suffixes'}, {''}, {'conversions'}]","[{'prefixes/suffixes'}, {''}, {''}, {'conversions'}, {'conversions'}]",5,New_words_and_changing_uses
3326,2,"[{'definite/hypothesis', 'concrete'}, {'abstract', 'definite/hypothesis'}]","[{'definite/hypothesis', 'concrete'}, {'definite/hypothesis', 'concrete'}, {'definite/hypothesis', 'concrete'}, {'abstract', 'definite/hypothesis'}, {'abstract', 'definite/hypothesis'}, {'definite/hypothesis', 'concrete'}, {'definite/hypothesis', 'concrete'}, {'definite/hypothesis', 'concrete'}]",8,Lexical_and_semantic_fields
3326,2,"[{'clarity', 'middle', 'forcefulness', 'correctness'}, {'Clarity', 'Middle', 'Correctness'}]","[{'clarity', 'middle', 'forcefulness', 'correctness'}, {'clarity', 'middle', 'forcefulness', 'correctness'}, {'middle', 'forcefulness', 'clarity', 'appropriateness', 'correctness'}]",3,Language_varieties
3326,3,"[{'irony'}, {'irony', 'hyperbole'}, {'hyperbole'}]","[{'irony'}, {'hyperbole'}, {'irony', 'hyperbole'}, {'irony'}, {'irony'}, {'irony', 'metonymy'}]",3,Tropes
3326,1,[{'emphasis'}],"[{'emphasis'}, {'emphasis'}, {'emphasis'}]",3,Figures_of_word_choice
3326,1,[{'active'}],"[{'active'}, {'active'}, {'active'}]",3,Predication
3326,1,[{'humans'}],"[{'humans'}, {'humans'}, {'humans'}, {'humans'}, {'humans'}]",2,Subject_choices
3326,1,[{'present'}],"[{'present'}, {'present'}, {'present'}, {'present'}, {'present'}, {'present'}, {'present'}]",4,Tense
3326,2,"[{'simple'}, {'progressive'}]","[{'progressive'}, {'simple'}, {'simple'}, {'simple'}, {'simple'}]",5,Aspect
3326,2,"[{'indicative'}, {'subjunctive', 'indicative'}]","[{'subjunctive', 'indicative'}, {'indicative'}, {'subjunctive', 'indicative'}]",2,Mood
3326,1,[{'indicative'}],[{'indicative'}],1,Verb_choices
3326,2,"[{'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, set()]","[{'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, set(), {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}]",9,Modifying_phrases
3326,1,[{'left branching'}],[{'left branching'}],1,Sentence_architecture
3326,2,"[{'by sentence role', 'by position'}, {'by sentence role'}]","[{'by sentence role'}, {'by sentence role', 'by position'}, {'by sentence role', 'by position'}]",3,Emphasis
3374,1,"[{'Old English Core', 'Latin/Greek'}]","[{'Old English Core', 'Latin/Greek'}, {'Old English Core', 'Latin/Greek'}, {'Norman French', 'Old English Core', 'Latin/Greek'}]",2,Language_of_origin
3374,2,"[{'proper nouns to common nouns'}, {''}]","[{'proper nouns to common nouns'}, {'proper nouns to common nouns'}, {'proper nouns to common nouns'}, {''}, {''}, {'proper nouns to common nouns'}, {'proper nouns to common nouns'}, {'proper nouns to common nouns'}]",8,New_words_and_changing_uses
