sentence_id,all_properties,feature_id,majority_prop
265,"[{'simple'}, {'simple'}, {'simple'}, {'simple'}, {'simple'}]",Aspect,['simple']
265,"[{'indicative'}, {'indicative'}, {'indicative'}]",Mood,['indicative']
265,[],Verb_choices,[]
265,"[{'subordinate'}, {'subordinate', 'adjective'}, {'subordinate', 'adjective'}]",Modifying_clauses,"['subordinate', 'adjective']"
265,"[{'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}, {'multiplying and embedding modifiers', 'single word modifiers', 'prepositional phrases'}]",Modifying_phrases,"['prepositional phrases', 'single word modifiers', 'multiplying and embedding modifiers']"
265,"[{'left branching', 'middle branching', 'Periodic sentences'}, {'left branching', 'middle branching', 'Periodic sentences'}, {'left branching', 'middle branching', 'Periodic sentences'}]",Sentence_architecture,"['Periodic sentences', 'left branching', 'middle branching']"
265,"[{'by sentence role', 'by position'}, {'by sentence role', 'by position'}, {'by sentence role', 'by position'}]",Emphasis,"['by position', 'by sentence role']"
446,"[{'Old English Core', 'Latin/Greek'}, {'Old English Core', 'Latin/Greek'}, {'Old English Core', 'Latin/Greek'}]",Language_of_origin,"['Old English Core', 'Latin/Greek']"
446,"[{'foreign borrowing'}, {'foreign borrowing'}]",New_words_and_changing_uses,['foreign borrowing']
446,"[{'abstract', 'definite/hypothesis', 'prototype'}, {'abstract', 'definite/hypothesis', 'prototype'}, {'abstract', 'definite/hypothesis', 'prototype'}, {'abstract', 'definite/hypothesis'}, {'abstract', 'definite/hypothesis'}, {'abstract', 'definite/hypothesis'}, {'abstract', 'definite/hypothesis'}]",Lexical_and_semantic_fields,"['abstract', 'definite/hypothesis']"
446,"[{'middle', 'forcefulness', 'clarity', 'appropriateness', 'correctness'}, {'middle', 'forcefulness', 'clarity', 'appropriateness', 'correctness'}, {'middle', 'forcefulness', 'clarity', 'appropriateness', 'correctness'}]",Language_varieties,"['appropriateness', 'middle', 'correctness', 'forcefulness', 'clarity']"
446,"[{'metaphor'}, {'hyperbole'}, {'metaphor', 'synecdoche'}, {'metaphor', 'synecdoche'}, {'hyperbole', 'euphemism'}]",Tropes,"['metaphor', 'synecdoche']"
446,"[{'active'}, {'active'}, {'active'}, {'stative', 'active'}, {'stative', 'active'}, {'stative', 'active'}, {'stative', 'active'}, {'stative', 'active'}, {'stative', 'active'}]",Predication,"['active', 'stative']"
446,"[{'humans', 'abstractions'}, {'humans', 'abstractions'}, {'humans', 'abstractions'}, {'abstractions', 'concepts'}, {'abstractions', 'concepts'}, {'abstractions', 'concepts'}, {'humans', 'concepts'}, {'humans', 'abstractions'}, {'humans', 'abstractions'}]",Subject_choices,"['humans', 'abstractions']"
446,"[{'present'}, {'present'}, {'present'}, {'present'}, {'present'}, {'present'}, {'present'}, {'present', 'future'}]",Tense,['present']
446,"[{'simple'}, {'simple'}, {'simple'}, {'simple'}, {'simple'}, {'simple'}, {'simple'}, {'simple'}]",Aspect,['simple']
446,"[{'indicative'}, {'indicative'}, {'indicative'}]",Mood,['indicative']
446,"[{'modality'}, {'nominalization'}]",Verb_choices,['modality']
446,"[{'subordinate', 'noun'}, {'adjective', 'noun'}, {'adjective'}]",Modifying_clauses,"['subordinate', 'noun']"
