sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,property_FT_Maj_gpt3.5,res_FT_Maj_gpt3.5_0.0_V3_2,property_FT_Maj_gpt3.5_0.0_V3_2
199,[1],"“When Kavanaugh is on the Supreme Court, undermining our #4thAmendment right against unreasonable searches and seizures, it will be too late for others to join me.”",Lexical_and_semantic_fields,['definite/hypothesis'],['definite/hypothesis'],['definite/hypothesis'],True,[],"{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text mentions a specific person, Kavanaugh, and refers to a broad category of rights, which are abstract concepts.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text refers to a specific person (Kavanaugh) and a broad concept (4th Amendment right), hence using both definite/hypothesis and abstract properties.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""concrete"", ""definite/hypothesis""],
  ""Explanation"": ""The text contains concrete references to specific people (Kavanaugh, others) and actions (undermining 4th Amendment right)."" 
}","['concrete', 'definite/hypothesis']",False,"{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text refers to a specific person, Kavanaugh, and a broad category of rights, the #4thAmendment right, making use of both definite and abstract language.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to a specific person, Kavanaugh, and a specific role, being on the Supreme Court.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text contains a specific reference to Kavanaugh, a specific person, and discusses a broad category of rights (4th Amendment) without specific details.""
}","['definite/hypothesis', 'abstract']",0,"['definite/hypothesis', 'abstract']",0,1,humans missed one,"['definite/hypothesis', 'abstract']",prototype,"{""Answer"": ""no"", ""Explanation"": ""The sentence does not contain a lexical or semantic field that could be characterized as a prototype. The sentence is discussing a specific individual (Kavanaugh) and a constitutional right, and does not involve a specific member of a group being used to represent that group.""}",[]
199,[1],"“When Kavanaugh is on the Supreme Court, undermining our #4thAmendment right against unreasonable searches and seizures, it will be too late for others to join me.”",Lexical_and_semantic_fields,['definite/hypothesis'],['definite/hypothesis'],['definite/hypothesis'],True,[],"{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text mentions a specific person, Kavanaugh, and refers to a broad category of rights, which are abstract concepts.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text refers to a specific person (Kavanaugh) and a broad concept (4th Amendment right), hence using both definite/hypothesis and abstract properties.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""concrete"", ""definite/hypothesis""],
  ""Explanation"": ""The text contains concrete references to specific people (Kavanaugh, others) and actions (undermining 4th Amendment right)."" 
}","['concrete', 'definite/hypothesis']",False,"{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text refers to a specific person, Kavanaugh, and a broad category of rights, the #4thAmendment right, making use of both definite and abstract language.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to a specific person, Kavanaugh, and a specific role, being on the Supreme Court.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text contains a specific reference to Kavanaugh, a specific person, and discusses a broad category of rights (4th Amendment) without specific details.""
}","['definite/hypothesis', 'abstract']",0,"['definite/hypothesis', 'abstract']",0,1,humans missed one,"['definite/hypothesis', 'abstract']",abstract,"{""Answer"": ""yes"", ""Explanation"": ""The sentence contains a lexical or semantic field which could be characterized as abstract, specifically 'undermining our #4thAmendment right against unreasonable searches and seizures.' This is an abstract concept related to legal rights and protections.""}",['abstract']
199,[1],"“When Kavanaugh is on the Supreme Court, undermining our #4thAmendment right against unreasonable searches and seizures, it will be too late for others to join me.”",Lexical_and_semantic_fields,['definite/hypothesis'],['definite/hypothesis'],['definite/hypothesis'],True,[],"{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text mentions a specific person, Kavanaugh, and refers to a broad category of rights, which are abstract concepts.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text refers to a specific person (Kavanaugh) and a broad concept (4th Amendment right), hence using both definite/hypothesis and abstract properties.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""concrete"", ""definite/hypothesis""],
  ""Explanation"": ""The text contains concrete references to specific people (Kavanaugh, others) and actions (undermining 4th Amendment right)."" 
}","['concrete', 'definite/hypothesis']",False,"{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text refers to a specific person, Kavanaugh, and a broad category of rights, the #4thAmendment right, making use of both definite and abstract language.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to a specific person, Kavanaugh, and a specific role, being on the Supreme Court.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text contains a specific reference to Kavanaugh, a specific person, and discusses a broad category of rights (4th Amendment) without specific details.""
}","['definite/hypothesis', 'abstract']",0,"['definite/hypothesis', 'abstract']",0,1,humans missed one,"['definite/hypothesis', 'abstract']",concrete,"{""Answer"": ""yes"", ""Explanation"": ""The sentence contains a concrete lexical and semantic field related to the physical action of 'searches and seizures', which are immediate sense impressions and can be mentally visualized.""}",['concrete']
199,[1],"“When Kavanaugh is on the Supreme Court, undermining our #4thAmendment right against unreasonable searches and seizures, it will be too late for others to join me.”",Lexical_and_semantic_fields,['definite/hypothesis'],['definite/hypothesis'],['definite/hypothesis'],True,[],"{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text mentions a specific person, Kavanaugh, and refers to a broad category of rights, which are abstract concepts.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text refers to a specific person (Kavanaugh) and a broad concept (4th Amendment right), hence using both definite/hypothesis and abstract properties.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""concrete"", ""definite/hypothesis""],
  ""Explanation"": ""The text contains concrete references to specific people (Kavanaugh, others) and actions (undermining 4th Amendment right)."" 
}","['concrete', 'definite/hypothesis']",False,"{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text refers to a specific person, Kavanaugh, and a broad category of rights, the #4thAmendment right, making use of both definite and abstract language.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to a specific person, Kavanaugh, and a specific role, being on the Supreme Court.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text contains a specific reference to Kavanaugh, a specific person, and discusses a broad category of rights (4th Amendment) without specific details.""
}","['definite/hypothesis', 'abstract']",0,"['definite/hypothesis', 'abstract']",0,1,humans missed one,"['definite/hypothesis', 'abstract']",indefinite/thesis,"{""Answer"": ""yes"", ""Explanation"": ""yes, the sentence contains a lexical and semantic field that is indefinite/thesis, as it refers to 'Kavanaugh' and 'others' without specifying specific persons, time, or place.""}",['indefinite/thesis']
199,[1],"“When Kavanaugh is on the Supreme Court, undermining our #4thAmendment right against unreasonable searches and seizures, it will be too late for others to join me.”",Lexical_and_semantic_fields,['definite/hypothesis'],['definite/hypothesis'],['definite/hypothesis'],True,[],"{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text mentions a specific person, Kavanaugh, and refers to a broad category of rights, which are abstract concepts.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text refers to a specific person (Kavanaugh) and a broad concept (4th Amendment right), hence using both definite/hypothesis and abstract properties.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""concrete"", ""definite/hypothesis""],
  ""Explanation"": ""The text contains concrete references to specific people (Kavanaugh, others) and actions (undermining 4th Amendment right)."" 
}","['concrete', 'definite/hypothesis']",False,"{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text refers to a specific person, Kavanaugh, and a broad category of rights, the #4thAmendment right, making use of both definite and abstract language.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to a specific person, Kavanaugh, and a specific role, being on the Supreme Court.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text contains a specific reference to Kavanaugh, a specific person, and discusses a broad category of rights (4th Amendment) without specific details.""
}","['definite/hypothesis', 'abstract']",0,"['definite/hypothesis', 'abstract']",0,1,humans missed one,"['definite/hypothesis', 'abstract']",definite/hypothesis,"{""Answer"": ""yes"", ""Explanation"": ""The sentence contains specific references to 'Kavanaugh', 'Supreme Court', and '#4thAmendment', which are all definite/hypothesis terms.""}",['definite/hypothesis']
300,[3],"You do not like to beat around the bush, and neither do we, so allow us to say frankly that we do not understand your teaching about Islam, as we read in paragraphs 252 and 253 of Evangelii Gaudium, because it does not account for the fact that Islam came AFTER Christ, and so is, and can only be, an Antichrist (see 1 Jn 2.22), and one of the most dangerous because it presents itself as the fulfillment of Revelation (of which Jesus would have been only a prophet).",Lexical_and_semantic_fields,"['concrete', 'definite/hypothesis']","['concrete', 'definite/hypothesis']","['concrete', 'definite/hypothesis']",True,"['concrete', 'definite/hypothesis']","{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text makes reference to specific paragraphs (252 and 253 of Evangelii Gaudium), indicating a definite and specific source of information. Additionally, the argument about Islam being an Antichrist and dangerous presents a broad and abstract categorization of Islam in relation to Revelation and the role of Jesus.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific paragraphs (252 and 253 of Evangelii Gaudium) and makes a specific mention of 'Islam,' 'Christ,' and 'Revelation,' thus indicating a definite and specific focus on these concepts.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text contains specific references to 'paragraphs 252 and 253 of Evangelii Gaudium' and '1 Jn 2.22', making it definite/hypothetical.""
}",['definite/hypothesis'],False,"{
  ""Properties"": [""prototype"", ""definite/hypothesis""],
  ""Explanation"": ""The text uses the prototype of 'Islam' as a stand-in for a group, and it also refers to specific religious concepts and beliefs ('Islam', 'Christ', 'Antichrist', 'Revelation').""
}","['prototype', 'definite/hypothesis']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific paragraphs (252 and 253 of Evangelii Gaudium) and specific biblical references (1 Jn 2.22), indicating a definite and specific context.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific paragraphs 252 and 253 of Evangelii Gaudium, making it a definite reference to particular parts of a document.""
}",['definite/hypothesis'],0,['definite/hypothesis'],1,0,,"['concrete', 'definite/hypothesis']",prototype,"{""Answer"": ""no"", ""Explanation"": ""The sentence does not contain a lexical or semantic field which could be characterized as a prototype. The sentence does not mention a specific member of a group being used to represent that group.""}",[]
300,[3],"You do not like to beat around the bush, and neither do we, so allow us to say frankly that we do not understand your teaching about Islam, as we read in paragraphs 252 and 253 of Evangelii Gaudium, because it does not account for the fact that Islam came AFTER Christ, and so is, and can only be, an Antichrist (see 1 Jn 2.22), and one of the most dangerous because it presents itself as the fulfillment of Revelation (of which Jesus would have been only a prophet).",Lexical_and_semantic_fields,"['concrete', 'definite/hypothesis']","['concrete', 'definite/hypothesis']","['concrete', 'definite/hypothesis']",True,"['concrete', 'definite/hypothesis']","{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text makes reference to specific paragraphs (252 and 253 of Evangelii Gaudium), indicating a definite and specific source of information. Additionally, the argument about Islam being an Antichrist and dangerous presents a broad and abstract categorization of Islam in relation to Revelation and the role of Jesus.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific paragraphs (252 and 253 of Evangelii Gaudium) and makes a specific mention of 'Islam,' 'Christ,' and 'Revelation,' thus indicating a definite and specific focus on these concepts.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text contains specific references to 'paragraphs 252 and 253 of Evangelii Gaudium' and '1 Jn 2.22', making it definite/hypothetical.""
}",['definite/hypothesis'],False,"{
  ""Properties"": [""prototype"", ""definite/hypothesis""],
  ""Explanation"": ""The text uses the prototype of 'Islam' as a stand-in for a group, and it also refers to specific religious concepts and beliefs ('Islam', 'Christ', 'Antichrist', 'Revelation').""
}","['prototype', 'definite/hypothesis']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific paragraphs (252 and 253 of Evangelii Gaudium) and specific biblical references (1 Jn 2.22), indicating a definite and specific context.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific paragraphs 252 and 253 of Evangelii Gaudium, making it a definite reference to particular parts of a document.""
}",['definite/hypothesis'],0,['definite/hypothesis'],1,0,,"['concrete', 'definite/hypothesis']",abstract,"{""Answer"": ""yes"", ""Explanation"": ""The sentence contains a lexical or semantic field which could be characterized as abstract, such as 'beat around the bush', 'understand', 'fulfillment', and 'dangerous'. These are broad categories or relationships that are difficult to visualize without specific examples.""}",['abstract']
300,[3],"You do not like to beat around the bush, and neither do we, so allow us to say frankly that we do not understand your teaching about Islam, as we read in paragraphs 252 and 253 of Evangelii Gaudium, because it does not account for the fact that Islam came AFTER Christ, and so is, and can only be, an Antichrist (see 1 Jn 2.22), and one of the most dangerous because it presents itself as the fulfillment of Revelation (of which Jesus would have been only a prophet).",Lexical_and_semantic_fields,"['concrete', 'definite/hypothesis']","['concrete', 'definite/hypothesis']","['concrete', 'definite/hypothesis']",True,"['concrete', 'definite/hypothesis']","{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text makes reference to specific paragraphs (252 and 253 of Evangelii Gaudium), indicating a definite and specific source of information. Additionally, the argument about Islam being an Antichrist and dangerous presents a broad and abstract categorization of Islam in relation to Revelation and the role of Jesus.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific paragraphs (252 and 253 of Evangelii Gaudium) and makes a specific mention of 'Islam,' 'Christ,' and 'Revelation,' thus indicating a definite and specific focus on these concepts.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text contains specific references to 'paragraphs 252 and 253 of Evangelii Gaudium' and '1 Jn 2.22', making it definite/hypothetical.""
}",['definite/hypothesis'],False,"{
  ""Properties"": [""prototype"", ""definite/hypothesis""],
  ""Explanation"": ""The text uses the prototype of 'Islam' as a stand-in for a group, and it also refers to specific religious concepts and beliefs ('Islam', 'Christ', 'Antichrist', 'Revelation').""
}","['prototype', 'definite/hypothesis']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific paragraphs (252 and 253 of Evangelii Gaudium) and specific biblical references (1 Jn 2.22), indicating a definite and specific context.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific paragraphs 252 and 253 of Evangelii Gaudium, making it a definite reference to particular parts of a document.""
}",['definite/hypothesis'],0,['definite/hypothesis'],1,0,,"['concrete', 'definite/hypothesis']",concrete,"{""Answer"": ""no"", ""Explanation"": ""The sentence does not contain a lexical or semantic field that could be characterized as concrete. The language used is abstract and focused on ideas and beliefs rather than physical objects or immediate sense impressions.""}",[]
300,[3],"You do not like to beat around the bush, and neither do we, so allow us to say frankly that we do not understand your teaching about Islam, as we read in paragraphs 252 and 253 of Evangelii Gaudium, because it does not account for the fact that Islam came AFTER Christ, and so is, and can only be, an Antichrist (see 1 Jn 2.22), and one of the most dangerous because it presents itself as the fulfillment of Revelation (of which Jesus would have been only a prophet).",Lexical_and_semantic_fields,"['concrete', 'definite/hypothesis']","['concrete', 'definite/hypothesis']","['concrete', 'definite/hypothesis']",True,"['concrete', 'definite/hypothesis']","{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text makes reference to specific paragraphs (252 and 253 of Evangelii Gaudium), indicating a definite and specific source of information. Additionally, the argument about Islam being an Antichrist and dangerous presents a broad and abstract categorization of Islam in relation to Revelation and the role of Jesus.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific paragraphs (252 and 253 of Evangelii Gaudium) and makes a specific mention of 'Islam,' 'Christ,' and 'Revelation,' thus indicating a definite and specific focus on these concepts.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text contains specific references to 'paragraphs 252 and 253 of Evangelii Gaudium' and '1 Jn 2.22', making it definite/hypothetical.""
}",['definite/hypothesis'],False,"{
  ""Properties"": [""prototype"", ""definite/hypothesis""],
  ""Explanation"": ""The text uses the prototype of 'Islam' as a stand-in for a group, and it also refers to specific religious concepts and beliefs ('Islam', 'Christ', 'Antichrist', 'Revelation').""
}","['prototype', 'definite/hypothesis']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific paragraphs (252 and 253 of Evangelii Gaudium) and specific biblical references (1 Jn 2.22), indicating a definite and specific context.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific paragraphs 252 and 253 of Evangelii Gaudium, making it a definite reference to particular parts of a document.""
}",['definite/hypothesis'],0,['definite/hypothesis'],1,0,,"['concrete', 'definite/hypothesis']",indefinite/thesis,"{""Answer"": ""yes"", ""Explanation"": ""yes, the sentence contains a lexical and semantic field that is indefinite/thesis, as it refers to 'you', 'we', 'we', 'your', 'Islam', 'Christ', 'Revelation', and 'Jesus', without specifying specific persons, time, or place.""}",['indefinite/thesis']
300,[3],"You do not like to beat around the bush, and neither do we, so allow us to say frankly that we do not understand your teaching about Islam, as we read in paragraphs 252 and 253 of Evangelii Gaudium, because it does not account for the fact that Islam came AFTER Christ, and so is, and can only be, an Antichrist (see 1 Jn 2.22), and one of the most dangerous because it presents itself as the fulfillment of Revelation (of which Jesus would have been only a prophet).",Lexical_and_semantic_fields,"['concrete', 'definite/hypothesis']","['concrete', 'definite/hypothesis']","['concrete', 'definite/hypothesis']",True,"['concrete', 'definite/hypothesis']","{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The text makes reference to specific paragraphs (252 and 253 of Evangelii Gaudium), indicating a definite and specific source of information. Additionally, the argument about Islam being an Antichrist and dangerous presents a broad and abstract categorization of Islam in relation to Revelation and the role of Jesus.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific paragraphs (252 and 253 of Evangelii Gaudium) and makes a specific mention of 'Islam,' 'Christ,' and 'Revelation,' thus indicating a definite and specific focus on these concepts.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text contains specific references to 'paragraphs 252 and 253 of Evangelii Gaudium' and '1 Jn 2.22', making it definite/hypothetical.""
}",['definite/hypothesis'],False,"{
  ""Properties"": [""prototype"", ""definite/hypothesis""],
  ""Explanation"": ""The text uses the prototype of 'Islam' as a stand-in for a group, and it also refers to specific religious concepts and beliefs ('Islam', 'Christ', 'Antichrist', 'Revelation').""
}","['prototype', 'definite/hypothesis']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific paragraphs (252 and 253 of Evangelii Gaudium) and specific biblical references (1 Jn 2.22), indicating a definite and specific context.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific paragraphs 252 and 253 of Evangelii Gaudium, making it a definite reference to particular parts of a document.""
}",['definite/hypothesis'],0,['definite/hypothesis'],1,0,,"['concrete', 'definite/hypothesis']",definite/hypothesis,"{""Answer"": ""yes"", ""Explanation"": ""The sentence contains specific references to 'paragraphs 252 and 253 of Evangelii Gaudium' and '1 Jn 2.22', which are definite and specific, indicating a lexical and semantic field characterized as definite/hypothesis.""}",['definite/hypothesis']
