sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,Unnamed: 28,property_FT_Maj_gpt3.5,res_FT_Maj_gpt3.5_0.0_V3_2,property_FT_Maj_gpt3.5_0.0_V3_2
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'inserting' introduces the concept of negation as it implies the action of putting negative search suggestions, which involves contradiction or denial of something.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the phrase 'inserting negative search suggestions' involves the denial or contradiction of positive search suggestions, indicating the presence of negation in the verb choices.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'negative' search suggestions is a form of negation, as it involves the contradiction or denial of positive search suggestions.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' involves the contradiction or denial of positive information, making it an example of negation.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the property of negation, as it discusses the insertion of negative search suggestions to shift opinions of undecided voters.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' and the mention of 'shift the opinions' indicate the presence of negation in the text.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,negation,"{""Answer"": ""no"", ""Explanation"": ""Verb choices are not directly related to negation in the given sentence, so the answer is 'no.'""}",[]
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'inserting' introduces the concept of negation as it implies the action of putting negative search suggestions, which involves contradiction or denial of something.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the phrase 'inserting negative search suggestions' involves the denial or contradiction of positive search suggestions, indicating the presence of negation in the verb choices.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'negative' search suggestions is a form of negation, as it involves the contradiction or denial of positive search suggestions.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' involves the contradiction or denial of positive information, making it an example of negation.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the property of negation, as it discusses the insertion of negative search suggestions to shift opinions of undecided voters.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' and the mention of 'shift the opinions' indicate the presence of negation in the text.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,modality,"{""Answer"": ""yes"", ""Explanation"": ""Verb 'can' in the sentence is a modal verb, which falls under the category of modality in grammar.""}",['modality']
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'inserting' introduces the concept of negation as it implies the action of putting negative search suggestions, which involves contradiction or denial of something.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the phrase 'inserting negative search suggestions' involves the denial or contradiction of positive search suggestions, indicating the presence of negation in the verb choices.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'negative' search suggestions is a form of negation, as it involves the contradiction or denial of positive search suggestions.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' involves the contradiction or denial of positive information, making it an example of negation.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the property of negation, as it discusses the insertion of negative search suggestions to shift opinions of undecided voters.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' and the mention of 'shift the opinions' indicate the presence of negation in the text.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,nominalization,"{""Answer"": ""no"", ""Explanation"": ""Verb choices nominalization is not present in the given sentence, so the answer is 'no'.""}",[]
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'inserting' introduces the concept of negation as it implies the action of putting negative search suggestions, which involves contradiction or denial of something.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the phrase 'inserting negative search suggestions' involves the denial or contradiction of positive search suggestions, indicating the presence of negation in the verb choices.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'negative' search suggestions is a form of negation, as it involves the contradiction or denial of positive search suggestions.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' involves the contradiction or denial of positive information, making it an example of negation.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the property of negation, as it discusses the insertion of negative search suggestions to shift opinions of undecided voters.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' and the mention of 'shift the opinions' indicate the presence of negation in the text.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,personification,"{""Answer"": ""no"", ""Explanation"": ""Verb choices related to personification are not present in the given sentence, so the answer is 'no.'""}",[]
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'inserting' introduces the concept of negation as it implies the action of putting negative search suggestions, which involves contradiction or denial of something.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the phrase 'inserting negative search suggestions' involves the denial or contradiction of positive search suggestions, indicating the presence of negation in the verb choices.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'negative' search suggestions is a form of negation, as it involves the contradiction or denial of positive search suggestions.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' involves the contradiction or denial of positive information, making it an example of negation.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the property of negation, as it discusses the insertion of negative search suggestions to shift opinions of undecided voters.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' and the mention of 'shift the opinions' indicate the presence of negation in the text.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,multiplication,"{""Answer"": ""no"", ""Explanation"": ""Multiplication of verb choices is not relevant in the given context, so the answer is 'no'.""}",[]
214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement contains negation in the form of denial and contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'should be killed' and 'should die' in the reported speech indicates negation, as these phrases express denial or contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The quote includes the negation of the speaker's safety and well-being through the use of 'should be killed' and 'should die'.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'was' in parentheses indicates a potential negation, as it contradicts the direct quote from the speaker.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should' in the context of being killed and dying implies negation, as it contradicts the normal expectation of safety and survival.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should be killed' and 'should die' involves the negation of the speaker's well-being.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,negation,"{""Answer"": ""no"", ""Explanation"": ""Verb choices in the given sentence are not related to negation, so the answer is 'no.'""}",[]
214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement contains negation in the form of denial and contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'should be killed' and 'should die' in the reported speech indicates negation, as these phrases express denial or contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The quote includes the negation of the speaker's safety and well-being through the use of 'should be killed' and 'should die'.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'was' in parentheses indicates a potential negation, as it contradicts the direct quote from the speaker.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should' in the context of being killed and dying implies negation, as it contradicts the normal expectation of safety and survival.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should be killed' and 'should die' involves the negation of the speaker's well-being.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,modality,"{""Answer"": ""yes"", ""Explanation"": ""Verb choices 'should' in the sentence indicate modality, which is the language of possibilities as defined in the context of grammar.""}",['modality']
214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement contains negation in the form of denial and contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'should be killed' and 'should die' in the reported speech indicates negation, as these phrases express denial or contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The quote includes the negation of the speaker's safety and well-being through the use of 'should be killed' and 'should die'.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'was' in parentheses indicates a potential negation, as it contradicts the direct quote from the speaker.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should' in the context of being killed and dying implies negation, as it contradicts the normal expectation of safety and survival.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should be killed' and 'should die' involves the negation of the speaker's well-being.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,nominalization,"{""Answer"": ""no"", ""Explanation"": ""Verb choices nominalization is not present in the given sentence, so the answer is 'no.'""}",[]
214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement contains negation in the form of denial and contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'should be killed' and 'should die' in the reported speech indicates negation, as these phrases express denial or contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The quote includes the negation of the speaker's safety and well-being through the use of 'should be killed' and 'should die'.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'was' in parentheses indicates a potential negation, as it contradicts the direct quote from the speaker.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should' in the context of being killed and dying implies negation, as it contradicts the normal expectation of safety and survival.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should be killed' and 'should die' involves the negation of the speaker's well-being.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,personification,"{""Answer"": ""no"", ""Explanation"": ""Verb choice in the sentence is not related to personification, so the answer is 'no'.""}",[]
214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement contains negation in the form of denial and contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'should be killed' and 'should die' in the reported speech indicates negation, as these phrases express denial or contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The quote includes the negation of the speaker's safety and well-being through the use of 'should be killed' and 'should die'.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'was' in parentheses indicates a potential negation, as it contradicts the direct quote from the speaker.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should' in the context of being killed and dying implies negation, as it contradicts the normal expectation of safety and survival.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should be killed' and 'should die' involves the negation of the speaker's well-being.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,multiplication,"{""Answer"": ""no"", ""Explanation"": ""Multiplication of verb choices is not present in the given sentence, so the answer is 'no.""}",[]
