sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,Unnamed: 28,property_gpt3.5,res_gpt3.5_0.0_V3_2,property_gpt3.5_0.0_V3_2
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Parallelism,[],[],[],TRUE,[],"{
  ""Properties"": [""grammatical structure (parison)"", ""comparison (parallelism in argument)""],
  ""Explanation"": ""The text exhibits both parison with the repeated structure 'he was told by authorities that' and comparison in the contrast between the detention center and a typical American prison.""
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']","{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause' shows grammatical structure parallelism, creating parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The statement draws a comparison between the detention centre and a typical American prison to emphasize their similarity.""
}",['comparison_(parallelism_in_argument)'],FALSE,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'he was told by authorities' and 'could cause violence and disrupt community cohesion.'""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause violence' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause violence' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],TRUE,['grammatical_structure_(parison)'],1,0,GPT explanation is incorrect,[],,syllables (isocolon),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not demonstrate parallelism in syllables (isocolon). The phrases and clauses in the sentence do not have equal syllable length, and there is no pattern of syllable repetition or balance that would indicate the use of isocolon. Therefore, the sentence does not exhibit parallelism in syllables (isocolon).""
}",[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Parallelism,[],[],[],TRUE,[],"{
  ""Properties"": [""grammatical structure (parison)"", ""comparison (parallelism in argument)""],
  ""Explanation"": ""The text exhibits both parison with the repeated structure 'he was told by authorities that' and comparison in the contrast between the detention center and a typical American prison.""
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']","{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause' shows grammatical structure parallelism, creating parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The statement draws a comparison between the detention centre and a typical American prison to emphasize their similarity.""
}",['comparison_(parallelism_in_argument)'],FALSE,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'he was told by authorities' and 'could cause violence and disrupt community cohesion.'""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause violence' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause violence' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],TRUE,['grammatical_structure_(parison)'],1,0,GPT explanation is incorrect,[],,stress patterns (iambic parameter),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not demonstrate parallelism in stress patterns (iambic parameter). The stress pattern in the sentence is not consistently alternating between stressed and unstressed syllables. Therefore, it does not exhibit the characteristic iambic parameter associated with parallelism in stress patterns."" 
}",[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Parallelism,[],[],[],TRUE,[],"{
  ""Properties"": [""grammatical structure (parison)"", ""comparison (parallelism in argument)""],
  ""Explanation"": ""The text exhibits both parison with the repeated structure 'he was told by authorities that' and comparison in the contrast between the detention center and a typical American prison.""
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']","{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause' shows grammatical structure parallelism, creating parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The statement draws a comparison between the detention centre and a typical American prison to emphasize their similarity.""
}",['comparison_(parallelism_in_argument)'],FALSE,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'he was told by authorities' and 'could cause violence and disrupt community cohesion.'""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause violence' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause violence' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],TRUE,['grammatical_structure_(parison)'],1,0,GPT explanation is incorrect,[],,grammatical structure (parison),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not demonstrate parallelism in grammatical structure (parison). Although the sentence contains a description by Sellner and an action he was told by authorities, the structure does not exhibit parity among longer clauses through repetition, as seen in the provided example. Therefore, it does not exemplify the specific type of parallelism described.""
}",[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Parallelism,[],[],[],TRUE,[],"{
  ""Properties"": [""grammatical structure (parison)"", ""comparison (parallelism in argument)""],
  ""Explanation"": ""The text exhibits both parison with the repeated structure 'he was told by authorities that' and comparison in the contrast between the detention center and a typical American prison.""
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']","{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause' shows grammatical structure parallelism, creating parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The statement draws a comparison between the detention centre and a typical American prison to emphasize their similarity.""
}",['comparison_(parallelism_in_argument)'],FALSE,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'he was told by authorities' and 'could cause violence and disrupt community cohesion.'""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause violence' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause violence' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],TRUE,['grammatical_structure_(parison)'],1,0,GPT explanation is incorrect,[],,comparison (parallelism in argument),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not demonstrate parallelism in comparison (parallelism in argument). The sentence does not contain adjacent phrases or clauses that are used for comparison. Instead, it presents a statement made by Sellner according to Breitbart, without a direct comparison between two similar elements.""
}",[]
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Parallelism,[],[],[],TRUE,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' twice in the sentence demonstrates grammatical structure parallelism (parison), where longer clauses exhibit repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'John Hancock' at the beginning of each clause, creating a sense of balance and emphasis.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The quoted text demonstrates parallelism in grammatical structure by repeating the phrase 'the first signer of the Declaration of Independence' to create a sense of parity and cohesion.""
}",['grammatical_structure_(parison)'],TRUE,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' is repeated in the sentence, creating a grammatical structure of parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' and 'said' creates a grammatical structure of repetition, emphasizing the significance of the statement.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' and 'said' creates a grammatical structure of repetition, indicating parity among longer clauses.""
}",['grammatical_structure_(parison)'],TRUE,['grammatical_structure_(parison)'],1,0,GPT explanation is incorrect,[],,syllables (isocolon),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not demonstrate parallelism in syllables (isocolon). Parallelism in syllables (isocolon) requires adjacent phrases or clauses to have equal syllable length. The provided sentence is incomplete and does not contain adjacent phrases or clauses for comparison of syllable length."" 
}",[]
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Parallelism,[],[],[],TRUE,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' twice in the sentence demonstrates grammatical structure parallelism (parison), where longer clauses exhibit repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'John Hancock' at the beginning of each clause, creating a sense of balance and emphasis.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The quoted text demonstrates parallelism in grammatical structure by repeating the phrase 'the first signer of the Declaration of Independence' to create a sense of parity and cohesion.""
}",['grammatical_structure_(parison)'],TRUE,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' is repeated in the sentence, creating a grammatical structure of parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' and 'said' creates a grammatical structure of repetition, emphasizing the significance of the statement.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' and 'said' creates a grammatical structure of repetition, indicating parity among longer clauses.""
}",['grammatical_structure_(parison)'],TRUE,['grammatical_structure_(parison)'],1,0,GPT explanation is incorrect,[],,stress patterns (iambic parameter),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not demonstrate parallelism in stress patterns (iambic parameter). The sentence provided is incomplete, and it does not contain a pattern of alternating stressed and unstressed syllables. Additionally, the sentence does not exhibit a clear rhythmic pattern that would indicate iambic parallelism."" 
}",[]
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Parallelism,[],[],[],TRUE,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' twice in the sentence demonstrates grammatical structure parallelism (parison), where longer clauses exhibit repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'John Hancock' at the beginning of each clause, creating a sense of balance and emphasis.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The quoted text demonstrates parallelism in grammatical structure by repeating the phrase 'the first signer of the Declaration of Independence' to create a sense of parity and cohesion.""
}",['grammatical_structure_(parison)'],TRUE,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' is repeated in the sentence, creating a grammatical structure of parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' and 'said' creates a grammatical structure of repetition, emphasizing the significance of the statement.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' and 'said' creates a grammatical structure of repetition, indicating parity among longer clauses.""
}",['grammatical_structure_(parison)'],TRUE,['grammatical_structure_(parison)'],1,0,GPT explanation is incorrect,[],,grammatical structure (parison),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not demonstrate parallelism in grammatical structure (parison). The sentence provided does not exhibit parity among longer clauses through repetition, which is a characteristic of grammatical structure (parison) in parallelism. Instead, it seems to be an incomplete sentence, lacking a continuation or parallel structure.""
}",[]
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Parallelism,[],[],[],TRUE,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' twice in the sentence demonstrates grammatical structure parallelism (parison), where longer clauses exhibit repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'John Hancock' at the beginning of each clause, creating a sense of balance and emphasis.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The quoted text demonstrates parallelism in grammatical structure by repeating the phrase 'the first signer of the Declaration of Independence' to create a sense of parity and cohesion.""
}",['grammatical_structure_(parison)'],TRUE,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' is repeated in the sentence, creating a grammatical structure of parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' and 'said' creates a grammatical structure of repetition, emphasizing the significance of the statement.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' and 'said' creates a grammatical structure of repetition, indicating parity among longer clauses.""
}",['grammatical_structure_(parison)'],TRUE,['grammatical_structure_(parison)'],1,0,GPT explanation is incorrect,[],,comparison (parallelism in argument),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not demonstrate parallelism in comparison (parallelism in argument). The sentence provided does not contain adjacent phrases or clauses used for comparison. Instead, it seems to be an incomplete sentence, lacking the comparison elements required for parallelism in argument.""
}",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Parallelism,[],[],[],TRUE,[],"{
  ""Properties"": [""in syllables (isocolon)"", ""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'a dark, impenetrable and “irreversible” winter' demonstrates isocolon with equal syllable length, and the repetition of 'of persecution of the faithful' creates a parison in the grammatical structure.""
}","['in_syllables_(isocolon)', 'grammatical_structure_(parison)']","{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of the phrase 'a dark' followed by multiple adjectives 'impenetrable' and 'irreversible' constitutes parison, creating parity among longer clauses from repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The use of 'dark, impenetrable and irreversible' creates a sense of parallelism through equal syllable length in the phrases, enhancing the coherence and impact of the statement.""
}",['in_syllables_(isocolon)'],FALSE,"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The example uses isocolon, as the phrases 'a dark, impenetrable' and 'irreversible' have equal syllable length, creating a sense of cohesion and emphasis.""
}",['in_syllables_(isocolon)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The phrase 'dark, impenetrable and irreversible' demonstrates isocolon with equal syllable length in each adjective.""
}",['in_syllables_(isocolon)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The example exhibits the use of isocolon, as the phrases 'a dark, impenetrable' and 'irreversible' have equal syllable length, creating a sense of balance and cohesion.""
}",['in_syllables_(isocolon)'],TRUE,['in_syllables_(isocolon)'],1,0,GPT explanation is incorrect,[],,syllables (isocolon),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not demonstrate parallelism in syllables (isocolon). The structure of the sentence does not exhibit equal syllable length in adjacent phrases or clauses. The phrases 'A dark, impenetrable' and '“irreversible” winter of persecution of the faithful by their own shepherds will fall' have different syllable lengths, and therefore do not adhere to the principle of isocolon."" 
}",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Parallelism,[],[],[],TRUE,[],"{
  ""Properties"": [""in syllables (isocolon)"", ""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'a dark, impenetrable and “irreversible” winter' demonstrates isocolon with equal syllable length, and the repetition of 'of persecution of the faithful' creates a parison in the grammatical structure.""
}","['in_syllables_(isocolon)', 'grammatical_structure_(parison)']","{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of the phrase 'a dark' followed by multiple adjectives 'impenetrable' and 'irreversible' constitutes parison, creating parity among longer clauses from repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The use of 'dark, impenetrable and irreversible' creates a sense of parallelism through equal syllable length in the phrases, enhancing the coherence and impact of the statement.""
}",['in_syllables_(isocolon)'],FALSE,"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The example uses isocolon, as the phrases 'a dark, impenetrable' and 'irreversible' have equal syllable length, creating a sense of cohesion and emphasis.""
}",['in_syllables_(isocolon)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The phrase 'dark, impenetrable and irreversible' demonstrates isocolon with equal syllable length in each adjective.""
}",['in_syllables_(isocolon)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The example exhibits the use of isocolon, as the phrases 'a dark, impenetrable' and 'irreversible' have equal syllable length, creating a sense of balance and cohesion.""
}",['in_syllables_(isocolon)'],TRUE,['in_syllables_(isocolon)'],1,0,GPT explanation is incorrect,[],,stress patterns (iambic parameter),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not demonstrate parallelism in stress patterns (iambic parameter). In the sentence, the stress patterns are not consistently alternating between stressed and unstressed syllables. Instead, the sentence contains a series of adjectives ('dark', 'impenetrable', 'irreversible') followed by a noun ('winter'), which does not follow the alternating stressed and unstressed syllable pattern characteristic of iambic parameter parallelism."" 
}",[]
