sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,res_gpt3.5_0.0_V3_2,property_gpt3.5_0.0_V3_2
311,[3],"The Vatican presents a choice: the world, or Christ.",Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],True,['Periodic_sentences'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'the world, or Christ' after the grammatically complete main clause. It is also periodic as it delivers its meaning dramatically at the end with the contrasting choice between 'the world' and 'Christ'.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('the world, or Christ').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences'],"[{'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate left branching. In the sentence The Vatican presents a choice: the world, or Christ., the subject The Vatican is presented first, followed by the verb presents and then the object a choice. There are no modifying structures at the beginning of the sentence that postpone the subject, so it does not exhibit left branching.', 'Property': 'left branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate middle branching. In the sentence The Vatican presents a choice: the world, or Christ., the subject The Vatican is followed by the verb presents without any inserted material between them. Therefore, it does not exhibit middle branching.', 'Property': 'middle branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate right branching. The sentence The Vatican presents a choice: the world, or Christ. is a complete sentence that presents a choice between two options. It does not continue with modifying clauses or phrases. Therefore, it does not exhibit right-branching structure.', 'Property': 'right branching'}, {'Answer': 'yes', 'Explanation': 'The given sentence demonstrates a periodic sentence. It completes itself grammatically and delivers its meaning dramatically at the end. The pause created by the colon before the final predication (the world, or Christ) emphasizes the contrast and adds to the dramatic effect, making it a clear example of a periodic sentence.', 'Property': 'Periodic sentences'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate loose sentences. It is a concise statement presenting a choice between two options, the world or Christ, without trailing off in accumulated detail with no concluding point. The sentence is structured to convey a clear and direct message, making it a balanced or periodic sentence rather than a loose one.', 'Property': 'loose sentences'}]",['Periodic_sentences']
349,[4],"Recently, a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],True,"['left_branching', 'right_branching', 'middle_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause is complete.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the initial complete grammatical structure.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching'],"[{'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate left-branching. The sentence opens with Recently, and then directly introduces the subject a video clip of anti-Semitic pastor Steve Anderson. The subject is not postponed by modifying structures, and the sentence does not branch to the left.', 'Property': 'left branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate middle branching. The subject a video clip of anti-Semitic pastor Steve Anderson is followed by the verb wound up without any inserted material between them. Therefore, it does not exhibit the characteristic of middle branching.', 'Property': 'middle branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate right branching. The sentence is complete grammatically and does not continue with modifying clauses or phrases. It provides a complete thought about the video clip and where it ended up, without adding additional modifying clauses or phrases.', 'Property': 'right branching'}, {'Answer': 'Yes', 'Explanation': 'The given sentence demonstrates a periodic sentence structure. It completes itself grammatically and delivers its meaning dramatically at the end. The pause before the final predication, indicated by the dash, emphasizes the dramatic effect, making it an example of a periodic sentence.', 'Property': 'Periodic sentences'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate loose sentences. It is a complex sentence with a clear subject, verb, and object. It provides specific information about a video clip and its content, and it does not trail off in accumulated detail with no concluding point.', 'Property': 'loose sentences'}]",['Periodic_sentences']
363,[4 9],Murdering infidels thus doesn’t contradict the spirit of Ramadan; it embodies it.,Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],True,['Periodic_sentences'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('it embodies it'). It branches to the right with additional information added after the main clause.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with a modifying clause ('it embodies it').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'it embodies it.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'it embodies it.' This makes it a right-branching sentence.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with a modifying clause ('it embodies it'). This makes it a right-branching sentence.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with a modifying clause ('it embodies it'). This makes it a right-branching sentence.""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences'],"[{'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate left-branching. In this sentence, the subject it comes before the modifying structure Murdering infidels thus doesn’t contradict the spirit of Ramadan, which means it does not postpone its subject. Therefore, it does not exhibit left-branching.', 'Property': 'left branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate middle branching. The subject it and the verb embodies are not separated by any inserted material. The sentence follows a typical subject-verb-object structure without any material inserted between the subject and verb.', 'Property': 'middle branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate right branching. It consists of two independent clauses joined by a semicolon. Each clause is complete in itself and does not continue with modifying clauses or phrases. Therefore, it does not exhibit the characteristic of right-branching structure.', 'Property': 'right branching'}, {'Answer': 'yes', 'Explanation': 'The given sentence demonstrates a periodic sentence structure. It completes itself dramatically at the end, delivering its meaning in a powerful way. The pause created by the semicolon before it embodies it emphasizes the completion of the thought, making it an example of a periodic sentence.', 'Property': 'Periodic sentences'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate loose sentences. It consists of two independent clauses connected by a semicolon. Each clause has a clear and concise structure, and the sentence as a whole does not trail off in accumulated detail with no concluding point. Instead, it presents a clear and direct statement.', 'Property': 'loose sentences'}]",['Periodic_sentences']
956,[6],Nothing good can be said about his four years of sanctimony and incompetence.,Sentence_architecture,[],[],[],True,[],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'of sanctimony and incompetence.'""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching"",
    ""periodic sentences""
  ],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with the modifying clauses 'of sanctimony and incompetence.' Additionally, it is periodic as it delivers its meaning, criticizing his four years, at the end with a dramatic effect.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('of sanctimony and incompetence')."" 
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'of sanctimony and incompetence' after completing the main clause.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('of sanctimony and incompetence').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'of sanctimony and incompetence.'""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,[],"[{'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate left branching. In the sentence Nothing good can be said about his four years of sanctimony and incompetence, the subject Nothing good is presented before the modifying structures can be said about his four years of sanctimony and incompetence, which indicates a right-branching structure. Therefore, it does not fit the definition of left-branching.', 'Property': 'left branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate middle branching. In the sentence Nothing good can be said about his four years of sanctimony and incompetence, the subject Nothing good is followed by the verb can be said, without any inserted material between them. Therefore, it does not exhibit middle branching.', 'Property': 'middle branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate right branching. The sentence is complete grammatically and does not continue with modifying clauses or phrases. It consists of a main clause Nothing good can be said about his four years of sanctimony and incompetence. and does not extend further with modifying clauses or phrases.', 'Property': 'right branching'}, {'Answer': 'No', 'Explanation': 'The given sentence does not demonstrate a periodic sentence. A periodic sentence is characterized by a main clause or predicate at the end, preceded by phrases or clauses that build towards this main idea. In the given sentence, the main idea Nothing good can be said about his four years of sanctimony and incompetence is presented at the beginning, rather than being held until the end. Therefore, it does not fit the structure of a periodic sentence.', 'Property': 'Periodic sentences'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate a loose sentence. It is a simple sentence that conveys a clear and concise thought without trailing off into accumulated detail with no concluding point. It expresses a negative opinion about someones behavior without adding excessive detail or trailing off.', 'Property': 'loose sentences'}]",[]
1040,[5 6 8],"The telling details of Archbishop Viganò’s testimony concerning Bergoglio’s friendly relations with McCarrick before he finally had to cut him loose—details conveniently ignored by Winters, Allen and Shea—are utterly devastating to any defense of Bergoglio.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],True,"['Periodic_sentences', 'left_branching', 'right_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching"",
    ""Periodic sentences""
  ],
  ""Explanation"": ""The sentence is right-branching as it contains modifying clauses after the main clause. It is also periodic, as it delivers its meaning dramatically at the end with the phrase 'utterly devastating to any defense of Bergoglio.'""
}","['right_branching', 'Periodic_sentences']","{
  ""Properties"": [""right branching"", ""Periodic sentences""]
  ,
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause, and it is a periodic sentence because it delivers its meaning at the end with a dramatic pause.""
}","['right_branching', 'Periodic_sentences']",False,"{
  ""Properties"": [""right branching"", ""Periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause. It is also periodic as it delivers its meaning dramatically at the end with a dash.""
}","['right_branching', 'Periodic_sentences']","{
  ""Properties"": [""right branching"", ""Periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause. It is also periodic as it delivers its meaning dramatically at the end with a dash.""
}","['right_branching', 'Periodic_sentences']","{
  ""Properties"": [""right branching"", ""Periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause. It is also periodic as it delivers its meaning dramatically at the end with a dash.""
}","['right_branching', 'Periodic_sentences']",1,"['right_branching', 'Periodic_sentences']",1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching'],"[{'Answer': 'yes', 'Explanation': 'The given sentence demonstrates left-branching. It opens with modifying structures (The telling details of Archbishop Viganò’s testimony concerning Bergoglio’s friendly relations with McCarrick before he finally had to cut him loose) before introducing the subject (details conveniently ignored by Winters, Allen and Shea). This structure postpones the subject, adhering to the definition of left-branching.', 'Property': 'left branching'}, {'Answer': 'yes', 'Explanation': 'The given sentence demonstrates middle branching. The material concerning Bergoglio’s friendly relations with McCarrick before he finally had to cut him loose is inserted between the subject details and the verb are. This insertion interrupts the main subject-verb structure, making it an example of middle branching.', 'Property': 'middle branching'}, {'Answer': 'yes', 'Explanation': 'The given sentence demonstrates right-branching. The main clause The telling details of Archbishop Viganò’s testimony...are utterly devastating to any defense of Bergoglio is complete grammatically, and it is followed by modifying clauses concerning Bergoglio’s friendly relations with McCarrick before he finally had to cut him loose and details conveniently ignored by Winters, Allen and Shea. These modifying clauses extend the sentence after the main clause, making it an example of right-branching.', 'Property': 'right branching'}, {'Answer': 'yes', 'Explanation': 'The given sentence demonstrates a periodic sentence structure. It completes itself grammatically and delivers its meaning dramatically at the end. The pause inserted before the final predication (details conveniently ignored by Winters, Allen and Shea) emphasizes the dramatic effect, making it a clear example of a periodic sentence.', 'Property': 'Periodic sentences'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate a loose sentence. It is a complex sentence that contains a main clause (The telling details...are utterly devastating) and several modifying phrases (of Archbishop Viganò’s testimony concerning Bergoglio’s friendly relations with McCarrick before he finally had to cut him loose, details conveniently ignored by Winters, Allen and Shea). Although it contains accumulated detail, it does have a concluding point, making it a complex sentence rather than a loose one.', 'Property': 'loose sentences'}]","['left_branching', 'middle_branching', 'right_branching', 'Periodic_sentences']"
1259,[7],Does Berg and the AMA support our military?,Sentence_architecture,[],[],[],True,[],"{
  ""Properties"": [""loose sentences""],
  ""Explanation"": ""The question is a loose sentence as it trails off without a concluding point. The lack of further context or detail leaves the meaning open-ended.""
}",['loose_sentences'],"{
  ""Properties"": [""middle branching""],
  ""Explanation"": ""The sentence inserts material ('Berg and the AMA') between the subject ('support') and the verb ('our military').""
}",['middle_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The question consists of a complete grammatical structure followed by modifying phrases and clauses ('Berg and the AMA' as the subject, 'support our military' as the complete predication, with 'our military' as a modifying element).""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses ('Berg and the AMA') after the main clause ('support our military').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses ('support our military') after the main clause ('Does Berg and the AMA support').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('Berg and the AMA') and phrases ('support our military').""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT explanation is not logical,[],"[{'Answer': 'no', 'Explanation': 'The sentence Does Berg and the AMA support our military? does not demonstrate left-branching. In this sentence, the subject Berg and the AMA is presented before the verb support, and there are no modifying structures preceding the subject. Therefore, it does not exhibit left-branching sentence structure.', 'Property': 'left branching'}, {'Answer': 'no', 'Explanation': 'The sentence Does Berg and the AMA support our military? does not demonstrate middle branching. Middle branching involves inserting material between the subject and verb, which is not the case in this sentence. The subject Berg and the AMA directly precedes the verb support without any inserted material, making it a straightforward question without middle branching.', 'Property': 'middle branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate right branching. The sentence is a direct question that does not continue with modifying clauses or phrases. It is a simple interrogative sentence seeking information and does not exhibit the characteristics of right-branching structure.', 'Property': 'right branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate a periodic sentence. A periodic sentence typically has a main clause or predicate at the end, creating a sense of anticipation or suspense. The provided sentence, Does Berg and the AMA support our military? does not exhibit this structure. It is a straightforward interrogative sentence without a delayed main clause or dramatic ending.', 'Property': 'Periodic sentences'}, {'Answer': 'no', 'Explanation': 'The sentence Does Berg and the AMA support our military? does not demonstrate loose sentences. It is a question seeking information and does not trail off in accumulated detail with no concluding point. Instead, it is a direct inquiry about the support for the military from specific entities.', 'Property': 'loose sentences'}]",[]
1311,[ 8  7 14  6],"As Trump grandly proclaimed, Americans no longer have to fear North Korea and can sleep peacefully at night!",Sentence_architecture,['left_branching'],['left_branching'],['left_branching'],True,"['Periodic_sentences', 'left_branching']","{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses (Americans no longer have to fear North Korea and can sleep peacefully at night) after the initial proclamation.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right branching as it is complete grammatically but continues with modifying clauses ('Americans no longer have to fear North Korea' is the main clause, followed by 'and can sleep peacefully at night' as a modifying clause).""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the complete grammatical structure, 'Americans no longer have to fear North Korea.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('Americans no longer have to fear North Korea and can sleep peacefully at night').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases ('Americans no longer have to fear North Korea and can sleep peacefully at night').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'Americans no longer have to fear North Korea'.""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['left_branching'],"[{'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate left branching. In the sentence, the subject Americans is presented before the modifying structure As Trump grandly proclaimed,. Therefore, it does not postpone its subject and does not exhibit left-branching structure.', 'Property': 'left branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate middle branching. The subject Americans and the verb have are not separated by any inserted material. The phrase As Trump grandly proclaimed is positioned at the beginning of the sentence and does not disrupt the subject-verb relationship.', 'Property': 'middle branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate right branching. The sentence is complete after Americans no longer have to fear North Korea and does not continue with modifying clauses or phrases. It does not extend further with additional modifying elements, making it a straightforward declarative sentence.', 'Property': 'right branching'}, {'Answer': 'yes', 'Explanation': 'The given sentence demonstrates a periodic sentence. It completes itself grammatically and delivers its meaning dramatically at the end. The final predication, Americans no longer have to fear North Korea and can sleep peacefully at night, is presented after the initial clause, As Trump grandly proclaimed, creating a sense of anticipation and emphasis on the concluding idea. This structure effectively captures the essence of a periodic sentence.', 'Property': 'Periodic sentences'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate a loose sentence. It is a simple declarative sentence with a clear concluding point. It conveys a specific idea without trailing off in accumulated detail with no concluding point. The sentence structure is not characteristic of a loose sentence.', 'Property': 'loose sentences'}]",['Periodic_sentences']
1350,[7],"As far as the labor market is concerned, “America First” has not translated to Americans First.",Sentence_architecture,['left_branching'],['left_branching'],['left_branching'],True,['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying phrase 'has not translated to Americans First'. This makes it a right-branching sentence.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues after the main clause with the modifying phrase 'has not translated to Americans First.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with the modifying clause 'has not translated to Americans First.' This makes it a right-branching sentence.""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('has not translated to Americans First').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, as 'has not translated to Americans First' is a modifying clause.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('has not translated to Americans First').""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['left_branching'],"[{'Answer': 'no', 'Explanation': 'The sentence provided does not demonstrate left-branching. The subject America First is presented before the verb has translated, and the modifying structure As far as the labor market is concerned follows the subject and verb. Therefore, it does not open with modifying structures and postpone its subject, which are characteristics of left-branching sentences.', 'Property': 'left branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate middle branching. The subject America First and the verb has translated are not separated by inserted material. The sentence follows a typical subject-verb-object structure without any material inserted between the subject and verb.', 'Property': 'middle branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate right branching. The sentence As far as the labor market is concerned, “America First” has not translated to Americans First is a complete sentence that does not continue with modifying clauses or phrases. It presents a complete thought without additional modifying elements, making it a non-example of right-branching structure.', 'Property': 'right branching'}, {'Answer': 'yes', 'Explanation': 'The given sentence demonstrates a periodic sentence. It completes itself grammatically and delivers its meaning dramatically at the end. The final predication has not translated to Americans First is where the meaning of the sentence is fully revealed, and it is preceded by a pause in the form of the quotation marks and the comma. This creates a sense of anticipation and emphasis on the final part of the sentence, making it a periodic sentence.', 'Property': 'Periodic sentences'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate loose sentences. It is a complex sentence that presents a clear and conclusive point. It does not trail off in accumulated detail with no concluding point. Instead, it conveys a specific idea about the impact of the America First policy on the labor market.', 'Property': 'loose sentences'}]",['Periodic_sentences']
3428,[9],One leaked official memo says: “Assange is going to make a nice bride in prison.,Sentence_architecture,['left_branching'],['left_branching'],['left_branching'],True,['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('in prison').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with a modifying clause 'in prison' after completing the main clause 'Assange is going to make a nice bride'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying language ('in prison').""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases ('in prison').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'in prison'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with a modifying clause after the main clause 'Assange is going to make a nice bride in prison.'""
}",['right_branching'],1,['right_branching'],0.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences'],"[{'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate left-branching. The sentence opens with One leaked official memo says, which introduces the subject One leaked official memo. The subject is not postponed, and the modifying structures follow the subject, making it a right-branching sentence.', 'Property': 'left branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate middle branching. The subject One leaked official memo is followed by the verb says without any inserted material between them. Therefore, it does not exhibit the characteristic of middle branching.', 'Property': 'middle branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate right branching. The sentence One leaked official memo says: “Assange is going to make a nice bride in prison is complete in itself and does not continue with modifying clauses or phrases. It is a standalone statement and does not exhibit the characteristics of right-branching structure.', 'Property': 'right branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate a periodic sentence. A periodic sentence is characterized by a main clause or predicate at the end, preceded by phrases or clauses that cannot stand alone. In the given sentence, the main clause One leaked official memo says is followed by a direct quotation, Assange is going to make a nice bride in prison, which is not a subordinate clause or phrase. Therefore, it does not exhibit the typical structure of a periodic sentence.', 'Property': 'Periodic sentences'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate loose sentences. It is a complete sentence with a clear concluding point, despite its controversial or provocative nature. It does not trail off in accumulated detail with no concluding point.', 'Property': 'loose sentences'}]",[]
3498,[9],"In the end, Only the corrupt king acknowledges the God of Shadrach, Meshach, and Abednego.",Sentence_architecture,['left_branching'],['left_branching'],['left_branching'],True,"['Periodic_sentences', 'left_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases at the end ('of Shadrach, Meshach, and Abednego').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses 'of Shadrach, Meshach, and Abednego'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, specifically 'acknowledges the God of Shadrach, Meshach, and Abednego' which follows the main clause 'Only the corrupt king acknowledges'.""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('of Shadrach, Meshach, and Abednego').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('of Shadrach, Meshach, and Abednego').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('of Shadrach, Meshach, and Abednego').""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['left_branching'],"[{'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate left branching. In this sentence, the subject the corrupt king is presented before the verb acknowledges, and the modifying structures In the end and Only follow the subject and verb. Therefore, the sentence does not open with modifying structures and does not postpone its subject, which are characteristics of left-branching sentences.', 'Property': 'left branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate middle branching. The subject Only the corrupt king is followed by the verb acknowledges without any material inserted between them. Therefore, it does not exhibit the characteristic structure of middle branching.', 'Property': 'middle branching'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate right branching. The sentence is complete grammatically and does not continue with modifying clauses or phrases. It presents a complete thought without additional modifying elements. Therefore, it does not exhibit the characteristics of a right-branching sentence.', 'Property': 'right branching'}, {'Answer': 'Yes', 'Explanation': 'The given sentence demonstrates a periodic sentence. It completes itself grammatically and delivers its meaning dramatically at the end. The final predication acknowledges the God of Shadrach, Meshach, and Abednego is presented after a pause, in the end, making the sentence a clear example of a periodic sentence.', 'Property': 'Periodic sentences'}, {'Answer': 'no', 'Explanation': 'The given sentence does not demonstrate loose sentences. It is a simple declarative sentence with a clear subject (the corrupt king) and predicate (acknowledges the God of Shadrach, Meshach, and Abednego). It does not trail off in accumulated detail with no concluding point, but rather presents a straightforward statement.', 'Property': 'loose sentences'}]",['Periodic_sentences']
