sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,property_gpt4,res_gpt4_0.0_V3_2,property_gpt4_0.0_V3_2
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example does not include any clear use of antithesis, antimetabole, definition as figure, induction, or eduction. However, it does demonstrate strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict in conservative Ben Shapiro's statement.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The sentence contains strategic repetition of the word 'horrifying', emphasizing the intensity of Ben Shapiro's reaction to the verdict.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the adjective 'horrifying' is strategically repeated to emphasize the intensity of the speaker's reaction to the verdict.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'horrifying' in juxtaposition with the conservative viewpoint of Ben Shapiro creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the word 'horrifying' is strategically repeated for emphasis and to convey a strong negative sentiment.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties of Figures of argument. However, it does contain strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict."" 
}",['strategic_repetition'],0,['strategic_repetition'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],strategic repetition,"{
  ""Answer"": ""no"",
  ""Explanation"": ""Strategic repetition involves the deliberate repetition of words, phrases, or structures to emphasize a point or argument. The sentence provided ('Conservative Ben Shapiro told Fox news the verdict was “horrifying.”') does not contain any repetition of clauses or phrases. It is a simple statement with no repeated elements, and therefore, it does not demonstrate strategic repetition.""
}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example does not include any clear use of antithesis, antimetabole, definition as figure, induction, or eduction. However, it does demonstrate strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict in conservative Ben Shapiro's statement.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The sentence contains strategic repetition of the word 'horrifying', emphasizing the intensity of Ben Shapiro's reaction to the verdict.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the adjective 'horrifying' is strategically repeated to emphasize the intensity of the speaker's reaction to the verdict.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'horrifying' in juxtaposition with the conservative viewpoint of Ben Shapiro creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the word 'horrifying' is strategically repeated for emphasis and to convey a strong negative sentiment.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties of Figures of argument. However, it does contain strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict."" 
}",['strategic_repetition'],0,['strategic_repetition'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],antithesis,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The provided sentence 'Conservative Ben Shapiro told Fox news the verdict was “horrifying.”' does not contain antithesis. Antithesis requires a juxtaposition of contrasting ideas within a parallel structure, and this sentence does not present any contrast or opposition of ideas. It simply reports a statement made by Ben Shapiro, expressing his opinion about a verdict without any comparison to an opposing idea or concept.""
}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example does not include any clear use of antithesis, antimetabole, definition as figure, induction, or eduction. However, it does demonstrate strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict in conservative Ben Shapiro's statement.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The sentence contains strategic repetition of the word 'horrifying', emphasizing the intensity of Ben Shapiro's reaction to the verdict.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the adjective 'horrifying' is strategically repeated to emphasize the intensity of the speaker's reaction to the verdict.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'horrifying' in juxtaposition with the conservative viewpoint of Ben Shapiro creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the word 'horrifying' is strategically repeated for emphasis and to convey a strong negative sentiment.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties of Figures of argument. However, it does contain strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict."" 
}",['strategic_repetition'],0,['strategic_repetition'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],antimetabole,"{
  ""Answer"": ""no"",
  ""Explanation"": ""Antimetabole is a rhetorical device that involves repeating a phrase in reverse order. For example, in the sentence 'Ask not what your country can do for you—ask what you can do for your country,' the structure of the first part of the sentence is reversed in the second part. The sentence provided about Ben Shapiro does not contain any repetition or transposition of words or phrases. It is simply a statement and does not demonstrate the use of antimetabole.""
}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example does not include any clear use of antithesis, antimetabole, definition as figure, induction, or eduction. However, it does demonstrate strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict in conservative Ben Shapiro's statement.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The sentence contains strategic repetition of the word 'horrifying', emphasizing the intensity of Ben Shapiro's reaction to the verdict.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the adjective 'horrifying' is strategically repeated to emphasize the intensity of the speaker's reaction to the verdict.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'horrifying' in juxtaposition with the conservative viewpoint of Ben Shapiro creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the word 'horrifying' is strategically repeated for emphasis and to convey a strong negative sentiment.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties of Figures of argument. However, it does contain strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict."" 
}",['strategic_repetition'],0,['strategic_repetition'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],defintion as figure,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'Conservative Ben Shapiro told Fox news the verdict was “horrifying.”' does not demonstrate or contain 'definition as figure.' 'Definition as figure' is a rhetorical device where the speaker or writer provides a clear and concise definition of a concept or term. In the provided sentence, there is no definition being offered. Instead, it is a statement that conveys Ben Shapiro's opinion on a verdict. It does not set forth the full meaning and character of a thing lucidly and succinctly, which is required for it to be considered 'definition as figure.'""
}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example does not include any clear use of antithesis, antimetabole, definition as figure, induction, or eduction. However, it does demonstrate strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict in conservative Ben Shapiro's statement.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The sentence contains strategic repetition of the word 'horrifying', emphasizing the intensity of Ben Shapiro's reaction to the verdict.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the adjective 'horrifying' is strategically repeated to emphasize the intensity of the speaker's reaction to the verdict.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'horrifying' in juxtaposition with the conservative viewpoint of Ben Shapiro creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the word 'horrifying' is strategically repeated for emphasis and to convey a strong negative sentiment.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties of Figures of argument. However, it does contain strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict."" 
}",['strategic_repetition'],0,['strategic_repetition'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],induction,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The provided sentence, 'Conservative Ben Shapiro told Fox news the verdict was “horrifying,”' does not demonstrate or contain induction. Inductive reasoning involves making a generalization based on specific instances or observations. The sentence in question is a report of an individual's opinion on a specific event (a verdict) and does not include any generalization from specific instances to a broader conclusion. It is a statement of subjective reaction rather than an objective analysis of data leading to a generalized conclusion.""
}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example does not include any clear use of antithesis, antimetabole, definition as figure, induction, or eduction. However, it does demonstrate strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict in conservative Ben Shapiro's statement.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The sentence contains strategic repetition of the word 'horrifying', emphasizing the intensity of Ben Shapiro's reaction to the verdict.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the adjective 'horrifying' is strategically repeated to emphasize the intensity of the speaker's reaction to the verdict.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'horrifying' in juxtaposition with the conservative viewpoint of Ben Shapiro creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the word 'horrifying' is strategically repeated for emphasis and to convey a strong negative sentiment.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties of Figures of argument. However, it does contain strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict."" 
}",['strategic_repetition'],0,['strategic_repetition'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],abduction,"{
  ""Answer"": ""no"",
  ""Explanation"": ""Abduction, in the context of figures of argument, involves making an inference to the best explanation from a set of observations or examples. It is a form of reasoning that starts from an observation and then seeks to find the simplest and most likely explanation for it. The sentence 'Conservative Ben Shapiro told Fox news the verdict was “horrifying.”' does not contain abduction because it does not present a set of observations or examples from which an inference is drawn. Instead, it simply reports a statement made by Ben Shapiro expressing his opinion on a verdict. There is no inference to an explanation or reasoning from examples provided in this sentence.""
}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example does not include any clear use of antithesis, antimetabole, definition as figure, induction, or eduction. However, it does demonstrate strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict in conservative Ben Shapiro's statement.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The sentence contains strategic repetition of the word 'horrifying', emphasizing the intensity of Ben Shapiro's reaction to the verdict.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the adjective 'horrifying' is strategically repeated to emphasize the intensity of the speaker's reaction to the verdict.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'horrifying' in juxtaposition with the conservative viewpoint of Ben Shapiro creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the word 'horrifying' is strategically repeated for emphasis and to convey a strong negative sentiment.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties of Figures of argument. However, it does contain strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict."" 
}",['strategic_repetition'],0,['strategic_repetition'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],deduction,"{
  ""Answer"": ""no"",
  ""Explanation"": ""Deduction involves making a specific inference based on general principles or premises. The sentence 'Conservative Ben Shapiro told Fox news the verdict was “horrifying.”' does not contain a deduction. It is a report of an individual's opinion or reaction to an event (a verdict) and does not include a general principle from which a specific conclusion is drawn. It lacks the structure of a deductive argument, which would require a general premise leading to a specific conclusion.""
}",[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by juxtaposing the idea of 'totally taken to heart' with 'those responsible in the Church', creating a contrast between the actions and the recipients of those actions.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement contains an antithesis, as it presents an argument from opposites - the declarations made by Archbishop Viganò must be totally taken to heart by those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The property of strategic repetition is used in the statement with the repetition of the phrase 'must be totally taken to heart'.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting the authority of Archbishop Carlo Maria Viganò with those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting the authority of Archbishop Carlo Maria Viganò with those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The statement provides a clear and succinct definition of the authority and importance of Archbishop Carlo Maria Viganò's declarations within the Church.""
}",['defintion_as_figure'],0,['antithesis'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],strategic repetition,"{
  ""Answer"": ""no"",
  ""Explanation"": ""Strategic repetition involves the deliberate repetition of words, phrases, or structures for rhetorical effect, often to emphasize a point or to make an argument more persuasive. The sentence provided does not contain repetition of clauses or phrases. It is a straightforward statement without the repetition of any specific words or phrases for emphasis or argumentative effect. Therefore, it does not demonstrate strategic repetition.""
}",[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by juxtaposing the idea of 'totally taken to heart' with 'those responsible in the Church', creating a contrast between the actions and the recipients of those actions.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement contains an antithesis, as it presents an argument from opposites - the declarations made by Archbishop Viganò must be totally taken to heart by those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The property of strategic repetition is used in the statement with the repetition of the phrase 'must be totally taken to heart'.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting the authority of Archbishop Carlo Maria Viganò with those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting the authority of Archbishop Carlo Maria Viganò with those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The statement provides a clear and succinct definition of the authority and importance of Archbishop Carlo Maria Viganò's declarations within the Church.""
}",['defintion_as_figure'],0,['antithesis'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],antithesis,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The provided sentence does not demonstrate or contain antithesis. Antithesis is a rhetorical device that juxtaposes contrasting ideas, often in a parallel structure, to highlight the contrast between them. The sentence about Cardinal Raymond Burke's statement regarding Archbishop Carlo Maria Viganò does not present any contrasting ideas or opposites. It simply states that the declarations of Archbishop Viganò should be taken seriously by church authorities. There is no comparison or contrast of opposing concepts within the sentence.""
}",[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by juxtaposing the idea of 'totally taken to heart' with 'those responsible in the Church', creating a contrast between the actions and the recipients of those actions.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement contains an antithesis, as it presents an argument from opposites - the declarations made by Archbishop Viganò must be totally taken to heart by those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The property of strategic repetition is used in the statement with the repetition of the phrase 'must be totally taken to heart'.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting the authority of Archbishop Carlo Maria Viganò with those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting the authority of Archbishop Carlo Maria Viganò with those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The statement provides a clear and succinct definition of the authority and importance of Archbishop Carlo Maria Viganò's declarations within the Church.""
}",['defintion_as_figure'],0,['antithesis'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],antimetabole,"{
  ""Answer"": ""no"",
  ""Explanation"": ""Antimetabole is a rhetorical device that involves repeating a phrase in reverse order. The classic structure is AB-BA, where the second part of the sentence inverts the order of the first part. The sentence provided does not demonstrate antimetabole because it does not involve any repetition or transposition of words or phrases. It is simply a statement without the structural reversal that characterizes antimetabole.""
}",[]
