sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,Unnamed: 28,property_gpt4,res_gpt4_0.0_V3_2,property_gpt4_0.0_V3_2
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],False,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],,indicative,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.' does not utilize the indicative mood. The indicative mood is used for stating facts or asking questions that are directly based on facts. This sentence, however, is using the future tense to make a prediction or a statement that is not presented as a current fact, but rather as a future occurrence. This is more characteristic of the subjunctive or conditional moods, which are used to express wishes, hypotheses, or things that have not yet happened.""
}",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],False,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],,subjunctive,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.' does not utilize the subjunctive mood. The subjunctive mood is used to express wishes, hypothetical situations, or things that are contrary to fact at present. This sentence, however, is indicative and predictive, stating something that will happen, not something that is wished for, hypothetical, or contrary to fact.""
}",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],False,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],,exclamatory,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not utilize the exclamatory mood. The exclamatory mood is characterized by strong emotions or feelings and is often punctuated with an exclamation mark. The sentence provided, while it may convey a sense of foreboding or concern, is structured as a declarative statement and does not express surprise or strong emotion in the form of an exclamation. It lacks the hallmark punctuation and syntactic structure of an exclamatory sentence, such as 'What a dark and impenetrable winter it will be!'""
}",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],False,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],,interrogative,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided ('A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.') does not utilize the interrogative mood. The interrogative mood is used for asking questions, which typically involve an inversion of the subject and auxiliary verb (e.g., 'Will a dark winter fall?') or a 'wh-' question word (e.g., 'What will fall?'). The given sentence is a declarative statement, predicting or stating that something will happen, rather than asking a question.""
}",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],False,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],,imperative,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.' does not utilize the imperative mood. The imperative mood is used for giving commands or making requests. This sentence is making a prediction or stating a future event, which is indicative of the future indicative mood rather than the imperative.""
}",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],False,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],,optative,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.' does not utilize the optative mood. The optative mood is used to express wishes, hopes, or desires, and is often found in languages such as Ancient Greek or Sanskrit. In English, the optative mood is not explicitly marked and is often conveyed through modal verbs, phrases, or in the subjunctive mood. The given sentence is a predictive statement, likely metaphorical, about what will happen, rather than expressing a wish or desire for something to happen.""
}",[]
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Mood,['indicative'],['indicative'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text is expressing a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example text uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],True,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion about the beliefs of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of a group of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],1,['indicative'],1,1,,['indicative'],,indicative,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The sentence 'I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.' utilizes the indicative mood. The indicative mood is used for stating facts or asking questions that are based on facts. In this sentence, the speaker is stating a fact about their personal experience of witnessing Catholics making a declaration on social media. The structure 'I have seen' indicates that it is a statement of fact about an action that has occurred, which is characteristic of the indicative mood.""
}",['indicative']
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Mood,['indicative'],['indicative'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text is expressing a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example text uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],True,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion about the beliefs of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of a group of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],1,['indicative'],1,1,,['indicative'],,subjunctive,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The sentence 'I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete' does utilize the subjunctive mood. The subjunctive mood is used to express conditions that are not factual but hypothetical, and it often follows conjunctions like 'if'. In this case, 'if Paul VI is canonised' refers to a hypothetical future event, which is exactly the kind of situation the subjunctive mood is designed to express.""
}",['subjunctive']
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Mood,['indicative'],['indicative'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text is expressing a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example text uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],True,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion about the beliefs of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of a group of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],1,['indicative'],1,1,,['indicative'],,exclamatory,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not utilize the exclamatory mood. The exclamatory mood is characterized by strong emotions, surprise, or pain, often punctuated with an exclamation mark. The sentence in question is a declarative statement that expresses a conditional situation regarding the canonization of Paul VI and its potential impact on people's faith in the Church. It does not express surprise or strong emotion in the form of an exclamation, but rather conveys information in a straightforward manner.""
}",[]
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Mood,['indicative'],['indicative'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text is expressing a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example text uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],True,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion about the beliefs of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of a group of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],1,['indicative'],1,1,,['indicative'],,interrogative,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not utilize the interrogative mood. The interrogative mood is used for asking questions, which typically involves the inversion of the subject and the auxiliary verb, or the use of a 'wh-' question word (who, what, where, when, why, how). The sentence in question is a declarative statement, reporting what the author has observed regarding the reactions of some Catholics to the potential canonization of Paul VI. It does not ask a question, and therefore, it is not in the interrogative mood.""
}",[]
