sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,property_gpt4,res_gpt4_0.0_V3_2,property_gpt4_0.0_V3_2
311,[3],"The Vatican presents a choice: the world, or Christ.",Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],True,['Periodic_sentences'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'the world, or Christ' after the grammatically complete main clause. It is also periodic as it delivers its meaning dramatically at the end with the contrasting choice between 'the world' and 'Christ'.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('the world, or Christ').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences'],left branching,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'The Vatican presents a choice: the world, or Christ.' does not demonstrate left branching. Left branching involves starting a sentence with modifying elements before introducing the main subject and verb. In this sentence, the subject 'The Vatican' and the verb 'presents' are at the beginning of the sentence, followed by the object 'a choice'. There are no modifying structures preceding the subject that would make this sentence left branching.""
}",[]
311,[3],"The Vatican presents a choice: the world, or Christ.",Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],True,['Periodic_sentences'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'the world, or Christ' after the grammatically complete main clause. It is also periodic as it delivers its meaning dramatically at the end with the contrasting choice between 'the world' and 'Christ'.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('the world, or Christ').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences'],middle branching,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'The Vatican presents a choice: the world, or Christ.' does not demonstrate middle branching because there is no material inserted between the subject 'The Vatican' and the verb 'presents'. Middle branching would require additional information or a clause to be placed between the subject and the verb, which is not the case in this sentence.""
}",[]
311,[3],"The Vatican presents a choice: the world, or Christ.",Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],True,['Periodic_sentences'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'the world, or Christ' after the grammatically complete main clause. It is also periodic as it delivers its meaning dramatically at the end with the contrasting choice between 'the world' and 'Christ'.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('the world, or Christ').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences'],right branching,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'The Vatican presents a choice: the world, or Christ.' does not demonstrate right branching. Right branching involves a sentence that is grammatically complete and then extends with additional modifying clauses or phrases. The given sentence is a simple sentence with a compound object ('the world, or Christ') following a colon, which is used to illustrate the choice presented. It does not continue with modifying clauses or phrases after a complete thought; instead, it presents two alternatives as part of the main clause without further modification.""
}",[]
311,[3],"The Vatican presents a choice: the world, or Christ.",Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],True,['Periodic_sentences'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'the world, or Christ' after the grammatically complete main clause. It is also periodic as it delivers its meaning dramatically at the end with the contrasting choice between 'the world' and 'Christ'.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('the world, or Christ').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences'],Periodic sentences,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence 'The Vatican presents a choice: the world, or Christ.' does not demonstrate the characteristics of a periodic sentence. A periodic sentence would withhold its main point or most significant information until the end, typically after a series of subordinate clauses or phrases that build suspense. The sentence provided delivers its meaning immediately without a complex or suspenseful structure leading to a dramatic conclusion. It is a compound sentence with a colon introducing the options of the choice presented, rather than a periodic sentence with a delayed main clause.""
}",[]
311,[3],"The Vatican presents a choice: the world, or Christ.",Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],True,['Periodic_sentences'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'the world, or Christ' after the grammatically complete main clause. It is also periodic as it delivers its meaning dramatically at the end with the contrasting choice between 'the world' and 'Christ'.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('the world, or Christ').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences'],loose sentences,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The provided sentence, 'The Vatican presents a choice: the world, or Christ,' does not demonstrate the characteristics of a loose sentence. A loose sentence typically starts with a main clause that is followed by a series of phrases or clauses that add additional information or details. The sentence in question is concise and to the point, presenting a clear choice without trailing off into accumulated detail. It has a clear and concluding point, which is the choice being presented.""
}",[]
349,[4],"Recently, a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],True,"['left_branching', 'right_branching', 'middle_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause is complete.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the initial complete grammatical structure.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching'],left branching,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The sentence provided does demonstrate left branching. It opens with the adverb 'Recently,' which modifies the main clause, and continues with a lengthy modifying structure 'a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed.' This modifying structure postpones the introduction of the main subject of the sentence, 'South Florida Muslim leader Sofian Zakkout,' until after the modifying elements have been presented. This structure, where the sentence begins with modifiers before getting to the main subject and verb, is characteristic of left-branching sentence architecture.""
}",['left_branching']
349,[4],"Recently, a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],True,"['left_branching', 'right_branching', 'middle_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause is complete.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the initial complete grammatical structure.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching'],middle branching,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The sentence provided does demonstrate middle branching. Middle branching occurs when additional information is inserted between the subject ('a video clip of anti-Semitic pastor Steve Anderson') and the verb ('wound up'). In this case, the inserted material is '– making the claim that Jews have experienced such abuse because they have somehow been cursed –' which provides extra information about Steve Anderson and his video clip. This insertion creates a middle branch in the sentence structure.""
}",['middle_branching']
349,[4],"Recently, a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],True,"['left_branching', 'right_branching', 'middle_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause is complete.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the initial complete grammatical structure.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching'],right branching,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The sentence provided does demonstrate right branching. The core of the sentence ('Recently, a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.') is a complete thought and could stand alone as a grammatically complete sentence. The phrase 'making the claim that Jews have experienced such abuse because they have somehow been cursed' is a modifying clause that provides additional information about 'anti-Semitic pastor Steve Anderson' and extends the sentence beyond its basic form, which is characteristic of right branching sentence architecture.""
}",['right_branching']
349,[4],"Recently, a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],True,"['left_branching', 'right_branching', 'middle_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause is complete.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the initial complete grammatical structure.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching'],Periodic sentences,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The provided sentence is an example of a periodic sentence. It begins with an introductory phrase, followed by a non-essential clause set off by dashes, and the main clause ('wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout') is not completed until the very end of the sentence. This structure holds the main point of the sentence until the end, creating suspense and adding emphasis to the conclusion.""
}",['Periodic_sentences']
349,[4],"Recently, a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],True,"['left_branching', 'right_branching', 'middle_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause is complete.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the initial complete grammatical structure.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching'],loose sentences,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The provided sentence does not demonstrate a loose sentence. A loose sentence typically starts with a main clause that is followed by a series of phrases and clauses that add additional information. However, the sentence in question maintains a clear and direct structure, with a main clause 'Recently, a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout' and a relative clause 'making the claim that Jews have experienced such abuse because they have somehow been cursed' that provides additional information about the video clip. The sentence has a clear concluding point, which is the fact that the video ended up on Sofian Zakkout's Facebook page, and does not simply trail off into accumulated detail.""
}",[]
