sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,property_gpt4,res_gpt4_0.0_V3_2,property_gpt4_0.0_V3_2
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Series,[],[],[],True,[],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'as much' in the sentence indicates the presence of polysyndeton, where conjunctions are used between every item.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'the glory,' and 'the greatness of his conquests' creates a polysyndeton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' to connect the different motivations ('to acquire that glory' and 'to signalise himself') indicates the presence of polysyndeton in the text.""
}",['polysyndenton'],True,"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'to acquire that glory' and 'to signalise himself' indicates the presence of polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The text uses the polysyndenton property by using the conjunction 'as' between the listed reasons for Temur's actions.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'acquire that glory' and 'to signalise himself' suggests the presence of polysyndenton.""
}",['polysyndenton'],1,['polysyndenton'],1.0,0.0,GPT misinterprets the feature,[],bracketing,"{
  ""Answer"": ""no"",
  ""Explanation"": ""Bracketing in the context of series refers to the grouping of several items or concepts together in a way that suggests they share common characteristics or belong to the same category. The provided sentence does not demonstrate bracketing because it does not list a series of items or groups together. Instead, it makes a statement about Muhammad's advice according to the tradition of Muslim doctors and then provides an example of Temur's actions, which are presented as being in line with that advice. The sentence does not lump multiple, distinct items into a single category, but rather explains a sequence of thought or rationale behind Temur's actions.""
}",[]
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Series,[],[],[],True,[],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'as much' in the sentence indicates the presence of polysyndeton, where conjunctions are used between every item.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'the glory,' and 'the greatness of his conquests' creates a polysyndeton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' to connect the different motivations ('to acquire that glory' and 'to signalise himself') indicates the presence of polysyndeton in the text.""
}",['polysyndenton'],True,"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'to acquire that glory' and 'to signalise himself' indicates the presence of polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The text uses the polysyndenton property by using the conjunction 'as' between the listed reasons for Temur's actions.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'acquire that glory' and 'to signalise himself' suggests the presence of polysyndenton.""
}",['polysyndenton'],1,['polysyndenton'],1.0,0.0,GPT misinterprets the feature,[],order (incrementum),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not demonstrate or contain order (incrementum) because it does not list items or elements in a sequence based on their increasing or decreasing order. Instead, it mentions a series of actions and motivations attributed to the great Temur, which are not arranged in a hierarchical or sequential order. The sentence is more about the reasons behind Temur's actions rather than a progression or sequence of ranks or stages.""
}",[]
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Series,[],[],[],True,[],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'as much' in the sentence indicates the presence of polysyndeton, where conjunctions are used between every item.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'the glory,' and 'the greatness of his conquests' creates a polysyndeton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' to connect the different motivations ('to acquire that glory' and 'to signalise himself') indicates the presence of polysyndeton in the text.""
}",['polysyndenton'],True,"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'to acquire that glory' and 'to signalise himself' indicates the presence of polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The text uses the polysyndenton property by using the conjunction 'as' between the listed reasons for Temur's actions.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'acquire that glory' and 'to signalise himself' suggests the presence of polysyndenton.""
}",['polysyndenton'],1,['polysyndenton'],1.0,0.0,GPT misinterprets the feature,[],gradatio,"{
  ""Answer"": ""no"",
  ""Explanation"": ""Gradatio is a rhetorical term for a type of climax where each word or phrase is sequentially linked to the next, often with increasing significance or in a particular logical progression. The sentence provided does not demonstrate gradatio because it does not contain a list of items with overlapping concepts that suggest a chain of causality. Instead, it presents a sequence of actions or motivations attributed to Temur, but these do not build upon each other in the way gradatio would require. The sentence merely states that Temur strove to exterminate infidels for glory and to signal his conquests, without a gradational increase in terms or concepts.""
}",[]
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Series,[],[],[],True,[],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'as much' in the sentence indicates the presence of polysyndeton, where conjunctions are used between every item.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'the glory,' and 'the greatness of his conquests' creates a polysyndeton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' to connect the different motivations ('to acquire that glory' and 'to signalise himself') indicates the presence of polysyndeton in the text.""
}",['polysyndenton'],True,"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'to acquire that glory' and 'to signalise himself' indicates the presence of polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The text uses the polysyndenton property by using the conjunction 'as' between the listed reasons for Temur's actions.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'acquire that glory' and 'to signalise himself' suggests the presence of polysyndenton.""
}",['polysyndenton'],1,['polysyndenton'],1.0,0.0,GPT misinterprets the feature,[],polysyndenton,"{
  ""Answer"": ""no"",
  ""Explanation"": ""Polysyndeton is a rhetorical device that involves using multiple conjunctions in close succession, often more than necessary, to link together a series of words, phrases, or clauses. The example provided ('The forces of truth and love and courage and honesty.') clearly demonstrates polysyndeton by using the conjunction 'and' between every item in the series. In the sentence given ('Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.'), the conjunctions 'as much' and 'as to' are used, but they do not occur in close succession to link a series of words or phrases. Instead, they are part of a comparative construction ('as much... as to...'). Therefore, this sentence does not contain polysyndeton.""
}",[]
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Series,[],[],[],True,[],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'as much' in the sentence indicates the presence of polysyndeton, where conjunctions are used between every item.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'the glory,' and 'the greatness of his conquests' creates a polysyndeton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' to connect the different motivations ('to acquire that glory' and 'to signalise himself') indicates the presence of polysyndeton in the text.""
}",['polysyndenton'],True,"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'to acquire that glory' and 'to signalise himself' indicates the presence of polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The text uses the polysyndenton property by using the conjunction 'as' between the listed reasons for Temur's actions.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'acquire that glory' and 'to signalise himself' suggests the presence of polysyndenton.""
}",['polysyndenton'],1,['polysyndenton'],1.0,0.0,GPT misinterprets the feature,[],asyndenton,"{
  ""Answer"": ""no"",
  ""Explanation"": ""Asyndeton is a stylistic device where conjunctions are omitted in a series of words, phrases, or clauses. In the provided sentence, the conjunction 'as' is used to connect the clauses 'as much to acquire that glory' and 'as to signalise himself by the greatness of his conquests.' Therefore, the sentence does not demonstrate asyndeton, as it includes a conjunction to link the clauses.""
}",[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Series,[],[],[],True,[],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence uses the conjunction 'but' to join clauses and lists the pope’s lie, homosexual activity, and assurance with conjunctions.""
}",['polysyndenton'],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The use of 'first place' suggests a gradatio, listing items in a series with an overlapping relationship, implying a chain of causality.""
}",['gradatio'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence contains the use of the polysyndenton, with 'but' and 'that' functioning as conjunctions between the listed clauses, indicating the presence of this specific rhetorical device.""
}",['polysyndenton'],False,"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'but' between 'it follows his astoundingly brazen lie' and 'we can take the assurance for what it seems to be worth' demonstrates the polysyndenton property.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence uses the conjunction 'but' to connect the two clauses, indicating polysyndeton.""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing items without any conjunctions.""
}",['asyndenton'],0,['polysyndenton'],1.0,0.0,,[],bracketing,"{
  ""Answer"": ""no"",
  ""Explanation"": ""Bracketing in the context of a series refers to the grouping of several items together, implying they share a common characteristic or category. The provided sentence does not list multiple items together in a way that groups them into a single category. Instead, it discusses a sequence of events or statements related to a single individual, the pope, and does not lump multiple, distinct entities into one category. Therefore, it does not contain bracketing.""
}",[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Series,[],[],[],True,[],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence uses the conjunction 'but' to join clauses and lists the pope’s lie, homosexual activity, and assurance with conjunctions.""
}",['polysyndenton'],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The use of 'first place' suggests a gradatio, listing items in a series with an overlapping relationship, implying a chain of causality.""
}",['gradatio'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence contains the use of the polysyndenton, with 'but' and 'that' functioning as conjunctions between the listed clauses, indicating the presence of this specific rhetorical device.""
}",['polysyndenton'],False,"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'but' between 'it follows his astoundingly brazen lie' and 'we can take the assurance for what it seems to be worth' demonstrates the polysyndenton property.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence uses the conjunction 'but' to connect the two clauses, indicating polysyndeton.""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing items without any conjunctions.""
}",['asyndenton'],0,['polysyndenton'],1.0,0.0,,[],order (incrementum),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not demonstrate or contain order (incrementum) as it does not list items in an increasing or decreasing order. Instead, it presents a sequence of events or statements without a gradation or hierarchical structure. The sentence contrasts two statements about the pope's word and an alleged lie, but there is no clear incremental order like the ranks in a military series (corporal, sergeant, lieutenant, etc.).""
}",[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Series,[],[],[],True,[],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence uses the conjunction 'but' to join clauses and lists the pope’s lie, homosexual activity, and assurance with conjunctions.""
}",['polysyndenton'],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The use of 'first place' suggests a gradatio, listing items in a series with an overlapping relationship, implying a chain of causality.""
}",['gradatio'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence contains the use of the polysyndenton, with 'but' and 'that' functioning as conjunctions between the listed clauses, indicating the presence of this specific rhetorical device.""
}",['polysyndenton'],False,"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'but' between 'it follows his astoundingly brazen lie' and 'we can take the assurance for what it seems to be worth' demonstrates the polysyndenton property.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence uses the conjunction 'but' to connect the two clauses, indicating polysyndeton.""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing items without any conjunctions.""
}",['asyndenton'],0,['polysyndenton'],1.0,0.0,,[],gradatio,"{
  ""Answer"": ""no"",
  ""Explanation"": ""Gradatio is a rhetorical term for a type of climax where each word or phrase is sequentially linked to the next, often with increasing intensity or complexity, suggesting a chain of causality. The provided sentence does not demonstrate gradatio because it does not contain a series of overlapping items or concepts that build upon each other. Instead, it presents a sequence of events or statements with a critical perspective but without the characteristic incremental structure of gradatio.""
}",[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Series,[],[],[],True,[],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence uses the conjunction 'but' to join clauses and lists the pope’s lie, homosexual activity, and assurance with conjunctions.""
}",['polysyndenton'],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The use of 'first place' suggests a gradatio, listing items in a series with an overlapping relationship, implying a chain of causality.""
}",['gradatio'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence contains the use of the polysyndenton, with 'but' and 'that' functioning as conjunctions between the listed clauses, indicating the presence of this specific rhetorical device.""
}",['polysyndenton'],False,"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'but' between 'it follows his astoundingly brazen lie' and 'we can take the assurance for what it seems to be worth' demonstrates the polysyndenton property.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence uses the conjunction 'but' to connect the two clauses, indicating polysyndeton.""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing items without any conjunctions.""
}",['asyndenton'],0,['polysyndenton'],1.0,0.0,,[],polysyndenton,"{
  ""Answer"": ""no"",
  ""Explanation"": ""Polysyndeton is a rhetorical device that involves using multiple conjunctions in close succession, often more than necessary, to link clauses or items in a series. The example given, 'The forces of truth and love and courage and honesty,' demonstrates polysyndeton by using the conjunction 'and' between each item in the series. In the sentence provided, there is only one conjunction 'but' used to connect two clauses. There is no series of items connected by multiple conjunctions, so the sentence does not contain polysyndeton.""
}",[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Series,[],[],[],True,[],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence uses the conjunction 'but' to join clauses and lists the pope’s lie, homosexual activity, and assurance with conjunctions.""
}",['polysyndenton'],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The use of 'first place' suggests a gradatio, listing items in a series with an overlapping relationship, implying a chain of causality.""
}",['gradatio'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence contains the use of the polysyndenton, with 'but' and 'that' functioning as conjunctions between the listed clauses, indicating the presence of this specific rhetorical device.""
}",['polysyndenton'],False,"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'but' between 'it follows his astoundingly brazen lie' and 'we can take the assurance for what it seems to be worth' demonstrates the polysyndenton property.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence uses the conjunction 'but' to connect the two clauses, indicating polysyndeton.""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing items without any conjunctions.""
}",['asyndenton'],0,['polysyndenton'],1.0,0.0,,[],asyndenton,"{
  ""Answer"": ""no"",
  ""Explanation"": ""Asyndeton is a rhetorical device that involves omitting conjunctions between parts of a sentence. The example provided ('I came, I saw, I conquered.') is a classic instance of asyndeton because it omits conjunctions between the clauses. In the sentence given, 'We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.', conjunctions are used ('but', 'that') and the sentence structure does not omit conjunctions between clauses or items in a series. Therefore, it does not demonstrate asyndeton.""
}",[]
