sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,res_gpt4_0.0_V3_2,property_gpt4_0.0_V3_2
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Phrases_built_on_verbs,[],[],[],True,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence does not contain any infinitive phrases. However, it does contain a participial phrase 'conservative Ben Shapiro,' which is an adjective describing the subject of the sentence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence does not contain any infinitive phrases, but it does contain a participial phrase 'conservative Ben Shapiro told', where 'told' is a past participle, modifying 'Ben Shapiro'.""
}",['participal_phrases'],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'Conservative Ben Shapiro told Fox news' which is built on the verb 'told.'""
}",['participial_phrases'],False,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'told Fox news the verdict was horrifying' contains a participal phrase 'told Fox news', where 'told' is a past participle and 'Fox news' is the direct object.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence does not contain any infinitive phrases, but it does contain a participial phrase 'conservative Ben Shapiro told Fox news', where 'told' is a past participle.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'told Fox news the verdict was “horrifying' contains a participial phrase 'told Fox news', where 'told' is a past participle modifying 'Ben Shapiro'.""
}",['participal_phrases'],1,['participal_phrases'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'The sentence Conservative Ben Shapiro told Fox news the verdict was “horrifying” does not contain any participal phrases. A participal phrase is a word group consisting of a participle and any modifiers or complements the participle has, all acting together as an adjective. In the sentence provided, there are no phrases that use a present or past participle to describe or modify any nouns. The sentence is a simple statement without any additional descriptive phrases that use participles.', 'Property': 'participal phrases'}, {'Answer': 'no', 'Explanation': 'The sentence provided (Conservative Ben Shapiro told Fox news the verdict was “horrifying.”) does not contain any infinitive phrases. An infinitive phrase would include the base form of a verb preceded by to, such as to run, to eat, or to think. In the sentence given, there are no such phrases; all verbs are in the past tense (told, was) and there is no instance of the word to followed by a verb in its base form that would constitute an infinitive phrase.', 'Property': 'inifinitive phrases'}]",[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Phrases_built_on_verbs,[],[],[],True,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participal phrase 'described the detention centre as looking akin to a typical American prison' which modifies the subject 'Sellner'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'described the detention centre as looking akin to a typical American prison', which modifies the subject 'Sellner'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'described the detention centre as looking akin to a typical American prison,' which modifies 'Sellner' and provides additional information about his actions and beliefs.""
}",['participal_phrases'],True,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'described the detention centre as looking akin to a typical American prison', which modifies the subject 'Sellner'. This participial phrase provides additional information about Sellner and his actions.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'described the detention centre as looking akin to a typical American prison', which modifies the subject 'Sellner'. This participial phrase provides additional information about Sellner's actions and beliefs.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'described the detention centre as looking akin to a typical American prison', which modifies the subject 'Sellner'.""
}",['participal_phrases'],1,['participal_phrases'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain any participial phrases. Participial phrases are formed using present or past participles and function as adjectives, providing more information about a noun. Present participles end in -ing (e.g., waving, having), and past participles often end in -ed or -en (e.g., boiled) for regular verbs, though there are many irregular forms. In the sentence given, there are no phrases that use a participle to describe a noun. The closest structure to a participial phrase is described the detention centre as looking akin to a typical American prison, but looking here functions as a verb in a relative clause rather than as a participle in a participial phrase.', 'Property': 'participal phrases'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any infinitive phrases. An infinitive phrase typically includes an infinitive, which is the base form of a verb preceded by the word to (e.g., to run, to eat, to be). The sentence from Breitbart describes a situation using past tense verbs (described, said, was told) and does not include any verbs in the infinitive form that would constitute an infinitive phrase.', 'Property': 'inifinitive phrases'}]",[]
396,[4],Democrats want to delay this vote until after the midterms because they believe they have a chance to retake the Senate as well as the House.,Phrases_built_on_verbs,[],[],['inifinitive_phrases'],False,[],"{
  ""Properties"": [""infinitive phrases""],
  ""Explanation"": ""The infinitive phrase 'to delay this vote until after the midterms' modifies the verb 'want' and explains the purpose or reason for the Democrats' desire.""
}",['infinitive_phrases'],"{
  ""Properties"": [""infinitive phrases""],
  ""Explanation"": ""The infinitive phrase 'to delay this vote until after the midterms' functions as an adverb, indicating the purpose or reason for the action 'want'.""
}",['infinitive_phrases'],"{
  ""Properties"": [""inifinitive phrases""],
  ""Explanation"": ""The use of 'to delay' indicates the intention or purpose of the Democrats in wanting this vote postponed.""
}",['inifinitive_phrases'],False,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'want to delay this vote until after the midterms', which is a verb phrase functioning as an adjective to describe the reason for the Democrats' belief.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'want to delay this vote until after the midterms', which is a verb phrase functioning as a noun. It is headed by the infinitive 'to delay' and includes the direct object 'this vote'.""
}",['participal_phrases'],"{
  ""Properties"": [""infinitive phrases""],
  ""Explanation"": ""The infinitive phrase 'to delay this vote until after the midterms' functions as an adverb, telling us why the Democrats want to delay the vote.""
}",['inifinitive_phrases'],0,['participal_phrases'],0.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain any participial phrases. Participial phrases are formed using present or past participles and function as adjectives, providing additional information about a noun. Present participles end in -ing (e.g., waving, having boiled), and past participles often end in -ed or -en for regular verbs, though many are irregular (e.g., taken, seen). The sentence Democrats want to delay this vote until after the midterms because they believe they have a chance to retake the Senate as well as the House. does not contain any phrases that are headed by a participle. All the verbs are used in their main verb forms (want, delay, believe, have, retake), not as participles.', 'Property': 'participal phrases'}, {'Answer': 'yes', 'Explanation': 'The sentence contains an infinitive phrase: to delay this vote. This phrase is functioning as an adverb, explaining the purpose or reason behind the Democrats desire, which is to delay the vote. The infinitive phrase begins with the word to followed by the base form of the verb delay, which fits the definition of an infinitive phrase as described.', 'Property': 'inifinitive phrases'}]",['inifinitive_phrases']
532,[5 8],"While we may never know what actually happened during the Las Vegas Massacre, the fact remains that the official story has been proven, time and time again, to be absolutely false and in fact nothing more than a pathetic attempt at a cover-up.",Phrases_built_on_verbs,['inifinitive_phrases'],[],['inifinitive_phrases'],False,['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example contains a participial phrase 'proven, time and time again', which modifies the noun phrase 'the official story'. This phrase functions as an adjective to provide additional information about the story.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'proven, time and time again' modifying the noun phrase 'the official story', which functions as an adjective phrase.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'proven, time and time again', which modifies the subject 'the official story'. This participial phrase presents additional information about the nature of the official story.""
}",['participal_phrases'],True,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'proven, time and time again', which modifies the noun phrase 'the official story'. This participial phrase provides additional information about the nature of the official story.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'proven, time and time again, to be absolutely false', which modifies the noun phrase 'the official story'. This participial phrase provides additional information about the official story and its status, changing the relation of the action to the agent.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'proven, time and time again, to be absolutely false', which modifies the noun phrase 'the official story'. This participial phrase provides additional information about the official story.""
}",['participal_phrases'],1,['participal_phrases'],0.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain any participial phrases. Participial phrases are formed using a present participle (ending in -ing) or a past participle (usually ending in -ed, -en, -d, -t, -n, or -ne) and function as adjectives. In the sentence given, there are no phrases that are headed by a participle modifying a noun or pronoun. The sentence is primarily composed of independent and dependent clauses without the use of participial phrases to describe any nouns.', 'Property': 'participal phrases'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any infinitive phrases. An infinitive phrase typically consists of the infinitive form of a verb (usually preceded by to) and any modifiers or complements associated with it. In the sentence given, there are no instances of verbs in the infinitive form being used to express purpose or any other adverbial function. The verbs in the sentence (happened, remains, has been proven, and attempt) are not in the infinitive form.', 'Property': 'inifinitive phrases'}]",[]
747,[9 5],"And finally, in a bizarre tweet, Greenwald opined, “I hope the story [maligning Assange] turns out true” – apparently because maintenance of the Guardian’s reputation is more important than Assange’s fate and the right of journalists to dig up embarrassing secrets without fear of being imprisoned.",Phrases_built_on_verbs,['participal_phrases'],['participal_phrases'],['participal_phrases'],True,['participal_phrases'],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'maligning Assange' modifying the noun 'story'.""
}",['participial_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'maligning Assange' is a participal phrase, indicating the action of 'maligning' and its relation to the subject of the sentence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participal phrase 'maligning Assange' which modifies the noun 'story'. This participal phrase adds descriptive information about the story.""
}",['participal_phrases'],False,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'maligning Assange' which modifies the noun 'story'. This participial phrase provides additional information about the story and its content.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participal phrase 'maligning Assange' modifies the noun 'story' and provides additional information about the story.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'maligning Assange' is a participal phrase, as it is headed by the participle 'maligning' and functions as an adjective to modify the noun 'story'.""
}",['participal_phrases'],1,['participal_phrases'],0.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain any participial phrases. Participial phrases are adjective phrases that start with a participle, which is a verb form typically ending in -ing (present participle) or -ed (past participle) that functions as an adjective to modify a noun or pronoun. In the sentence given, there are no phrases that fit this description. The verbs in the sentence (opined, turns out, is, dig up, being) are either in simple past, simple present, or infinitive form and are not used as adjectives modifying a noun or pronoun. Therefore, there are no participial phrases in the sentence.', 'Property': 'participal phrases'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any infinitive phrases. An infinitive phrase typically includes an infinitive, which is the base form of a verb preceded by the word to (e.g., to run, to eat, to find). Infinitive phrases can function as nouns, adjectives, or adverbs, often expressing purpose or intent. In the sentence given, there are no instances of verbs being used in their infinitive forms with the word to. All verbs are either in past tense (opined) or in the form of gerunds (maligning, digging) or participles (turns, being). Therefore, there are no infinitive phrases present in this sentence.', 'Property': 'inifinitive phrases'}]",[]
989,[17  6],"What about Judge Kavanaugh's comfort in being put through the ringer without a shred of evidence, Senator Flake?",Phrases_built_on_verbs,['participal_phrases'],['participal_phrases'],['participal_phrases'],True,['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'being put through the ringer without a shred of evidence' is a participal phrase, modifying the noun 'comfort'. It indicates the state or condition of Judge Kavanaugh's comfort.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'being put through the ringer without a shred of evidence' is a participial phrase which describes Judge Kavanaugh's comfort.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'being put through the ringer without a shred of evidence' is a participial phrase, expressing the state of Judge Kavanaugh's comfort in a specific situation.""
}",['participal_phrases'],True,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'being put through the ringer without a shred of evidence' is a participial phrase modifying 'comfort'. It describes the state of Judge Kavanaugh during the process.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'being put through the ringer without a shred of evidence' is a participial phrase modifying 'comfort'. It describes the state in which Judge Kavanaugh is comfortable.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'being put through the ringer without a shred of evidence' is a participial phrase modifying 'comfort'. It describes the state or condition of Judge Kavanaugh.""
}",['participal_phrases'],1,['participal_phrases'],0.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'The sentence in question does not contain any participial phrases. Participial phrases are formed using a present participle (ending in -ing) or a past participle and usually act as adjectives, providing more information about a noun. In the sentence provided, there are no phrases that fit this description. The phrase being put through the ringer uses a form of to be combined with a past participle, but it functions as part of a passive voice construction rather than as an adjective modifying a noun. Therefore, it is not a participial phrase.', 'Property': 'participal phrases'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any infinitive phrases. An infinitive phrase would include the basic form of a verb preceded by to, such as to eat, to run, or to be. In the sentence What about Judge Kavanaughs comfort in being put through the ringer without a shred of evidence, Senator Flake?, there are no phrases that include the infinitive form of a verb. The phrase in being put through the ringer uses a gerund (being), which is a verb form ending in -ing that functions as a noun, rather than an infinitive which would use to be. Therefore, the sentence does not contain an infinitive phrase.', 'Property': 'inifinitive phrases'}]",[]
1145,[9 8 6],To call them nativists and parade their moral superiority.,Phrases_built_on_verbs,['inifinitive_phrases'],['inifinitive_phrases'],['inifinitive_phrases'],True,['inifinitive_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'To call them nativists' is a participal phrase, using the participle 'calling' to describe the action taken by the subject."" 
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'To call them nativists and parade their moral superiority' functions as a participial phrase, modifying the subject of the sentence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'To call them nativists' is a participal phrase, as it starts with the infinitive 'to call' followed by a direct object 'them nativists'. It describes the action of the subject.""
}",['participal_phrases'],True,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'To call them nativists and parade their moral superiority' is a participal phrase, as it is headed by the participle 'calling' and 'parading' and functions as an adjective to describe the subject of the sentence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'To call them nativists and parade their moral superiority' is a participial phrase, as it is headed by the participle 'calling' and 'parading', and functions as an adjective to describe the subject.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'To call them nativists and parade their moral superiority' is a participial phrase, as it is headed by the participle 'parade' and describes the action of the subject.""
}",['participal_phrases'],1,['participal_phrases'],0.0,0.0,GPT is making stuff up,[],"[{'Answer': 'no', 'Explanation': 'The sentence To call them nativists and parade their moral superiority does not contain any participal phrases. A participal phrase is typically formed from a verb and acts as an adjective, modifying a noun in the sentence. It often includes a form of the verb ending in -ing (present participle) or -ed (past participle) if the verb is regular. In the given sentence, to call and parade are infinitive forms of the verbs and are not participles. Therefore, they do not form participal phrases. The sentence is structured with infinitive phrases, which are different from participal phrases.', 'Property': 'participal phrases'}, {'Answer': 'yes', 'Explanation': 'The sentence To call them nativists and parade their moral superiority contains an infinitive phrase. The phrase starts with the word to followed by the verb call, which makes to call them nativists the first infinitive phrase. The phrase and parade their moral superiority is a continuation of the infinitive construction, with parade being another verb connected to the infinitive use. This entire phrase could function adverbially to explain the purpose or intent behind a potential action, although the sentence as provided is a fragment and lacks a main clause to modify.', 'Property': 'inifinitive phrases'}]",['inifinitive_phrases']
1194,[6 9],"Julian Assange called it ""a hack job in the purest sense of the term"".",Phrases_built_on_verbs,[],[],[],True,[],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The participial phrase 'called it' conveys the idea of something being described or characterized, and it changes the relation of that action to the agent (Julian Assange). It is an adjective phrase headed by the participle 'called'.""
}",['participial_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'called it' includes a participial phrase 'a hack job in the purest sense of the term', which describes the action of the subject 'Julian Assange'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'a hack job in the purest sense of the term' is a participal phrase as it is describing the nature of the hack job, with 'a hack job' being the subject and 'in the purest sense of the term' being the participal phrase.""
}",['participal_phrases'],False,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'a hack job in the purest sense of the term' is a participial phrase, as it is headed by the participle 'hack' and functions as an adjective to describe the noun 'job'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'a hack job in the purest sense of the term' is a participial phrase, as it is headed by the participle 'hack' and functions as an adjective describing the noun 'job'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'a hack job in the purest sense of the term' is a participial phrase, as it is headed by the participle 'hack' and functions as an adjective to describe the noun 'job'.""
}",['participal_phrases'],1,['participal_phrases'],1.0,0.0,GPT is making stuff up,[],"[{'Answer': 'no', 'Explanation': 'The sentence Julian Assange called it ""a hack job in the purest sense of the term"" does not contain any participial phrases. A participial phrase is a phrase that starts with a participle (a verb form used as an adjective) and modifies a noun or pronoun in the sentence. Participles are typically either present participles, ending in -ing (e.g., waving, having), or past participles, often ending in -ed or -en (e.g., boiled, taken). The sentence provided does not contain any words used as participles; it is a simple active sentence with a subject (Julian Assange), a verb (called), and a direct object (it). The phrase a hack job in the purest sense of the term functions as a noun phrase and is the object of the verb called.', 'Property': 'participal phrases'}, {'Answer': 'no', 'Explanation': 'An infinitive phrase is a group of words consisting of an infinitive (to + base form of a verb) and any modifiers or complements associated with it. Infinitive phrases can function as nouns, adjectives, or adverbs. In the sentence provided, Julian Assange called it ""a hack job in the purest sense of the term"", there are no infinitive phrases present. The sentence does not contain any instances of to followed by a verb, which is the structure of an infinitive phrase. Therefore, the sentence does not contain an infinitive phrase that would express the means by which something can be accomplished or explain why an action occurred.', 'Property': 'inifinitive phrases'}]",[]
1225,[6],Democratic Illinois Rep. Danny Davis defended Nation of Islam leader Louis Farrakhan as an “outstanding human being” on Monday.,Phrases_built_on_verbs,[],[],[],True,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participal phrase 'defended Nation of Islam leader Louis Farrakhan' in which 'defended' is a participle.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'defended Nation of Islam leader Louis Farrakhan' which modifies the subject 'Democratic Illinois Rep. Danny Davis'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence does not contain infinitive phrases. However, it does contain a participial phrase 'defended Nation of Islam leader Louis Farrakhan', where 'defended' is a past participle acting as a verb phrase.""
}",['participal_phrases'],True,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'defended Nation of Islam leader Louis Farrakhan' which modifies the subject 'Democratic Illinois Rep. Danny Davis'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'defended Nation of Islam leader Louis Farrakhan' which modifies the subject 'Democratic Illinois Rep. Danny Davis'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'defended Nation of Islam leader Louis Farrakhan' which modifies the subject 'Democratic Illinois Rep. Danny Davis'.""
}",['participal_phrases'],1,['participal_phrases'],1.0,0.0,GPT is making stuff up,[],"[{'Answer': 'no', 'Explanation': 'The sentence Democratic Illinois Rep. Danny Davis defended Nation of Islam leader Louis Farrakhan as an “outstanding human being” on Monday. does not contain any participial phrases. A participial phrase is formed with a present or past participle and functions as an adjective, providing more information about a noun. In this sentence, there are no phrases formed with participles that modify any nouns. The verbs defended and being are not used in a participial form; defended is a simple past tense verb and being is part of the phrase outstanding human being, which serves as a complement to describe Louis Farrakhan.', 'Property': 'participal phrases'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any infinitive phrases. An infinitive phrase would include the basic form of a verb preceded by to, such as to run, to jump, or to defend. In the sentence Democratic Illinois Rep. Danny Davis defended Nation of Islam leader Louis Farrakhan as an “outstanding human being” on Monday, there are no phrases that include the infinitive form of a verb. The verb defended is past tense and not in the infinitive form, which would be to defend. Therefore, there are no infinitive phrases in the sentence.', 'Property': 'inifinitive phrases'}]",[]
1234,[7],"He was treated very unfairly by our government!""",Phrases_built_on_verbs,[],[],[],True,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence does not contain any infinitive phrases, but it does contain a participial phrase 'treated very unfairly', which modifies the subject 'He'. This phrase presents the action as having been done to the subject without specifying the agent of the action.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""]
  ,
  ""Explanation"": ""The sentence contains a participial phrase 'treated very unfairly' which functions as an adjective to describe 'He'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence does not contain an infinitive phrase. However, it does include a participal phrase 'treated very unfairly' which acts as an adjective modifying the pronoun 'He'.""
}",['participal_phrases'],True,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'treated very unfairly' which describes the action 'was treated'. This participial phrase modifies the subject 'He' and provides additional information about the action.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence does not contain any infinitive phrases, but it does contain a participial phrase 'treated very unfairly' which modifies the subject 'he'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'treated very unfairly' which describes the action 'was' in the main clause.""
}",['participal_phrases'],1,['participal_phrases'],1.0,0.0,GPT is making stuff up,[],"[{'Answer': 'no', 'Explanation': 'The sentence He was treated very unfairly by our government! does not contain any participial phrases. A participial phrase typically consists of a present participle (ending in -ing) or a past participle (often ending in -ed, -en, -d, -t, -n, or -ne) that functions as an adjective, along with any complements or modifiers. In the sentence provided, was treated is a passive verb construction, not a participial phrase. There is no present or past participle being used as an adjective to describe a noun or pronoun in the sentence.', 'Property': 'participal phrases'}, {'Answer': 'no', 'Explanation': 'The sentence He was treated very unfairly by our government! does not contain any infinitive phrases. An infinitive phrase would include the basic form of a verb preceded by to, such as to eat, to run, to think, etc. In the given sentence, there are no such phrases; the verbs was treated and unfairly do not form an infinitive phrase as they do not follow the to + verb structure.', 'Property': 'inifinitive phrases'}]",[]
