sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,res_gpt4_0.0_V3_2,property_gpt4_0.0_V3_2
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [
    ""active"",
    ""compound""
  ],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'is', and also multiple verbs about one subject, making it a compound predication.""
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'notes', 'are', 'infallible', 'content', and 'prevails'. These verbs indicate action or occurrence by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (are, is) and stative verbs (are, is) to describe the state of something or someone.""
}","['active', 'stative']",False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'are', and 'prevails'. These active verbs indicate actions performed by the subjects in the sentence.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'prevails'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are', 'are', 'prevails'. These active verbs indicate actions performed by the subject, meeting the criteria for the active property.""
}",['active'],1,['active'],1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']","[{'Answer': 'yes', 'Explanation': 'The sentence in question does contain active voice verbs. In the clause I can tell you, the subject I is performing the action of can tell. The subject is actively doing the telling, which is characteristic of the active voice. Additionally, the content of the written notes usually prevails is another active clause where the content is the subject doing the prevailing. Despite the sentences complexity and the presence of passive constructions (are infallible, are contested), the presence of active voice verbs in the main clauses qualifies the sentence as containing active voice.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The concept of stative voice as described does not exist in grammatical terminology. The sentence in question does not contain what is traditionally known as passive voice, which seems to be the intended meaning behind stative voice. In passive voice, the subject of the sentence is acted upon by the verb, and this often involves a form of be plus a past participle. The sentence provided (As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.) does not contain passive constructions. Instead, it contains active verbs like can tell, are, and prevails, where the subjects (I, notes nor memories, content of the written notes) are performing the actions.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a compound voice. Compound voice involves the use of both active and passive voice with respect to a single subject within the same clause or sentence. The example sentence you provided (The telegram was late but contained exciting news.) does indeed illustrate compound voice, as was late is in the passive voice and contained exciting news is in the active voice, both referring to the subject The telegram. However, the sentence in question (As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.) does not exhibit this pattern. It does not use passive voice at all; it is entirely in the active voice. The subject I is the actor performing the action can tell, and the content of the written notes is the subject performing the action prevails. There is no shift from active to passive voice concerning a single subject within the same clause.', 'Property': 'compound'}]",['active']
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Predication,['active'],['active'],['active'],True,[],"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not contain any active, stative, or compound predicates. Instead, it is a complex sentence expressing a prediction about a future event without specifying any particular action or state.""
}",[],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'irreversible' which describes a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative"", ""compound""],
  ""Explanation"": ""The phrase 'will fall' contains a stative verb ('fall') indicating a state or condition. The sentence also contains a compound verb structure with 'will fall' and 'will fall', involving multiple verbs about one subject.""
}","['stative', 'compound']",False,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'will fall', indicating a state or condition that will occur in the future.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'will fall' to describe a future state of being.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'will fall' which describes a state of being rather than an action.""
}",['stative'],1,['stative'],1.0,0.0,GPT is mixing up the properties and definitions,['active'],"[{'Answer': 'no', 'Explanation': 'The sentence A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall. does not contain an active voice verb in the main clause. The subject of the sentence is A dark, impenetrable and “irreversible” winter of persecution of the faithful, and the verb is will fall. The subject is not performing the action of falling; instead, the sentence is constructed in a way that the winter of persecution is something that happens to the subject, not an action performed by it. Additionally, the phrase by their own shepherds indicates that the shepherds are the ones performing the action (persecution), which is a passive construction.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall. does not contain a stative voice verb as described. In the context of predication, stative verbs refer to a state of being or condition, and the subject is in that state rather than performing an action. However, the sentence provided does not follow the structure of stative voice as defined. The verb will fall is a future tense verb indicating an action that will happen, not a state of being. Additionally, there is no use of be as a helping verb, nor is there a main verb ending in ing. The subject winter of persecution is not receiving an action but is predicted to occur or happen.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall. does not contain compound voice. Compound voice would require a mix of active and passive constructions within the same sentence about a single subject. In this sentence, there is only a predictive active voice where a winter will fall is a future tense prediction about the subject a winter. There is no passive voice construction in this sentence.', 'Property': 'compound'}]",[]
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' in the clause 'the letter to me from the UK Home Office said'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text contains active verbs such as 'said' and 'saying', indicating the use of active voice.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example contains active verbs, such as 'said', which indicate the action being performed by the subject.""
}",['active'],True,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action, fulfilling the stative property.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action.""
}",['stative'],1,['stative'],1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']","[{'Answer': 'no', 'Explanation': 'The sentence in question does not contain an active voice verb related to the main action. The main clause of the sentence the letter to me from the UK Home Office said that I was banned is in the passive voice. The subject of the sentence (the letter) is not performing the action of the verb (said); instead, it is conveying a message or information that was acted upon by another agent, presumably the UK Home Office. The structure of the sentence indicates that the action (the banning) was done to the subject (I) by an unspecified actor, which is a characteristic of the passive voice.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The concept of stative voice as described does not exist in grammatical terminology. The sentence in question uses a form of the verb to be (was banned), which is a passive construction. In a passive voice sentence, the subject (I) is indeed the recipient of the action rather than the doer. However, the term stative voice is not recognized in English grammar. Stative verbs are verbs that describe a state of being or condition, such as believe, know, or belong, and they do not typically take a progressive form (ending in ing). The sentence provided does not contain a stative verb in the progressive form, but it does use a passive voice construction. The explanation provided in the question seems to conflate stative verbs with passive voice, which are distinct concepts.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a compound voice. Compound voice involves the use of both active and passive voice in relation to a single subject within the same sentence. In the given sentence, the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers...”, the sentence structure remains in the active voice throughout. The subject the letter performs the action of saying, and there is no shift to passive voice where the subject would be acted upon by something else.', 'Property': 'compound'}]",[]
243,[2 6],Women everywhere should be furious.,Predication,['stative'],['stative'],['stative'],True,[],"{
  ""Properties"": [
    ""stative""
  ],
  ""Explanation"": ""The sentence uses the stative verb 'should be' to express a state of being, rather than an action.""
}",['stative'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.' It is directly calling on women to feel a certain way.""
}",['active'],False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious' which expresses an action.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],1,['active'],1.0,0.0,GPT is mixing up the properties and definitions,['stative'],"[{'Answer': 'no', 'Explanation': 'The sentence Women everywhere should be furious. does not contain an active voice verb in the sense of showing the subject performing an action. Instead, it expresses a state of being or condition that women should experience, which is furious. The verb should be is a modal verb combined with a state of being, which does not depict a direct action performed by the subject.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The concept of stative voice as described does not exist in linguistic terminology. The sentence Women everywhere should be furious. does not contain a passive construction, which is likely what is meant by stative voice in the context provided. In a passive construction, the subject of the sentence is acted upon by an external force or agent. The sentence in question uses a modal verb (should) combined with the verb be and an adjective (furious). There is no action being performed on the subject by an external agent, and thus it does not fit the description of a passive voice construction, nor does it fit the provided (though incorrect) definition of stative voice.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence Women everywhere should be furious. does not contain compound voice because it is solely in the active voice. Compound voice would require a combination of active and passive constructions within the same sentence about a single subject, which is not the case here.', 'Property': 'compound'}]",[]
249,[2],"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (express, carrying) and stative verbs (are, is, denying).""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'remember', 'express', 'denying' which indicate active voice. Additionally, it also has compound verbs 'is important', 'would be capable', and 'carrying out', where multiple verbs are connected to one subject.""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The example contains active verbs ('are', 'is', 'remember', 'express', 'carrying', 'denying'), stative verb ('is'), and compound verbs ('is important', 'would be capable', 'carrying out').""
}","['active', 'stative', 'compound']",False,"{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The text contains active verbs (are, express, denying), stative verbs (are), and compound verbs (would be, carrying out).""
}","['active', 'stative', 'compound']","{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active verbs (express, carrying out) and stative verbs (are, is, denying).""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'remember', 'express', 'denying' and also has a compound structure with multiple verbs 'are', 'express', 'denying' about one subject.""
}","['active', 'compound']",0,"['active', 'stative', 'compound']",1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']","[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain active voice verbs as the main actions. The verbs are and is are forms of to be and are used in a passive construction here. The sentence describes the state of being of claims and what it (referring to a situation or fact) is important to remember, rather than an action being performed by the subject. The latter part of the sentence, friends and neighbors express shock, does contain an active verb (express), but it is a subordinate clause and not the main verb of the sentences primary clause.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The concept of stative voice as described does not exist in grammatical terminology. The sentence provided does contain stative verbs, which describe a state of being or condition, such as are and is in this context. However, the term stative voice is incorrect. The sentence does not contain verbs in a passive construction, where the subject is the recipient of the action, which might be confused with the term stative voice. The verbs are intriguing and is important are indeed stative verbs, but they do not indicate that the subject is receiving an action performed by someone else. Instead, they describe a state or quality of the subject. Therefore, the sentence does not contain what is described as stative voice because that is not a recognized grammatical term or concept.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a compound voice because it does not combine both active and passive voice regarding a single subject. The sentence maintains a consistent voice throughout, which is the passive voice, indicated by phrases such as the claims are intriguing and it is important to remember. There is no shift to an active voice in relation to the same subject within the sentence.', 'Property': 'compound'}]",[]
263,[3],"While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers.",Predication,['active'],['active'],['active'],True,[],"{
  ""Properties"": [""compound""],
  ""Explanation"": ""The sentence contains compound predication, as it expresses two contrasting actions (pardoning and locking up) related to two different subjects (drug dealers and ranchers) in a parallel structure.""
}",['compound'],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs 'pardoned' and 'locked up', as well as a compound structure with multiple verbs about one subject (Obama and Trump) in the same sentence.""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('pardoned', 'locked up') and also features a compound structure with multiple verbs related to the same subject.""
}","['active', 'compound']",False,"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('pardoned', 'locked up') and also has a compound structure with multiple verbs ('pardoned', 'locked up') about one subject ('Obama', 'Trump').""
}","['active', 'compound']","{
  ""Properties"": [""compound""],
  ""Explanation"": ""The sentence contains a compound structure with multiple verbs ('pardons', 'locked up') about one subject ('Obama' and 'Trump').""
}",['compound'],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('pardoned', 'locked up') and also has a compound structure with multiple verbs ('pardoned', 'locked up') about one subject ('Obama', 'Trump').""
}","['active', 'compound']",0,"['active', 'compound']",1.0,0.0,GPT is misinterpreting a property,['active'],"[{'Answer': 'yes', 'Explanation': 'The sentence While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers. contains active voice verbs. In this sentence, Obama and Trump are the subjects performing the actions described by the verbs pardoned and locked up for Obama, and pardons and locks up for Trump. Each verb directly follows its subject, clearly indicating that the subjects are performing the actions, which is characteristic of the active voice.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain stative voice verbs. Stative verbs describe a state of being or condition and do not involve an action being performed by the subject. In the sentence, Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers, the verbs pardoned, locked, pardons, and locks are all action verbs, not stative. They describe actions taken by the subjects (Obama and Trump), not states of being. Additionally, the verbs do not follow the pattern of stative voice as described, where the subject is not doing the action but receiving it, nor is be used as a helping verb here.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The concept of compound voice is not a standard term in English grammar. However, the sentence provided does not contain a mix of active and passive voice regarding a single subject. Instead, it uses active voice throughout to describe the actions of two different subjects (Obama and Trump). Each clause maintains the same voice, with the subjects actively performing the actions (pardoned and locked up by Obama, pardons and locks up by Trump). There is no shift from active to passive or vice versa for any single subject within the sentence.', 'Property': 'compound'}]",['active']
265,[3],"No Catholic, whether or not he consults a priest, can declare for himself that his marriage in the Church was invalid, especially when—indeed because—he lacks canonical proof of invalidity.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [""stative"", ""compound""],
  ""Explanation"": ""The sentence includes a stative verb 'was' and a compound structure with multiple verbs ('can declare,' 'lacks').""
}","['stative', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'consults' and uses an active voice construction.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'declare,' 'consults,' 'can' and 'lacks,' indicating the use of active voice.""
}",['active'],False,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'was' to express a state of being (invalid).""
}",['stative'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'consults' and 'declare' which indicate action being performed by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (consults, can declare) and a stative verb (is).""
}","['active', 'stative']",0,['stative'],1.0,0.0,,"['stative', 'active']","[{'Answer': 'yes', 'Explanation': 'The sentence in question does contain active voice verbs. In the clause he consults a priest, he is the subject performing the action of consulting. Similarly, in he lacks canonical proof of invalidity, he is the subject performing the action of lacking. Both verbs consults and lacks are in the active voice because the subject is performing the action.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain stative voice verbs as defined in the context provided. Stative voice, as described, would involve the subject receiving the action with be as a helping verb and the main verb not ending in ing. In the sentence given, consults and can declare are active voice verbs where the subject (No Catholic) is performing the actions. The verbs do not follow the pattern of stative voice as there is no use of be as a helping verb, nor is the subject receiving the action of the verb.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The concept of compound voice is not a standard term in English grammar. Typically, we discuss voice in terms of active or passive. An active voice is where the subject performs the action of the verb, and a passive voice is where the subject is acted upon by the verb. The sentence provided does not contain a mixture of active and passive voice regarding a single subject. Instead, it maintains a consistent voice throughout. The sentence is in the active voice, with No Catholic as the subject performing the actions (cannot declare, lacks). Therefore, it does not contain what was described as compound voice in the context of the question.', 'Property': 'compound'}]",['active']
282,[3 9],"And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like.",Predication,['stative'],['stative'],['stative'],True,"['stative', 'active']","{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' indicating a state of being.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' as part of the phrase 'is not'. This indicates a state of being or a condition rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is', indicating a state of being rather than action.""
}",['stative'],True,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is' and 'look'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is' which is used to express a state of being.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is' and 'look' which indicates action being performed by the subject.""
}",['active'],1,['active'],1.0,0.0,GPT is mixing up the properties and definitions,['stative'],"[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain an active voice verb as per the definition given. In the sentence And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like, the subject it is not performing an action but rather is in a state of being, indicated by the verb is. The phrase it is hard to see is a passive construction because it is not doing the action of seeing; instead, it is the subject of a statement about the difficulty of seeing something. The sentence is expressing a state or condition rather than an action being performed by the subject.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a stative voice verb as defined in the context provided. The term stative voice is not a standard term in English grammar; however, the explanation seems to conflate passive voice with what is being called stative voice. In the passive voice, the subject of the sentence is acted upon by the verb. The sentence And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like does contain a form of the verb to be (is), but it is used here as a linking verb, not as an auxiliary verb in a passive construction. The verb is links the subject Trumpism with the complement the future of the GOP, which does not indicate an action being received by the subject. Therefore, the sentence does not fit the provided definition of stative voice, which seems to describe passive voice.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a compound voice because it does not combine both active and passive voice regarding a single subject. The sentence is entirely in the active voice, with the subject it performing the action is hard to see. There is no passive construction within the sentence.', 'Property': 'compound'}]",[]
313,[3],"“The Prologue set this choice before us, the world or Our Lord, as mutually exclusive alternatives; we cannot remain neutral, but must belong wholly to the one or wholly to the other.”",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,"['stative', 'active']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs like 'set' and 'belong', which indicates action or movement.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active ('set') and stative ('cannot remain') verbs.""
}","['active', 'stative']","{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'remain' which indicates a state of being.""
}",['stative'],False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'set' and 'belong', which indicate actions being performed by the subjects.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active verbs (set, belong) and stative verbs (remain, belong) indicating action and state of being.""
}","['active', 'stative']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs 'set' and 'belong' which indicate action being performed by the subject.""
}",['active'],0,['active'],1.0,0.0,,"['stative', 'active']","[{'Answer': 'yes', 'Explanation': 'The sentence The Prologue set this choice before us, the world or Our Lord, as mutually exclusive alternatives; we cannot remain neutral, but must belong wholly to the one or wholly to the other. contains active voice verbs. In this sentence, The Prologue is the subject performing the action of setting this choice before us. Additionally, we is the subject in the latter part of the sentence performing the actions cannot remain neutral and must belong wholly to the one or wholly to the other. Both subjects are actively doing something, which is characteristic of the active voice.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The concept of stative voice as described does not exist in traditional grammatical terms. The sentence in question does not contain a verb in a voice that indicates the subject is receiving the action. Instead, set is a transitive verb in the active voice, where The Prologue is the subject performing the action of setting a choice before us. Additionally, the sentence does not follow the pattern described for stative voice verbs, as there is no be helping verb, and the main verb set does not end in ing.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a compound voice. Compound voice involves the use of both active and passive voice with respect to a single subject within the same sentence. In the given sentence, The Prologue set this choice before us is in the active voice, where The Prologue is the subject performing the action of setting. The rest of the sentence does not switch to passive voice; it continues to describe the choice set before the subject in active terms. Therefore, the sentence does not exhibit a combination of active and passive voice regarding a single subject.', 'Property': 'compound'}]",['active']
319,[3],It’s not coming back.,Predication,['active'],['active'],['active'],True,['active'],"{
  ""Properties"": [
    ""stative""
  ],
  ""Explanation"": ""The sentence contains a stative verb 'coming' that expresses a state of being, rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' indicating a state of absence or non-existence.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence uses a stative verb 'coming' to describe a state of being for the subject. It does not involve an action in progress.""
}",['stative'],True,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' which expresses a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' which describes a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' which describes a state rather than an action.""
}",['stative'],1,['stative'],1.0,0.0,,['active'],"[{'Answer': 'yes', 'Explanation': 'In the sentence It’s not coming back, the subject It is performing the action of not coming back. Despite the negative form, the sentence is still in the active voice because the subject is carrying out the action.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The concept of stative voice as described does not exist in grammatical terminology. The sentence It’s not coming back contains a verb in the progressive form (coming), which indicates ongoing action, not a state. Additionally, stative verbs typically refer to a state of being or condition and do not usually take the progressive form (-ing). The sentence does not show a subject being acted upon by another agent, which would be characteristic of the passive voice, not stative voice.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence It’s not coming back. does not contain compound voice because it is solely in the active voice. Compound voice would require a combination of both active and passive voice in relation to a single subject within the same sentence. In this case, the verb coming is in the active voice and there is no passive voice component present.', 'Property': 'compound'}]",['active']
