sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,res_gpt4_0.0_V3_2,property_gpt4_0.0_V3_2
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the past tense, but the verb 'was' is in the present tense, emphasizing the immediacy of the verdict as well as its impact on the speaker."" 
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence uses the past tense 'was' to express something that already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of the past tense 'was' indicates that the action of 'told' already happened.""
}",['past'],0,"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the present tense, which is often used in news headlines for immediacy effect.""
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'was' indicates that the action has already happened, placing it in the past tense.""
}",['past'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of the present tense in the quote 'the verdict was “horrifying' emphasizes the immediacy and impact of the statement.""
}",['present'],0,['present'],1.0,0.0,,['past'],"[{'Answer': 'no', 'Explanation': 'The sentence Conservative Ben Shapiro told Fox news the verdict was “horrifying” does not contain the present tense. The verbs told and was are both in the past tense. Told is the past simple tense of tell, and was is the past simple tense of be. The sentence is reporting on something that happened in the past, not something occurring in the present.', 'Property': 'present'}, {'Answer': 'yes', 'Explanation': 'The sentence Conservative Ben Shapiro told Fox news the verdict was “horrifying” contains the past tense. The verb told is the past simple tense of tell, indicating an action that was completed in the past. Additionally, was is the past tense of the verb to be, used here to describe the state of the verdict as horrifying at a specific time in the past.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence Conservative Ben Shapiro told Fox news the verdict was “horrifying” does not contain a future tense. The verbs told and was are both in the past tense, indicating actions that have already occurred.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence Conservative Ben Shapiro told Fox news the verdict was “horrifying.” maintains a consistent past tense throughout. The verb told is in the simple past tense, and was is also in the past tense, indicating that the action of telling and the state of the verdict being horrifying both occurred in the past. There is no shift in tense for effect within the sentence.', 'Property': 'progression'}]",['past']
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the past tense 'described' and 'was told' to express actions that have already happened. It also uses the present tense 'could cause' to emphasize a potential action in the future.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe actions that have already taken place, such as 'he was told' and 'could cause.'""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The sentence contains the use of the past tense ('was told') to indicate that the action of being told by the authorities occurred in the past. It also includes the present tense ('could cause') to emphasize the potential immediate impact of his speaking at Hyde Park.""
}","['present', 'past']",0,"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of the actions, and the past tense in 'was told' to indicate that the action already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense 'described' for immediacy effect and the past tense 'was told' to express something that already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of Sellner's actions, and the past tense in 'was told' to indicate that this action already happened.""
}","['present', 'past']",1,"['present', 'past']",1.0,0.0,GPT misinterprets the definition,['past'],"[{'Answer': 'no', 'Explanation': 'The sentence provided is in the past tense. The verbs described and was told are in the past tense, indicating that the actions took place in the past. The sentence does not contain a present tense verb expressing something happening right now.', 'Property': 'present'}, {'Answer': 'yes', 'Explanation': 'The sentence contains the past tense in the form of the verb said and was told. Said is the simple past tense of the verb say, and was told is the past passive form of tell. Both verbs are used to express actions that have already happened, which is consistent with the definition of the past tense.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence provided is reported speech relaying past events and does not contain a future tense verb. The verbs described and said are in the past tense, indicating actions that have already occurred. The sentence is reporting on what Sellner said in the past about what he was told by authorities, not about something that is yet to happen.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence provided maintains a consistent past tense throughout. The subject Sellner is described as having described the detention centre in the past and said he was told by authorities in the past as well. There is no shift in tense for effect; the entire sentence is reported in the past tense, reflecting the reported speech and events consistently.', 'Property': 'progression'}]",['past']
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Tense,['present'],['present'],['present'],True,[],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense ('have read', 'find mention', 'exposition', 'find mention') to indicate that these actions have already occurred.""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The use of 'have read', 'find mention', and 'only find' indicate the presence of both present and past tense in the text.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of past tense 'have read' and 'find mention' indicates that the actions have already happened.""
}",['past'],0,"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'find' and 'mention' indicates that the text is discussing something that has already happened, so the past tense is used.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'find' and 'mention' indicate that the text is discussing something that has already happened, hence the use of the past tense.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'find' and 'mention' indicates that the text is discussing something that has already happened, hence the use of the past tense.""
}",['past'],1,['past'],0.0,0.0,GPT misinterprets the definition,"['present', 'past']","[{'Answer': 'no', 'Explanation': 'The sentence I have read the Cardinals exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases does not contain the present tense. The phrase I have read is in the present perfect tense, which is used to describe an action that was completed at some point in the past but is relevant to the present. The phrase I only find mention of could be interpreted as present tense, but in the context of this sentence, it is more likely to be a stylistic choice to express a result or conclusion derived from the action of having read the exposition, which aligns with the present perfect tense of the first part of the sentence.', 'Property': 'present'}, {'Answer': 'yes', 'Explanation': 'The sentence contains the present perfect tense, which is a form of the past tense. The present perfect is formed with the auxiliary verb have and the past participle of the main verb, which in this case is read. The present perfect tense is used to describe actions that occurred at an unspecified time in the past or actions that started in the past and continue to the present. In the sentence provided, I have read indicates that the reading happened at some unspecified time before now.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence provided is in the present perfect tense (I have read), which is used to describe an action that was completed at some point in the past but is relevant to the present. It does not express an action that has yet to happen, which would be required for it to be in the future tense.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence I have read the Cardinals exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases. does not contain a progression of tense. The sentence maintains a consistent tense throughout. The first part of the sentence I have read the Cardinals exposition in both Italian and English is in the present perfect tense, indicating an action that has been completed at some point in the past with relevance to the present. The second part and I only find mention of the help of the sacraments in certain cases is in the simple present tense, which is often used to describe habitual actions or general truths. The use of the present perfect and simple present tenses together in this sentence is grammatically correct and does not constitute a tense progression for effect.', 'Property': 'progression'}]",['past']
80,[1],"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Tense,['present'],['present'],['present'],True,[],"{
  ""Properties"": [""present"", ""future""],
  ""Explanation"": ""The use of 'is' in 'before this crisis gets any more out-of-control than it already is' signifies present tense, and 'should also be considered' suggests a future action.""
}","['present', 'future']","{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'should... be considered' and 'before this crisis gets' indicate the use of future tense to express something that has yet to happen.""
}",['future'],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'should' and 'before' indicate a future action or possibility.""
}",['future'],0,"{
  ""Properties"": [""present"", ""future""],
  ""Explanation"": ""The use of 'is' in 'than it already is' indicates present tense, while 'should also be considered' and 'gets' indicate future tense.""
}","['present', 'future']","{
  ""Properties"": [""present"", ""future""],
  ""Explanation"": ""The use of 'is' in 'before this crisis gets any more out-of-control than it already is' indicates present tense, while 'should also be considered' indicates future tense.""
}","['present', 'future']","{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'should also be considered' and 'before this crisis gets' indicates a future tense, expressing something that has yet to happen.""
}",['future'],0,"['present', 'future']",1.0,0.0,,['present'],"[{'Answer': 'yes', 'Explanation': 'The sentence in question contains several verbs in the present tense. The phrase this is uses the present tense of the verb to be, indicating something that is currently the case. Additionally, gets is the present tense form of the verb to get, suggesting a continuing action or a state that is currently in progress. Despite the sentence discussing a hypothetical situation, the verbs is and gets are grammatically in the present tense.', 'Property': 'present'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a verb in the past tense. The verbs used are is (present tense), should be considered (present conditional), and gets (present tense). The sentence discusses a situation in the present and a hypothetical action that should be considered, not an action that has already occurred.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a future tense verb. The verbs is (in this is an unprecedented moment) and gets (in before this crisis gets any more out-of-control) are in the present tense. The sentence discusses a possibility in the present or near future, but it does not use the grammatical future tense to do so.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence provided maintains a consistent tense throughout. It uses the present tense (is, should also be considered, gets) to discuss the current situation and the actions that might be taken in response to it. There is no shift in tense for effect, or progression as defined in the context provided.', 'Property': 'progression'}]",['present']
117,[ 1 12],"And so Chris Bryant, “a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’, a senior Labour MP has said.”",Tense,['present'],['present'],['present'],True,[],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of present tense ('has written', 'is condoning', 'has said') provides immediacy and emphasizes the actions being taken, while the progression of tenses from 'has written' to 'has said' in the same sentence is used for a rhetorical effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'has written' and 'urging' indicates the present tense, creating immediacy. Additionally, the shift from 'has written' to 'has said' in the same sentence creates a tense progression for effect.""
}","['present', 'progression']","{
  ""Properties"": [
    ""present""
  ],
  ""Explanation"": ""The use of 'has written', 'urging', and 'has said' indicates the use of present tense for immediacy and emphasis.""
}",['present'],0,"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'has written' and 'urging' indicates the present tense, which is often used in news for immediacy effect. Additionally, the change from 'has written' to 'has said' in the middle of the sentence creates a progression effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'has written', 'urging', and 'has said' indicates the use of present tense for immediacy effect. Additionally, the change from 'has written' (present perfect) to 'has said' (present perfect) in the middle of the sentence creates a progression for rhetorical effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'has written' and 'urging' indicates the present tense, while the shift from 'has written' to 'has said' creates a tense progression for effect.""
}","['present', 'progression']",1,"['present', 'progression']",0.0,0.0,,"['present', 'past']","[{'Answer': 'yes', 'Explanation': 'The sentence contains present perfect tense, which is a form of the present tense. The phrase has written is in the present perfect tense, indicating an action that was completed at some point in the past but is relevant to the present moment. Present perfect is used to link past actions or states to the present. The sentence also contains simple present tense in the phrase is condoning and is not conducive, which describe the current state of affairs according to the speakers viewpoint.', 'Property': 'present'}, {'Answer': 'yes', 'Explanation': 'The sentence contains the past tense in the segment a senior Labour MP has said. The phrase has said is in the present perfect tense, which is a form of the past tense that indicates an action that has been completed at some point in the past but is relevant to the present.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a future tense verb. The verbs has written and is condoning are in the present perfect and present continuous tenses, respectively. The sentence discusses actions that have already taken place (Chris Bryant writing to May) and a current state (Donald Trump condoning fascism). There is no verb construction that indicates an action that will occur in the future.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a progression of tense. The sentence maintains a consistent past tense narrative throughout. The phrase has written is in the present perfect tense, which is used to describe an action that occurred at an unspecified time in the past and is relevant to the present. The phrase a senior Labour MP has said at the end of the sentence is also in the present perfect tense, maintaining consistency with the earlier part of the sentence. There is no shift in tense for effect; the sentence remains in the same tense throughout.', 'Property': 'progression'}]","['present', 'past']"
249,[2],"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.",Tense,['present'],['present'],['present'],True,[],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The sentence begins with 'claims are', using present tense for immediacy effect. Then it switches to past tense with 'important to remember' and 'after virtually every terror attack', creating a progression in tense for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'are intriguing', 'is important', and 'remember' indicate the present tense, while 'would be capable' and 'outright denying' create a progression by changing the tense in the middle of the sentence for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense in 'are intriguing', 'is important', and 'remember' for immediacy and emphasis. It also switches from present tense to past tense in 'express shock' and 'would be capable' for a progression effect.""
}","['present', 'progression']",1,"{
  ""Properties"": [""present"", ""progression""]
}

 	","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense to emphasize the ongoing nature of the situation, and it also employs tense progression by switching from present to past tense in the middle of the sentence for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense to emphasize the ongoing nature of the situation, and also switches to the present tense in the middle of the sentence ('express' and 'deny') for effect.""
}","['present', 'progression']",1,"['present', 'progression']",1.0,0.0,,['present'],"[{'Answer': 'yes', 'Explanation': 'The sentence contains present tense verbs. The phrase the claims are intriguing uses the present tense are to describe the current state of the claims. Additionally, friends and neighbors express shock and some outright denying it use the present tense forms express and denying to describe actions that typically occur in the present whenever a terror attack or mass shooting happens.', 'Property': 'present'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any verbs in the past tense. The verbs used are are (present tense), is (present tense), express (present tense), and denying (present participle used in the present tense). The sentence discusses a general, recurring situation in the present tense, not an event that has already happened.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a future tense verb. The verbs used (are, is, express, would be, denying) are in the present and conditional forms, respectively. The sentence discusses general habitual actions and states in the present, with would be expressing a conditional mood rather than a future tense.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence provided maintains a consistent tense throughout. It uses the present tense (the claims are intriguing, it is important to remember, friends and neighbors express shock, the culprit would be capable, some outright denying it to be possible). There is no shift in tense for effect, or at any point in the sentence, therefore it does not contain progression tense.', 'Property': 'progression'}]",['present']
263,[3],"While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers.",Tense,"['past', 'present']","['past', 'present']","['past', 'present']",True,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'pardons' and 'locks up' in the same sentence creates a contrast by using different tenses to highlight the actions of the two presidents. The present tense is used to emphasize the immediacy and current relevance of the actions being described.""
}",['present'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The statement uses present tense to describe the current actions of Trump and past tense to describe the actions of Obama, indicating a shift in perspective between the two administrations.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses both present tense ('pardons', 'locks up') and past tense ('pardoned', 'locked up') to compare the actions of Obama and Trump, highlighting the contrast between their approaches.""
}","['present', 'past']",0,"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The sentence uses both present tense ('pardons', 'locks up') and past tense ('pardoned', 'locked up') to contrast the actions of Obama and Trump, indicating a mix of present and past actions.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The sentence uses both present and past tense to compare the actions of Obama and Trump, indicating a shift in actions over time.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The sentence uses both present and past tense to compare the actions of Obama and Trump, emphasizing the contrast between their actions.""
}","['present', 'past']",1,"['present', 'past']",1.0,1.0,,"['past', 'present']","[{'Answer': 'yes', 'Explanation': 'The sentence While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers. contains both past and present tenses. The verbs pardoned and locked up are in the past tense, referring to actions that were completed in the past. However, the verbs pardons and locks up are in the present tense, indicating actions that are currently taking place or general truths. Therefore, the sentence does contain present tense verbs.', 'Property': 'present'}, {'Answer': 'yes', 'Explanation': 'The sentence contains instances of both past and present tense. The phrase Obama pardoned drug dealers and locked up ranchers is in the past tense, indicating actions that were completed in the past. The verbs pardoned and locked are in the simple past tense. On the other hand, Trump pardons ranchers and locks up drug dealers is in the present tense, indicating ongoing or habitual actions. However, since the question specifically asks if the sentence contains past tense, the presence of the past tense verbs pardoned and locked confirms that the sentence does contain past tense.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a future tense verb. The verbs pardoned and locked up are in the past tense, indicating actions that have already happened. Similarly, pardons and locks up are in the present tense, indicating actions that are currently happening or general truths. There is no verb in the sentence that indicates an action that will happen in the future.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers. does not contain a progression of tense. The sentence contrasts the actions of two different subjects (Obama and Trump) in different time frames using two different tenses (past for Obama and present for Trump). This is not an example of progression tense, which would involve a change in tense within a single clause for effect. Instead, this sentence uses parallel structure to compare and contrast actions taken by two different subjects in their respective time frames.', 'Property': 'progression'}]","['present', 'past']"
387,[4],"On the one hand, it could refuse to grant Trump what he wanted and let the records be released, which it knew would point to the CIA’s guilt in the assassination.",Tense,['past'],['past'],['past'],True,['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example uses the past tense 'refuse' and 'let' to express actions that have already happened.""
}",['past'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'could refuse' (present tense) and 'let' (infinitive form) for the immediate effect and to emphasize potential actions. Also, the changing tense in the middle of the sentence ('could refuse' to 'let') creates a progression for rhetorical effect.""
}","['present', 'progression']","{
  ""Properties"": [
    ""past"",
    ""progression""
  ],
  ""Explanation"": ""The use of 'could' indicates a past possibility, and the shift from 'could' to 'knew' in the same sentence demonstrates tense progression for rhetorical effect.""
}","['past', 'progression']",0,"{
  ""Properties"": [""past"", ""progression""],
  ""Explanation"": ""The text uses the past tense 'refused' to express something that already happened, and then changes to the present tense 'let' for effect, creating a sense of progression.""
}","['past', 'progression']","{
  ""Properties"": [""past"", ""progression""],
  ""Explanation"": ""The sentence uses the past tense 'refused' and 'let' to express actions that have already happened. Additionally, it changes tense in the middle of the sentence from 'could refuse' (past) to 'would point' (future) for effect.""
}","['past', 'progression']","{
  ""Properties"": [""past"", ""progression""],
  ""Explanation"": ""The text uses the past tense 'refused' and 'released' to indicate actions that have already happened. Additionally, it switches to the past tense 'pointed' in the middle of the sentence for effect, creating a sense of progression.""
}","['past', 'progression']",1,"['past', 'progression']",1.0,0.0,,['past'],"[{'Answer': 'no', 'Explanation': 'The sentence provided is in the past conditional tense, not the present tense. It describes a hypothetical situation in the past using could refuse and would point, which are not present tense forms. Present tense would be refuses and points to describe actions taking place in the current moment.', 'Property': 'present'}, {'Answer': 'yes', 'Explanation': 'The sentence contains the past tense form knew, which is the past simple of the verb know. This indicates that the action of knowing occurred in the past, which aligns with the definition of past tense as expressing something that already happened.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a future tense verb. The sentence is written in the conditional mood, which discusses hypothetical situations and their consequences. The verbs could refuse and knew are in the past tense, indicating actions considered in the past, not the future.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence provided maintains a consistent tense throughout. It uses the conditional could to describe a hypothetical situation in the past, and the rest of the sentence follows suit with past tense verbs (wanted, knew). There is no shift in tense for effect, so this sentence does not contain tense progression.', 'Property': 'progression'}]",['past']
405,[5 4 8 8 9],"So, according to Faggioli, the same Pope who sacks conservative bishops and cardinals according to his pleasure and has just removed a cardinal from the College of Cardinals in an unprecedented disciplinary act under fire from the media, is somehow powerless to dismiss Modernist bishops who have created an obscene “gay culture” in the Church and replace them with orthodox, normal heterosexual males.",Tense,['present'],['present'],['present'],True,"['past', 'present']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The example uses the past tense to describe actions that have already occurred, such as 'sacks', 'has just removed', and 'have created'.""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses present tense 'sacks', 'has just removed' for immediacy effect and past tense 'removed' for expressing something that already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense to emphasize the actions of the Pope, and there is a change in tense from past to present for rhetorical effect.""
}","['present', 'progression']",0,"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense to describe ongoing actions ('sacks', 'has just removed') and the past tense to describe actions that have already happened ('removed', 'created').""
}","['present', 'past']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense to emphasize the ongoing actions and situations, and also switches to the past tense ('has just removed') in the middle of the sentence for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of present tense in 'sacks', 'has just removed' and 'is' creates immediacy and emphasizes the ongoing nature of the actions. Additionally, the change from past tense 'removed' to present tense 'is' in the middle of the sentence creates a progression effect for rhetorical emphasis.""
}","['present', 'progression']",0,"['present', 'progression']",0.0,0.0,,"['past', 'present']","[{'Answer': 'yes', 'Explanation': 'The sentence in question does contain present tense. The phrase is somehow powerless to dismiss employs the present tense of the verb to be (is) to describe the current state or condition of the Pope. The present tense is used here to express a general truth or a state of being in the present.', 'Property': 'present'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a verb in the past tense. All the verbs are in the present tense (sacks, has just removed, is) or present perfect tense (have created). The past tense would involve verbs that indicate actions completed in the past, such as sacked or removed. The sentence discusses actions in a present or ongoing context, not actions that have been completed in the past.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a future tense verb form. It discusses actions that have already occurred, such as the Pope who sacks conservative bishops and cardinals and has just removed a cardinal from the College of Cardinals. The sentence is written in the present perfect tense (has just removed) and simple present tense (sacks). The sentence also contains a present tense hypothetical statement (is somehow powerless to dismiss), but there is no verb construction that indicates a future action.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a progression of tense. The sentence maintains a consistent tense throughout. It uses the present perfect tense (has just removed) and the simple present tense (is somehow powerless, have created) to describe ongoing or habitual actions. There is no shift in tense for effect within the sentence; it maintains the present tense to discuss current actions and situations.', 'Property': 'progression'}]",['present']
514,[5 7],"Instead of preaching out against sin, they advocate for that which God clearly condemns, thereby making war against God (Micah 3:5), which at length destroys our government, our country and our families.",Tense,['present'],['present'],['present'],True,"['past', 'present']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advocate' and 'condemns' in the present tense emphasizes the ongoing nature of the action. Additionally, the switch from 'advocate' to 'condemns' in the middle of the sentence creates a tense progression for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression"", ""future""],
  ""Explanation"": ""The passage uses the present tense ('advocate', 'condemns') for immediacy effect and uses a change in tense from present to future ('destroys') for progression and effect.""
}","['present', 'progression', 'future']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advocate' and 'destroys' in the same sentence creates a progression in tense, with 'advocate' in present tense and 'destroys' in future tense.""
}","['present', 'progression']",0,"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advocate' and 'condemns' in the present tense creates immediacy and emphasis. The change in tense from 'advocate' to 'condemns' in the middle of the sentence adds a progression effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advocate' and 'condemns' in the present tense emphasizes the ongoing nature of the action. Additionally, the shift from 'advocate' (present) to 'destroys' (future) creates a sense of progression in the sentence.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'preaching' and 'advocate' in the present tense emphasizes the ongoing nature of the actions. Additionally, the change from 'preaching' (past tense) to 'advocate' (present tense) in the middle of the sentence creates a sense of progression.""
}","['present', 'progression']",1,"['present', 'progression']",1.0,0.0,,['present'],"[{'Answer': 'yes', 'Explanation': 'The sentence contains the present tense in the form of advocate and destroys. Advocate is a present tense verb referring to a current action or state of advocating. Similarly, destroys is a present tense verb that, despite its future implication, grammatically indicates an action that is currently ongoing or a general truth.', 'Property': 'present'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a verb in the past tense. The verbs preach, advocate, condemns, making, destroys are all in the present tense. The phrase which at length destroys uses the present tense destroys to indicate a general truth or a habitual action, not an action that has already happened.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a future tense verb form. It uses present tense (preach, advocate, makes) and present participle (destroying) to describe actions. The sentence discusses actions in the present or general truths rather than something that will happen in the future.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence provided maintains a consistent tense throughout. It uses the present tense (they advocate, making war) to describe current actions or states and then shifts to a future consequence (which at length destroys) which is a natural and grammatically correct progression of time within the context of the sentence. There is no inappropriate or stylistic change in tense within a single thought or clause that would constitute progression as defined in the context of changing tense for effect.', 'Property': 'progression'}]",['present']
