sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,property_FT_Maj_gpt-4o-mini,res_FT_Maj_gpt-4o-mini_0.0_V4,property_FT_Maj_gpt-4o-mini_0.0_V4
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example does not include any clear use of antithesis, antimetabole, definition as figure, induction, or eduction. However, it does demonstrate strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict in conservative Ben Shapiro's statement.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The sentence contains strategic repetition of the word 'horrifying', emphasizing the intensity of Ben Shapiro's reaction to the verdict.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the adjective 'horrifying' is strategically repeated to emphasize the intensity of the speaker's reaction to the verdict.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'horrifying' in juxtaposition with the conservative viewpoint of Ben Shapiro creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the word 'horrifying' is strategically repeated for emphasis and to convey a strong negative sentiment.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties of Figures of argument. However, it does contain strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict."" 
}",['strategic_repetition'],0,['strategic_repetition'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],strategic repetition,"{""Answer"": ""no"", ""Explanation"": ""The sentence does not contain any repetition of clauses or phrases. It is a single statement expressing an opinion and does not demonstrate the use of strategic repetition as defined.""}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example does not include any clear use of antithesis, antimetabole, definition as figure, induction, or eduction. However, it does demonstrate strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict in conservative Ben Shapiro's statement.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The sentence contains strategic repetition of the word 'horrifying', emphasizing the intensity of Ben Shapiro's reaction to the verdict.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the adjective 'horrifying' is strategically repeated to emphasize the intensity of the speaker's reaction to the verdict.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'horrifying' in juxtaposition with the conservative viewpoint of Ben Shapiro creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the word 'horrifying' is strategically repeated for emphasis and to convey a strong negative sentiment.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties of Figures of argument. However, it does contain strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict."" 
}",['strategic_repetition'],0,['strategic_repetition'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],antithesis,"{""Answer"": ""no"", ""Explanation"": ""The sentence does not contain any contrasting ideas or opposites. It simply states a viewpoint without comparing or contrasting different concepts.""}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example does not include any clear use of antithesis, antimetabole, definition as figure, induction, or eduction. However, it does demonstrate strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict in conservative Ben Shapiro's statement.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The sentence contains strategic repetition of the word 'horrifying', emphasizing the intensity of Ben Shapiro's reaction to the verdict.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the adjective 'horrifying' is strategically repeated to emphasize the intensity of the speaker's reaction to the verdict.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'horrifying' in juxtaposition with the conservative viewpoint of Ben Shapiro creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the word 'horrifying' is strategically repeated for emphasis and to convey a strong negative sentiment.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties of Figures of argument. However, it does contain strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict."" 
}",['strategic_repetition'],0,['strategic_repetition'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],antimetabole,"{""Answer"": ""no"", ""Explanation"": ""The sentence provided does not contain a transposition of arguments or phrases in the form of antimetabole. Antimetabole involves reversing the order of words or phrases in a specific structure, which is not present in the given sentence.""}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example does not include any clear use of antithesis, antimetabole, definition as figure, induction, or eduction. However, it does demonstrate strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict in conservative Ben Shapiro's statement.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The sentence contains strategic repetition of the word 'horrifying', emphasizing the intensity of Ben Shapiro's reaction to the verdict.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the adjective 'horrifying' is strategically repeated to emphasize the intensity of the speaker's reaction to the verdict.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'horrifying' in juxtaposition with the conservative viewpoint of Ben Shapiro creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the word 'horrifying' is strategically repeated for emphasis and to convey a strong negative sentiment.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties of Figures of argument. However, it does contain strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict."" 
}",['strategic_repetition'],0,['strategic_repetition'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],defintion as figure,"{""Answer"": ""no"", ""Explanation"": ""The sentence provided does not contain a definition as figure. It is a statement expressing an opinion about a verdict and does not define or explain any concept or term.""}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example does not include any clear use of antithesis, antimetabole, definition as figure, induction, or eduction. However, it does demonstrate strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict in conservative Ben Shapiro's statement.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The sentence contains strategic repetition of the word 'horrifying', emphasizing the intensity of Ben Shapiro's reaction to the verdict.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the adjective 'horrifying' is strategically repeated to emphasize the intensity of the speaker's reaction to the verdict.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'horrifying' in juxtaposition with the conservative viewpoint of Ben Shapiro creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the word 'horrifying' is strategically repeated for emphasis and to convey a strong negative sentiment.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties of Figures of argument. However, it does contain strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict."" 
}",['strategic_repetition'],0,['strategic_repetition'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],induction,"{""Answer"": ""no"", ""Explanation"": ""The sentence provided does not demonstrate or contain induction. Induction involves drawing a general conclusion from specific instances or evidence, which is not present in the statement made by Ben Shapiro. The sentence is simply a quote expressing an opinion about a verdict.""}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example does not include any clear use of antithesis, antimetabole, definition as figure, induction, or eduction. However, it does demonstrate strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict in conservative Ben Shapiro's statement.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The sentence contains strategic repetition of the word 'horrifying', emphasizing the intensity of Ben Shapiro's reaction to the verdict.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the adjective 'horrifying' is strategically repeated to emphasize the intensity of the speaker's reaction to the verdict.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'horrifying' in juxtaposition with the conservative viewpoint of Ben Shapiro creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the word 'horrifying' is strategically repeated for emphasis and to convey a strong negative sentiment.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties of Figures of argument. However, it does contain strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict."" 
}",['strategic_repetition'],0,['strategic_repetition'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],abduction,"{""Answer"": ""no"", ""Explanation"": ""The sentence provided does not demonstrate or contain abduction, which involves making an inference based on examples or patterns. The statement from Ben Shapiro is an opinion about a verdict and does not involve reasoning or drawing conclusions from a set of examples.""}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example does not include any clear use of antithesis, antimetabole, definition as figure, induction, or eduction. However, it does demonstrate strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict in conservative Ben Shapiro's statement.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The sentence contains strategic repetition of the word 'horrifying', emphasizing the intensity of Ben Shapiro's reaction to the verdict.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the adjective 'horrifying' is strategically repeated to emphasize the intensity of the speaker's reaction to the verdict.""
}",['strategic_repetition'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'horrifying' in juxtaposition with the conservative viewpoint of Ben Shapiro creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the word 'horrifying' is strategically repeated for emphasis and to convey a strong negative sentiment.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties of Figures of argument. However, it does contain strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict."" 
}",['strategic_repetition'],0,['strategic_repetition'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],deduction,"{""Answer"": ""no"", ""Explanation"": ""The sentence does not contain any logical reasoning or inference from general principles to specific conclusions. It simply states an opinion about a verdict without any supporting reasoning or context that would qualify as deduction.""}",[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by juxtaposing the idea of 'totally taken to heart' with 'those responsible in the Church', creating a contrast between the actions and the recipients of those actions.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement contains an antithesis, as it presents an argument from opposites - the declarations made by Archbishop Viganò must be totally taken to heart by those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The property of strategic repetition is used in the statement with the repetition of the phrase 'must be totally taken to heart'.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting the authority of Archbishop Carlo Maria Viganò with those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting the authority of Archbishop Carlo Maria Viganò with those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The statement provides a clear and succinct definition of the authority and importance of Archbishop Carlo Maria Viganò's declarations within the Church.""
}",['defintion_as_figure'],0,['antithesis'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],strategic repetition,"{""Answer"": ""no"", ""Explanation"": ""The sentence does not contain any repetition of clauses or phrases. It is a single statement without any repeated elements, which is necessary for it to qualify as strategic repetition.""}",[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by juxtaposing the idea of 'totally taken to heart' with 'those responsible in the Church', creating a contrast between the actions and the recipients of those actions.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement contains an antithesis, as it presents an argument from opposites - the declarations made by Archbishop Viganò must be totally taken to heart by those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The property of strategic repetition is used in the statement with the repetition of the phrase 'must be totally taken to heart'.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting the authority of Archbishop Carlo Maria Viganò with those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting the authority of Archbishop Carlo Maria Viganò with those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The statement provides a clear and succinct definition of the authority and importance of Archbishop Carlo Maria Viganò's declarations within the Church.""
}",['defintion_as_figure'],0,['antithesis'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],antithesis,"{""Answer"": ""no"", ""Explanation"": ""The sentence does not contain any contrasting ideas or opposites. It is a straightforward statement about taking a prelate's declarations seriously, without any comparison or contrast between opposing concepts.""}",[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Figures_of_argument,[],[],[],True,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by juxtaposing the idea of 'totally taken to heart' with 'those responsible in the Church', creating a contrast between the actions and the recipients of those actions.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement contains an antithesis, as it presents an argument from opposites - the declarations made by Archbishop Viganò must be totally taken to heart by those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The property of strategic repetition is used in the statement with the repetition of the phrase 'must be totally taken to heart'.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting the authority of Archbishop Carlo Maria Viganò with those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting the authority of Archbishop Carlo Maria Viganò with those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The statement provides a clear and succinct definition of the authority and importance of Archbishop Carlo Maria Viganò's declarations within the Church.""
}",['defintion_as_figure'],0,['antithesis'],1.0,0.0,GPT is misinterpreting the property. Using it out of context of grammar.,[],antimetabole,"{""Answer"": ""no"", ""Explanation"": ""The sentence provided does not demonstrate or contain antimetabole, which is a rhetorical device involving the repetition of a phrase in reverse order. The sentence is a straightforward statement without any such reversal or transposition of phrases.""}",[]
