sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,res_FT_Maj_gpt-4o-mini_0.0_V4,property_FT_Maj_gpt-4o-mini_0.0_V4
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity']",True,[],"{
  ""Properties"": [""correctness"", ""clarity"", ""maxims/proverbs"", ""allusions""],
  ""Explanation"": ""The text is well-formed grammatically and understandable to the intended audience. It also contains a maxim or proverb ('the tradition of the Muslim doctors') and an allusion to historical and cultural knowledge (Temur's conquests) which requires understanding of the context.""
}","['correctness', 'clarity', 'maxims/proverbs', 'allusions']","{
  ""Properties"": [""allusions""],
  ""Explanation"": ""The text makes an allusion to 'the tradition of the Muslim doctors' without explicitly naming the other context, requiring cultural knowledge to understand the reference.""
}",['allusions'],"{
  ""Properties"": [""allusions"", ""high""],
  ""Explanation"": ""The text makes an allusion to the tradition of the Muslim doctors, which requires cultural and historical knowledge to understand. Additionally, the language used is formal and grand, typical of historical or scholarly texts.""
}","['allusions', 'high']",False,"{
  ""Properties"": [""allusions""],
  ""Explanation"": ""The text makes an allusion to the tradition of the Muslim doctors and the actions of Temur, requiring cultural knowledge to fully understand the reference.""
}",['allusions'],"{
  ""Properties"": [""allusions""],
  ""Explanation"": ""The text makes an allusion to the tradition of the Muslim doctors and the actions of Temur, requiring cultural knowledge to fully understand the reference.""
}",['allusions'],"{
  ""Properties"": [""allusions""],
  ""Explanation"": ""The text makes an allusion to the tradition of the Muslim doctors and the actions of Temur, requiring cultural knowledge to fully understand the reference.""
}",['allusions'],1,['allusions'],0,0.0,,"['correctness', 'clarity','middle']","[{'Answer': 'yes', 'Explanation': ' Muhammad advises…the greatness of his conquests.” fulfills grammatical rules.', 'Property': 'correctness'}, {'Answer': 'yes', 'Explanation': ' understood.', 'Property': 'clarity'}, {'Answer': 'no', 'Explanation': ' forcefulness involves memorable or striking expressions that reinforce the message. The sentence describes historical events and actions without expressing them in a memorable or striking way.', 'Property': 'forcefulness'}, {'Answer': 'no', 'Property': 'low'}, {'Answer': 'yes', 'Explanation': ' understood.', 'Property': 'middle'}, {'Answer': 'yes', 'Property': 'high'}, {'Answer': 'no', 'Property': 'dialects/registers'}, {'Answer': 'no', 'Property': 'register shift'}, {'Answer': 'no', 'Property': 'cliches/idioms'}, {'Answer': 'no', 'Property': 'maxims/proverbs'}, {'Answer': 'no', 'Property': 'allusions'}]","['correctness', 'clarity', 'middle', 'high']"
300,[3],"You do not like to beat around the bush, and neither do we, so allow us to say frankly that we do not understand your teaching about Islam, as we read in paragraphs 252 and 253 of Evangelii Gaudium, because it does not account for the fact that Islam came AFTER Christ, and so is, and can only be, an Antichrist (see 1 Jn 2.22), and one of the most dangerous because it presents itself as the fulfillment of Revelation (of which Jesus would have been only a prophet).",Language_varieties,"['correctness', 'clarity', 'forcefulness', 'appropriateness']","['middle', 'correctness', 'clarity', 'forcefulness', 'maxims/proverbs']","['middle', 'correctness', 'allusions', 'clarity', 'appropriateness']",False,"['middle', 'correctness', 'allusions', 'clarity', 'appropriateness', 'forcefulness']","{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness""],
  ""Explanation"": ""The text displays correctness in grammar and punctuation, it is clear and understandable to the intended audience, but it also reflects a specific cultural and religious perspective, which may be considered appropriate or inappropriate depending on the audience's beliefs and norms.""
}","['correctness', 'clarity', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness""],
  ""Explanation"": ""The text demonstrates correctness by using well-formed grammatical structures. It also maintains clarity by being understandable to the intended audience. Additionally, it exhibits appropriateness by adhering to cultural norms of propriety despite discussing a potentially sensitive topic."" 
}","['correctness', 'clarity', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness""],
  ""Explanation"": ""The text demonstrates correctness by being well-formed grammatically. It also exhibits clarity by being understandable to the intended audience. Additionally, it shows appropriateness by adhering to cultural norms of propriety in the context of discussing religious beliefs."" 
}","['correctness', 'clarity', 'appropriateness']",True,"{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear in expressing the writer's opinion, but it may not be appropriate in all contexts due to its controversial and potentially offensive nature.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness""],
  ""Explanation"": ""The text demonstrates correctness by using well-formed grammatical structures. It also exhibits clarity by being understandable to the intended audience. Additionally, the text shows appropriateness by adhering to cultural norms of propriety in the context of discussing religious beliefs."" 
}","['correctness', 'clarity', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness""],
  ""Explanation"": ""The text demonstrates correctness by using well-formed grammatical structures. It also exhibits clarity by being understandable to the intended audience. Additionally, it shows appropriateness by adhering to cultural norms of propriety in discussing religious beliefs."" 
}","['correctness', 'clarity', 'appropriateness']",0,,0,0.0,,"['middle', 'correctness', 'clarity', 'forcefulness', 'maxims/proverbs']","[{'Answer': 'yes', 'Property': 'correctness'}, {'Answer': 'yes', 'Property': 'clarity'}, {'Answer': 'yes', 'Property': 'forcefulness'}, {'Answer': 'no', 'Property': 'low'}, {'Answer': 'yes', 'Explanation': ' understood.', 'Property': 'middle'}, {'Answer': 'no', 'Property': 'high'}, {'Answer': 'no', 'Property': 'dialects/registers'}, {'Answer': 'no', 'Property': 'register shift'}, {'Answer': 'no', 'Property': 'cliches/idioms'}, {'Answer': 'no', 'Property': 'maxims/proverbs'}, {'Answer': 'no', 'Property': 'allusions'}]","['correctness', 'clarity', 'forcefulness', 'middle']"
3795,[11],"The jury of six men and six women, including three immigrants, found the Mexican national not guilty of all murder and manslaughter charges and guilty only of felony possession of a firearm.",Language_varieties,"['correctness', 'clarity', 'middle']","['correctness', 'clarity', 'middle']","['correctness', 'clarity', 'middle']",True,"['correctness', 'clarity', 'middle']","{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness""]
}","['correctness', 'clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The sentence is clear and understandable to the intended audience, and it is appropriate in its cultural and societal context. It correctly conveys the legal outcome of the trial with precision and without any language that might be considered inappropriate."" 
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity""],
  ""Explanation"": ""The sentence is clear and easily understandable to the intended audience. There are no elements of informal or formal language, and it is well structured for readability.""
}",['clarity'],False,"{
  ""Properties"": [""appropriateness"", ""clarity""],
  ""Explanation"": ""The sentence is appropriate in its use of language for a news report, and it is clear and understandable to the intended audience.""
}","['appropriateness', 'clarity']","{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness""],
  ""Explanation"": ""The sentence is well-formed grammatically, clear and understandable to the intended audience, and appropriate in its use of language for a news report on a legal matter.""
}","['correctness', 'clarity', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness""]
}

 	","['correctness', 'clarity', 'appropriateness']",0,"['correctness', 'clarity', 'appropriateness']",1,0.0,,"['correctness', 'clarity','middle']","[{'Answer': 'yes', 'Explanation': 'yes, because  The jury of six men... is a well-formed sentence.', 'Property': 'correctness'}, {'Answer': 'yes', 'Property': 'clarity'}, {'Answer': 'no', 'Property': 'forcefulness'}, {'Answer': 'no', 'Property': 'low'}, {'Answer': 'yes', 'Explanation': ' understood.', 'Property': 'middle'}, {'Answer': 'no', 'Explanation': ' The bands song lyrics are written in a conversational style typical of spoken language rather than the formal or grand style associated with high language.', 'Property': 'high'}, {'Answer': 'no', 'Property': 'dialects/registers'}, {'Answer': 'no', 'Property': 'register shift'}, {'Answer': 'no', 'Property': 'cliches/idioms'}, {'Answer': 'no', 'Property': 'maxims/proverbs'}, {'Answer': 'no', 'Property': 'allusions'}]","['correctness', 'clarity', 'middle']"
3801,[11],"For their sake, let’s hope it works better than this year’s flu vaccine.",Language_varieties,"['correctness', 'clarity', 'middle']","['correctness', 'clarity', 'middle']","['correctness', 'clarity', 'middle']",True,"['correctness', 'clarity', 'middle', 'appropriateness']","{
  ""Properties"": [""clarity"", ""forcefulness"", ""allusions""]
}

  ","['clarity', 'forcefulness', 'allusions']","{
  ""Properties"": [""clarity"", ""forcefulness"", ""allusions""],
  ""Explanation"": ""The sentence is clear and understandable to the intended audience. It conveys a forceful and memorable expression through the allusion to the effectiveness of the flu vaccine, implying that the hope for something to work better is not very high.""
}","['clarity', 'forcefulness', 'allusions']","{
  ""Properties"": [""clarity"", ""forcefulness"", ""allusions""]
  ,
  ""Explanation"": ""The text is clear and understandable, using a forceful and memorable expression to convey the message effectively. The mention of 'this year’s flu vaccine' alludes to the idea of something not working effectively, creating an indirect reference for comparison.""
}","['clarity', 'forcefulness', 'allusions']",True,"{
  ""Properties"": [""clarity"", ""forcefulness"", ""allusions""]
}

 	","['clarity', 'forcefulness', 'allusions']","{
  ""Properties"": [""clarity"", ""forcefulness"", ""low""]
  ,
  ""Explanation"": ""The text is clear and understandable to the intended audience, uses informal language, and employs a forceful expression to convey a memorable message.""
}","['clarity', 'forcefulness', 'low']","{
  ""Properties"": [""clarity"", ""forcefulness"", ""allusions""]
}

 	","['clarity', 'forcefulness', 'allusions']",0,"['clarity', 'forcefulness', 'allusions']",0,0.0,,"['correctness', 'clarity','middle', 'forcefulness']","[{'Answer': 'yes', 'Property': 'correctness'}, {'Answer': 'yes', 'Explanation': ' understood.', 'Property': 'clarity'}, {'Answer': 'yes', 'Explanation': ' forcefulness involves expressing ideas in a way that is impactful or striking. The phrase ""let’s hope it works better than this year’s flu vaccine"" conveys a sense of urgency and concern about the effectiveness of the vaccine, making it memorable.', 'Property': 'forcefulness'}, {'Answer': 'no', 'Property': 'low'}, {'Answer': 'yes', 'Explanation': ' understood.', 'Property': 'middle'}, {'Answer': 'no', 'Property': 'high'}, {'Answer': 'no', 'Property': 'dialects/registers'}, {'Answer': 'no', 'Property': 'register shift'}, {'Answer': 'no', 'Property': 'cliches/idioms'}, {'Answer': 'no', 'Explanation': ' The sentence ""For their sake, let’s hope it works better than this year’s flu vaccine"" does not express common wisdom or moral lessons typical of maxims/proverbs.', 'Property': 'maxims/proverbs'}, {'Answer': 'no', 'Property': 'allusions'}]","['correctness', 'clarity', 'forcefulness', 'middle']"
3820,[ 1 12],"…Chris Bryant, a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is “not conducive to the public good”, a senior Labour MP has said.",Language_varieties,"['correctness', 'clarity', 'middle']","['correctness', 'clarity', 'middle']","['correctness', 'clarity', 'middle']",True,"['correctness', 'clarity', 'middle']","{
  ""Properties"": [""appropriateness"", ""forcefulness""],
  ""Explanation"": ""The use of language to urge for an official ban on Donald Trump from entering the UK due to his condoning fascism demonstrates forcefulness in conveying a strong and memorable message. Additionally, the language used is appropriate in the context of political discourse and aligns with cultural norms of propriety."" 
}","['appropriateness', 'forcefulness']","{
  ""Properties"": [""appropriateness"", ""clarity""],
  ""Explanation"": ""The text uses appropriate language for a news article and is clear in conveying the message to the intended audience.""
}","['appropriateness', 'clarity']","{
  ""Properties"": [""appropriateness"", ""forcefulness""],
  ""Explanation"": ""The text demonstrates appropriateness by adhering to the cultural norms of political expression, as well as forcefulness through the use of strong language to convey the urgency of the message.""
}","['appropriateness', 'forcefulness']",False,"{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it is appropriate in its use of language and tone for the context of political discourse.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it is appropriate in its use of language given the formal context of a political statement.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it adheres to the cultural norms of propriety by using formal language to discuss a serious political issue.""
}","['clarity', 'appropriateness']",1,"['clarity', 'appropriateness']",0,0.0,,"['correctness', 'clarity','middle', 'forcefulness']","[{'Answer': 'yes', 'Explanation': 'yes, because…the…).', 'Property': 'correctness'}, {'Answer': 'yes', 'Explanation': ' understood.', 'Property': 'clarity'}, {'Answer': 'no', 'Explanation': ' forcefulness involves expressing ideas in a way that is striking or memorable. The sentence describes a situation involving political actions and statements but lacks the qualities of forcefulness.', 'Property': 'forcefulness'}, {'Answer': 'no', 'Property': 'low'}, {'Answer': 'yes', 'Explanation': ' understood.', 'Property': 'middle'}, {'Answer': 'no', 'Property': 'high'}, {'Answer': 'no', 'Property': 'dialects/registers'}, {'Answer': 'no', 'Property': 'register shift'}, {'Answer': 'no', 'Property': 'cliches/idioms'}, {'Answer': 'no', 'Property': 'maxims/proverbs'}, {'Answer': 'no', 'Property': 'allusions'}]","['correctness', 'clarity', 'middle']"
3833,[ 9  8  8  5 12],"I never thought I’d see the day when a preening, Internet-created neo-Catholic doyenne such as Simcha Fisher, as notorious as Mark Shea for her crude and often unprintable invective against traditionalists, would unload on Pope Bergoglio with the following headline: “Does Francis know he sounds like an abuser?”",Language_varieties,"['correctness', 'clarity', 'forcefulness', 'middle']","['correctness', 'clarity', 'forcefulness', 'middle']","['correctness', 'clarity', 'forcefulness', 'middle']",True,"['correctness', 'high', 'middle']","{
  ""Properties"": [""clarity"", ""forcefulness"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, as it uses a forceful and striking expression to convey the message. Additionally, the language used is appropriate within the context of discussing a sensitive topic related to religion."" 
}","['clarity', 'forcefulness', 'appropriateness']","{
  ""Properties"": [""clarity"", ""forcefulness"", ""low""]
}

 	","['clarity', 'forcefulness', 'low']","{
  ""Properties"": [
    ""clarity"",
    ""forcefulness"",
    ""low""
  ],
  ""Explanation"": ""The text is low in style with informal and colloquial language, making it understandable to the intended audience and forceful in conveying a striking expression to reinforce the message.""
}","['clarity', 'forcefulness', 'low']",False,"{
  ""Properties"": [""clarity"", ""forcefulness"", ""appropriateness"", ""allusions""]
}","['clarity', 'forcefulness', 'appropriateness', 'allusions']","{
  ""Properties"": [""clarity"", ""forcefulness"", ""appropriateness"", ""allusions""]
}","['clarity', 'forcefulness', 'appropriateness', 'allusions']","{
  ""Properties"": [""clarity"", ""forcefulness"", ""appropriateness"", ""allusions""]
}

 	","['clarity', 'forcefulness', 'appropriateness', 'allusions']",1,"['clarity', 'forcefulness', 'appropriateness', 'allusions']",1,0.0,,"['correctness', 'clarity','middle', 'forcefulness']","[{'Answer': 'yes', 'Property': 'correctness'}, {'Answer': 'yes', 'Property': 'clarity'}, {'Answer': 'yes', 'Property': 'forcefulness'}, {'Answer': 'no', 'Property': 'low'}, {'Answer': 'yes', 'Property': 'middle'}, {'Answer': 'no', 'Property': 'high'}, {'Answer': 'no', 'Property': 'dialects/registers'}, {'Answer': 'no', 'Property': 'register shift'}, {'Answer': 'no', 'Property': 'cliches/idioms'}, {'Answer': 'no', 'Property': 'maxims/proverbs'}, {'Answer': 'no', 'Property': 'allusions'}]","['correctness', 'clarity', 'forcefulness', 'middle']"
3951,[ 8 13  8],"The Hammond case is viewed by many in the West, and indeed across the nation, as a manifest miscarriage of justice akin to double jeopardy.",Language_varieties,"['correctness', 'clarity', 'middle']","['correctness', 'clarity', 'middle']","['correctness', 'clarity', 'middle']",True,"['correctness', 'clarity', 'high', 'middle']","{
  ""Properties"": [""clarity"", ""allusions""],
  ""Explanation"": ""The text is clear and understandable to the intended audience. It also makes an allusion to the concept of 'double jeopardy' from legal terminology, requiring cultural knowledge to fully understand.""
}","['clarity', 'allusions']","{
  ""Properties"": [""clarity"", ""allusions""],
  ""Explanation"": ""The statement is clear and understandable to the intended audience. It also contains an allusion to the concept of 'double jeopardy', requiring cultural knowledge of the legal term.""
}","['clarity', 'allusions']","{
  ""Properties"": [""clarity"", ""allusions""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it makes an allusion to the concept of 'double jeopardy' without explicitly naming it, requiring cultural knowledge.""
}","['clarity', 'allusions']",True,"{
  ""Properties"": [""clarity"", ""allusions""]
}

 	","['clarity', 'allusions']","{
  ""Properties"": [""clarity"", ""forcefulness"", ""allusions""]
}

 	","['clarity', 'forcefulness', 'allusions']","{
  ""Properties"": [""clarity"", ""forcefulness"", ""allusions""]
}

 	","['clarity', 'forcefulness', 'allusions']",0,"['clarity', 'forcefulness', 'allusions']",1,0.0,,"['correctness', 'clarity','middle']","[{'Answer': 'yes', 'Explanation': 'yes, because  The Hammond case is viewed... is a well-formed sentence.', 'Property': 'correctness'}, {'Answer': 'yes', 'Property': 'clarity'}, {'Answer': 'yes', 'Explanation': ' forcefulness involves memorable or striking expressions that reinforce the message. The phrase ""manifest miscarriage of justice akin to double jeopardy"" conveys a strong sentiment about the injustice of the situation.', 'Property': 'forcefulness'}, {'Answer': 'no', 'Explanation': ' The bands song lyrics are typically written in standard language rather than informal or colloquial language.', 'Property': 'low'}, {'Answer': 'yes', 'Explanation': ' understood.', 'Property': 'middle'}, {'Answer': 'no', 'Property': 'high'}, {'Answer': 'no', 'Explanation': ' The sentence describes a situation involving justice and legal matters but uses standard language without any specific terms or jargon associated with particular regions or professions.', 'Property': 'dialects/registers'}, {'Answer': 'no', 'Property': 'register shift'}, {'Answer': 'no', 'Property': 'cliches/idioms'}, {'Answer': 'no', 'Property': 'maxims/proverbs'}, {'Answer': 'no', 'Property': 'allusions'}]","['correctness', 'clarity', 'forcefulness', 'middle']"
3966,[13],It did not allow Iranian parties to open accounts or correspondent accounts at US banks.,Language_varieties,"['correctness', 'clarity', 'middle']","['correctness', 'clarity', 'middle']","['correctness', 'clarity', 'middle']",True,"['correctness', 'clarity', 'middle']","{
  ""Properties"": [""appropriateness""],
  ""Explanation"": ""The use of 'Iranian parties' reflects cultural and political norms, as well as legal regulations regarding financial transactions involving Iran. This makes the language appropriate as it adheres to the sensitivities and propriety related to international relations and sanctions."" 
}",['appropriateness'],"{
  ""Properties"": [""appropriateness"", ""clarity""]
}","['appropriateness', 'clarity']","{
  ""Properties"": [
    ""appropriateness"",
    ""clarity""
  ],
  ""Explanation"": ""The text is appropriate as it conforms to the cultural norms and expectations regarding diplomatic and financial relations with Iran. It is also clear and understandable to the intended audience, conveying the restriction on Iranian parties opening accounts at US banks.""
}","['appropriateness', 'clarity']",False,"{
  ""Properties"": [""appropriateness""],
  ""Explanation"": ""The use of 'Iranian' reflects the cultural and political sensitivity around relations with Iran, making the language appropriate to the context of international relations and sanctions.""
}",['appropriateness'],"{
  ""Properties"": [""appropriateness"", ""clarity""],
  ""Explanation"": ""The sentence is appropriate in the context of discussing international banking regulations, and it is clear in its meaning for the intended audience.""
}","['appropriateness', 'clarity']","{
  ""Properties"": [""appropriateness"", ""clarity""]
  ,
  ""Explanation"": ""The text is appropriate as it adheres to the cultural and legal norms regarding international banking sanctions. It is also clear and understandable to the intended audience.""
}","['appropriateness', 'clarity']",0,"['appropriateness', 'clarity']",1,0.0,,"['correctness', 'clarity','middle']","[{'Answer': 'yes', 'Property': 'correctness'}, {'Answer': 'yes', 'Property': 'clarity'}, {'Answer': 'no', 'Property': 'forcefulness'}, {'Answer': 'no', 'Property': 'low'}, {'Answer': 'yes', 'Explanation': ' TP understands Middle......Standard Edited American......books......magazines......newspapers......accounts......banks......Iranian parties......accounts......banks......accounts......banks......accounts......banks......accounts......banks......accounts......etc...TP......', 'Property': 'middle'}, {'Answer': 'no', 'Property': 'high'}, {'Answer': 'no', 'Property': 'dialects/registers'}, {'Answer': 'no', 'Property': 'register shift'}, {'Answer': 'no', 'Property': 'cliches/idioms'}, {'Answer': 'no', 'Explanation': ' The sentence mentioned describes actions related to banking regulations and does not express wisdom or moral lessons typical of maxims/proverbs.', 'Property': 'maxims/proverbs'}, {'Answer': 'no', 'Property': 'allusions'}]","['correctness', 'clarity', 'middle']"
3967,[13],It did not allow Iran to send funds to the US or receive funds from the US.,Language_varieties,"['correctness', 'clarity', 'middle']","['correctness', 'clarity', 'middle']","['correctness', 'clarity', 'middle']",True,"['correctness', 'clarity', 'middle']","{
  ""Properties"": [""clarity""],
  ""Explanation"": ""The sentence is clear and easily understood by the intended audience.""
}",['clarity'],"{
  ""Properties"": [
    ""correctness"",
    ""clarity"",
    ""appropriateness""
  ],
  ""Explanation"": ""The sentence is well-formed grammatically, clear, and follows the appropriate cultural norms as it is a straightforward and culturally acceptable statement regarding financial transactions between Iran and the US.""
}","['correctness', 'clarity', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity""],
  ""Explanation"": ""The sentence is grammatically correct and written in a clear and understandable manner.""
}","['correctness', 'clarity']",False,"{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness""]
}","['correctness', 'clarity', 'appropriateness']","{
  ""Properties"": [""clarity""],
  ""Explanation"": ""The sentence is clear and easily understandable to the intended audience.""
}",['clarity'],"{
  ""Properties"": [""correctness"", ""clarity""],
  ""Explanation"": ""The sentence is grammatically correct and clear in its meaning, making it suitable for the intended audience.""
}","['correctness', 'clarity']",0,"['correctness', 'clarity', 'appropriateness']",1,0.0,,"['correctness', 'clarity','middle']","[{'Answer': 'yes', 'Property': 'correctness'}, {'Answer': 'yes', 'Explanation': ' understood.', 'Property': 'clarity'}, {'Answer': 'no', 'Property': 'forcefulness'}, {'Answer': 'no', 'Property': 'low'}, {'Answer': 'yes', 'Explanation': ' The countrys regulations prevented the transfer of funds.', 'Property': 'middle'}, {'Answer': 'no', 'Property': 'high'}, {'Answer': 'no', 'Property': 'dialects/registers'}, {'Answer': 'no', 'Property': 'register shift'}, {'Answer': 'no', 'Property': 'cliches/idioms'}, {'Answer': 'no', 'Explanation': ' The sentence mentioned describes actions involving countries and finance but does not relate to expressing wisdom or moral lessons typical of maxims/proverbs.', 'Property': 'maxims/proverbs'}, {'Answer': 'no', 'Property': 'allusions'}]","['correctness', 'clarity', 'middle']"
3990,[13],"Last January, parents filed a federal complaint against Chatham Middle School in Chatham, New Jersey, for forcing students to watch videos that proselytized for Islam.",Language_varieties,"['correctness', 'clarity', 'middle']","['correctness', 'clarity', 'middle']","['correctness', 'clarity', 'middle']",True,"['correctness', 'middle']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness""]
}

  
  ","['correctness', 'clarity', 'forcefulness']","{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness""],
  ""Explanation"": ""The statement is grammatically correct, clear in its meaning, and appropriate in tone for a news report, discussing a legal complaint about a sensitive issue regarding education and religion.""
}","['correctness', 'clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it is appropriate as it follows the cultural norms of propriety by maintaining a neutral tone when discussing sensitive religious topics.""
}","['clarity', 'appropriateness']",False,"{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness""],
  ""Explanation"": ""The sentence is grammatically correct, clear, and appropriate for a news report, using standard language to convey the information accurately and without bias.""
}","['correctness', 'clarity', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness""],
  ""Explanation"": ""The sentence is well-formed grammatically, clear, and appropriate for a news article, as it conveys the information in a neutral and objective manner.""
}","['correctness', 'clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The sentence is clear and understandable to the intended audience, and it adheres to the cultural norms of propriety by using formal language to discuss a sensitive topic.""
}","['clarity', 'appropriateness']",0,"['correctness', 'clarity', 'appropriateness']",1,0.0,,"['correctness', 'clarity','middle','register shift']","[{'Answer': 'yes', 'Explanation': ' understood.', 'Property': 'correctness'}, {'Answer': 'yes', 'Explanation': ' understood.', 'Property': 'clarity'}, {'Answer': 'no', 'Property': 'forcefulness'}, {'Answer': 'no', 'Property': 'low'}, {'Answer': 'yes', 'Explanation': ' The bands music style combines country music influences with pop elements.', 'Property': 'middle'}, {'Answer': 'no', 'Property': 'high'}, {'Answer': 'no', 'Property': 'dialects/registers'}, {'Answer': 'no', 'Property': 'register shift'}, {'Answer': 'no', 'Property': 'cliches/idioms'}, {'Answer': 'no', 'Property': 'maxims/proverbs'}, {'Answer': 'no', 'Property': 'allusions'}]","['correctness', 'clarity', 'middle']"
