sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,Unnamed: 28,propertygpt-4o-mini,resgpt-4o-mini_0.0_V4,propertygpt-4o-mini_0.0_V4
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Parallelism,[],[],[],True,[],"{
  ""Properties"": [""grammatical structure (parison)"", ""comparison (parallelism in argument)""],
  ""Explanation"": ""The text exhibits both parison with the repeated structure 'he was told by authorities that' and comparison in the contrast between the detention center and a typical American prison.""
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']","{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause' shows grammatical structure parallelism, creating parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The statement draws a comparison between the detention centre and a typical American prison to emphasize their similarity.""
}",['comparison_(parallelism_in_argument)'],False,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'he was told by authorities' and 'could cause violence and disrupt community cohesion.'""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause violence' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause violence' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],True,['grammatical_structure_(parison)'],1.0,0.0,GPT explanation is incorrect,[],,syllables (isocolon),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The provided sentence does not demonstrate parallelism in syllables (isocolon) because it does not consist of adjacent phrases or clauses that have equal syllable length. The sentence is complex and contains multiple clauses with varying syllable counts, which does not align with the definition of isocolon where adjacent phrases or clauses should have equal syllable length.""
}",[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Parallelism,[],[],[],True,[],"{
  ""Properties"": [""grammatical structure (parison)"", ""comparison (parallelism in argument)""],
  ""Explanation"": ""The text exhibits both parison with the repeated structure 'he was told by authorities that' and comparison in the contrast between the detention center and a typical American prison.""
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']","{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause' shows grammatical structure parallelism, creating parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The statement draws a comparison between the detention centre and a typical American prison to emphasize their similarity.""
}",['comparison_(parallelism_in_argument)'],False,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'he was told by authorities' and 'could cause violence and disrupt community cohesion.'""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause violence' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause violence' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],True,['grammatical_structure_(parison)'],1.0,0.0,GPT explanation is incorrect,[],,stress patterns (iambic parameter),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The provided sentence does not demonstrate parallelism in stress patterns or iambic meter. Iambic meter consists of alternating unstressed and stressed syllables, typically in a pattern of 'da-DUM'. The sentence from Breitbart is complex and does not follow this rhythmic structure; instead, it is a straightforward declarative sentence without the rhythmic qualities characteristic of iambic meter or parallelism.""
}",[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Parallelism,[],[],[],True,[],"{
  ""Properties"": [""grammatical structure (parison)"", ""comparison (parallelism in argument)""],
  ""Explanation"": ""The text exhibits both parison with the repeated structure 'he was told by authorities that' and comparison in the contrast between the detention center and a typical American prison.""
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']","{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause' shows grammatical structure parallelism, creating parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The statement draws a comparison between the detention centre and a typical American prison to emphasize their similarity.""
}",['comparison_(parallelism_in_argument)'],False,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'he was told by authorities' and 'could cause violence and disrupt community cohesion.'""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause violence' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause violence' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],True,['grammatical_structure_(parison)'],1.0,0.0,GPT explanation is incorrect,[],,grammatical structure (parison),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The provided sentence does not demonstrate parallelism because it does not contain repeated grammatical structures or similar phrasing in its clauses. Instead, it presents a single complex idea with a subordinate clause and does not exhibit the repetition or symmetry characteristic of parallelism.""
}",[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Parallelism,[],[],[],True,[],"{
  ""Properties"": [""grammatical structure (parison)"", ""comparison (parallelism in argument)""],
  ""Explanation"": ""The text exhibits both parison with the repeated structure 'he was told by authorities that' and comparison in the contrast between the detention center and a typical American prison.""
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']","{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause' shows grammatical structure parallelism, creating parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The statement draws a comparison between the detention centre and a typical American prison to emphasize their similarity.""
}",['comparison_(parallelism_in_argument)'],False,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'he was told by authorities' and 'could cause violence and disrupt community cohesion.'""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause violence' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause violence' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],True,['grammatical_structure_(parison)'],1.0,0.0,GPT explanation is incorrect,[],,comparison (parallelism in argument),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not demonstrate parallelism in comparison. It contains a single clause that describes Sellner's statement about the detention center and the authorities' warning regarding his speaking at Hyde Park. There are no adjacent phrases or clauses that are structured similarly for the purpose of comparison, which is a key characteristic of parallelism.""
}",[]
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Parallelism,[],[],[],True,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' twice in the sentence demonstrates grammatical structure parallelism (parison), where longer clauses exhibit repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'John Hancock' at the beginning of each clause, creating a sense of balance and emphasis.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The quoted text demonstrates parallelism in grammatical structure by repeating the phrase 'the first signer of the Declaration of Independence' to create a sense of parity and cohesion.""
}",['grammatical_structure_(parison)'],True,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' is repeated in the sentence, creating a grammatical structure of parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' and 'said' creates a grammatical structure of repetition, emphasizing the significance of the statement.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' and 'said' creates a grammatical structure of repetition, indicating parity among longer clauses.""
}",['grammatical_structure_(parison)'],True,['grammatical_structure_(parison)'],1.0,0.0,GPT explanation is incorrect,[],,syllables (isocolon),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The provided sentence does not demonstrate parallelism in syllables (isocolon) because it does not contain adjacent phrases or clauses with equal syllable length. The sentence is a single statement and does not present multiple phrases or clauses that can be compared for syllable length.""
}",[]
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Parallelism,[],[],[],True,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' twice in the sentence demonstrates grammatical structure parallelism (parison), where longer clauses exhibit repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'John Hancock' at the beginning of each clause, creating a sense of balance and emphasis.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The quoted text demonstrates parallelism in grammatical structure by repeating the phrase 'the first signer of the Declaration of Independence' to create a sense of parity and cohesion.""
}",['grammatical_structure_(parison)'],True,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' is repeated in the sentence, creating a grammatical structure of parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' and 'said' creates a grammatical structure of repetition, emphasizing the significance of the statement.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' and 'said' creates a grammatical structure of repetition, indicating parity among longer clauses.""
}",['grammatical_structure_(parison)'],True,['grammatical_structure_(parison)'],1.0,0.0,GPT explanation is incorrect,[],,stress patterns (iambic parameter),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not demonstrate parallelism in stress patterns or iambic meter. Iambic meter consists of alternating unstressed and stressed syllables, typically in a pattern of 'da-DUM'. The example sentence does not exhibit this rhythmic structure, as it is more of a declarative statement without the alternating stress pattern characteristic of iambic meter.""
}",[]
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Parallelism,[],[],[],True,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' twice in the sentence demonstrates grammatical structure parallelism (parison), where longer clauses exhibit repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'John Hancock' at the beginning of each clause, creating a sense of balance and emphasis.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The quoted text demonstrates parallelism in grammatical structure by repeating the phrase 'the first signer of the Declaration of Independence' to create a sense of parity and cohesion.""
}",['grammatical_structure_(parison)'],True,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' is repeated in the sentence, creating a grammatical structure of parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' and 'said' creates a grammatical structure of repetition, emphasizing the significance of the statement.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' and 'said' creates a grammatical structure of repetition, indicating parity among longer clauses.""
}",['grammatical_structure_(parison)'],True,['grammatical_structure_(parison)'],1.0,0.0,GPT explanation is incorrect,[],,grammatical structure (parison),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The provided sentence does not demonstrate parallelism because it consists of a single independent clause followed by a quotation. Parallelism involves the repetition of similar grammatical structures in a series of phrases or clauses, which is not present in this example.""
}",[]
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Parallelism,[],[],[],True,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' twice in the sentence demonstrates grammatical structure parallelism (parison), where longer clauses exhibit repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'John Hancock' at the beginning of each clause, creating a sense of balance and emphasis.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The quoted text demonstrates parallelism in grammatical structure by repeating the phrase 'the first signer of the Declaration of Independence' to create a sense of parity and cohesion.""
}",['grammatical_structure_(parison)'],True,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' is repeated in the sentence, creating a grammatical structure of parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' and 'said' creates a grammatical structure of repetition, emphasizing the significance of the statement.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' and 'said' creates a grammatical structure of repetition, indicating parity among longer clauses.""
}",['grammatical_structure_(parison)'],True,['grammatical_structure_(parison)'],1.0,0.0,GPT explanation is incorrect,[],,comparison (parallelism in argument),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The provided sentence does not demonstrate parallelism in comparison. It introduces a subject (John Hancock) and provides a description of him, but it does not include adjacent phrases or clauses that are being compared. For a sentence to exhibit parallelism, it would need to present two or more similar structures or ideas for comparison, which is not present in this case.""
}",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Parallelism,[],[],[],True,[],"{
  ""Properties"": [""in syllables (isocolon)"", ""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'a dark, impenetrable and “irreversible” winter' demonstrates isocolon with equal syllable length, and the repetition of 'of persecution of the faithful' creates a parison in the grammatical structure.""
}","['in_syllables_(isocolon)', 'grammatical_structure_(parison)']","{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of the phrase 'a dark' followed by multiple adjectives 'impenetrable' and 'irreversible' constitutes parison, creating parity among longer clauses from repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The use of 'dark, impenetrable and irreversible' creates a sense of parallelism through equal syllable length in the phrases, enhancing the coherence and impact of the statement.""
}",['in_syllables_(isocolon)'],False,"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The example uses isocolon, as the phrases 'a dark, impenetrable' and 'irreversible' have equal syllable length, creating a sense of cohesion and emphasis.""
}",['in_syllables_(isocolon)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The phrase 'dark, impenetrable and irreversible' demonstrates isocolon with equal syllable length in each adjective.""
}",['in_syllables_(isocolon)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The example exhibits the use of isocolon, as the phrases 'a dark, impenetrable' and 'irreversible' have equal syllable length, creating a sense of balance and cohesion.""
}",['in_syllables_(isocolon)'],True,['in_syllables_(isocolon)'],1.0,0.0,GPT explanation is incorrect,[],,syllables (isocolon),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not demonstrate parallelism in syllables (isocolon) because it does not consist of adjacent phrases or clauses that have equal syllable length. Instead, it is a single complex sentence with varying syllable counts, lacking the structured repetition characteristic of isocolon.""
}",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Parallelism,[],[],[],True,[],"{
  ""Properties"": [""in syllables (isocolon)"", ""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'a dark, impenetrable and “irreversible” winter' demonstrates isocolon with equal syllable length, and the repetition of 'of persecution of the faithful' creates a parison in the grammatical structure.""
}","['in_syllables_(isocolon)', 'grammatical_structure_(parison)']","{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of the phrase 'a dark' followed by multiple adjectives 'impenetrable' and 'irreversible' constitutes parison, creating parity among longer clauses from repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The use of 'dark, impenetrable and irreversible' creates a sense of parallelism through equal syllable length in the phrases, enhancing the coherence and impact of the statement.""
}",['in_syllables_(isocolon)'],False,"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The example uses isocolon, as the phrases 'a dark, impenetrable' and 'irreversible' have equal syllable length, creating a sense of cohesion and emphasis.""
}",['in_syllables_(isocolon)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The phrase 'dark, impenetrable and irreversible' demonstrates isocolon with equal syllable length in each adjective.""
}",['in_syllables_(isocolon)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The example exhibits the use of isocolon, as the phrases 'a dark, impenetrable' and 'irreversible' have equal syllable length, creating a sense of balance and cohesion.""
}",['in_syllables_(isocolon)'],True,['in_syllables_(isocolon)'],1.0,0.0,GPT explanation is incorrect,[],,stress patterns (iambic parameter),"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence does not demonstrate parallelism in stress patterns (iambic parameter) because it lacks a consistent alternating pattern of stressed and unstressed syllables. Instead, it presents a more complex structure without the regular rhythm characteristic of iambic meter, which typically consists of pairs of syllables with the first being unstressed and the second stressed.""
}",[]
