sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,propertygpt-4o-mini,resgpt-4o-mini_0.0_V4,propertygpt-4o-mini_0.0_V4
311,[3],"The Vatican presents a choice: the world, or Christ.",Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],True,['Periodic_sentences'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'the world, or Christ' after the grammatically complete main clause. It is also periodic as it delivers its meaning dramatically at the end with the contrasting choice between 'the world' and 'Christ'.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('the world, or Christ').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences'],left branching,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'The Vatican presents a choice: the world, or Christ.' does not demonstrate left branching because it does not open with modifying structures that delay the subject. Instead, it starts directly with the subject 'The Vatican' followed by the verb 'presents', making it a straightforward sentence structure without any initial modifiers.""
}",[]
311,[3],"The Vatican presents a choice: the world, or Christ.",Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],True,['Periodic_sentences'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'the world, or Christ' after the grammatically complete main clause. It is also periodic as it delivers its meaning dramatically at the end with the contrasting choice between 'the world' and 'Christ'.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('the world, or Christ').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences'],middle branching,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'The Vatican presents a choice: the world, or Christ.' does not demonstrate middle branching because it does not insert any material between the subject ('The Vatican') and the verb ('presents'). Instead, it presents a straightforward structure with a clear subject-verb relationship followed by a colon introducing the options. Middle branching specifically requires additional information to be placed between the subject and the verb, which is not the case here.""
}",[]
311,[3],"The Vatican presents a choice: the world, or Christ.",Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],True,['Periodic_sentences'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'the world, or Christ' after the grammatically complete main clause. It is also periodic as it delivers its meaning dramatically at the end with the contrasting choice between 'the world' and 'Christ'.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('the world, or Christ').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences'],right branching,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'The Vatican presents a choice: the world, or Christ.' is a simple and direct statement that does not contain any modifying clauses or phrases that extend the sentence. It presents a clear dichotomy without additional elaboration, which is characteristic of left-branching or non-branching structures rather than right-branching.""
}",[]
311,[3],"The Vatican presents a choice: the world, or Christ.",Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],True,['Periodic_sentences'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'the world, or Christ' after the grammatically complete main clause. It is also periodic as it delivers its meaning dramatically at the end with the contrasting choice between 'the world' and 'Christ'.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('the world, or Christ').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences'],Periodic sentences,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'The Vatican presents a choice: the world, or Christ.' does not demonstrate the characteristics of a periodic sentence. A periodic sentence typically withholds its main clause or meaning until the end, often creating suspense or emphasis. In this case, the main idea is presented at the beginning ('The Vatican presents a choice'), and the elements following the colon ('the world, or Christ') serve to clarify or elaborate on that choice rather than delaying the main point.""
}",[]
311,[3],"The Vatican presents a choice: the world, or Christ.",Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],True,['Periodic_sentences'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'the world, or Christ' after the grammatically complete main clause. It is also periodic as it delivers its meaning dramatically at the end with the contrasting choice between 'the world' and 'Christ'.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('the world, or Christ').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences'],loose sentences,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'The Vatican presents a choice: the world, or Christ.' is a concise and direct statement that clearly presents a dichotomy without trailing off into accumulated detail. It has a clear structure and a definitive conclusion, which does not align with the characteristics of loose sentences.""
}",[]
349,[4],"Recently, a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],True,"['left_branching', 'right_branching', 'middle_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause is complete.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the initial complete grammatical structure.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching'],left branching,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The sentence begins with the adverb 'Recently,' followed by a modifying phrase that provides additional context about the video clip. This structure delays the introduction of the main subject ('a video clip of anti-Semitic pastor Steve Anderson') and thus demonstrates left branching, as it opens with modifying elements before presenting the subject.""
}",['left_branching']
349,[4],"Recently, a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],True,"['left_branching', 'right_branching', 'middle_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause is complete.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the initial complete grammatical structure.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching'],middle branching,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not demonstrate middle branching because it does not insert material between the subject and the verb. In the example of middle branching, additional information is placed between the subject (the children) and the verb (stared). In the given sentence, the structure is more complex but does not have any inserted material between the main subject (a video clip) and the main verb (wound up). Instead, it contains additional clauses and phrases that do not fit the definition of middle branching.""
}",[]
349,[4],"Recently, a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],True,"['left_branching', 'right_branching', 'middle_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause is complete.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the initial complete grammatical structure.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching'],right branching,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The sentence provided is grammatically complete but includes multiple modifying clauses that elaborate on the main idea. The phrase 'making the claim that Jews have experienced such abuse because they have somehow been cursed' serves as a right-branching modifier, adding additional information about the video clip without interrupting the main clause. This structure aligns with the definition of right branching in sentence architecture.""
}",['right_branching']
349,[4],"Recently, a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],True,"['left_branching', 'right_branching', 'middle_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause is complete.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the initial complete grammatical structure.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching'],Periodic sentences,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The provided sentence is a periodic sentence because it withholds the main clause until the end, creating suspense and emphasizing the final predication. The main idea is revealed after a significant pause, indicated by the dash, which aligns with the characteristics of periodic sentences.""
}",['Periodic_sentences']
349,[4],"Recently, a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],True,"['left_branching', 'right_branching', 'middle_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause is complete.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the initial complete grammatical structure.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching'],loose sentences,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The provided sentence does not demonstrate loose sentence structure. Instead, it is a complex sentence that maintains a clear main clause and provides specific details without trailing off or lacking a concluding point. The sentence effectively conveys a complete thought about the video clip and its context.""
}",[]
