sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,Unnamed: 28,propertygpt-4o-mini,resgpt-4o-mini_0.0_V4,propertygpt-4o-mini_0.0_V4
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Subject_choices,['rhetorical_participants'],['rhetorical_participants'],['rhetorical_participants'],True,[],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'I' is used to refer to the reader, indicating that the statement is from their perspective.""
}",['rhetorical_participants'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The only identifiable subject in the sentence is 'Cardinal', which refers to a specific individual.""
}",['humans'],"{
  ""Properties"": [""humans""]
}",['humans'],False,"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a single individual, a specific person.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a specific individual, indicating the presence of a human subject.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' indicates that the writer is referring to themselves, making it an example of rhetorical participants.""
}",['rhetorical_participants'],0,['humans'],1.0,0.0,GPT did not adhere to definitions,['rhetorical_participants'],,humans,"{
  ""Answer"": ""no"",
  ""Explanation"": ""In the given sentence, the subjects are 'I' and 'the Cardinal', where 'I' refers to a single individual (the speaker) and 'the Cardinal' refers to a specific person (a title for a church leader). However, the question specifically asks if any of the subjects are humans, and while 'I' and 'the Cardinal' are indeed humans, the focus is on whether the subjects are categorized as 'humans' in the context provided. Since 'the Cardinal' is a title and not a direct reference to a human in the context of the examples given, the answer is 'no'.""
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Subject_choices,['rhetorical_participants'],['rhetorical_participants'],['rhetorical_participants'],True,[],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'I' is used to refer to the reader, indicating that the statement is from their perspective.""
}",['rhetorical_participants'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The only identifiable subject in the sentence is 'Cardinal', which refers to a specific individual.""
}",['humans'],"{
  ""Properties"": [""humans""]
}",['humans'],False,"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a single individual, a specific person.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a specific individual, indicating the presence of a human subject.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' indicates that the writer is referring to themselves, making it an example of rhetorical participants.""
}",['rhetorical_participants'],0,['humans'],1.0,0.0,GPT did not adhere to definitions,['rhetorical_participants'],,rhetorical participants,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The subject of the sentence is 'I', which is a rhetorical participant as it refers to the writer themselves. This aligns with the definition provided, where 'I' is a subject choice that involves the writer's perspective.""
}",['rhetorical_participants']
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Subject_choices,['rhetorical_participants'],['rhetorical_participants'],['rhetorical_participants'],True,[],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'I' is used to refer to the reader, indicating that the statement is from their perspective.""
}",['rhetorical_participants'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The only identifiable subject in the sentence is 'Cardinal', which refers to a specific individual.""
}",['humans'],"{
  ""Properties"": [""humans""]
}",['humans'],False,"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a single individual, a specific person.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a specific individual, indicating the presence of a human subject.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' indicates that the writer is referring to themselves, making it an example of rhetorical participants.""
}",['rhetorical_participants'],0,['humans'],1.0,0.0,GPT did not adhere to definitions,['rhetorical_participants'],,things,"{
  ""Answer"": ""no"",
  ""Explanation"": ""In the given sentence, the subjects are 'I' and 'the Cardinal's exposition', neither of which are physical objects or 'things' in the context defined. 'I' refers to a person, and 'the Cardinal's exposition' refers to a concept or written work, not a physical object. Therefore, there are no subjects in the sentence that qualify as 'things' as per the provided definition.""
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Subject_choices,['rhetorical_participants'],['rhetorical_participants'],['rhetorical_participants'],True,[],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'I' is used to refer to the reader, indicating that the statement is from their perspective.""
}",['rhetorical_participants'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The only identifiable subject in the sentence is 'Cardinal', which refers to a specific individual.""
}",['humans'],"{
  ""Properties"": [""humans""]
}",['humans'],False,"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a single individual, a specific person.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a specific individual, indicating the presence of a human subject.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' indicates that the writer is referring to themselves, making it an example of rhetorical participants.""
}",['rhetorical_participants'],0,['humans'],1.0,0.0,GPT did not adhere to definitions,['rhetorical_participants'],,abstractions,"{
  ""Answer"": ""no"",
  ""Explanation"": ""In the given sentence, the subjects are 'I' and 'the Cardinal's exposition'. 'I' is a concrete subject referring to a person, and 'the Cardinal's exposition' refers to a specific work or document, which is also a concrete subject. There are no abstractions present in the subjects of this sentence, as they do not fall into the category of name referents that cannot be pointed to easily.""
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Subject_choices,['rhetorical_participants'],['rhetorical_participants'],['rhetorical_participants'],True,[],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'I' is used to refer to the reader, indicating that the statement is from their perspective.""
}",['rhetorical_participants'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The only identifiable subject in the sentence is 'Cardinal', which refers to a specific individual.""
}",['humans'],"{
  ""Properties"": [""humans""]
}",['humans'],False,"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a single individual, a specific person.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a specific individual, indicating the presence of a human subject.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' indicates that the writer is referring to themselves, making it an example of rhetorical participants.""
}",['rhetorical_participants'],0,['humans'],1.0,0.0,GPT did not adhere to definitions,['rhetorical_participants'],,concepts,"{
  ""Answer"": ""no"",
  ""Explanation"": ""In the given sentence, the subjects are 'I' and 'the Cardinal's exposition'. These are specific entities and do not fall under the category of vague, general concepts like 'fairness', 'justice', or 'oppression'. Therefore, there are no subjects in the sentence that are considered concepts.""
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Subject_choices,['rhetorical_participants'],['rhetorical_participants'],['rhetorical_participants'],True,[],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'I' is used to refer to the reader, indicating that the statement is from their perspective.""
}",['rhetorical_participants'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The only identifiable subject in the sentence is 'Cardinal', which refers to a specific individual.""
}",['humans'],"{
  ""Properties"": [""humans""]
}",['humans'],False,"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a single individual, a specific person.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a specific individual, indicating the presence of a human subject.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' indicates that the writer is referring to themselves, making it an example of rhetorical participants.""
}",['rhetorical_participants'],0,['humans'],1.0,0.0,GPT did not adhere to definitions,['rhetorical_participants'],,slot fillers,"{
  ""Answer"": ""no"",
  ""Explanation"": ""In the given sentence, the subject is 'I', which is a specific subject referring to the speaker. There are no dummy subjects or slot fillers like 'it' that serve to fulfill the grammatical requirement of a subject without providing specific meaning. Therefore, the sentence does not contain any slot fillers.""
}",[]
243,[2 6],Women everywhere should be furious.,Subject_choices,['humans'],['humans'],['humans'],True,[],"{
  ""Properties"": [""humans""]
  ,
  ""Explanation"": ""The subject 'women' refers to a group of people, making it an example of the property 'humans'.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""]
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  , ""Explanation"": ""The subject 'women' in this sentence is used to address the reader directly, invoking a sense of shared experience and emotion.""
}",['rhetorical_participants'],False,"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women' is used to address the reader directly, making it a rhetorical participant.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women everywhere' is a rhetorical participant as it addresses the reader directly, invoking a sense of shared identity and emotion.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women' is used to address the reader directly, making it a rhetorical participant.""
}",['rhetorical_participants'],1,['rhetorical_participants'],1.0,0.0,GPT did not adhere to definitions,['humans'],,humans,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""In the sentence 'Women everywhere should be furious,' the subject is 'Women,' which refers to a group of people. Since 'Women' is a term that denotes human beings, it qualifies as a subject that is human according to the provided definition.""
}",['humans']
243,[2 6],Women everywhere should be furious.,Subject_choices,['humans'],['humans'],['humans'],True,[],"{
  ""Properties"": [""humans""]
  ,
  ""Explanation"": ""The subject 'women' refers to a group of people, making it an example of the property 'humans'.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""]
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  , ""Explanation"": ""The subject 'women' in this sentence is used to address the reader directly, invoking a sense of shared experience and emotion.""
}",['rhetorical_participants'],False,"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women' is used to address the reader directly, making it a rhetorical participant.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women everywhere' is a rhetorical participant as it addresses the reader directly, invoking a sense of shared identity and emotion.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women' is used to address the reader directly, making it a rhetorical participant.""
}",['rhetorical_participants'],1,['rhetorical_participants'],1.0,0.0,GPT did not adhere to definitions,['humans'],,rhetorical participants,"{
  ""Answer"": ""no"",
  ""Explanation"": ""In the sentence 'Women everywhere should be furious,' the subject is 'Women,' which refers to a group of people rather than the writer or reader themselves. Rhetorical participants would include subjects like 'I,' 'you,' or 'we,' which directly involve the writer or reader. Since 'Women' does not fit this criterion, there are no rhetorical participants in this sentence.""
}",[]
243,[2 6],Women everywhere should be furious.,Subject_choices,['humans'],['humans'],['humans'],True,[],"{
  ""Properties"": [""humans""]
  ,
  ""Explanation"": ""The subject 'women' refers to a group of people, making it an example of the property 'humans'.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""]
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  , ""Explanation"": ""The subject 'women' in this sentence is used to address the reader directly, invoking a sense of shared experience and emotion.""
}",['rhetorical_participants'],False,"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women' is used to address the reader directly, making it a rhetorical participant.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women everywhere' is a rhetorical participant as it addresses the reader directly, invoking a sense of shared identity and emotion.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women' is used to address the reader directly, making it a rhetorical participant.""
}",['rhetorical_participants'],1,['rhetorical_participants'],1.0,0.0,GPT did not adhere to definitions,['humans'],,things,"{
  ""Answer"": ""no"",
  ""Explanation"": ""In the sentence 'Women everywhere should be furious', the subject is 'Women', which refers to people and does not denote a physical object or thing. The term 'things' in the context provided refers specifically to objects with a physical existence, such as 'the car' or 'the computer'. Since 'Women' does not fit this definition, the answer is 'no'.""
}",[]
243,[2 6],Women everywhere should be furious.,Subject_choices,['humans'],['humans'],['humans'],True,[],"{
  ""Properties"": [""humans""]
  ,
  ""Explanation"": ""The subject 'women' refers to a group of people, making it an example of the property 'humans'.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""]
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  , ""Explanation"": ""The subject 'women' in this sentence is used to address the reader directly, invoking a sense of shared experience and emotion.""
}",['rhetorical_participants'],False,"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women' is used to address the reader directly, making it a rhetorical participant.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women everywhere' is a rhetorical participant as it addresses the reader directly, invoking a sense of shared identity and emotion.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women' is used to address the reader directly, making it a rhetorical participant.""
}",['rhetorical_participants'],1,['rhetorical_participants'],1.0,0.0,GPT did not adhere to definitions,['humans'],,abstractions,"{
  ""Answer"": ""no"",
  ""Explanation"": ""In the sentence 'Women everywhere should be furious,' the subject is 'Women everywhere,' which refers to a specific group of people and can be pointed to easily. It does not fall under the category of abstractions, as it is not a name referent that is difficult to identify or locate. Abstractions typically refer to concepts or ideas that lack a physical presence, whereas 'Women everywhere' denotes a tangible group.""
}",[]
