sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,Unnamed: 28,propertygpt-4o-mini,resgpt-4o-mini_0.0_V4,propertygpt-4o-mini_0.0_V4
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'inserting' introduces the concept of negation as it implies the action of putting negative search suggestions, which involves contradiction or denial of something.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the phrase 'inserting negative search suggestions' involves the denial or contradiction of positive search suggestions, indicating the presence of negation in the verb choices.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'negative' search suggestions is a form of negation, as it involves the contradiction or denial of positive search suggestions.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' involves the contradiction or denial of positive information, making it an example of negation.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the property of negation, as it discusses the insertion of negative search suggestions to shift opinions of undecided voters.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' and the mention of 'shift the opinions' indicate the presence of negation in the text.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,negation,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence discusses the impact of negative search suggestions on voter opinions, but it does not contain a grammatical negation. Negation in grammar typically involves the use of words like 'not' or 'no' to deny or contradict a statement. In this case, the verb choices relate to the action of inserting suggestions and their effects, rather than expressing negation.""
}",[]
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'inserting' introduces the concept of negation as it implies the action of putting negative search suggestions, which involves contradiction or denial of something.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the phrase 'inserting negative search suggestions' involves the denial or contradiction of positive search suggestions, indicating the presence of negation in the verb choices.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'negative' search suggestions is a form of negation, as it involves the contradiction or denial of positive search suggestions.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' involves the contradiction or denial of positive information, making it an example of negation.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the property of negation, as it discusses the insertion of negative search suggestions to shift opinions of undecided voters.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' and the mention of 'shift the opinions' indicate the presence of negation in the text.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,modality,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain any modal verbs or expressions of possibility. Instead, it presents a factual statement about the influence of search engines on voter opinions, using definitive language rather than language that conveys uncertainty or potentiality. Modality typically involves verbs or phrases that indicate likelihood or possibility, such as 'might' or 'could', which are absent in this context.""
}",[]
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'inserting' introduces the concept of negation as it implies the action of putting negative search suggestions, which involves contradiction or denial of something.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the phrase 'inserting negative search suggestions' involves the denial or contradiction of positive search suggestions, indicating the presence of negation in the verb choices.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'negative' search suggestions is a form of negation, as it involves the contradiction or denial of positive search suggestions.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' involves the contradiction or denial of positive information, making it an example of negation.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the property of negation, as it discusses the insertion of negative search suggestions to shift opinions of undecided voters.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' and the mention of 'shift the opinions' indicate the presence of negation in the text.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,nominalization,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not demonstrate nominalization, which is the process of converting verbs into nouns. Instead, it contains active verb forms such as 'inserting' and 'shift,' which are not transformed into nouns. The focus is on the actions being performed rather than on the nominalized forms of those actions.""
}",[]
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'inserting' introduces the concept of negation as it implies the action of putting negative search suggestions, which involves contradiction or denial of something.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the phrase 'inserting negative search suggestions' involves the denial or contradiction of positive search suggestions, indicating the presence of negation in the verb choices.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'negative' search suggestions is a form of negation, as it involves the contradiction or denial of positive search suggestions.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' involves the contradiction or denial of positive information, making it an example of negation.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the property of negation, as it discusses the insertion of negative search suggestions to shift opinions of undecided voters.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' and the mention of 'shift the opinions' indicate the presence of negation in the text.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,personification,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence does not employ personification, as it does not attribute human-like agency to physical objects or abstractions. Instead, it discusses the influence of search engines on voter opinions without suggesting that the search engines themselves possess human-like qualities or emotions.""
}",[]
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'inserting' introduces the concept of negation as it implies the action of putting negative search suggestions, which involves contradiction or denial of something.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the phrase 'inserting negative search suggestions' involves the denial or contradiction of positive search suggestions, indicating the presence of negation in the verb choices.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'negative' search suggestions is a form of negation, as it involves the contradiction or denial of positive search suggestions.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' involves the contradiction or denial of positive information, making it an example of negation.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the property of negation, as it discusses the insertion of negative search suggestions to shift opinions of undecided voters.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' and the mention of 'shift the opinions' indicate the presence of negation in the text.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,multiplication,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not exhibit multiplication of verb choices. Instead, it contains a single main clause with a complex structure that includes a report and attribution. The verbs in the sentence do not multiply subjects or verbs in a predication as seen in the example provided. Instead, it presents a straightforward assertion about the influence of search engines on voter opinions without the use of multiple verbs or subjects in a single predication.""
}",[]
214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement contains negation in the form of denial and contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'should be killed' and 'should die' in the reported speech indicates negation, as these phrases express denial or contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The quote includes the negation of the speaker's safety and well-being through the use of 'should be killed' and 'should die'.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'was' in parentheses indicates a potential negation, as it contradicts the direct quote from the speaker.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should' in the context of being killed and dying implies negation, as it contradicts the normal expectation of safety and survival.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should be killed' and 'should die' involves the negation of the speaker's well-being.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,negation,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence does not exhibit negation in the context of verb choices. Instead, it presents a statement about what one woman was expressing, which includes commands or suggestions ('should be killed' and 'should die'). Negation would involve denying or contradicting a statement, but here the verbs are used to convey a demand rather than to negate an action.""
}",[]
214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement contains negation in the form of denial and contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'should be killed' and 'should die' in the reported speech indicates negation, as these phrases express denial or contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The quote includes the negation of the speaker's safety and well-being through the use of 'should be killed' and 'should die'.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'was' in parentheses indicates a potential negation, as it contradicts the direct quote from the speaker.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should' in the context of being killed and dying implies negation, as it contradicts the normal expectation of safety and survival.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should be killed' and 'should die' involves the negation of the speaker's well-being.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,modality,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence does not primarily focus on modality, which involves expressing possibilities or likelihoods through modal verbs. Instead, it presents a direct statement about an event (the woman screaming) and includes imperative suggestions ('should be killed' and 'should die') that indicate obligation rather than possibility. Therefore, while there are elements of suggestion, the overall verb choices do not exemplify modality in the grammatical sense.""
}",[]
214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement contains negation in the form of denial and contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'should be killed' and 'should die' in the reported speech indicates negation, as these phrases express denial or contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The quote includes the negation of the speaker's safety and well-being through the use of 'should be killed' and 'should die'.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'was' in parentheses indicates a potential negation, as it contradicts the direct quote from the speaker.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should' in the context of being killed and dying implies negation, as it contradicts the normal expectation of safety and survival.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should be killed' and 'should die' involves the negation of the speaker's well-being.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,nominalization,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not demonstrate nominalization, which specifically involves converting a verb into a noun. In this case, the verb 'screaming' remains in its verb form and is not transformed into a noun. The sentence describes an action rather than presenting a nominalized structure.""
}",[]
214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement contains negation in the form of denial and contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'should be killed' and 'should die' in the reported speech indicates negation, as these phrases express denial or contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The quote includes the negation of the speaker's safety and well-being through the use of 'should be killed' and 'should die'.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'was' in parentheses indicates a potential negation, as it contradicts the direct quote from the speaker.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should' in the context of being killed and dying implies negation, as it contradicts the normal expectation of safety and survival.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should be killed' and 'should die' involves the negation of the speaker's well-being.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,personification,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence describes a woman screaming, which is a literal action performed by a human. It does not attribute human-like agency to a non-human object or abstraction, which is the essence of personification. Instead, it simply reports a direct action without endowing any inanimate object or concept with human traits.""
}",[]
214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Verb_choices,['modality'],['modality'],['modality'],True,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement contains negation in the form of denial and contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'should be killed' and 'should die' in the reported speech indicates negation, as these phrases express denial or contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The quote includes the negation of the speaker's safety and well-being through the use of 'should be killed' and 'should die'.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'was' in parentheses indicates a potential negation, as it contradicts the direct quote from the speaker.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should' in the context of being killed and dying implies negation, as it contradicts the normal expectation of safety and survival.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should be killed' and 'should die' involves the negation of the speaker's well-being.""
}",['negation'],1,['negation'],1.0,0.0,GPT wrongly assings negation,['modality'],,multiplication,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The sentence contains multiple instances of the verb 'should' applied to different subjects ('I should be killed' and 'I should die'). This demonstrates the concept of multiplication in verb choices, as it combines multiple verb phrases within a single predication, reflecting the idea of multiple actions or states related to the same subject.""
}",['multiplication']
