sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,Unnamed: 28,propertygpt-4o,resgpt-4o_0.0_V4,propertygpt-4o_0.0_V4
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],False,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],,indicative,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The sentence 'A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.' utilizes the indicative mood. It makes a straightforward statement about a future event, expressing a fact or a prediction.""
}",['indicative']
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],False,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],,subjunctive,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.' does not utilize the subjunctive mood. The subjunctive mood is used to express hypothetical, imagined, or possible situations, often marked by verbs like 'would,' 'should,' or 'might.' In this sentence, 'will fall' is indicative, expressing a future event as a certainty rather than a hypothetical or imagined scenario.""
}",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],False,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],,exclamatory,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.' does not utilize the exclamatory mood. It is a declarative sentence that states a prediction or assertion without expressing strong emotion, surprise, or pain. Exclamatory mood typically involves an exclamation mark and conveys heightened emotional intensity, which is not present in this sentence.""
}",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],False,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],,interrogative,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.' is a declarative statement, not an interrogative one. It does not pose a question but rather makes a statement about a future event. The interrogative mood is used to ask questions, which is not the case here.""
}",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],False,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],,imperative,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.' does not utilize the imperative mood. The imperative mood is used to express commands or directives, such as 'Close the door' or 'Please sit down.' The given sentence is a declarative statement, describing a future event rather than issuing a command or directive.""
}",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],False,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],,optative,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.' does not utilize the optative mood. The optative mood is used to express wishes or hopes, typically using verbs like 'wish' or 'hope.' This sentence is a declarative statement predicting a future event, not expressing a wish or hope.""
}",[]
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Mood,['indicative'],['indicative'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text is expressing a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example text uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],True,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion about the beliefs of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of a group of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],1,['indicative'],1,1,,['indicative'],,indicative,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The sentence 'I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.' utilizes the indicative mood. This is because it makes a straightforward statement of fact about what the speaker has observed and what the Catholics are declaring.""
}",['indicative']
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Mood,['indicative'],['indicative'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text is expressing a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example text uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],True,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion about the beliefs of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of a group of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],1,['indicative'],1,1,,['indicative'],,subjunctive,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.' does not utilize the subjunctive mood. The subjunctive mood is used to express hypothetical, imagined, or possible situations, often marked by verbs like 'were,' 'should,' 'would,' or 'might.' In this sentence, the clause 'if Paul VI is canonised' is a conditional clause, but it uses the indicative mood ('is canonised') rather than the subjunctive mood ('were to be canonised').""
}",[]
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Mood,['indicative'],['indicative'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text is expressing a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example text uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],True,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion about the beliefs of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of a group of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],1,['indicative'],1,1,,['indicative'],,exclamatory,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.' does not utilize the exclamatory mood. It is a declarative sentence that states an observation and a conditional outcome without expressing surprise, strong emotion, or pain.""
}",[]
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Mood,['indicative'],['indicative'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text is expressing a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example text uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],True,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion about the beliefs of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of a group of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],1,['indicative'],1,1,,['indicative'],,interrogative,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.' is not in the interrogative mood. The interrogative mood is used to ask questions, typically involving a subject-auxiliary inversion (e.g., 'Are you coming?'). This sentence is a declarative statement, providing information rather than asking a question.""
}",[]
