sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,Unnamed: 28,propertygpt-4o,resgpt-4o_0.0_V4,propertygpt-4o_0.0_V4
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Subject_choices,['rhetorical_participants'],['rhetorical_participants'],['rhetorical_participants'],True,[],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'I' is used to refer to the reader, indicating that the statement is from their perspective.""
}",['rhetorical_participants'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The only identifiable subject in the sentence is 'Cardinal', which refers to a specific individual.""
}",['humans'],"{
  ""Properties"": [""humans""]
}",['humans'],False,"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a single individual, a specific person.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a specific individual, indicating the presence of a human subject.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' indicates that the writer is referring to themselves, making it an example of rhetorical participants.""
}",['rhetorical_participants'],0,['humans'],1.0,0.0,GPT did not adhere to definitions,['rhetorical_participants'],,humans,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The subject of the sentence is 'I'. While 'I' refers to a human, the context provided specifies that 'humans' 'Subject choices' are any subjects which are people, and the examples given are specific individuals or groups of people. 'I' is a pronoun and not explicitly listed as a type of human subject in the provided context.""
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Subject_choices,['rhetorical_participants'],['rhetorical_participants'],['rhetorical_participants'],True,[],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'I' is used to refer to the reader, indicating that the statement is from their perspective.""
}",['rhetorical_participants'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The only identifiable subject in the sentence is 'Cardinal', which refers to a specific individual.""
}",['humans'],"{
  ""Properties"": [""humans""]
}",['humans'],False,"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a single individual, a specific person.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a specific individual, indicating the presence of a human subject.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' indicates that the writer is referring to themselves, making it an example of rhetorical participants.""
}",['rhetorical_participants'],0,['humans'],1.0,0.0,GPT did not adhere to definitions,['rhetorical_participants'],,rhetorical participants,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The subject of the sentence is 'I,' which is a rhetorical participant as it refers to the writer or speaker themselves.""
}",['rhetorical_participants']
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Subject_choices,['rhetorical_participants'],['rhetorical_participants'],['rhetorical_participants'],True,[],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'I' is used to refer to the reader, indicating that the statement is from their perspective.""
}",['rhetorical_participants'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The only identifiable subject in the sentence is 'Cardinal', which refers to a specific individual.""
}",['humans'],"{
  ""Properties"": [""humans""]
}",['humans'],False,"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a single individual, a specific person.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a specific individual, indicating the presence of a human subject.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' indicates that the writer is referring to themselves, making it an example of rhetorical participants.""
}",['rhetorical_participants'],0,['humans'],1.0,0.0,GPT did not adhere to definitions,['rhetorical_participants'],,things,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The subjects of the sentence are 'I' and 'I'. Both instances of 'I' refer to the speaker, a person, and not to objects with physical existence. Therefore, none of the subjects in the given sentence are things.""
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Subject_choices,['rhetorical_participants'],['rhetorical_participants'],['rhetorical_participants'],True,[],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'I' is used to refer to the reader, indicating that the statement is from their perspective.""
}",['rhetorical_participants'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The only identifiable subject in the sentence is 'Cardinal', which refers to a specific individual.""
}",['humans'],"{
  ""Properties"": [""humans""]
}",['humans'],False,"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a single individual, a specific person.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a specific individual, indicating the presence of a human subject.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' indicates that the writer is referring to themselves, making it an example of rhetorical participants.""
}",['rhetorical_participants'],0,['humans'],1.0,0.0,GPT did not adhere to definitions,['rhetorical_participants'],,abstractions,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The subjects of the sentence are 'I' and 'I' (repeated for emphasis). Both instances of 'I' refer to the speaker, a concrete entity, and not an abstraction. Therefore, none of the subjects in the given sentence are abstractions.""
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Subject_choices,['rhetorical_participants'],['rhetorical_participants'],['rhetorical_participants'],True,[],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'I' is used to refer to the reader, indicating that the statement is from their perspective.""
}",['rhetorical_participants'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The only identifiable subject in the sentence is 'Cardinal', which refers to a specific individual.""
}",['humans'],"{
  ""Properties"": [""humans""]
}",['humans'],False,"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a single individual, a specific person.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a specific individual, indicating the presence of a human subject.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' indicates that the writer is referring to themselves, making it an example of rhetorical participants.""
}",['rhetorical_participants'],0,['humans'],1.0,0.0,GPT did not adhere to definitions,['rhetorical_participants'],,concepts,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The subjects of the sentence are 'I' and 'I' (repeated for emphasis in the second clause). These are pronouns referring to the speaker and are not vague, general, all-encompassing terms like 'fairness', 'justice', or 'oppression'. Therefore, none of the subjects in the sentence are concepts.""
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Subject_choices,['rhetorical_participants'],['rhetorical_participants'],['rhetorical_participants'],True,[],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'I' is used to refer to the reader, indicating that the statement is from their perspective.""
}",['rhetorical_participants'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The only identifiable subject in the sentence is 'Cardinal', which refers to a specific individual.""
}",['humans'],"{
  ""Properties"": [""humans""]
}",['humans'],False,"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a single individual, a specific person.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a specific individual, indicating the presence of a human subject.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' indicates that the writer is referring to themselves, making it an example of rhetorical participants.""
}",['rhetorical_participants'],0,['humans'],1.0,0.0,GPT did not adhere to definitions,['rhetorical_participants'],,slot fillers,"{
  ""Answer"": ""no"",
  ""Explanation"": ""In the given sentence, the subjects are 'I' and 'I' (implied in the second clause 'I only find mention'). These are not dummy subjects or slot fillers. Dummy subjects, such as 'it' in 'it was raining,' are used to fulfill the syntactic requirement of a subject without adding meaningful content. In this case, 'I' is a meaningful subject referring to the person performing the action of reading and finding mention.""
}",[]
243,[2 6],Women everywhere should be furious.,Subject_choices,['humans'],['humans'],['humans'],True,[],"{
  ""Properties"": [""humans""]
  ,
  ""Explanation"": ""The subject 'women' refers to a group of people, making it an example of the property 'humans'.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""]
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  , ""Explanation"": ""The subject 'women' in this sentence is used to address the reader directly, invoking a sense of shared experience and emotion.""
}",['rhetorical_participants'],False,"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women' is used to address the reader directly, making it a rhetorical participant.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women everywhere' is a rhetorical participant as it addresses the reader directly, invoking a sense of shared identity and emotion.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women' is used to address the reader directly, making it a rhetorical participant.""
}",['rhetorical_participants'],1,['rhetorical_participants'],1.0,0.0,GPT did not adhere to definitions,['humans'],,humans,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The subject of the sentence 'Women everywhere should be furious' is 'Women'. 'Women' refers to a group of people, which fits the definition of 'humans' as provided in the context.""
}",['humans']
243,[2 6],Women everywhere should be furious.,Subject_choices,['humans'],['humans'],['humans'],True,[],"{
  ""Properties"": [""humans""]
  ,
  ""Explanation"": ""The subject 'women' refers to a group of people, making it an example of the property 'humans'.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""]
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  , ""Explanation"": ""The subject 'women' in this sentence is used to address the reader directly, invoking a sense of shared experience and emotion.""
}",['rhetorical_participants'],False,"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women' is used to address the reader directly, making it a rhetorical participant.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women everywhere' is a rhetorical participant as it addresses the reader directly, invoking a sense of shared identity and emotion.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women' is used to address the reader directly, making it a rhetorical participant.""
}",['rhetorical_participants'],1,['rhetorical_participants'],1.0,0.0,GPT did not adhere to definitions,['humans'],,rhetorical participants,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The subject of the sentence 'Women everywhere should be furious' is 'Women everywhere.' This subject does not include the writer or reader themselves, and therefore, it is not a rhetorical participant. Rhetorical participants would involve subjects like 'I,' 'you,' or 'we,' which are not present in this sentence.""
}",[]
243,[2 6],Women everywhere should be furious.,Subject_choices,['humans'],['humans'],['humans'],True,[],"{
  ""Properties"": [""humans""]
  ,
  ""Explanation"": ""The subject 'women' refers to a group of people, making it an example of the property 'humans'.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""]
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  , ""Explanation"": ""The subject 'women' in this sentence is used to address the reader directly, invoking a sense of shared experience and emotion.""
}",['rhetorical_participants'],False,"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women' is used to address the reader directly, making it a rhetorical participant.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women everywhere' is a rhetorical participant as it addresses the reader directly, invoking a sense of shared identity and emotion.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women' is used to address the reader directly, making it a rhetorical participant.""
}",['rhetorical_participants'],1,['rhetorical_participants'],1.0,0.0,GPT did not adhere to definitions,['humans'],,things,"{
  ""Answer"": ""no"",
  ""Explanation"": ""In the sentence 'Women everywhere should be furious,' the subject is 'Women.' 'Women' refers to human beings, not objects with a physical existence. Therefore, none of the subjects in this sentence are 'things' as defined in the context of grammar.""
}",[]
243,[2 6],Women everywhere should be furious.,Subject_choices,['humans'],['humans'],['humans'],True,[],"{
  ""Properties"": [""humans""]
  ,
  ""Explanation"": ""The subject 'women' refers to a group of people, making it an example of the property 'humans'.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""]
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  , ""Explanation"": ""The subject 'women' in this sentence is used to address the reader directly, invoking a sense of shared experience and emotion.""
}",['rhetorical_participants'],False,"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women' is used to address the reader directly, making it a rhetorical participant.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women everywhere' is a rhetorical participant as it addresses the reader directly, invoking a sense of shared identity and emotion.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women' is used to address the reader directly, making it a rhetorical participant.""
}",['rhetorical_participants'],1,['rhetorical_participants'],1.0,0.0,GPT did not adhere to definitions,['humans'],,abstractions,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The subject of the sentence 'Women everywhere should be furious' is 'Women everywhere.' This subject refers to a tangible group of people and not to an abstract concept. Therefore, it does not fall under the category of abstractions as defined in the context.""
}",[]
