,sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
0,4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Figures_of_argument,[],[],['antithesis'],False,[],"{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The passage contains a strategic repetition of the idea that Muhammad advises the same thing, emphasizing the significance of the advice in the tradition of the Muslim doctors and in Temur's actions.""
}",['strategic_repetition'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'wherefore the great Temur always strove to exterminate the infidels' followed by 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' presents an argument from opposites, contrasting the motivations for Temur's actions.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting the advice of Muhammad with the actions of Temur to exterminate the infidels for glory and conquest.""
}",['antithesis'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The text presents an argument from opposites by contrasting the advice of Muhammad with the actions of Temur, highlighting their opposing approaches to dealing with infidels.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests' presents an argument from opposites, contrasting the motivations of Temur in his actions.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'exterminate the infidels' and 'acquire that glory' presents an argument from opposites, which is an example of antithesis.""
}",['antithesis'],1
1,11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Figures_of_argument,['eduction'],[],[],False,[],"{
  ""Properties"": [""antimetabole""],
  ""Explanation"": ""The sentence 'take the assurance for what it seems to be worth' is an example of antimetabole, as it transposes the arguments in a phrase.""
}",['antimetabole'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'given that it follows his astoundingly brazen lie' sets up an argument from opposites, contrasting the pope's word with the lie.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses an argument from opposites, contrasting the pope's word with his alleged lie about evidence for Ricca's homosexual activity.""
}",['antithesis'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'astoundingly brazen lie' and 'assurance for what it seems to be worth' presents an argument from opposites, which is an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'astoundingly brazen lie' and 'no evidence' creates an argument from opposites, highlighting the contradiction in the Pope's statement.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by contrasting the Pope's word with the implication of a lie, creating an antithesis.""
}",['antithesis'],1
3,16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Figures_of_argument,['eduction'],[],[],False,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of the phrase 'akin to a typical American prison' presents an antithesis by juxtaposing the detention centre with a typical American prison to highlight their differences or similarities.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'typical American prison' and 'Hyde Park' creates a contrast or opposition, demonstrating the use of antithesis in the passage.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'looking akin to a typical American prison' and 'could cause violence and disrupt community cohesion' presents an argument from opposites, creating a contrast between the detention center and the potential effects of Sellner speaking at Hyde Park.""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'akin to a typical American prison' creates an antithesis by comparing the detention center to something that is typically associated with freedom and justice, thereby emphasizing the negative aspects of the detention center.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'akin to a typical American prison' presents an antithesis by comparing the detention centre to something that is typically associated with freedom and justice, creating a contrast.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'akin to a typical American prison' creates an antithesis by contrasting the detention centre with a typical American prison.""
}",['antithesis'],1
4,23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Figures_of_argument,['defintion_as_figure'],[],['defintion_as_figure'],False,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of the opposites 'appearance' and 'actuality' in the phrase 'safeguard against the appearance or actuality' represents a clear use of antithesis, an argument from opposites.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the repetition of 'violation' and 'official' within the sentence qualifies this as a strategic repetition.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The statement uses strategic repetition by repeating the concept of 'violation' in the phrase 'clear violation' and effectively reinforces the idea of wrongdoing.""
}",['strategic_repetition'],False,"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'cashing in' and the repetition of the concept of 'official position for political purposes' within the same sentence demonstrates strategic repetition.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'cashing in' and 'official position' is strategically repeated to emphasize the violation of Senate Ethics rules.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition of the phrase 'cashing in' and 'official position for political purposes' to emphasize the violation of Senate Ethics rules.""
}",['strategic_repetition'],1
6,43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Figures_of_argument,[],['strategic_repetition'],[],False,[],"{
  ""Properties"": [
    ""induction""
  ],
  ""Explanation"": ""The use of induction is evident in the passage as it presents a conclusion from the specific (contemporaneous notes) to the general (content of the written notes usually prevails).""
}",['induction'],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The statement presents an argument from opposites by contrasting the reliability of contemporaneous notes with later verbal testimony about those notes.""
}",['antithesis'],"{
  ""Properties"": [
    ""induction""
  ],
  ""Explanation"": ""The statement makes a generalization that in a contest between contemporaneous notes and later verbal testimony, the content of the written notes usually prevails, which is a conclusion drawn from specific examples or instances.""
}",['induction'],False,"{
  ""Properties"": [
    ""induction""
  ],
  ""Explanation"": ""The statement presents a conclusion drawn from specific examples or instances, specifically comparing the reliability of contemporaneous notes versus later verbal testimony.""
}",['induction'],"{
  ""Properties"": [
    ""induction""
  ],
  ""Explanation"": ""The statement presents a conclusion drawn from specific instances, suggesting that in a contest between contemporaneous notes and later verbal testimony, the content of the written notes usually prevails.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement makes a conclusion from specific examples (contemporaneous notes and later verbal testimony) to a general principle about the superiority of written notes in a legal context.""
}",['induction'],1
7,47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Figures_of_argument,['strategic_repetition'],['strategic_repetition'],['strategic_repetition'],True,[],"{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The text exhibits strategic repetition through the repetition of the phrase 'thousands and thousands and thousands and thousands' to emphasize the large number of people influenced by Louis Farrakhan.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage includes the strategic repetition of 'thousands and thousands and thousands and thousands' to emphasize the large following of Louis Farrakhan.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text contains strategic repetition of the phrase 'thousands and thousands and thousands and thousands' for emphasis.""
}",['strategic_repetition'],True,"{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The use of the phrase 'thousands and thousands and thousands and thousands' demonstrates strategic repetition, emphasizing the large number of people influenced by Louis Farrakhan.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition of the phrase 'thousands and thousands and thousands and thousands' to emphasize the large number of people influenced by Louis Farrakhan.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'thousands and thousands and thousands and thousands' is a form of strategic repetition within the passage.""
}",['strategic_repetition'],1
11,73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Figures_of_argument,[],['eduction'],[],False,[],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The text presents a conclusion based on specific research findings, which are then used to make a general claim about the influence of search engine suggestions on undecided voters. This is an example of induction, as it moves from specific evidence to a general conclusion.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The passage presents a conclusion drawn from specific research findings (negative search suggestions shifting opinions of undecided voters by up to 43.4 percent) to make a general claim about the influence of search engines on voter opinions.""
}",['induction'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage does not make use of argument from opposites, inversion, generalization, or case-based reasoning. However, it does employ strategic repetition by restating the source of the information as 'a Breitbart report by Allum Bokhari' and 'according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.'""
}",['strategic_repetition'],False,"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The passage presents a conclusion drawn from specific research findings (negative search suggestions shifting opinions of undecided voters by up to 43.4 percent) to make a generalization about the influence of search engines on voter opinions.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The passage presents a conclusion drawn from specific research findings (negative search suggestions can shift opinions of undecided voters by up to 43.4 percent) to make a generalization about the impact of search engine manipulation on voter opinions.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The passage presents a conclusion based on specific research findings, indicating a shift in the opinions of undecided voters due to negative search suggestions. This is an example of induction, as it draws a generalization from specific research results.""
}",['induction'],1
13,83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Figures_of_argument,[],[],['antithesis'],False,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites is seen in the juxtaposition of 'dark' and 'irreversible' with 'persecution' and 'faithful', creating an antithesis.""
}",['antithesis'],"{
  ""Properties"": [""antithesis"", ""defintion as figure""],
  ""Explanation"": ""The use of 'dark, impenetrable' and 'irreversible' creates an antithesis by presenting stark opposites, and sets forth the full meaning and character of the persecution succinctly.""
}","['antithesis', 'defintion_as_figure']","{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'dark' and 'irreversible' in contrast with 'persecution' and 'faithful' creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'dark' and 'irreversible' creates an antithesis, emphasizing the stark contrast between the current situation and the potential future persecution.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'dark' and 'irreversible' creates an antithesis, emphasizing the extreme and contrasting nature of the situation described.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'dark' and 'irreversible' creates an antithesis, emphasizing the stark contrast between the current situation and the potential future persecution.""
}",['antithesis'],1
14,117,[ 1 12],"And so Chris Bryant, “a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’, a senior Labour MP has said.”",Figures_of_argument,[],[],['strategic_repetition'],False,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites is evident in the contrast between 'urging her to go further' and 'his presence is not conducive to the public good'.""
}",['antithesis'],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The use of 'condoning fascism' juxtaposed with 'not conducive to the public good' creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'condoning fascism' and 'not conducive to the public good' presents an argument from opposites, making a contrast between Trump's actions and the public good.""
}",['antithesis'],True,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'condoning fascism' and 'not conducive to the public good' presents an argument from opposites, which is an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites is evident in the contrast between 'condoning fascism' and 'not conducive to the public good'. This creates a strong argumentative effect by highlighting the contradiction between Trump's actions and his potential impact on the public good.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'condoning fascism' and 'not conducive to the public good' presents an argument from opposites, which is an example of antithesis.""
}",['antithesis'],1
15,118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Figures_of_argument,['defintion_as_figure'],[],['defintion_as_figure'],False,[],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The phrase 'a religion and a belief system that mandates warfare against unbelievers' presents an argument from opposites, contrasting the peaceful nature of religion with the assertion of a mandate for warfare.""
}",['antithesis'],"{
  ""Properties"": [""antimetabole""],
  ""Explanation"": ""The sentence 'Islam is a religion and is a belief system' presents an antimetabole, transposing the arguments 'a religion' and 'a belief system' to create a balanced and contrasting structure.""
}",['antimetabole'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites 'religion' and 'belief system' in the phrase 'a religion and is a belief system' creates an antithesis in the sentence.""
}",['antithesis'],False,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites is evident in the contrast between 'a religion' and 'a belief system that mandates warfare against unbelievers'. This creates a rhetorical effect by presenting contrasting ideas in close proximity.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites is evident in the contrast between 'a religion' and 'mandates warfare against unbelievers'. This creates a strong rhetorical effect by presenting opposing ideas in close proximity.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites is evident in the contrast between 'a religion' and 'mandates warfare against unbelievers'. This creates a strong rhetorical effect by presenting opposing ideas in close proximity.""
}",['antithesis'],1
