,sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consitency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
0,4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Figures_of_word_choice,[],[],"['emphasis', 'polyptoton']",False,[],"{
  ""Properties"": [""polyptoton""],
  ""Explanation"": ""The repetition of 'the' in 'the tradition of the Muslim doctors' and 'the greatness of his conquests' shows the use of polyptoton.""
}",['polyptoton'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The emphasis property is used here, as the leading words 'the great Temur' suggest more than is actually stated, implying a sense of grandeur and significance to his actions.""
}",['emphasis'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement 'wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests' presents a rhetorical conditional with 'wherefore' introducing the antecedent and 'as much to...as to' providing the consequent, creating a conditional statement where the antecedent is somewhat absurd in its implied reasoning.""
}",['rhetorical_conditional'],False,"{
  ""Properties"": [""metaplasms""],
  ""Explanation"": ""The word 'signalise' is a metaplasm of 'signalize', emphasizing a deviation from the standard form.""
}",['metaplasms'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'great' before 'Temur' emphasizes his desire for glory and conquest, suggesting more than is actually stated.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'great' before 'Temur' emphasizes his desire for glory and greatness in his conquests, suggesting more than is actually stated.""
}",['emphasis'],0
1,11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Figures_of_word_choice,[],['emphasis'],['emphasis'],False,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'astoundingly brazen lie' and 'assurance for what it seems to be worth' suggests that the speaker is using leading words to imply more than is actually stated, allowing for plausible deniability.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of leading words 'for what it seems to be worth' suggests more than is actually stated, allowing the speaker to benefit from an implication while allowing deniability.""
}",['emphasis'],"{
  ""Properties"": [""correctio"", ""emphasis""],
  ""Explanation"": ""The use of 'astoundingly brazen lie' followed by 'we can take the assurance for what it seems to be worth' introduces alternative connotations and emphasizes the doubt of the speaker.""
}","['correctio', 'emphasis']",False,"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'astoundingly brazen lie' emphasizes the speaker's disbelief and skepticism towards the Pope's statement, suggesting that there is more to the situation than what is being stated.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of leading words 'astoundingly brazen lie' suggests more than is actually stated, allowing the speaker to benefit from an implication while allowing deniability.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of leading words 'astoundingly brazen lie' suggests more than is actually stated, allowing the speaker to benefit from an implication while allowing deniability.""
}",['emphasis'],1
2,14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_word_choice,['emphasis'],[],[],False,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'horrifying' implies a strong negative reaction, but leaves it to the audience to infer the specific details or reasons for the reaction.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'horrifying' emphasizes the strong negative sentiment towards the verdict.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'horrifying' is an example of emphasis, as it conveys a strong negative sentiment, possibly going beyond what is directly stated.""
}",['emphasis'],True,"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'horrifying' suggests a strong negative reaction to the verdict, allowing for implication without directly stating his opinion.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'horrifying' emphasizes the strong negative reaction of Ben Shapiro to the verdict, suggesting more than is actually stated.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'horrifying' suggests a strong negative reaction to the verdict, allowing the speaker to benefit from the implication while allowing deniability.""
}",['emphasis'],1
3,16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Figures_of_word_choice,"['emphasis', 'synonyms']",[],[],False,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'akin to a typical American prison' emphasizes the comparison between the detention center and a prison, implying negative connotations associated with American prisons without explicitly stating it.""
}",['emphasis'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The use of the hypothetical 'could' in the statement 'his speaking at Hyde Park could cause violence' forms a rhetorical conditional, suggesting a possible consequence if the action were to occur.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of words like 'detention centre', 'American prison', 'violence', and 'disrupt community cohesion' suggests a negative and potentially alarming situation, thus employing emphasis to convey a particular message.""
}",['emphasis'],False,"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The use of 'could cause violence and disrupt community cohesion' forms a rhetorical conditional, suggesting a potential consequence if the action of speaking at Hyde Park were to occur.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'akin' emphasizes the similarity between the detention center and a typical American prison, suggesting a negative connotation without explicitly stating it.""
}",['emphasis'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The use of 'could cause violence and disrupt community cohesion' is a rhetorical conditional, presenting a hypothetical situation that is unlikely or absurd.""
}",['rhetorical_conditional'],0
4,23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Figures_of_word_choice,"['emphasis', 'polyptoton']",['emphasis'],['emphasis'],False,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'cashing in' emphasizes the unethical behavior and suggests that the elected officials are benefiting financially from their position, without explicitly stating it.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of quotation marks around 'cashing in' emphasizes the phrase and suggests that it has a deeper or different meaning than just the literal interpretation, indicating that there may be some criticism or implication within the phrase.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'cashing in' emphasizes the idea of personal gain and ethical misconduct without making a direct accusation, allowing for deniability.""
}",['emphasis'],True,"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'cashing in' emphasizes the idea of personal gain and implies unethical behavior without directly stating it.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'cashing in' emphasizes the idea of personal gain and implies unethical behavior without explicitly stating it, allowing for deniability.""
}",['emphasis'],timeout,[],1
5,32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Figures_of_word_choice,['emphasis'],[],[],False,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'must be totally taken to heart' emphasizes the importance and seriousness of Archbishop Carlo Maria Viganò's declarations."" 
}",['emphasis'],"{
  ""Properties"": [
    ""emphasis""
  ],
  ""Explanation"": ""The statement uses leading words suggesting that the declarations must be taken very seriously, without explicitly stating it.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'totally' emphasizes the importance and seriousness of considering the declarations made by Archbishop Carlo Maria Viganò.""
}",['emphasis'],True,"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'totally taken to heart' emphasizes the importance and seriousness of Archbishop Carlo Maria Viganò's declarations, suggesting that they should be given utmost consideration and attention.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'totally taken to heart' emphasizes the importance and seriousness of Archbishop Carlo Maria Viganò's declarations, suggesting that they should not be taken lightly.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'totally taken to heart' emphasizes the importance and seriousness of Archbishop Carlo Maria Viganò's declarations, suggesting that they should not be taken lightly.""
}",['emphasis'],1
6,43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Figures_of_word_choice,['ploce'],[],['emphasis'],False,[],"{
  ""Properties"": [""synonyms"", ""emphasis""],
  ""Explanation"": ""The use of 'notes' and 'verbal testimony' as synonyms emphasizes the importance of written notes over later verbal testimony.""
}","['synonyms', 'emphasis']","{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The statement emphasizes the superiority of contemporaneous notes over later verbal testimony, suggesting the written notes as more reliable without explicitly stating it.""
}",['emphasis'],"{
  ""Properties"": [
    ""emphasis""
  ],
  ""Explanation"": ""The use of the phrase 'the content of the written notes usually prevails' is an example of emphasis, as it suggests that written notes hold more weight than verbal testimony without explicitly stating it.""
}",['emphasis'],False,"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'I can tell you' emphasizes the speaker's authority and experience, suggesting that the following statement is based on firsthand knowledge and should be taken seriously.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'I can tell you' emphasizes the speaker's authority and experience, suggesting that their statement is based on firsthand knowledge and expertise.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'I can tell you' emphasizes the speaker's authority and experience, suggesting that their statement is based on firsthand knowledge and expertise.""
}",['emphasis'],1
7,47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Figures_of_word_choice,"['emphasis', 'ploce']","['emphasis', 'ploce']",['emphasis'],False,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'outstanding' and the repetition of 'thousands and thousands' emphasize the speaker's positive view of Louis Farrakhan and the impact of his influence.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The speaker uses the word 'thousands' repeated multiple times to emphasize the significant number of people impacted by Louis Farrakhan, suggesting a larger impact than what is explicitly stated.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The speaker emphasizes the positive qualities of Louis Farrakhan without explicitly stating them, benefiting from the implication while allowing deniability.""
}",['emphasis'],True,"{
  ""Properties"": [""ploce"", ""emphasis""],
  ""Explanation"": ""The use of repetition ('thousands and thousands and thousands and thousands') is an example of ploce. The speaker also uses leading words ('outstanding', 'learned', 'articulate') to emphasize Farrakhan's positive qualities without explicitly stating them, demonstrating emphasis.""
}","['ploce', 'emphasis']","{
  ""Properties"": [""ploce"", ""emphasis""],
  ""Explanation"": ""The use of 'thousands and thousands and thousands and thousands' is an example of ploce, the repetition of the word 'thousands'. This repetition emphasizes the large number of people influenced by Louis Farrakhan, adding emphasis to the speaker's point.""
}","['ploce', 'emphasis']","{
  ""Properties"": [""ploce"", ""emphasis""],
  ""Explanation"": ""The use of the phrase 'thousands and thousands and thousands and thousands' is an example of ploce, as it repeats the word 'thousands' for emphasis. The speaker also uses emphasis to highlight the significance of Louis Farrakhan's influence.""
}","['ploce', 'emphasis']",1
8,50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Figures_of_word_choice,['emphasis'],[],[],False,[],"{
  ""Properties"": [""polyptoton""],
  ""Explanation"": ""The use of the phrase 'first signer' involves the repetition of the word 'signer' in different form ('signer' and 'signed')""
}",['polyptoton'],"{
  ""Properties"": [
    ""agnominatio"",
    ""correctio""
  ],
  ""Explanation"": ""The use of the name 'John Hancock' is a form of agnominatio, as it is a play on words due to his famous signature. Additionally, the mention of him as 'the first signer of the Declaration of Independence' introduces a sense of correctio, as it corrects any potential misunderstanding about his significance.""
}","['agnominatio', 'correctio']","{
  ""Properties"": [
    ""correctio""
  ],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' is a correctio as it corrects and specifies who John Hancock was in case the reader is not familiar.""
}",['correctio'],False,"{
  ""Properties"": [""agnominatio""],
  ""Explanation"": ""The use of 'John Hancock' as a play on words, referring to both the historical figure and also as a way to indicate a signature, is an example of agnominatio.""
}",['agnominatio'],"{
  ""Properties"": [""correctio""],
  ""Explanation"": ""The use of 'the first signer' followed by 'of the Declaration of Independence' corrects the potential misunderstanding that John Hancock was the first person to sign any document, by specifying the specific document.""
}",['correctio'],"{
  ""Properties"": [""correctio""],
  ""Explanation"": ""The use of 'the first signer' followed by the correction 'of the Declaration of Independence' is an example of correctio, deliberately making a mistake and then immediately correcting it.""
}",['correctio'],0
9,54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Figures_of_word_choice,['emphasis'],[],['emphasis'],False,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'you know it' implies that the listener already knows the truth of Ms. Ford's story, adding emphasis to the speaker's belief in her truthfulness.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The speaker uses leading words 'and you know it' which suggest more than is actually stated, allowing for implication without direct assertion.""
}",['emphasis'],"{
  ""Properties"": [
    ""emphasis""
  ],
  ""Explanation"": ""The use of 'you know it' suggests that the speaker is implying that the listener should already know the truth based on the story, implying more than is actually stated.""
}",['emphasis'],True,"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'you know it' suggests that the speaker is emphasizing the truth of Ms. Ford's story without explicitly stating it. This allows for deniability while still conveying the implication.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'you know it' emphasizes the speaker's belief in Ms. Ford's truthfulness without explicitly stating it, allowing for deniability.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'you know it' implies that the listener should already be aware of the truth, adding emphasis to the speaker's belief in Ms. Ford's story.""
}",['emphasis'],1
