sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consitency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Language_of_origin,['Latin/Greek'],['Latin/Greek'],['Latin/Greek'],TRUE,[],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The term 'conquest' can be traced back to Norman French, which is evident in the context of military conquests and the actions of a historical figure like Temur.""
}",['Norman_French'],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The use of the word 'exterminate' in the context of military conquest reflects the influence of Norman French, which contributed many military terms to the English language.""
}",['Norman_French'],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The term 'tradition' in the context of 'the tradition of the Muslim doctors' comes from Norman French influence in English.""
}",['Norman_French'],FALSE,"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The use of the term 'conquest' in the text is an example of a word that came from Norman French, which is often associated with military terms and conquests.""
}",['Norman_French'],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The use of the word 'conquest' in the text is an example of a term associated with military endeavors that came from the Norman French language.""
}",['Norman_French'],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The use of the word 'exterminate' in the context of conquests reflects the influence of Norman French, which contributed many military terms to the English language.""
}",['Norman_French'],1
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Language_of_origin,['Old_English_Core'],['Latin/Greek'],['Latin/Greek'],FALSE,[],"{
  ""Properties"": [
    ""Latin/Greek""
  ],
  ""Explanation"": ""The text includes words deriving from Latin, such as 'evidence', 'homosexual', and 'assurance'.""
}",['Latin/Greek'],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The example contains the term 'assurance', which comes from Norman French.""
}",['Norman_French'],"{
  ""Properties"": [""Latin/Greek""],
  ""Explanation"": ""The text contains words derived from Latin, such as 'astoundingly', 'evidence', 'homosexual', 'activity', 'assurance'.""
}",['Latin/Greek'],FALSE,"{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English core such as 'word', 'lie', 'evidence', and also includes words derived from Latin/Greek such as 'assurance', 'activity'.""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English core ('word', 'it', 'for', 'but') and also includes words derived from Latin ('evidence', 'activity', 'assurance', 'worth').""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English core (e.g., 'word', 'it') and also includes words derived from Latin/Greek (e.g., 'evidence', 'homosexual', 'activity').""
}","['Old_English_Core', 'Latin/Greek']",1
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Language_of_origin,['Norman_French'],['Latin/Greek'],['Norman_French'],FALSE,[],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The Norman French property is present in the word 'verdict' which originated from the Norman French conquest.""
}",['Norman_French'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The sentence contains simple and frequently used words such as 'conservative', 'told', 'verdict', and 'horrifying'. These words are part of the Old English core vocabulary.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core""]
}

     
  ",['Old_English_Core'],TRUE,"{
  ""Properties"": [""Old English Core""]
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The sentence contains words from the Old English core, such as 'conservative', 'verdict', and 'horrifying'. These are simple and frequently used words in contemporary English.""
}",['Old_English_Core'],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The word 'verdict' comes from Norman French, which is evident in legal terminology.""
}",['Norman_French'],0
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Language_of_origin,['Latin/Greek'],[],['Latin/Greek'],FALSE,[],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The use of the word 'detention centre' likely originates from Norman French, as legal and administrative terms often come from this language.""
}",['Norman_French'],"{
  ""Properties"": [""Old English Core"", ""Norman French""],
  ""Explanation"": ""The text contains words derived from Old English core (American, violence, community) and Norman French (detention, centre, authorities, speaking, Hyde Park).""
}","['Old_English_Core', 'Norman_French']","{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The text contains the Norman French word 'violence' which is commonly used in legal and military contexts.""
}",['Norman_French'],FALSE,"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The text contains the Norman French term 'detention centre', which is commonly used in legal and military contexts.""
}",['Norman_French'],"{
  ""Properties"": [""Old English Core"", ""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core (e.g., 'detention', 'centre', 'American', 'prison'), Norman French (e.g., 'violence', 'community', 'cohesion'), and Latin/Greek (e.g., 'authorities', 'speaking', 'violence', 'disrupt').""
}","['Old_English_Core', 'Norman_French', 'Latin/Greek']","{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The use of the word 'detention centre' likely comes from Norman French, as legal and administrative terms often do.""
}",['Norman_French'],0
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Language_of_origin,['Latin/Greek'],['Old_English_Core'],"['Old_English_Core', 'Latin/Greek']",FALSE,[],"{
  ""Properties"": [""Latin/Greek""],
  ""Explanation"": ""The use of 'violation', 'ethics', 'safeguard', 'appearance', 'official', 'political' are all derived from Latin and Greek roots, indicating the presence of Latin/Greek origin in the text.""
}",['Latin/Greek'],"{
  ""Properties"": [
    ""Latin/Greek""
  ],
  ""Explanation"": ""The use of 'violation', 'ethics', 'safeguard', 'appearance', 'official', 'political', and 'director' in the text indicates the influence of Latin/Greek in the language of origin.""
}",['Latin/Greek'],"{
  ""Properties"": [""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text contains terms associated with legal and political discourse that likely originated from Norman French, such as 'violation', 'ethics', 'safeguard', 'official', 'political', and terms associated with the vernacular of the Church and Academe, such as 'ethics', 'official', 'political'.""
}","['Norman_French', 'Latin/Greek']",TRUE,"{
  ""Properties"": [""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words of Norman French origin such as 'violation' and 'ethics', as well as words of Latin/Greek origin such as 'safeguard', 'appearance', and 'official'.""
}","['Norman_French', 'Latin/Greek']","{
  ""Properties"": [""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The use of 'violation', 'ethics', 'safeguard', 'appearance', 'official', 'political', and 'executive' reflects the influence of Norman French and Latin/Greek in the text.""
}","['Norman_French', 'Latin/Greek']","{
  ""Properties"": [""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The use of 'violation', 'ethics', 'safeguard', 'appearance', 'official', 'political', and 'executive' reflects the influence of Norman French and Latin/Greek in the text.""
}","['Norman_French', 'Latin/Greek']",1
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Language_of_origin,['Latin/Greek'],['Latin/Greek'],"['Old_English_Core', 'Norman_French', 'Latin/Greek']",FALSE,[],"{
  ""Properties"": [
    ""Latin/Greek""
  ],
  ""Explanation"": ""The text contains the Latin word 'declarations' and the Greek-origin word 'prelate.' These words are derived from Latin and Greek respectively.""
}",['Latin/Greek'],"{
  ""Properties"": [""Latin/Greek""],
  ""Explanation"": ""The text contains the Latin-derived words 'declarations', 'prelate', 'authority', 'responsbile', and 'Church'.""
}",['Latin/Greek'],"{
  ""Properties"": [""Latin/Greek""],
  ""Explanation"": ""The use of the term 'prelate' and 'Archbishop' in the context of the Church reflects the influence of Latin-origin words commonly used in ecclesiastical settings.""
}",['Latin/Greek'],TRUE,"{
  ""Properties"": [""Latin/Greek""],
  ""Explanation"": ""The use of words like 'prelate', 'authority', 'archbishop', and 'declarations' in the statement indicates the influence of Latin in the language used.""
}",['Latin/Greek'],"{
  ""Properties"": [
    ""Latin/Greek""
  ],
  ""Explanation"": ""The use of words like 'prelate', 'authority', 'Archbishop', and 'Church' in the statement reflects the influence of Latin in the language of origin.""
}",['Latin/Greek'],"{
  ""Properties"": [""Latin/Greek""],
  ""Explanation"": ""The use of words like 'prelate', 'authority', 'declarations', and 'responsible' in the statement indicates the influence of Latin in the language used.""
}",['Latin/Greek'],1
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Language_of_origin,['Latin/Greek'],[],[],FALSE,[],"{
  ""Properties"": [""Old English Core"", ""Norman French""],
  ""Explanation"": ""The use of 'contemporaneous' and 'verbal' indicates the presence of Norman French influence, while the use of 'usually' and 'notes' reflects the Old English Core, as these are simple and frequently used words in contemporary English.""
}","['Old_English_Core', 'Norman_French']","{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The text contains simple and frequently used words such as 'notes', 'memories', 'content', and 'written'. These words are part of the Old English core, which consists of the simplest and most frequently used words in contemporary English.""
}",['Old_English_Core'],"{
  ""Properties"": [
    ""Old English Core"",
    ""Latin/Greek""
  ],
  ""Explanation"": ""The text contains words from the Old English core ('notes', 'memories', 'content') and also includes words derived from Latin ('contest', 'verbal', 'testimony', 'written').""
}","['Old_English_Core', 'Latin/Greek']",TRUE,"{
  ""Properties"": [""Old English Core"", ""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core ('notes', 'verbal', 'content', 'written') as well as terms from Norman French ('contest', 'verbal', 'testimony') and Latin/Greek ('contemporaneous', 'testimony').""
}","['Old_English_Core', 'Norman_French', 'Latin/Greek']","{
  ""Properties"": [
    ""Old English Core"",
    ""Norman French""
  ],
  ""Explanation"": ""The text contains words like 'contest', 'verbal', 'content' which are part of the Old English core, and the legal terms 'contemporaneous', 'testimony' which are derived from Norman French.""
}","['Old_English_Core', 'Norman_French']","{
  ""Properties"": [""Old English Core"", ""Norman French""],
  ""Explanation"": ""The text contains words from the Old English Core ('notes', 'memories', 'content') and Norman French ('contest', 'verbal', 'testimony').""
}","['Old_English_Core', 'Norman_French']",0
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Language_of_origin,['Old_English_Core'],['Old_English_Core'],['Old_English_Core'],TRUE,[],"{
  ""Properties"": [
    ""Old English Core"",
    ""Norman French""
  ],
  ""Explanation"": ""The text contains words from the Old English Core such as 'regard' and 'individuals', as well as a term associated with luxury that comes from Norman French, 'articulate'.""
}","['Old_English_Core', 'Norman_French']","{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The term 'aberration' comes from Norman French, which is evident in the legal and military context in which it is used.""
}",['Norman_French'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The text contains simple and frequently used words like 'regard', 'him', 'big', 'role', 'later'.""
}",['Old_English_Core'],TRUE,"{
  ""Properties"": [""Old English Core"", ""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core (e.g., 'regard', 'human', 'individuals'), Norman French (e.g., 'aberration', 'outstanding', 'following'), and Latin/Greek (e.g., 'articulate', 'emphasized').""
}","['Old_English_Core', 'Norman_French', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core (e.g., 'regard', 'outstanding', 'individuals') and Latin/Greek (e.g., 'aberration', 'articulate', 'individuals').""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The text contains simple and frequently used words such as 'regard', 'outstanding', 'human being', 'commands', 'following', 'individuals', 'learned', 'articulate', 'plays', 'big', 'role', 'lives', 'thousands'. These words are part of the Old English core vocabulary.""
}",['Old_English_Core'],0
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Language_of_origin,['Old_English_Core'],['Old_English_Core'],['Old_English_Core'],TRUE,[],"{
  ""Properties"": [
    ""Old English Core"",
    ""Latin/Greek""
  ],
  ""Explanation"": ""The use of 'Declaration of Independence' and 'signer' reflects the use of Latin/Greek terms, while 'the first', 'said' and 'of' are examples of Old English Core words.""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [
    ""Old English Core""
  ],
  ""Explanation"": ""The text contains simple and frequently used words commonly found in Old English Core language, such as 'John' and 'the'.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from Old English Core, such as 'the', 'of', and 'first', as well as words of Latin/Greek origin, such as 'Declaration', 'Independence', and 'signer'.""
}","['Old_English_Core', 'Latin/Greek']",FALSE,"{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core, such as 'the', 'of', and 'the', as well as words derived from Latin/Greek, such as 'Declaration', 'Independence', and 'signer'.""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core, such as 'the', 'of', 'the', 'first', and also includes words derived from Latin/Greek, such as 'Declaration', 'Independence', and 'signer'.""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core, such as 'the', 'of', 'the', and also includes words derived from Latin/Greek, such as 'Declaration', 'Independence'.""
}","['Old_English_Core', 'Latin/Greek']",1
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Language_of_origin,['Old_English_Core'],['Old_English_Core'],['Old_English_Core'],TRUE,[],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The example uses simple and frequently used words in contemporary English, which aligns with the Old English Core property.""
}",['Old_English_Core'],"{
  ""Properties"": [
    ""Old English Core""
  ],
  ""Explanation"": ""The example uses simple and frequently used words such as 'said', 'Thursday', 'I', 'believe', 'her', 'is', 'telling', 'the', 'truth', 'and', 'you', 'know', 'it', 'by', 'her', 'story'. These words are part of the Old English Core.""
}",['Old_English_Core'],"{
  ""Properties"": [
    ""Old English Core"",
    ""Norman French""
  ],
  ""Explanation"": ""The text contains words of Old English origin such as 'she', 'said', and 'her'. It also includes the Norman French word 'Thursday'.""
}","['Old_English_Core', 'Norman_French']",TRUE,"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The example contains simple and frequently used words such as 'she', 'said', 'Thursday', 'I', 'believe', 'her', 'is', 'telling', 'the', 'truth', 'and', 'you', 'know', 'it', 'by', 'story'.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The sentence contains simple and frequently used words such as 'she', 'said', 'Thursday', 'I', 'believe', 'her', 'is', 'telling', 'the', 'truth', 'and', 'you', 'know', 'it', 'by', 'story'.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core"", ""Norman French""],
  ""Explanation"": ""The use of simple and frequently used words like 'she', 'said', 'Thursday', and 'her' reflects the Old English core, while the use of 'regarding' and 'story' reflects the influence of Norman French.""
}","['Old_English_Core', 'Norman_French']",0
