,sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consitency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
1,11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Language_varieties,"['correctness', 'forcefulness']","['correctness', 'clarity', 'forcefulness']","['correctness', 'clarity']",False,[],"{
  ""Properties"": [""clarity"", ""forcefulness"", ""appropriateness""]
}

  
 	","['clarity', 'forcefulness', 'appropriateness']","{
  ""Properties"": [""clarity"", ""forcefulness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it contains a forceful expression ('astoundingly brazen lie') which reinforces the message.""
}","['clarity', 'forcefulness']","{
  ""Properties"": [
    ""clarity"",
    ""forcefulness""
  ],
  ""Explanation"": ""The text is forceful in its expression, using words like 'astoundingly brazen lie' to reinforce the message. It is also relatively clear in its meaning and understandable to the intended audience.""
}","['clarity', 'forcefulness']",False,"{
  ""Properties"": [""clarity"", ""forcefulness"", ""appropriateness""]
}","['clarity', 'forcefulness', 'appropriateness']","{
  ""Properties"": [""clarity"", ""forcefulness"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, uses forceful language to convey skepticism, and is appropriate in its critical tone towards the subject matter.""
}","['clarity', 'forcefulness', 'appropriateness']","{
  ""Properties"": [""clarity"", ""forcefulness"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, uses forceful language to convey skepticism, and is appropriate in its critical tone towards the subject matter.""
}","['clarity', 'forcefulness', 'appropriateness']",1
2,14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity', 'middle']",False,[],"{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The statement is clear and understandable to the intended audience, and it is appropriate for the context of a news report on Fox.""  
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The sentence is clear and understandable to the intended audience, and it is appropriate for a news context in terms of language use.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""forcefulness""]
  }
  
  ","['clarity', 'forcefulness']",False,"{
  ""Properties"": [""clarity""],
  ""Explanation"": ""The sentence is clear and understandable to the intended audience, using standard language and structure.""
}",['clarity'],"{
  ""Properties"": [""clarity"", ""forcefulness""],
  ""Explanation"": ""The statement is clear and easily understandable to the intended audience, and it conveys a strong emotional reaction, making it forceful.""
}","['clarity', 'forcefulness']","{
  ""Properties"": [""clarity"", ""forcefulness""],
  ""Explanation"": ""The statement is clear and easily understandable to the intended audience, and it conveys a strong emotional reaction, making it forceful.""
}","['clarity', 'forcefulness']",0
3,16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Language_varieties,"['clarity', 'forcefulness', 'appropriateness']","['correctness', 'clarity']","['correctness', 'clarity', 'middle']",False,[],"{
  ""Properties"": [""clarity""],
  ""Explanation"": ""The sentence is clear and easily understandable to the intended audience, using standard English and familiar vocabulary and structure.""
}",['clarity'],"{
  ""Properties"": [""clarity""],
  ""Explanation"": ""The text is written in a clear and understandable manner, making it easy for the intended audience to comprehend the message.""
}",['clarity'],"{
  ""Properties"": [
    ""clarity"",
    ""appropriateness""
  ],
  ""Explanation"": ""The text is clear and easily understandable, and it adheres to the cultural norms of propriety by reporting a statement made by an individual without using low or forceful language. The language used is appropriate for a news article."" 
}","['clarity', 'appropriateness']",False,"{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it adheres to the cultural norms of propriety by using language appropriate for a news report.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it adheres to the cultural norms of propriety by using appropriate language for the context.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it is appropriate in its use of language for the context of a news report.""
}","['clarity', 'appropriateness']",1
4,23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Language_varieties,"['clarity', 'low']","['correctness', 'clarity']","['middle', 'correctness', 'clarity', 'appropriateness', 'forcefulness']",False,[],"{
  ""Properties"": [""clarity"", ""appropriateness"", ""forcefulness""],
  ""Explanation"": ""The statement is clear and easily understandable to the intended audience. It also adheres to the cultural norms of propriety by using formal language suited for discussing Senate Ethics rules. The use of forceful language reinforces the seriousness of the violation."" 
}","['clarity', 'appropriateness', 'forcefulness']","{
  ""Properties"": [""clarity"", ""appropriateness"", ""middle""]
}

  ","['clarity', 'appropriateness', 'middle']","{
  ""Properties"": [
    ""clarity"",
    ""appropriateness""
  ],
  ""Explanation"": ""The sentence is clear and understandable to the intended audience, using standard language. It is also appropriate as it follows the cultural norms of propriety regarding political discourse and ethics.""
}","['clarity', 'appropriateness']",False,"{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The statement is clear and easily understandable to the intended audience. It is also appropriate in its use of language for discussing a serious matter related to Senate Ethics rules.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness"", ""forcefulness""],
  ""Explanation"": ""The statement is clear and easily understandable to the intended audience. It is also appropriate in its use of formal language to discuss Senate Ethics rules. The use of the phrase 'cashing in' is forceful and memorable, reinforcing the message.""
}","['clarity', 'appropriateness', 'forcefulness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and easily understandable to the intended audience. It also adheres to the cultural norms of propriety by using formal language to discuss a serious matter related to Senate Ethics rules.""
}","['clarity', 'appropriateness']",0
5,32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity', 'high', 'forcefulness']",False,[],"{
  ""Properties"": [""appropriateness"", ""clarity""]
}
  
  ","['appropriateness', 'clarity']","{
  ""Properties"": [
    ""formal""
  ],
  ""Explanation"": ""The text is written in a formal style, using standard language typical of reputable sources such as newspapers and official statements.""
}",['formal'],"{
  ""Properties"": [""clarity"", ""appropriateness"", ""high""]
}

 ","['clarity', 'appropriateness', 'high']",False,"{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The statement is clear and understandable to the intended audience, and it is appropriate in the context of a formal declaration within the Church.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""appropriateness"", ""clarity"", ""high""]
}

 	","['appropriateness', 'clarity', 'high']","{
  ""Properties"": [""clarity"", ""appropriateness"", ""high""]
}

 	","['clarity', 'appropriateness', 'high']",0
6,43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity', 'forcefulness', 'middle']",False,[],"{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""appropriateness""]
}","['correctness', 'clarity', 'forcefulness', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""appropriateness""]
}

  
 ","['correctness', 'clarity', 'forcefulness', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""appropriateness"", ""maxims/proverbs""],
  ""Explanation"": ""The text is well formed grammatically (correctness) and is easily understandable to the intended audience (clarity). The use of the phrase 'neither notes nor memories are infallible' expresses common wisdom (maxims/proverbs). The message is reinforced through forceful and memorable expression (forcefulness). The statement is tied to cultural norms of propriety for legal statements (appropriateness).""
}","['correctness', 'clarity', 'forcefulness', 'appropriateness', 'maxims/proverbs']",False,"{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""maxims/proverbs""]
}

 	","['correctness', 'clarity', 'forcefulness', 'maxims/proverbs']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""maxims/proverbs""]
}","['correctness', 'clarity', 'forcefulness', 'maxims/proverbs']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""appropriateness""]
}","['correctness', 'clarity', 'forcefulness', 'appropriateness']",0
7,47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity', 'forcefulness', 'middle']",False,[],"{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it adheres to the cultural norms of propriety by using language appropriate for a formal interview or statement.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it conforms to the cultural norms of propriety by using language that is respectful and appropriate for a formal context.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""forcefulness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and the use of repetition ('thousands and thousands and thousands and thousands') adds forcefulness to the message.""
}","['clarity', 'forcefulness']",False,"{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it adheres to cultural norms of propriety by using formal language to discuss a sensitive topic.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it is appropriate in its cultural and social context.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it adheres to cultural norms of propriety by using formal language to discuss a sensitive topic.""
}","['clarity', 'appropriateness']",1
8,50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Language_varieties,"['correctness', 'clarity', 'high']","['correctness', 'clarity']","['correctness', 'clarity']",False,[],"{
  ""Properties"": [],
  ""Explanation"": ""The text is a simple quotation and does not exhibit any specific language variety properties.""
}",[],"{
  ""Properties"": [""clarity"", ""high""],
  ""Explanation"": ""The text is written in formal English and is easily understandable to the intended audience.""
}","['clarity', 'high']","{
  ""Properties"": [""maxims/proverbs""],
  ""Explanation"": ""The quote attributed to John Hancock expresses a form of common wisdom or aphorism.""
}",['maxims/proverbs'],False,"{
  ""Properties"": [""maxims/proverbs""],
  ""Explanation"": ""The quote from John Hancock expresses common wisdom or a proverbial statement.""
}",['maxims/proverbs'],"{
  ""Properties"": [""maxims/proverbs""],
  ""Explanation"": ""The use of the quote from John Hancock qualifies as a maxim/proverb, as it expresses common wisdom or a well-known saying.""
}",['maxims/proverbs'],"{
  ""Properties"": [""maxims/proverbs""],
  ""Explanation"": ""The quote from John Hancock expresses common wisdom or a proverbial statement.""
}",['maxims/proverbs'],1
9,54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity', 'forcefulness', 'middle']",False,[],"{
  ""Properties"": [""clarity"", ""appropriateness""]
  ,
  ""Explanation"": ""The sentence is clear and understandable, and it is appropriate for the context in which it is used.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness""],
  ""Explanation"": ""The sentence is grammatically correct, clear in its message, and forcefully expresses the speaker's belief in Ms. Ford's truthfulness.""
}","['correctness', 'clarity', 'forcefulness']","{
  ""Properties"": [""clarity""],
  ""Explanation"": ""The statement is clear and understandable to the intended audience.""
}",['clarity'],False,"{
  ""Properties"": [""clarity"", ""appropriateness""]
  ,
  ""Explanation"": ""The sentence is clear and understandable to the intended audience, and it adheres to the cultural norms of propriety by expressing belief and support for Ms. Ford's story.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""]
  ,
  ""Explanation"": ""The sentence is clear and understandable to the intended audience, and it adheres to the cultural norms of expressing belief and support for a person sharing their story of experience.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The sentence is clear and understandable to the intended audience, and it adheres to the cultural norms of expressing belief and support for a person sharing their story.""
}","['clarity', 'appropriateness']",1
10,68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity', 'high', 'appropriateness']",False,[],"{
  ""Properties"": [
    ""clarity"",
    ""middle""
  ],
  ""Explanation"": ""The text is written in standard English and is clear and understandable to the intended audience.""
}","['clarity', 'middle']","{
  ""Properties"": [""clarity""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, conveying the message effectively without ambiguity.""
}",['clarity'],"{
  ""Properties"": [""clarity"", ""middle""],
  ""Explanation"": ""The text is written in clear, understandable language, using standard edited English.""
}","['clarity', 'middle']",False,"{
  ""Properties"": [""clarity""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, as the reader is able to comprehend the content of the Cardinal's exposition in both Italian and English.""
}",['clarity'],"{
  ""Properties"": [""clarity""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, as the reader is able to comprehend the Cardinal's exposition in both Italian and English.""
}",['clarity'],"{
  ""Properties"": [""clarity""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, as the reader is able to comprehend the mention of sacraments in certain cases in the Cardinal's exposition.""
}",['clarity'],1
