sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consitency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Lexical_and_semantic_fields,['definite/hypothesis'],"['indefinite/thesis', 'definite/hypothesis']","['indefinite/thesis', 'abstract', 'definite/hypothesis']",FALSE,[],"{
  ""Properties"": [""prototype"", ""abstract""],
  ""Explanation"": ""The text uses the specific figure of Temur as a prototype for the broader category of Muslim leaders or conquerors. It also employs abstract concepts such as 'glory' and 'greatness of conquests.'""
}","['prototype', 'abstract']","{
  ""Properties"": [
    ""prototype"",
    ""concrete""
  ],
  ""Explanation"": ""The mention of 'Muhammad' as a representative figure for the Muslim doctors exemplifies the use of a prototype. Additionally, the reference to 'exterminate the infidels' and 'greatness of his conquests' illustrates the use of concrete language, referring to physical actions and immediate sense impressions.""
}","['prototype', 'concrete']","{
  ""Properties"": [""prototype""],
  ""Explanation"": ""The text uses the prototype property as 'Muhammad' is used as a representative member of the group of 'Muslim doctors' to convey a shared belief or advice.""
}",['prototype'],FALSE,"{
  ""Properties"": [""prototype"", ""abstract""],
  ""Explanation"": ""The text contains a prototype in the form of 'Muhammad' representing a group (Muslim doctors), and it also discusses abstract concepts such as 'glory' and 'greatness of conquests'.""
}","['prototype', 'abstract']","{
  ""Properties"": [""prototype"", ""definite/hypothesis""],
  ""Explanation"": ""The text contains a specific reference to 'Muhammad' and 'Temur', making it definite/hypothesis. Additionally, 'Muhammad' can be seen as a prototype for the tradition of Muslim doctors.""
}","['prototype', 'definite/hypothesis']","{
  ""Properties"": [""prototype"", ""definite/hypothesis""],
  ""Explanation"": ""The text contains a specific reference to 'Muhammad' as a representative figure and 'the great Temur' as a specific historical individual, indicating the use of prototype and definite/hypothesis properties.""
}","['prototype', 'definite/hypothesis']",0
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Lexical_and_semantic_fields,"['abstract', 'definite/hypothesis']",['definite/hypothesis'],"['concrete', 'abstract', 'definite/hypothesis']",FALSE,[],"{
  ""Properties"": [
    ""abstract""
  ],
  ""Explanation"": ""The text contains a broad category or relationship ('homosexual activity') which falls under the abstract property of Lexical and semantic fields.""
}",['abstract'],"{
  ""Properties"": [""abstract""],
  ""Explanation"": ""The text refers to abstract concepts such as 'the pope’s word', 'astoundingly brazen lie', 'no evidence', and 'homosexual activity', which are broad categories or relationships.""
}",['abstract'],"{
  ""Properties"": [""prototype""],
  ""Explanation"": ""The use of 'the pope' as a representative figure for the institution of the papacy makes it a prototype within the context of the statement.""
}",['prototype'],FALSE,"{
  ""Properties"": [""abstract""],
  ""Explanation"": ""The text uses abstract language to discuss the concept of 'assurance' and 'evidence' without specific reference to concrete objects or actions.""
}",['abstract'],"{
  ""Properties"": [""prototype"", ""abstract""]
}

  ","['prototype', 'abstract']","{
  ""Properties"": [""abstract""],
  ""Explanation"": ""The text uses abstract language to discuss broad categories or relationships, such as 'the pope’s word' and 'Ricca’s homosexual activity'.""
}",['abstract'],0
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Lexical_and_semantic_fields,"['abstract', 'definite/hypothesis']","['concrete', 'definite/hypothesis']","['concrete', 'definite/hypothesis']",FALSE,[],"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The use of the word 'verdict' refers to a specific action or event, reflecting a concrete lexical field.""
}",['concrete'],"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains a concrete reference to a specific person, 'Conservative Ben Shapiro', and a specific event, 'the verdict'.""
}",['concrete'],"{
    ""Properties"": [""prototype"", ""concrete""],
    ""Explanation"": ""The text contains concrete and specific language, as it refers to a specific person (Ben Shapiro) and uses a specific adjective (horrifying) to describe the verdict.""
}","['prototype', 'concrete']",FALSE,"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains a concrete reference to a specific person (Ben Shapiro) and a specific news outlet (Fox news).""
}",['concrete'],"{
  ""Properties"": [""prototype""],
  ""Explanation"": ""The use of the word 'conservative' in reference to Ben Shapiro can be seen as a prototype, representing a specific member of a group (conservatives) who holds a particular viewpoint.""
}",['prototype'],"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains a concrete lexical field, as it refers to specific people and actions, such as 'Conservative Ben Shapiro' and 'Fox news'.""
}",['concrete'],0
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Lexical_and_semantic_fields,"['indefinite/thesis', 'concrete', 'abstract', 'definite/hypothesis']","['abstract', 'prototype', 'definite/hypothesis']",['definite/hypothesis'],FALSE,[],"{
  ""Properties"": [""prototype"", ""concrete"", ""definite/hypothesis""],
  ""Explanation"": ""The statement includes a specific person (Sellner) and a physical place (detention centre), representing the definite/hypothesis property. It also references a physical location and a typical American prison, representing the concrete property. Sellner is used as a representative or prototype for the group engaging in a certain type of speech or behavior, representing the prototype property.""
}","['prototype', 'concrete', 'definite/hypothesis']","{
  ""Properties"": [
    ""concrete"",
    ""definite/hypothesis""
  ],
  ""Explanation"": ""The text contains concrete references to specific physical locations ('detention centre', 'Hyde Park') and specific individuals ('Sellner'). This makes use of the concrete and definite properties of lexical and semantic fields.""
}","['concrete', 'definite/hypothesis']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The article refers to a specific person, Sellner, and a specific location, Hyde Park.""
}",['definite/hypothesis'],FALSE,"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains concrete language referring to physical objects and actions, such as 'detention centre', 'American prison', and 'Hyde Park'.""
}",['concrete'],"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains concrete language referring to physical objects and actions, such as 'detention centre', 'American prison', and 'Hyde Park'.""
}",['concrete'],"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains concrete language referring to physical objects and actions, such as 'detention centre', 'American prison', 'Hyde Park', and 'violence'.""
}",['concrete'],1
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Lexical_and_semantic_fields,"['definite/hypothesis', 'abstract', 'indefinite/thesis']",['definite/hypothesis'],"['concrete', 'abstract', 'definite/hypothesis']",FALSE,[],"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The use of concrete language such as 'Senate Ethics rules', 'elected officials', and 'cashing in' indicates the focus on physical objects, actions, or immediate sense impressions.""
}",['concrete'],"{
  ""Properties"": [""abstract""],
  ""Explanation"": ""The use of 'Senate Ethics rules', 'elected officials', 'official position', and 'political purposes' demonstrates the abstract nature of the language used, focusing on broad categories and relationships rather than specific physical objects or actions.""
}",['abstract'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The statement refers to a specific person, Kendra Arnold, and her official position as the executive director of FACT.""
}",['definite/hypothesis'],FALSE,"{
  ""Properties"": [""definite/hypothesis"", ""abstract""],
  ""Explanation"": ""The use of 'the Senate Ethics rules' and 'elected officials' are specific and definite, indicating a definite reference to specific people and things. The mention of 'safeguard against the appearance or actuality of elected officials 'cashing in' on their official position for political purposes' is abstract, referring to a broad category or relationship.""
}","['definite/hypothesis', 'abstract']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific people and things, such as 'the Senate Ethics rules' and 'Kendra Arnold, executive director of FACT.'""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The quote refers to specific Senate Ethics rules and a specific person, Kendra Arnold, making it a definite statement.""
}",['definite/hypothesis'],0
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Lexical_and_semantic_fields,"['indefinite/thesis', 'definite/hypothesis']",['definite/hypothesis'],['definite/hypothesis'],FALSE,[],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The statement refers to specific individuals, Cardinal Raymond Burke, Archbishop Carlo Maria Viganò, and those responsible in the Church, making it definite in nature.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text contains a specific reference to Cardinal Raymond Burke and Archbishop Carlo Maria Viganò, making it an example of definite or hypothesis language.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The statement specifically mentions Cardinal Raymond Burke and Archbishop Carlo Maria Viganò, making it definite/hypothesis in nature.""
}",['definite/hypothesis'],TRUE,"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The statement refers to specific individuals such as Cardinal Raymond Burke, Archbishop Carlo Maria Viganò, and those responsible in the Church, making it definite/hypothesis.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The statement refers to specific individuals such as Cardinal Raymond Burke, Archbishop Carlo Maria Viganò, and those responsible in the Church, indicating a definite/hypothesis lexical and semantic field.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The statement refers to specific individuals such as Cardinal Raymond Burke, Archbishop Carlo Maria Viganò, and those responsible in the Church.""
}",['definite/hypothesis'],1
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Lexical_and_semantic_fields,['indefinite/thesis'],['indefinite/thesis'],"['concrete', 'prototype']",FALSE,[],"{
  ""Properties"": [""prototype"", ""abstract"", ""definite/hypothesis""],
  ""Explanation"": ""The text contains a specific comparison between contemporaneous notes and later verbal testimony, which makes it a definite/hypothesis statement. It also involves a broad category of 'contemporaneous notes' and 'verbal testimony', making it an abstract concept. The use of 'contemporaneous notes' as a representative case supports the inclusion of the prototype property.""
}","['prototype', 'abstract', 'definite/hypothesis']","{
  ""Properties"": [""abstract""],
  ""Explanation"": ""The text contains abstract concepts such as 'contemporaneous notes' and 'verbal testimony', which represent broad categories or relationships.""
}",['abstract'],"{
  ""Properties"": [""abstract""],
  ""Explanation"": ""The text discusses broad categories or relationships between contemporaneous notes and later verbal testimony, which are abstract concepts."" 
}",['abstract'],FALSE,"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains concrete language referring to physical objects (notes) and actions (verbal testimony).""
}",['concrete'],"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains concrete language referring to physical objects (notes) and actions (verbal testimony).""
}",['concrete'],"{
  ""Properties"": [""abstract"", ""definite/hypothesis""],
  ""Explanation"": ""The text contains abstract concepts such as 'contemporaneous notes' and 'verbal testimony' which represent broad categories or relationships. Additionally, the mention of 'contemporaneous notes' and 'later verbal testimony' refers to specific things, thus falling under the definite/hypothesis category.""
}","['abstract', 'definite/hypothesis']",0
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Lexical_and_semantic_fields,"['indefinite/thesis', 'definite/hypothesis']",['definite/hypothesis'],['definite/hypothesis'],FALSE,[],"{
  ""Properties"": [""prototype"", ""concrete""],
  ""Explanation"": ""The mention of Louis Farrakhan as an 'outstanding human being' and someone who 'commands a following' is an example of a prototype within a specific group, while the reference to 'individuals', 'thousands and thousands of people' and Farrakhan playing a 'big role' all convey concrete, physical actions and immediate sense impressions.""
}","['prototype', 'concrete']","{
  ""Properties"": [""abstract"", ""definite""],
  ""Explanation"": ""The text uses the abstract category of 'outstanding human being' to describe Louis Farrakhan, which is a broad categorization. Additionally, the specific reference to Louis Farrakhan as an individual qualifies as a definite reference.""
}","['abstract', 'definite']","{
  ""Properties"": [""prototype"", ""concrete""],
  ""Explanation"": ""The use of the specific name 'Louis Farrakhan' represents a prototype of a person, and the mention of his command over a following and role in the lives of thousands reflects concrete actions and immediate sense impressions.""
}","['prototype', 'concrete']",FALSE,"{
  ""Properties"": [""prototype"", ""abstract""],
  ""Explanation"": ""The text uses the prototype property by referring to Louis Farrakhan as an outstanding human being who commands a following, representing a specific member of a group. It also employs the abstract property by discussing broad categories and relationships, such as the role Farrakhan plays in the lives of thousands of people.""
}","['prototype', 'abstract']","{
  ""Properties"": [""prototype"", ""abstract""],
  ""Explanation"": ""The text uses the prototype property by using 'Louis Farrakhan' as a specific member of a group (outstanding human being) representative of that group. It also employs the abstract property by discussing broad categories and relationships (individuals who are learned and articulate, plays a big role in the lives of thousands of people).""
}","['prototype', 'abstract']","{
  ""Properties"": [""prototype"", ""definite/hypothesis""],
  ""Explanation"": ""The use of 'Louis Farrakhan' as a specific individual represents the definite/hypothesis property. Additionally, the mention of 'individuals who are learned and articulate' and 'thousands and thousands and thousands and thousands of people' suggests the use of a prototype to represent a group.""
}","['prototype', 'definite/hypothesis']",0
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Lexical_and_semantic_fields,"['indefinite/thesis', 'definite/hypothesis']",['definite/hypothesis'],['definite/hypothesis'],FALSE,[],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The mention of 'John Hancock' as the first signer of the Declaration of Independence provides a specific and definite reference to a person.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to a specific person, John Hancock, who is the first signer of the Declaration of Independence. This makes it a definite or hypothesis statement.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The mention of 'John Hancock' specifically refers to a particular person, meeting the criteria for the definite/hypothesis property.""
}",['definite/hypothesis'],TRUE,"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The mention of 'John Hancock' as the first signer of the Declaration of Independence is a specific reference to a person, indicating the use of definite/hypothesis property.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to a specific person, John Hancock, making it a definite or hypothesis statement.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to a specific person, John Hancock, making it a definite reference.""
}",['definite/hypothesis'],1
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Lexical_and_semantic_fields,['definite/hypothesis'],['definite/hypothesis'],['definite/hypothesis'],TRUE,[],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The mention of 'Ms. Ford' and 'Thursday' make the statement specific and definite, indicating a definite reference to a person and time.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The specific reference to 'Ms. Ford' in the context of belief and truthfulness fits the definition of definite/hypothesis.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The statement references a specific person (Ms. Ford) and utilizes the definite article 'the' before her name.""
}",['definite/hypothesis'],TRUE,"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The use of 'Ms. Ford' and 'her' makes the reference specific and definite, indicating a specific person being talked about.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The statement refers to a specific person, Ms. Ford, and a specific time, Thursday.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The use of 'Ms. Ford' and 'her story' makes the reference specific and definite, indicating a specific person and their story.""
}",['definite/hypothesis'],1
