,sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consitency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
0,4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",New_words_and_changing_uses,['foreign_borrowing'],[],"['compounds', 'prefixes/suffixes']",False,[],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of the word 'infidels' in the English text is a foreign borrowing from the Arabic 'kafir', reflecting the influence of Islamic tradition and terminology on the English language.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of the word 'infidels' is an example of foreign borrowing, as it is adopted from Arabic in this English text.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of the word 'infidels', borrowed from the Arabic 'kafir', is an example of foreign borrowing.""
}",['foreign_borrowing'],True,"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The text contains a foreign borrowing in the form of 'infidels', which is borrowed from the Arabic language.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of the word 'infidels' is a foreign borrowing from the Arabic language, which has been incorporated into the English language.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of 'Muhammad' is a foreign borrowing from Arabic, as it is a word borrowed from another language.""
}",['foreign_borrowing'],1
1,11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",New_words_and_changing_uses,['prefixes/suffixes'],[],"['compounds', 'catachresis']",False,[],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The example text does not exhibit any specific neologism or change in word use that would fall under the other listed properties. The language used in the text appears to be standard English without any new words or changing uses.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of the word 'homosexual' is a foreign borrowing from Greek ('homo', same) and Latin ('sexus', sex).""
}",['foreign_borrowing'],"{
  ""Properties"": [""prefixes/suffixes""],
  ""Explanation"": ""The word 'homosexual' is formed using the prefix 'homo-' meaning 'same' and the suffix '-sexual' meaning 'related to sexual activity'.""
}",['prefixes/suffixes'],False,"{
  ""Properties"": [""clipping""],
  ""Explanation"": ""The word 'homosexual' is a clipped form of the original word 'homosexual activity'.""
}",['clipping'],"{
  ""Properties"": [""foreign borrowing"", ""clipping""],
  ""Explanation"": ""The text does not exhibit any new words or changing uses. The words used are all standard English vocabulary.""
}","['foreign_borrowing', 'clipping']","{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The text does not exhibit any of the other properties listed. The word 'homosexual' is a foreign borrowing from the Greek language, where 'homo-' means 'same' and '-sexual' refers to 'sexual orientation'.""
}",['foreign_borrowing'],0
2,14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,New_words_and_changing_uses,['foreign_borrowing'],['foreign_borrowing'],['conversions'],False,[],"{
  ""Properties"": [""conversions""],
  ""Explanation"": ""The use of 'verdict' as a verb is an example of conversion, where a noun is used as a verb.""
}",['conversions'],"{
  ""Properties"": [""catachresis""],
  ""Explanation"": ""The term 'horrifying' is used to express the severity of the verdict in a way that lacks a specific label, fitting the definition of catachresis.""
}",['catachresis'],"{
  ""Properties"": [""conversion""],
  ""Explanation"": ""The use of 'verdict' as a verb is a conversion, as 'verdict' is originally a noun.""
}",['conversion'],False,"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of the word 'verdict' in the context of a legal decision is borrowed from Latin (veredictum).""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of the word 'horrifying' in the context of the news text is an example of foreign borrowing, as the word 'horrifying' is borrowed from English and is not a native word in the language it is used in.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of the word 'verdict' in the context of a legal decision is borrowed from Latin (veredictum).""
}",['foreign_borrowing'],1
3,16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",New_words_and_changing_uses,['foreign_borrowing'],"['compounds', 'foreign_borrowing']","['compounds', 'conversions']",False,[],"{
  ""Properties"": [""analogy"", ""foreign borrowing"", ""clipping""],
  ""Explanation"": ""The use of 'akin' in the context of describing the detention center as resembling a typical American prison is an analogy. The term 'Hyde Park' is a foreign borrowing from the name of a specific location. Additionally, the word 'akin' is a clipped form of 'resembling'.""
}","['analogy', 'foreign_borrowing', 'clipping']","{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of 'akin' is a foreign borrowing from the Old English word 'eċenn' and is an example of borrowing a word from another language.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The text contains the foreign borrowing property as it uses 'akin', a word borrowed from Middle English, to describe the detention center."" 
}",['foreign_borrowing'],False,"{
  ""Properties"": [""foreign borrowing"", ""analogy""],
  ""Explanation"": ""The use of 'akin' is a foreign borrowing from Old English, and it also demonstrates analogy by forming a new word according to the model of 'like' or 'similar to'.""
}","['foreign_borrowing', 'analogy']","{
  ""Properties"": [""foreign borrowing"", ""analogy""],
  ""Explanation"": ""The use of 'akin' is a foreign borrowing from Old English, and it also demonstrates analogy by forming a new word according to the model of 'like' or 'similar to'.""
}","['foreign_borrowing', 'analogy']","{
  ""Properties"": [""foreign borrowing"", ""analogy""],
  ""Explanation"": ""The use of 'akin' is a foreign borrowing from Middle English, and it also demonstrates analogy by forming a new word according to the model of 'like' or 'similar to'.""
}","['foreign_borrowing', 'analogy']",1
4,23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",New_words_and_changing_uses,"['acronyms', 'foreign_borrowing', 'conversions']",['acronyms'],"['compounds', 'acronyms']",False,[],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of 'cashing in' in this context is a foreign borrowing from English, as it originates from a colloquial American phrase meaning to profit or benefit from a situation, often in a way that is questionable or unethical.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of 'cashing in' is a foreign borrowing from colloquial English, denoting profiting from a situation."" 
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing"", ""compounds""],
  ""Explanation"": ""The use of 'cashing in' is a compound word, formed by combining 'cashing' and 'in'. The term 'cashing in' originated as a foreign borrowing from the concept of exchanging assets for money, but it is now used as a compound to signify exploiting a situation for personal gain.""
}","['foreign_borrowing', 'compounds']",False,"{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'Senate' and 'Ethics' as common nouns instead of proper nouns, and the borrowing of 'cashing in' from English slang, demonstrate the properties of proper nouns to common nouns and foreign borrowing.""
}","['foreign_borrowing', 'proper_nouns_to_common_nouns']","{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of 'cashing in' is a foreign borrowing from English, as it is a phrase that originated in English and is now used in the text without translation or modification.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing"", ""compounds"", ""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'Senate', 'Ethics', and 'executive director' are proper nouns that have been used as common nouns in this context. Additionally, 'executive director' is a compound noun. The term 'cashing in' is a foreign borrowing from the world of finance.""
}","['foreign_borrowing', 'compounds', 'proper_nouns_to_common_nouns']",0
5,32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,New_words_and_changing_uses,"['foreign_borrowing', 'prefixes/suffixes']",[],['catachresis'],False,[],"{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The text includes foreign borrowing with the use of 'prelate' and 'Viganò', representing proper nouns being used as common nouns.""
}","['foreign_borrowing', 'proper_nouns_to_common_nouns']","{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of 'prelate' originates from the Latin 'praelatus', which has been borrowed into English to refer to a high-ranking member of the clergy.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The text contains 'Archbishop Carlo Maria Viganò,' a proper noun used as a general term in the context of the Church, which qualifies as proper nouns to common nouns. Additionally, 'prelate' has been borrowed from Latin ('praelatus') through foreign borrowing.""
}","['foreign_borrowing', 'proper_nouns_to_common_nouns']",False,"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of 'prelate' is a foreign borrowing from Latin, where it means 'an ecclesiastical dignitary'.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'prelate' and 'Archbishop Carlo Maria Viganò' as general terms ('prelate' for a high-ranking member of the clergy and 'Archbishop Carlo Maria Viganò' for a specific individual) demonstrates the use of proper nouns as common nouns. Additionally, 'prelate' is a foreign borrowing from Latin.""
}","['foreign_borrowing', 'proper_nouns_to_common_nouns']","{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'prelate' and 'Archbishop' as general terms for high-ranking church officials indicates the use of proper nouns as common nouns. Additionally, 'Viganò' is a foreign borrowing from Italian.""
}","['foreign_borrowing', 'proper_nouns_to_common_nouns']",0
6,43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",New_words_and_changing_uses,['foreign_borrowing'],[],"['compounds', 'catachresis']",False,[],"{
  ""Properties"": [""compounds"", ""conversion""],
  ""Explanation"": ""The use of 'contemporaneous' and 'verbal testimony' involves converting the adjectives 'contemporaneous' and 'verbal' into nouns to fit the context. Additionally, 'contemporaneous notes' is a compound noun.""
}","['compounds', 'conversion']","{
  ""Properties"": [""compounds"", ""analogy""],
  ""Explanation"": ""The use of 'contemporaneous' and 'verbal testimony' appears to be a compound, and the formation of 'contemporaneous' and 'later' seems to have been influenced by the analogy of 'contemporary' and 'later'.""
}","['compounds', 'analogy']","{
  ""Properties"": [""compounds"", ""conversion""],
  ""Explanation"": ""The text contains compounds like 'verbal testimony' and 'written notes', as well as conversion of 'notes' from a noun to a verb in 'verbal testimony about those notes'.""
}","['compounds', 'conversion']",False,"{
  ""Properties"": [""compounds""],
  ""Explanation"": ""The phrase 'contemporaneous notes' is a compound word, formed by yoking together the existing words 'contemporaneous' and 'notes'.""
}",['compounds'],"{
  ""Properties"": [""compounds"", ""conversion""],
  ""Explanation"": ""The text contains compounds like 'contemporaneous notes' and 'verbal testimony', as well as a conversion of the noun 'notes' into the verb 'contemporaneous notes'.""
}","['compounds', 'conversions']","{
  ""Properties"": [""conversion""],
  ""Explanation"": ""The use of 'notes' as a verb in 'contemporaneous notes' is an example of conversion, where a noun is used as a verb.""
}",['conversions'],0
7,47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",New_words_and_changing_uses,"['doubling', 'foreign_borrowing']",['foreign_borrowing'],['conversions'],False,['doubling'],"{
  ""Properties"": [""foreign borrowing"", ""compounds""],
  ""Explanation"": ""The text uses the foreign borrowing of the name 'Louis Farrakhan' as well as compounds like 'outstanding' and 'thousands and thousands and thousands' formed by yoking existing words together.""
}","['foreign_borrowing', 'compounds']","{
  ""Properties"": [""doubling""],
  ""Explanation"": ""The use of 'thousands and thousands and thousands and thousands' involves the doubling of the word 'thousands' for emphasis.""
}",['doubling'],"{
  ""Properties"": [""compounds"", ""conversion""],
  ""Explanation"": ""The text includes compounds such as 'outstanding human being' and 'thousands and thousands', and a conversion where 'learned' is used as a past participle verb ('individuals who are learned').""
}","['compounds', 'conversion']",False,"{
  ""Properties"": [""doubling""],
  ""Explanation"": ""The use of 'thousands and thousands and thousands and thousands' involves the doubling of the word 'thousands' for emphasis.""
}",['doubling'],"{
  ""Properties"": [""compounds"", ""conversion""],
  ""Explanation"": ""The text contains compounds like 'outstanding human being' and 'thousands and thousands and thousands and thousands'. It also includes a conversion where 'learned' is used as an adjective instead of a past participle.""
}","['compounds', 'conversions']","{
  ""Properties"": [""foreign borrowing"", ""compounds""],
  ""Explanation"": ""The text contains a foreign borrowing in the name 'Louis Farrakhan', which is borrowed from a proper noun. Additionally, the phrase 'thousands and thousands and thousands and thousands' is an example of compounding, as it combines multiple instances of the word 'thousands' for emphasis.""
}","['foreign_borrowing', 'compounds']",0
8,50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",New_words_and_changing_uses,['proper_nouns_to_common_nouns'],[],[],False,[],"{
  ""Properties"": [""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'John Hancock' as a term for signature, demonstrates the transformation of a proper noun into a common noun.""
}",['proper_nouns_to_common_nouns'],"{
  ""Properties"": [""proper nouns to common nouns""],
  ""Explanation"": ""The proper noun 'John Hancock' has been used to refer to a signature, making it a common noun.""
}",['proper_nouns_to_common_nouns'],"{
  ""Properties"": [""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'John Hancock' as a generic term for a signature reflects the process of converting a proper noun into a common noun.""
}",['proper_nouns_to_common_nouns'],True,"{
  ""Properties"": [""proper nouns to common nouns""],
  ""Explanation"": ""The proper noun 'John Hancock' is used as a common noun to refer to a signature.""
}",['proper_nouns_to_common_nouns'],"{
  ""Properties"": [""proper nouns to common nouns""],
  ""Explanation"": ""The proper noun 'John Hancock' is used as a common noun to refer to a signature, as in 'put your John Hancock on this document.'""
}",['proper_nouns_to_common_nouns'],"{
  ""Properties"": [""proper nouns to common nouns""],
  ""Explanation"": ""The proper noun 'John Hancock' is used as a common noun to refer to a signature, as in 'put your John Hancock on this document.'""
}",['proper_nouns_to_common_nouns'],1
9,54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",New_words_and_changing_uses,[],['foreign_borrowing'],[],False,[],"{
  ""Properties"": [""conversion""],
  ""Explanation"": ""The word 'believe' is originally a verb, but in the given text, it is used as a noun, indicating a change in part of speech (conversion).""
}",['conversion'],"{
  ""Properties"": [""conversions""],
  ""Explanation"": ""The conversion property is present in the use of the noun 'Thursday' being used as an adverb to describe a time of speaking.""
}",['conversions'],"{
  ""Properties"": [
    ""conversion""
  ],
  ""Explanation"": ""The use of 'believe' as a verb in 'I believe her' is an example of conversion, as it changes a noun into a verb.""
}",['conversion'],False,"{
  ""Properties"": [""conversion""],
  ""Explanation"": ""The word 'believe' is being used as a verb, which is a conversion from its original use as a noun.""
}",['conversions'],"{
  ""Properties"": [""conversion""],
  ""Explanation"": ""The word 'believe' is used as a verb, even though it is originally a noun, making it an example of conversion.""
}",['conversions'],"{
  ""Properties"": [""conversion""],
  ""Explanation"": ""The word 'believe' is being used as a verb, even though it is originally a noun, making it an example of conversion.""
}",['conversions'],1
