,sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consitency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
0,4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Parallelism,['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],False,[],"{
  ""Properties"": [
    ""grammatical structure (parison)""
  ],
  ""Explanation"": ""The use of the structure 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' represents parity among longer clauses with repetition, which is characteristic of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The sentence exhibits the rhetorical device of parison, with the repetition of the structure 'as much to acquire that glory, as to signalise himself by the greatness of his conquests'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [
    ""grammatical structure (parison)""
  ],
  ""Explanation"": ""The sentence contains a grammatical structure in the form of repetition for emphasis and coherence: 'wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.'""
}",['grammatical_structure_(parison)'],True,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure through the repetition of 'as much to acquire that glory, as to signalise himself by the greatness of his conquests.' This creates parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'as much to acquire that glory, as to signalise himself by the greatness of his conquests.'""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the great Temur always strove' and 'to acquire that glory, as to signalise himself' demonstrates parity among longer clauses through repetition, indicating the presence of parison.""
}",['grammatical_structure_(parison)'],True
1,11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Parallelism,['in_stress_patterns_(iambic_parameter)'],['grammatical_structure_(parison)'],[],False,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'but given that' sets up a grammatical structure that mirrors the previous clause, creating a sense of parity and repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The text uses grammatical structure parallelism in the repeated structure of 'but given that' and 'we can take', creating a sense of balance and cohesion.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parity among longer clauses from repetition, creating a sense of balance and coherence in the argument.""
}",['grammatical_structure_(parison)'],True,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'that there was no evidence for Ricca’s homosexual activity' and 'we can take the assurance for what it seems to be worth.'""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'but given that' and 'we can take'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'but given that' creates a parallel structure by repeating the word 'that' in both clauses, indicating a grammatical structure (parison).""
}",['grammatical_structure_(parison)'],True
2,14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Parallelism,['in_syllables_(isocolon)'],[],[],False,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of parallel structure is evident in the repetition of the adjective 'horrifying' to emphasize the intensity of the verdict for the speaker.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'the verdict was' and 'horrifying' creates parity among longer clauses, demonstrating the use of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The grammatical structure in the statement is parallelism, as it repeats the adjective 'horrifying' in the same grammatical structure.""
}",['grammatical_structure_(parison)'],True,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'horrifying' at the end of the sentence mirrors the structure of the statement, creating a sense of balance and emphasis.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the verdict was' followed by 'horrifying' demonstrates a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'horrifying' at the end of the sentence mirrors the structure of the statement, creating a sense of balance and emphasis.""
}",['grammatical_structure_(parison)'],True
4,23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Parallelism,['in_syllables_(isocolon)'],[],['grammatical_structure_(parison)'],False,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The grammatical structure of the sentence features repetition with the phrase 'against the appearance or actuality', which creates a sense of parity and cohesion.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of parallel structure 'appearance or actuality' creates a grammatical structure, highlighting the similarity between the two concepts.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [
    ""grammatical structure (parison)""
  ],
  ""Explanation"": ""The sentence uses grammatical structure parallelism by repeating the phrase 'of the Senate Ethics rules' to create parity among longer clauses.""
}",['grammatical_structure_(parison)'],True,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'of elected officials' and 'on their official position' in the clauses, creating a sense of balance and coherence.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'of' and 'the' in the phrases 'of the Senate Ethics rules' and 'of elected officials'. This creates a sense of balance and symmetry in the sentence.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'which safeguard against' and 'of elected officials 'cashing in' on' creates a grammatical structure with parity among longer clauses, indicating the presence of parison.""
}",['grammatical_structure_(parison)'],True
5,32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Parallelism,['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],False,[],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The statement exhibits parallelism in grammatical structure, with the repetition of 'The declarations made by a prelate...' and 'must be totally taken to heart by those responsible...'""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The statement exhibits parallelism in its grammatical structure, with the repetition of 'The declarations made by a prelate' and 'of the authority of Archbishop Carlo Maria Viganò'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [
    ""grammatical structure (parison)""
  ],
  ""Explanation"": ""The statement uses a grammatical structure called parison by repeating the phrase 'The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.' This repetition creates a sense of parity and emphasis on the importance of the declarations.""
}",['grammatical_structure_(parison)'],True,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The statement exhibits parallelism in grammatical structure with the repetition of 'The declarations made by a prelate' and 'of the authority of Archbishop Carlo Maria Viganò'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The statement exhibits parallelism in grammatical structure with the repetition of 'The declarations made by a prelate' and 'of the authority of Archbishop Carlo Maria Viganò'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The statement exhibits parallelism in its grammatical structure by repeating the phrase 'The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò' at the beginning of the sentence and 'must be totally taken to heart by those responsible in the Church' at the end.""
}",['grammatical_structure_(parison)'],True
6,43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Parallelism,[],[],['grammatical_structure_(parison)'],False,[],"{
  ""Properties"": [""parison""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'neither... nor' and 'in a contest between... and'.""
}",[''],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of the repeated structure 'neither...nor' and 'content of the written notes' mirror each other in the sentence, creating a sense of balance and equivalence.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [
    ""grammatical structure (parison)""
  ],
  ""Explanation"": ""The sentence exhibits grammatical structure parallelism with the repeated pattern 'neither... nor', 'notes... memories', 'contemporaneous... later', and 'verbal testimony... written notes'. This creates a balanced and cohesive structure in the sentence.""
}",['grammatical_structure_(parison)'],False,"{
  ""Properties"": [
    ""grammatical structure (parison)""
  ],
  ""Explanation"": ""The sentence exhibits parallelism in its grammatical structure by repeating the phrase 'neither notes nor memories are infallible' and 'in a contest between contemporaneous notes and later verbal testimony about those notes'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure by repeating the phrase 'neither notes nor memories' and 'contemporaneous notes and later verbal testimony about those notes'. This creates a sense of balance and equivalence in the sentence.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [
    ""grammatical structure (parison)""
  ],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'neither...nor' and 'contemporaneous...later'. This creates a sense of balance and equivalence in the clauses.""
}",['grammatical_structure_(parison)'],True
7,47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Parallelism,['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],False,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits grammatical structure parallelism through repetition of the phrase 'thousands and thousands and thousands and thousands'. This creates a sense of parity and emphasis on the large number of people influenced by Louis Farrakhan.""
}",['grammatical_structure_(parison)'],"{
    ""Properties"": [""parison""],
    ""Explanation"": ""The use of repetition in the structure 'thousands and thousands and thousands and thousands' creates a sense of parity among longer clauses, which is characteristic of parison parallelism.""
}",[''],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'thousands and thousands and thousands and thousands' creates a sense of parity and repetition in the structure, indicating the presence of parison.""
}",['grammatical_structure_(parison)'],False,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of repetition in the structure of the sentence, with the repetition of 'thousands and thousands and thousands and thousands' creates a grammatical parallelism (parison) in the text.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of repetition in the structure 'thousands and thousands and thousands and thousands' demonstrates grammatical structure parallelism (parison).""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of repetition in the structure of the sentence, with the repetition of 'thousands and thousands and thousands and thousands' creates a sense of parity among longer clauses, indicating the presence of parison.""
}",['grammatical_structure_(parison)'],True
9,54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Parallelism,[],[],['grammatical_structure_(parison)'],False,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The usage of 'I believe her because' and 'you know it by' demonstrates parallelism in the grammatical structure of the clauses, creating a balanced and impactful statement.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'I believe her because' and 'you know it by' shows parity among longer clauses through repetition, indicating the use of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The parallel structure is used to draw a comparison between the speaker's belief in Ms. Ford and the listener's knowledge of her story.""
}",['grammatical_structure_(parison)'],True,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'I believe her because' and 'you know it by' creates a grammatical structure of parity among longer clauses, indicating the use of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'I believe her because' and 'you know it by her story' demonstrates a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'I believe her because' and 'you know it by her story' shows parity among longer clauses through repetition, indicating the use of parison.""
}",['grammatical_structure_(parison)'],True
11,73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Parallelism,[],[],['grammatical_structure_(parison)'],False,[],"{
  ""Properties"": [],
  ""Explanation"": ""The given text does not exhibit any of the provided properties of Parallelism. The sentence does not display any patterns of isocolon, iambic parameter, parison, or comparison. As a result, the list of properties is empty.""
}",[],"{
  ""Properties"": [""parison""],
  ""Explanation"": ""The use of parallel structure can be identified in the repetition of the phrase 'search engines like Google' and the parallel structure of 'the name of a candidate' and 'the opinions of undecided voters'. This creates a sense of balance and parity among longer clauses.""
}",[''],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text contains parallelism in argument by comparing the impact of negative search suggestions on undecided voters before and after a certain action is taken.""
}",['comparison_(parallelism_in_argument)'],False,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence contains a form of parallelism in its grammatical structure, with the repetition of 'according to' and 'search engines like Google can' creating a sense of balance and coherence.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence contains a form of parallelism known as parison, with the repetition of 'search engines like Google' and 'according to a Breitbart report by Allum Bokhari'. This creates a balanced and cohesive structure.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence contains a form of parallelism known as parison, where the structure of the longer clauses is repeated: 'according to a Breitbart report by Allum Bokhari' and 'according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.'""
}",['grammatical_structure_(parison)'],True
12,80,[1],"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Parallelism,['grammatical_structure_(parison)'],['grammatical_structure_(parison)'],['grammatical_structure_(parison)'],True,[],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of 'unprecedented' to describe both the moment in papal history and the potential step of recalling Benedict XVI to the Chair of St. Peter creates a comparison, highlighting the novelty and significance of the situation.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The sentence uses parallelism in argument by comparing the unprecedented moment in papal history with the idea of recalling Benedict XVI to the Chair of St. Peter as an unprecedented step in response to the crisis.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The statement uses parallelism in argument by comparing the current situation to an unprecedented moment in papal history, implying that an unprecedented step should be considered in response to the crisis.""
}",['comparison_(parallelism_in_argument)'],True,"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of 'unprecedented' to describe both the moment in papal history and the potential step of recalling Benedict XVI to the Chair of St. Peter creates a comparison, highlighting the gravity of the situation.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The use of 'unprecedented' twice in the same sentence creates a grammatical structure of repetition, indicating the parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'unprecedented' twice in the same sentence creates a grammatical structure of repetition, indicating the parallelism in the argument.""
}",['grammatical_structure_(parison)'],False
