sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consitency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Phrases_built_on_nouns,[],[],[],TRUE,[],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' acts as an appositive, renaming and providing additional information about 'the same thing.' Additionally, the phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' acts as a summative modifier, summarizing the reasons why Temur strove to exterminate the infidels.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' functions as an appositive, renaming and providing additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive that renames and further describes the noun 'the same thing'. The phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' is a summative modifier that summarizes the preceding clause.""
}","['appositives', 'summative_modifier']",FALSE,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and provides additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and further describes the noun 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive built on the noun 'thing', renaming and providing additional information about it.""
}",['appositives'],1
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Phrases_built_on_nouns,[],[],[],TRUE,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' renames the noun 'word' and modifies it with additional information.""
}",['appositives'],"{
  ""Properties"": [""resumptive modifier"", ""summative modifier""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is a resumptive modifier, as it repeats and modifies the noun 'lie'. The phrase 'what it seems to be worth' is a summative modifier, summarizing the preceding clause.""
}","['resumptive_modifier', 'summative_modifier']",FALSE,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive that renames the noun 'word'.""
}",['appositives'],1
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Phrases_built_on_nouns,[],[],[],TRUE,[],"{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is a resumptive modifier, as it repeats and refers back to the noun it modifies, 'Ben Shapiro'.""
}",['resumptive_modifier'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive as it renames the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive modifying the noun 'Shapiro.'""
}",['appositives'],FALSE,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro' with additional information.""
}",['appositives'],1
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Phrases_built_on_nouns,[],[],[],TRUE,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Sellner, who described the detention centre as looking akin to a typical American prison' is an appositive because it renames the noun 'Sellner'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'who described the detention centre as looking akin to a typical American prison' is an appositive because it renames 'Sellner'.""
}",['appositives'],"{
  ""Properties"": [
    ""appositives""
  ],
  ""Explanation"": ""The phrase 'who described the detention centre as looking akin to a typical American prison' is an appositive as it renames 'Sellner' by providing additional information about him.""
}",['appositives'],TRUE,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Sellner, who described the detention centre as looking akin to a typical American prison' is an appositive, as it renames 'Sellner' and provides additional information about him.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'who described the detention centre as looking akin to a typical American prison' is an appositive, as it renames the noun 'Sellner' by providing additional information about him.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Sellner, who described the detention centre as looking akin to a typical American prison' is an appositive, as it renames 'Sellner' and provides additional information about him.""
}",['appositives'],1
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Phrases_built_on_nouns,['appositives'],[],['appositives'],FALSE,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'executive director of FACT' is an appositive that renames and further describes 'Kendra Arnold.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'executive director of FACT' renames and provides additional information about 'Kendra Arnold', making it an appositive.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'executive director of FACT' renames the noun 'Kendra Arnold', making it an appositive phrase.""
}",['appositives'],TRUE,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'executive director of FACT' is an appositive that renames and provides additional information about Kendra Arnold.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'executive director of FACT' renames and provides additional information about Kendra Arnold, making it an appositive.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'executive director of FACT' is an appositive that renames and provides additional information about Kendra Arnold.""
}",['appositives'],1
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Phrases_built_on_nouns,['appositives'],[],['appositives'],FALSE,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Cardinal Raymond Burke' renames the noun 'statement', qualifying as an appositive.""
}",['appositives'],"{
  ""Properties"": [""absolute construction""],
  ""Explanation"": ""The phrase 'the authority of Archbishop Carlo Maria Viganò' is an absolute construction related to the noun 'prelate' as a feature of his authority.""
}",['absolute_construction'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Cardinal Raymond Burke’s statement' is an appositive which renames the noun 'declaration'.""
}",['appositives'],FALSE,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Archbishop Carlo Maria Viganò' renames the noun 'prelate', making it an appositive construction.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Archbishop Carlo Maria Viganò' renames the noun 'prelate', making it an appositive construction.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Archbishop Carlo Maria Viganò' renames the noun 'prelate' and provides additional information about the prelate being referred to.""
}",['appositives'],1
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Phrases_built_on_nouns,[],[],['absolute_construction'],FALSE,[],"{
  ""Properties"": [
    ""appositives""
  ],
  ""Explanation"": ""The phrase 'a former trial lawyer' is an appositive, renaming and providing additional information about the noun 'I'.""
}",['appositives'],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'in a contest between contemporaneous notes and later verbal testimony about those notes' serves as a summative modifier summarizing the preceding clause.""
}",['summative_modifier'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'former trial lawyer' renames the noun 'I', functioning as an appositive.""
}",['appositives'],FALSE,"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'in a contest between contemporaneous notes and later verbal testimony about those notes' summarizes or generalizes the preceding clause about the infallibility of notes and memories.""
}",['summative_modifier'],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'in a contest between contemporaneous notes and later verbal testimony about those notes' summarizes or generalizes the preceding clause about the infallibility of notes and memories.""
}",['summative_modifier'],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'in a contest between contemporaneous notes and later verbal testimony about those notes' summarizes the preceding clause about the infallibility of notes and memories.""
}",['summative_modifier'],1
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Phrases_built_on_nouns,[],[],[],TRUE,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'an outstanding human being' renames and further describes 'Louis Farrakhan', making it an appositive construction.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Louis Farrakhan, an outstanding human being...' is an appositive that renames or describes Louis Farrakhan.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Louis Farrakhan' renames 'an outstanding human being,' thereby functioning as an appositive.""
}",['appositives'],TRUE,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Louis Farrakhan, an outstanding human being' is an appositive, renaming the noun 'Louis Farrakhan' with additional information.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'an outstanding human being' renames and further describes Louis Farrakhan, making it an appositive.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'an outstanding human being who commands a following of individuals who are learned and articulate' is an appositive, as it renames 'Louis Farrakhan' and provides additional information about him.""
}",['appositives'],1
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Phrases_built_on_nouns,['appositives'],['appositives'],['appositives'],TRUE,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' renames 'John Hancock', making it an appositive.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' renames 'John Hancock' and therefore functions as an appositive.""
}",['appositives'],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' acts as an appositive, renaming 'John Hancock'. Additionally, 'the first signer of the Declaration of Independence' serves as a summative modifier, summarizing the significance of John Hancock's role.""
}","['appositives', 'summative_modifier']",FALSE,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' renames 'John Hancock' and provides additional information about him.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' renames 'John Hancock' and provides additional information about him.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' renames 'John Hancock' and provides additional information about him.""
}",['appositives'],1
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Phrases_built_on_nouns,[],[],[],TRUE,[],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'Ms. Ford: \""I believe her because she is telling the truth and you know it by her story\""' summarizes or generalizes the preceding clause.""
}",['summative_modifier'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Ms. Ford' is an appositive that renames the noun 'Thursday', providing additional information about the topic of the sentence.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Ms. Ford' acts as an appositive, renaming the noun 'Thursday'.""
}",['appositives'],FALSE,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Ms. Ford' renames the noun 'Thursday', serving as an appositive.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Ms. Ford' is an appositive, renaming the noun 'Thursday'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Ms. Ford' is an appositive, renaming the noun 'Thursday'.""
}",['appositives'],1
