,sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consitency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
0,4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Sentence_architecture,['right_branching'],['Periodic_sentences'],['right_branching'],False,[],"{
  ""Properties"": [
    ""middle branching"",
    ""periodic sentences""
  ],
  ""Explanation"": ""The sentence inserts material between the subject 'Muhammad' and the verb 'advises' (middle branching), and it completes its meaning at the end, delivering the key point after a pause (periodic sentences).""
}","['middle_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically, but it continues with modifying clauses and phrases ('according to the tradition of the Muslim doctors', 'as much to acquire that glory, as to signalise himself by the greatness of his conquests').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically ('Muhammad advises the same thing') but continues with modifying clauses ('according to the tradition of the Muslim doctors').""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'according to the tradition of the Muslim doctors' and 'as much to acquire that glory, as to signalise himself by the greatness of his conquests.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'according to the tradition of the Muslim doctors' and 'as much to acquire that glory, as to signalise himself by the greatness of his conquests.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'according to the tradition of the Muslim doctors' and 'as much to acquire that glory, as to signalise himself by the greatness of his conquests.'""
}",['right_branching'],1
1,11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Sentence_architecture,['right_branching'],['right_branching'],['right_branching'],True,[],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the main grammatical structure is complete, creating a right-branching structure.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete, but continues with modifying clauses ('but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth').""
}",['right_branching'],"{
  ""Properties"": [
    ""left branching""
  ],
  ""Explanation"": ""The sentence opens with modifying structures ('We are simply asked to take the pope’s word for it') before introducing the subject ('but given that it follows his astoundingly brazen lie...'), making it left-branching.""
}",['left_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.'""
}",['right_branching'],1
2,14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Sentence_architecture,['loose_sentences'],['left_branching'],['left_branching'],False,[],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('the verdict was “horrifying'').""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses that describe Ben Shapiro's statement, even though the main idea of the sentence is grammatically complete.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases. In this case, 'Conservative Ben Shapiro told Fox news' is followed by 'the verdict was horrifying.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'Conservative Ben Shapiro told Fox news the verdict was 'horrifying.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases ('told Fox news the verdict was “horrifying').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases ('told Fox news the verdict was “horrifying').""
}",['right_branching'],1
3,16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Sentence_architecture,['middle_branching'],['left_branching'],"['middle_branching', 'left_branching']",False,[],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with a modifying clause 'who described the detention centre as looking akin to a typical American prison' after the main clause is complete.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses. The main clause 'Sellner said he was told by authorities' is followed by the modifying clause 'that his speaking at Hyde Park could cause violence and disrupt community cohesion.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause 'Sellner... American prison.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'Sellner...American prison'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'Sellner...American prison.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'Sellner...American prison'.""
}",['right_branching'],1
4,23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Sentence_architecture,['right_branching'],['right_branching'],"['middle_branching', 'left_branching']",False,[],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses ('which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes') after the main clause ('This is a clear violation of the Senate Ethics rules').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause completes grammatically.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with a modifying clause ('which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes') after the complete grammatical structure ('This is a clear violation of the Senate Ethics rules').""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,' after the main clause.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,' said Kendra Arnold, executive director of FACT.')""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes').""
}",['right_branching'],1
5,32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Sentence_architecture,['left_branching'],['left_branching'],['right_branching'],False,[],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching because it is complete grammatically but continues with modifying clauses ('made by a prelate of the authority of Archbishop Carlo Maria Viganò').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically with 'The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church,' but continues with the modifying clause 'Cardinal Raymond Burke’s statement declares'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with the modifying clause 'by those responsible in the Church.' The main clause 'The declarations...Viganò' is followed by further modifying information.""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('of the authority of Archbishop Carlo Maria Viganò').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is grammatically complete but continues with modifying clauses ('made by a prelate of the authority of Archbishop Carlo Maria Viganò').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'of the authority of Archbishop Carlo Maria Viganò'.""
}",['right_branching'],1
6,43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Sentence_architecture,"['Periodic_sentences', 'left_branching']",['left_branching'],['left_branching'],False,[],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails').""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.'""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses 'in a contest between contemporaneous notes and later verbal testimony about those notes'.""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('neither notes nor memories are infallible') and phrases ('in a contest between contemporaneous notes and later verbal testimony about those notes').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('neither notes nor memories are infallible') and phrases ('in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails').""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('neither notes nor memories are infallible') and phrases ('in a contest between contemporaneous notes and later verbal testimony about those notes').""
}",['right_branching'],1
7,47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Sentence_architecture,['right_branching'],['right_branching'],['right_branching'],True,[],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically ('I don’t regard Louis Farrakhan as an aberration or anything'), but continues with modifying clauses ('I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,'), making it right branching.""
}",['right_branching'],"{
  ""Properties"": [""right branching"", ""loose sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after being grammatically complete. It is also a loose sentence as it trails off with accumulated detail without a concluding point.""
}","['right_branching', 'loose_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""This sentence is right-branching because it is grammatically complete before continuing with modifying clauses or phrases, such as 'he plays a big role in the lives of thousands and thousands and thousands and thousands of people.'""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'he emphasized later.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause, creating a right-branching structure.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'I regard him as an outstanding human being.'""
}",['right_branching'],1
8,50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Sentence_architecture,['right_branching'],['left_branching'],['middle_branching'],False,[],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after completing the main clause, which makes it right-branching.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the initial complete grammatical clause.""
}",['right_branching'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is right-branching because it continues after the initial complete thought with additional information ('the first signer of the Declaration of Independence'). It is also periodic because the meaning is completed dramatically at the end with 'said,' delivering the main point at the end of the sentence.""
}","['right_branching', 'periodic_sentences']",False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with a modifying clause ('the first signer of the Declaration of Independence').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('the first signer of the Declaration of Independence').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('the first signer of the Declaration of Independence').""
}",['right_branching'],1
9,54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Sentence_architecture,['right_branching'],['left_branching'],['left_branching'],False,[],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the complete grammatical structure 'She said Thursday.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses ('because she is telling the truth and you know it by her story') after completing its basic grammatical structure.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses 'because she is telling the truth' and 'you know it by her story' after completing its grammatical structure.""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'She said Thursday.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('because she is telling the truth and you know it by her story').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('because she is telling the truth and you know it by her story').""
}",['right_branching'],1
