,sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consitency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
0,4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Subject_choices,"['concepts', 'humans']",['humans'],['humans'],False,[],"{
    ""Properties"": [""humans""],
    ""Explanation"": ""The text mentions 'Muhammad' and 'the great Temur' as specific individuals, falling under the category of humans.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The sentence uses 'the great Temur' as the subject, focusing on the actions and motivations of the historical figure, rather than specific humans or abstractions.""
}",['rhetorical_participants'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Muhammad' refers to a single individual, fitting the property of humans.""
}",['humans'],False,"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'the great Temur' as the subject emphasizes the writer's perspective and rhetorical stance, making it an example of rhetorical participants.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'Muhammad' is used to refer to a rhetorical participant, as it represents a figure within the context of the writer's discussion.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'Muhammad' is used to refer to a historical figure, and the sentence is structured in a way that involves the reader in the discussion of his advice and actions.""
}",['rhetorical_participants'],1
1,11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Subject_choices,"['slot_fillers', 'rhetorical_participants', 'concepts', 'humans']",['rhetorical_participants'],"['slot_fillers', 'rhetorical_participants']",False,[],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'we' indicates that the subject choice involves the reader or writer themselves.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'we' indicates that the writer is including themselves as part of the readership, making it a rhetorical participant.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants"", ""abstractions"", ""things""]
  ,
  ""Explanation"": ""The text includes a reference to 'we' as the readers ('we are simply asked') and mentions 'the pope' as a rhetorical participant. It also refers to abstract concepts such as 'his astoundingly brazen lie' and 'the assurance' alongside 'Ricca’s homosexual activity' which is a thing.""
}","['rhetorical_participants', 'abstractions', 'things']",False,"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'we' in the sentence indicates that the writer is including themselves as part of the audience, making it a rhetorical participant.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'we' indicates that the writer is including themselves in the discussion, making it a rhetorical participant.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'we' in the sentence indicates a rhetorical participant, where the subject is the reader themselves.""
}",['rhetorical_participants'],1
2,14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Subject_choices,"['concepts', 'humans']",['humans'],['humans'],False,[],"{
  ""Properties"": [""rhetorical participants""]
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'Conservative Ben Shapiro' as the subject emphasizes the viewpoint of the writer or reader themselves, classifying this as a rhetorical participant choice.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'Ben Shapiro' represents a rhetorical participant - a specific individual expressing their opinion.""
}",['rhetorical_participants'],True,"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'Conservative Ben Shapiro' refers to a specific individual, and the use of 'told' indicates that the subject is a rhetorical participant in the act of communication.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'Ben Shapiro' is a rhetorical participant as he is the speaker expressing his opinion.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'Conservative Ben Shapiro' is a rhetorical participant as it refers to a specific individual expressing their opinion.""
}",['rhetorical_participants'],1
3,16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Subject_choices,"['things', 'concepts', 'humans', 'abstractions']",['humans'],['humans'],False,[],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject choices in the text refer to specific individuals ('Sellner') and groups ('authorities').""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Sellner' is a human individual, making use of the 'humans' property.""
}",['humans'],"{
  ""Properties"": [""humans"", ""rhetorical participants""],
  ""Explanation"": ""The example includes 'Sellner' as a human subject and 'he' as a rhetorical participant, indicating the writer's reference to individuals and the involvement of the writer and reader in the discourse.""
}","['humans', 'rhetorical_participants']",False,"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Sellner' is a human individual, making use of the 'humans' property.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Sellner' is a human, a single individual.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Sellner' is a human individual, making use of the 'humans' property.""
}",['humans'],1
4,23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Subject_choices,"['concepts', 'humans', 'abstractions']",['humans'],"['slot_fillers', 'humans']",False,[],"{
  ""Properties"": [""humans"", ""abstractions""],
  ""Explanation"": ""The subject choices in the text include the human 'Kendra Arnold' and the abstraction 'Senate Ethics rules'.""
}","['humans', 'abstractions']","{
  ""Properties"": [""humans"", ""abstractions""],
  ""Explanation"": ""The subject 'Kendra Arnold, executive director of FACT' is a human, and the statement refers to abstractions such as 'violation of Senate Ethics rules' and 'cashing in on their official position'.""
}","['humans', 'abstractions']","{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The subject 'Kendra Arnold' is a human (proper name), and the quotation includes the rhetorical participant 'executive director of FACT'.""
}","['rhetorical_participants', 'humans']",False,"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Kendra Arnold' is a human individual.""
}",['humans'],"{
  ""Properties"": [""humans"", ""rhetorical participants""],
  ""Explanation"": ""The subject 'Kendra Arnold' is a human, and the use of 'said' indicates a rhetorical participant as the subject.""
}","['humans', 'rhetorical_participants']","{
  ""Properties"": [""rhetorical participants"", ""abstractions"", ""humans""],
  ""Explanation"": ""The subject choices in the text include 'Kendra Arnold' (human), 'Senate Ethics rules' (abstraction), and 'elected officials' (humans). Additionally, the use of 'This' can be considered a slot filler.""
}","['rhetorical_participants', 'abstractions', 'humans']",0
5,32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Subject_choices,['humans'],['things'],['things'],False,[],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal Raymond Burke' is a proper name, which falls under the 'humans' property.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The subject 'Cardinal Raymond Burke' is a specific human individual, and the statement is attributed to him, making it a rhetorical participant.""
}","['rhetorical_participants', 'humans']","{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The statement includes the rhetorical participant 'Cardinal Raymond Burke' and refers to him as a prelate, which falls under the 'humans' category.""
}","['rhetorical_participants', 'humans']",False,"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal Raymond Burke' is a specific human individual.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal Raymond Burke' is a human individual, a proper name.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal Raymond Burke' is a human individual.""
}",['humans'],1
6,43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Subject_choices,"['things', 'rhetorical_participants', 'abstractions']",['rhetorical_participants'],['rhetorical_participants'],False,[],"{
  ""Properties"": [""humans"", ""rhetorical participants""],
  ""Explanation"": ""The subject 'I' refers to the writer, and the reference to 'you' indicates the intended reader. This demonstrates the use of the rhetorical participant property. Additionally, the mention of 'a former trial lawyer' represents a human subject.""
}","['humans', 'rhetorical_participants']","{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'I' indicates the writer speaking as a former trial lawyer, thus making use of rhetorical participants.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' in the sentence signifies that the writer is referring to their own experience and expertise. This falls under the category of rhetorical participants.""
}",['rhetorical_participants'],False,"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' indicates that the writer is referring to themselves, making this a rhetorical participant.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'I' indicates that the writer is referring to themselves, making it a rhetorical participant.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' indicates that the writer is referring to themselves, making it a rhetorical participant.""
}",['rhetorical_participants'],1
7,47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Subject_choices,"['rhetorical_participants', 'humans']",['rhetorical_participants'],['rhetorical_participants'],False,"['rhetorical_participants', 'humans']","{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject choices in the text refer to Louis Farrakhan, a specific individual, and the individuals who follow him, emphasizing the human aspect of the discussion.""
}",['humans'],"{
  ""Properties"": [""humans"", ""abstractions""],
  ""Explanation"": ""The subject choices in the text include 'Louis Farrakhan' (proper name, human) and 'an aberration' and 'an outstanding human being' (abstractions).""
}","['humans', 'abstractions']","{
  ""Properties"": [""humans"", ""abstractions""]
  ,
  ""Explanation"": ""The text refers to Louis Farrakhan as a human being and also discusses his role in the lives of thousands of people, which falls under the property of 'abstractions' as it refers to a large group of individuals."" 
}","['humans', 'abstractions']",False,"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject choices in the text refer to specific individuals ('Louis Farrakhan', 'he') and groups of people ('individuals', 'thousands and thousands and thousands and thousands of people').""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject choices in the text refer to specific individuals ('Louis Farrakhan', 'he') and groups of people ('individuals', 'thousands and thousands and thousands and thousands of people').""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject choices in the text refer to specific individuals such as 'Louis Farrakhan' and 'he', as well as groups of people such as 'individuals' and 'thousands and thousands and thousands and thousands of people'.""
}",['humans'],1
8,50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Subject_choices,"['humans', 'abstractions']",['humans'],['humans'],False,[],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'John Hancock' is a proper name, representing a specific individual.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'John Hancock' refers to a single individual and a proper name.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'John Hancock' is a specific individual, making it a human subject.""
}",['humans'],True,"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'John Hancock' is a single individual and a proper name.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'John Hancock' is a human individual.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'John Hancock' is a human individual, a proper name.""
}",['humans'],1
9,54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Subject_choices,['humans'],['rhetorical_participants'],['rhetorical_participants'],False,[],"{
  ""Properties"": [
    ""humans""
  ],
  ""Explanation"": ""The subject 'Ms. Ford' is a human individual, representing a single person.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The use of 'she' and 'Ms. Ford' indicates the presence of both rhetorical participants and humans in the subject choices.""
}","['rhetorical_participants', 'humans']","{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The subject 'Ms. Ford' is a human, and the phrase 'you know it' indicates the presence of a rhetorical participant.""
}","['rhetorical_participants', 'humans']",False,"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'you' in the statement indicates a rhetorical participant, where the subject is addressing the reader directly.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The subject choices in the text include 'she' (referring to the speaker) and 'Ms. Ford' (a human individual).""
}","['rhetorical_participants', 'humans']","{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The subject 'she' refers to a human individual, and the use of 'you' indicates a rhetorical participant.""
}","['rhetorical_participants', 'humans']",0
