sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consitency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Tropes,['simile'],[],"['hyperbole', 'metaphor']",FALSE,[],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'the great Temur' substitutes Temur's actual name with a descriptive label, to characterize and rename him.""
}",['metonymy'],"{
  ""Properties"": [""metaphor""],
  ""Explanation"": ""The use of the metaphor 'to acquire that glory' creates a novel pairing that expresses Temur's motivation for striving to exterminate the infidels.""
}",['metaphor'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'the great Temur' to refer to the historical figure Timur is an example of antonomasia, where a proper name is replaced with a descriptive label that characterizes while renaming.""
}",['antonomasia'],FALSE,"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'the great Temur' as a substitution for Temur's full title or name represents metonymy, as it is chosen according to a recoverable association with his greatness and conquests.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'the great Temur' as a substitution for Timur the Great, based on his reputation and greatness, is an example of metonymy.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'the great Temur' as a substitute for Timur the Great, chosen based on his association with greatness and conquest.""
}",['metonymy'],1
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Tropes,"['irony', 'hyperbole', 'paradox']",['irony'],"['hyperbole', 'metaphor']",FALSE,[],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The statement 'we are simply asked to take the pope’s word for it' is ironic, as it implies doubt about the pope's credibility despite being the pope.""
}",['irony'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The statement 'we are simply asked to take the pope's word for it' is used to convey the opposite meaning, implying skepticism or disbelief, which is an example of irony.""
}",['irony'],"{
  ""Properties"": [""irony"", ""hyperbole""],
  ""Explanation"": ""The statement 'we are simply asked to take the pope's word for it' is ironic, as it follows the assertion that the pope made a brazen lie. Additionally, the phrase 'astoundingly brazen lie' is hyperbolic, as it exaggerates the boldness of the lie.""
}","['irony', 'hyperbole']",FALSE,"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The statement 'we are simply asked to take the pope's word for it' is said in a way that implies skepticism and doubt, which is an example of irony.""
}",['irony'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The statement 'we are simply asked to take the pope's word for it' is ironic because it implies skepticism or doubt about the pope's honesty, especially after mentioning a 'brazen lie'.""
}",['irony'],"{
  ""Properties"": [""irony"", ""hyperbole""],
  ""Explanation"": ""The statement 'we are simply asked to take the pope's word for it' is ironic, as it implies skepticism towards the pope's credibility. The phrase 'astoundingly brazen lie' is hyperbolic, exaggerating the boldness of the alleged lie.""
}","['irony', 'hyperbole']",0
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Tropes,['metonymy'],[],['metaphor'],FALSE,[],"{
  ""Properties"": [""metaphor""],
  ""Explanation"": ""The use of the word \""horrifying\"" to describe the verdict is a metaphor, bringing the term from an 'alien' semantic field (horror) to create a novel pairing that expresses a point trenchantly.""
}",['metaphor'],"{
  ""Properties"": [""hyperbole""],
  ""Explanation"": ""The use of the word 'horrifying' to express an exaggerated and strong reaction to the verdict indicates the presence of hyperbole.""
}",['hyperbole'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of the word 'horrifying' may be a euphemism to express Shapiro's strong disapproval of the verdict."" 
}",['euphemism'],FALSE,"{
  ""Properties"": [""hyperbole""],
  ""Explanation"": ""The use of the word 'horrifying' is an overstatement, expressing strong disapproval of the verdict.""
}",['hyperbole'],"{
  ""Properties"": [""hyperbole""],
  ""Explanation"": ""The use of the word 'horrifying' is an overstatement, expressing strong disapproval of the verdict.""
}",['hyperbole'],"{
  ""Properties"": [""hyperbole""],
  ""Explanation"": ""The use of the word 'horrifying' is an overstatement, expressing strong disapproval of the verdict.""
}",['hyperbole'],1
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Tropes,"['simile', 'euphemism']",['simile'],['simile'],FALSE,[],"{
  ""Properties"": [""simile"", ""euphemism""],
  ""Explanation"": ""The use of 'looking akin to a typical American prison' employs a simile to compare the detention centre to an American prison. Additionally, the statement 'could cause violence and disrupt community cohesion' utilizes euphemism to soften the potential impact of the speaker's actions.""
}","['simile', 'euphemism']","{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'Hyde Park' is a metonymy, as it is being used to represent a larger concept of free speech or public discourse within the community known to take place in that location.""
}",['metonymy'],"{
  ""Properties"": [""metaphor"", ""euphemism""],
  ""Explanation"": ""The use of 'looking akin to a typical American prison' is a metaphor, bringing together the idea of the detention center and the American prison. The phrase 'could cause violence and disrupt community cohesion' uses euphemism to minimize the potential impact of the speaker's presence.""
}","['metaphor', 'euphemism']",FALSE,"{
  ""Properties"": [""metaphor""],
  ""Explanation"": ""The use of 'looking akin to a typical American prison' creates a metaphor by bringing the concept of a prison into the context of a detention center, emphasizing its negative aspects.""
}",['metaphor'],"{
  ""Properties"": [""metaphor""],
  ""Explanation"": ""The use of 'looking akin to a typical American prison' creates a metaphor by bringing the concept of an American prison to describe the detention center.""
}",['metaphor'],"{
  ""Properties"": [""metaphor""],
  ""Explanation"": ""The use of 'looking akin to a typical American prison' is a metaphor, as it brings a term from a different semantic field (American prison) to describe the detention centre.""
}",['metaphor'],1
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Tropes,"['allegory', 'euphemism']",['antonomasia'],['metaphor'],FALSE,[],"{
  ""Properties"": [""hyperbole""],
  ""Explanation"": ""The use of 'cashing in' is an overstatement, an exaggerated claim not meant to be taken literally. It emphasizes the severity of the violation.""
}",['hyperbole'],"{
  ""Properties"": [""metaphor"", ""euphemism""],
  ""Explanation"": ""The use of the phrase 'cashing in' is a metaphor for exploiting one's official position for political gain. The term 'cashing in' serves as a euphemism for unethical behavior.""
}","['metaphor', 'euphemism']","{
  ""Properties"": [""metaphor"", ""euphemism""],
  ""Explanation"": ""The statement 'cashing in' is a metaphorical expression, as it symbolizes benefiting personally from one's official position. Additionally, the use of 'safeguard against the appearance or actuality' can be seen as a euphemism for preventing or avoiding the possibility of elected officials using their position for personal gain.""
}","['metaphor', 'euphemism']",FALSE,"{
  ""Properties"": [""metaphor""],
  ""Explanation"": ""The use of the phrase 'cashing in' is a metaphor, bringing a financial term into the context of political gain.""
}",['metaphor'],"{
  ""Properties"": [""metaphor"", ""euphemism""],
  ""Explanation"": ""The use of 'cashing in' is a metaphor, bringing a financial transaction term into the context of political gain. Additionally, the phrase 'cashing in' is a euphemism for exploiting or benefiting from their official position.""
}","['metaphor', 'euphemism']","{
  ""Properties"": [""metaphor"", ""euphemism""],
  ""Explanation"": ""The use of the phrase 'cashing in' is a metaphor, bringing a financial concept into the context of political gain. Additionally, the mention of 'safeguard against the appearance or actuality' is a euphemism for preventing corruption or unethical behavior.""
}","['metaphor', 'euphemism']",0
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Tropes,"['metonymy', 'synecdoche', 'metaphor']",[],"['metonymy', 'metaphor']",FALSE,[],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'Archbishop Carlo Maria Viganò' as a descriptive label characterizes while renaming, indicating his authority and position.""
}",['antonomasia'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'prelate of the authority of Archbishop Carlo Maria Viganò' is a form of metonymy, where a specific term is substituted to represent a larger concept, in this case a prominent figure within the Church.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The phrase 'a prelate of the authority of Archbishop Carlo Maria Viganò' uses metonymy by substituting the mention of a specific prelate with the authority of Archbishop Carlo Maria Viganò.""
}",['metonymy'],FALSE,"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'prelate of the authority of Archbishop Carlo Maria Viganò' is a metonymy, as it substitutes a specific term for a more general one based on a recoverable association.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'prelate of the authority of Archbishop Carlo Maria Viganò' is a metonymy, as it substitutes a specific term for a more general one based on a recoverable association.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'prelate of the authority of Archbishop Carlo Maria Viganò' is a metonymy, as it substitutes a specific person for a broader category of prelates with similar authority.""
}",['metonymy'],1
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Tropes,[],[],['litotes'],FALSE,[],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The phrase 'contemporaneous notes' replaces a descriptive label, characterizing them as notes taken at the same time as the events they describe.""
}",['antonomasia'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The phrase 'contemporaneous notes' replaces 'written notes usually' to describe notes taken at the same time as the events, therefore using antonomasia to rename and characterize.""
}",['antonomasia'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'former trial lawyer' to describe the speaker replaces a proper name with a descriptive label that characterizes while renaming.""
}",['antonomasia'],TRUE,"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'contemporaneous notes' as a descriptive label for written notes characterizes and renames them, which is a form of antonomasia.""
}",['antonomasia'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'former trial lawyer' as a descriptive label for the speaker is an example of antonomasia.""
}",['antonomasia'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'former trial lawyer' as a descriptive label for the speaker is an example of antonomasia.""
}",['antonomasia'],1
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Tropes,"['hyperbole', 'metaphor']",['hyperbole'],['hyperbole'],FALSE,[],"{
  ""Properties"": [
    ""hyperbole""
  ],
  ""Explanation"": ""The statement employs hyperbole by emphasizing 'thousands and thousands and thousands and thousands of people' to exaggerate the extent of Louis Farrakhan's influence.""
}",['hyperbole'],"{
  ""Properties"": [""hyperbole"", ""litotes""],
  ""Explanation"": ""The statement uses hyperbole to exaggerate the impact of Louis Farrakhan by repeating 'thousands' multiple times. It also employs litotes by downplaying the significance of Farrakhan as 'not an aberration' and emphasizing his following.""
}","['hyperbole', 'litotes']","{
  ""Properties"": [""hyperbole""],
  ""Explanation"": ""The use of 'thousands and thousands and thousands and thousands' is an obvious exaggeration, qualifying as hyperbole.""
}",['hyperbole'],FALSE,"{
  ""Properties"": [""hyperbole""],
  ""Explanation"": ""The statement 'thousands and thousands and thousands and thousands of people' is an exaggerated overstatement, not meant to be taken literally.""
}",['hyperbole'],"{
  ""Properties"": [""hyperbole""],
  ""Explanation"": ""The statement 'thousands and thousands and thousands and thousands of people' is an exaggerated overstatement, not meant to be taken literally.""
}",['hyperbole'],"{
  ""Properties"": [""hyperbole""],
  ""Explanation"": ""The statement 'thousands and thousands and thousands and thousands of people' is an exaggerated overstatement, not meant to be taken literally.""
}",['hyperbole'],1
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Tropes,['antonomasia'],[],[],FALSE,[],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The text uses antonomasia by referring to John Hancock as the first signer of the Declaration of Independence, using his name as a descriptive label.""
}",['antonomasia'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'John Hancock' instead of saying the full name 'John Hancock, the first signer of the Declaration of Independence' serves as an antonomasia, replacing the proper name with a descriptive label that characterizes while renaming.""
}",['antonomasia'],"{
  ""Properties"": [""metaphor""],
  ""Explanation"": ""The use of 'John Hancock' as a reference to a signature is a metaphorical usage, as it brings a term from an 'alien' semantic field (a person's name) to create a novel pairing that expresses a point trenchantly.""
}",['metaphor'],FALSE,"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'John Hancock' as a descriptive label for the first signer of the Declaration of Independence is an example of antonomasia.""
}",['antonomasia'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'John Hancock' as a descriptive label for the first signer of the Declaration of Independence is an example of antonomasia.""
}",['antonomasia'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'John Hancock' as a descriptive label for the first signer of the Declaration of Independence is an example of antonomasia.""
}",['antonomasia'],1
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Tropes,[],[],[],TRUE,[],"{
  ""Properties"": [""amphiboly""],
  ""Explanation"": ""The phrase 'you know it by her story' can be construed to have two meanings: 'you know she is telling the truth by her story' or 'you know she is lying by her story'.""
}",['amphiboly'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'I believe her' may be a euphemism to avoid directly stating the opposite, 'I don't believe her'. It serves to soften the potential harshness of the statement.""
}",['euphemism'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'telling the truth' instead of explicitly stating 'lying' can be seen as a form of euphemism to soften the gravity of the accusation.""
}",['euphemism'],FALSE,"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'I believe her' instead of 'I believe Christine Blasey Ford' can be seen as a euphemism to avoid direct reference to the person's name.""
}",['euphemism'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'I believe her' can be seen as a euphemism for expressing support for Ms. Ford's allegations without explicitly stating it.""
}",['euphemism'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'I believe her' can be seen as a euphemism for expressing support for Ms. Ford's allegations without explicitly stating it.""
}",['euphemism'],1
