,sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consitency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
0,4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Verb_choices,['multiplication'],['modality'],[],False,[],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The verb 'signalise' endows the abstract concept of 'himself' with the human-like agency of 'signaling' something, thus demonstrating personification.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The phrase 'the great Temur always strove to exterminate the infidels' personifies Temur, endowing him with the human-like agency of striving to accomplish a goal.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The text personifies 'glory' and 'greatness' by endowing them with the agency to be acquired and signaled by Temur's actions.""
}",['personification'],True,"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of 'the great Temur always strove to exterminate the infidels' endows Temur with human-like agency, attributing the action of striving to him.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of 'strive to exterminate the infidels' endows Temur with human-like agency, attributing the action of striving to a historical figure.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The text personifies 'glory' by suggesting that Temur strove to acquire it, giving it human-like agency and motivation.""
}",['personification'],1
1,11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Verb_choices,"['nominalization', 'negation']",['modality'],"['modality', 'negation']",False,[],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of the word 'lie' signals a contradiction or denial of the pope's previous statement about evidence for Ricca’s homosexual activity.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the phrase 'there was no evidence' is a form of negation, contradicting the existence of evidence for Ricca’s homosexual activity.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'but' introduces a contradiction to what was stated before, signifying the presence of negation in the text.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the negation of the pope's claim about evidence for Ricca's homosexual activity.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the negation of the pope's claim about evidence for Ricca's homosexual activity.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains negation in the form of contradicting the pope's statement about evidence for Ricca's homosexual activity.""
}",['negation'],1
2,14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Verb_choices,"['nominalization', 'personification']",[],['personification'],False,[],"{
  ""Properties"": [""negation"", ""modality""],
  ""Explanation"": ""The verb 'told' in this sentence does not directly exhibit any of the properties, but the context of the statement, with the use of the word 'horrifying', suggests a strong negative opinion (negation) and a sense of certainty or strong belief (modality) in the speaker's viewpoint.""
}","['negation', 'modality']","{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the word 'horrifying' expresses a negation of positivity towards the verdict.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'horrifying' conveys the sentiment of opposition or denial, indicating a form of negation in the statement.""
}",['negation'],False,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'horrifying' expresses the negation of a positive outcome, indicating a contradiction or denial of something.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the word 'horrifying' expresses a strong negative sentiment, indicating a form of negation.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the word 'horrifying' expresses a strong negative sentiment towards the verdict.""
}",['negation'],1
3,16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Verb_choices,"['modality', 'multiplication']",['modality'],['modality'],False,[],"{
  ""Properties"": [""modality""],
  ""Explanation"": ""The use of 'could' in the phrase 'could cause violence' indicates modality, as it expresses a possibility or potential event.""
}",['modality'],"{
  ""Properties"": [""modality""],
  ""Explanation"": ""The use of 'could' in the phrase 'could cause violence' indicates modality, as it expresses a possibility or likelihood.""
}",['modality'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The example text does not exhibit any of the other listed properties, but it does include the negation of being told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.""
}",['negation'],False,"{
  ""Properties"": [""modality""],
  ""Explanation"": ""The use of 'could' in the phrase 'could cause violence' indicates modality, as it expresses a possibility or likelihood.""
}",['modality'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'could cause' expresses the possibility of violence and disruption, which is a form of negation as it contradicts the idea that his speaking at Hyde Park would not cause any issues.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'could cause' expresses the possibility of an event happening, which is a form of negation as it denies certainty.""
}",['negation'],0
4,23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Verb_choices,"['nominalization', 'personification']",['negation'],"['nominalization', 'negation']",False,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The example does not contain any modality, nominalization, personification, or multiplication. However, it does contain negation in the form of 'violation' and the phrase 'safeguard against the appearance or actuality' which implies denial or contradiction.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text does not contain verb choices that exhibit modality, nominalization, personification, or multiplication. However, it does include the negation of 'cashing in' on their official position for political purposes.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement does not contain any clear instances of modality, nominalization, personification, or multiplication. However, it does include the negation of 'cashing in' on their official position for political purposes.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties. The verb 'safeguard' does not involve any modality, nominalization, personification, or multiplication. However, the use of 'violation' and 'safeguard against' in the same sentence creates a sense of negation.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The example does not exhibit any of the other listed properties, but it does contain the negation of 'cashing in' on their official position for political purposes.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text does not exhibit any other properties listed.""
}",['negation'],1
5,32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Verb_choices,"['modality', 'multiplication']",['modality'],['modality'],False,[],"{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The verb 'declares' has been transformed into the noun 'declaration' through nominalization.""
}",['nominalization'],"{
  ""Properties"": [""modality""],
  ""Explanation"": ""The use of 'must' in the statement indicates modality, expressing the necessity or strong recommendation of taking Archbishop Carlo Maria Viganò's declarations to heart.""
}",['modality'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The sentence does not contain any explicit negation or denial.""
}",['negation'],False,"{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The verb 'declares' has been nominalized to 'declaration' in the form of 'statement'.""
}",['nominalization'],"{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The verb 'declare' has been nominalized into the noun 'declaration'.""
}",['nominalization'],"{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The verb 'declare' has been nominalized into the noun 'declaration'.""
}",['nominalization'],1
6,43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Verb_choices,"['modality', 'negation']",['modality'],['modality'],False,[],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'neither nor' alongside the contradiction between 'written notes usually prevailing' and 'later verbal testimony' indicates the presence of negation.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'neither' and 'nor' creates a sense of negation, indicating the contradiction or denial of infallibility for both notes and memories.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The statement includes the negation of the infallibility of both notes and memories.""
}",['negation'],True,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'neither' and 'nor' in the sentence indicates negation, as it presents a contradiction or denial between notes and memories being infallible.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'neither' and 'nor' in the sentence indicates a negation, as it presents a contradiction or denial between notes and memories being infallible.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'neither' and 'nor' in the sentence indicates negation, as it presents a contradiction or denial between notes and memories being infallible.""
}",['negation'],1
7,47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Verb_choices,"['multiplication', 'negation']",['negation'],['negation'],False,[],"{
  ""Properties"": [""negation"", ""multiplication""],
  ""Explanation"": ""The use of 'don't' in 'I don’t regard Louis Farrakhan as an aberration' indicates negation. Additionally, the repetition of 'thousands and thousands and thousands and thousands' demonstrates multiplication.""
}","['negation', 'multiplication']","{
  ""Properties"": [""negation"", ""multiplication""],
  ""Explanation"": ""The use of 'don't' represents negation, and the multiplication of 'thousands and thousands and thousands and thousands' emphasizes the large number of people impacted.""
}","['negation', 'multiplication']","{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the negation property as the speaker denies regarding Louis Farrakhan as an aberration.""
}",['negation'],False,"{
  ""Properties"": [""negation"", ""multiplication""],
  ""Explanation"": ""The use of 'don't' in 'I don't regard Louis Farrakhan as an aberration' indicates negation. Additionally, the multiplication of 'thousands and thousands and thousands and thousands' demonstrates the property of multiplication.""
}","['negation', 'multiplication']","{
  ""Properties"": [""negation"", ""multiplication""],
  ""Explanation"": ""The use of 'don't' in 'I don't regard Louis Farrakhan as an aberration' indicates negation. Additionally, the multiplication of 'thousands and thousands and thousands and thousands' emphasizes the large number of people influenced by Louis Farrakhan.""
}","['negation', 'multiplication']","{
  ""Properties"": [""negation"", ""multiplication""],
  ""Explanation"": ""The use of 'don't' in 'I don't regard Louis Farrakhan as an aberration' indicates negation. Additionally, the multiplication of 'thousands and thousands and thousands and thousands' emphasizes the large number of people influenced by Louis Farrakhan.""
}","['negation', 'multiplication']",1
8,50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Verb_choices,['nominalization'],[],['nominalization'],False,[],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of 'said' suggests personification, as it attributes the act of speaking to a historical figure in a way that gives them agency and voice.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of the verb 'said' can be seen as a form of personification, as it endows John Hancock with the human-like ability to communicate.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of personification is present in the quote, as it attributes agency and human-like qualities to John Hancock, the first signer of the Declaration of Independence.""
}",['personification'],True,"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of 'said' implies that John Hancock, as a historical figure, is being personified as if he is speaking in the present moment.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of 'said' endows John Hancock with the agency of speaking, which is a form of personification.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of 'said' suggests personification by attributing speech to an inanimate historical figure.""
}",['personification'],1
9,54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Verb_choices,[],[],[],True,[],"{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The sentence uses negation to deny any doubt about Ms. Ford's truthfulness, and personification by attributing the ability to 'know' to 'her story'.""
}","['negation', 'personification']","{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The verb 'believe' negates any doubt or contradiction, and the statement personifies Ms. Ford's story by attributing knowledge to it.""
}","['negation', 'personification']","{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'believe' is used in negation to contradict any doubt about Ms. Ford's truthfulness.""
}",['negation'],False,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'you know it' implies negation by denying the opposite, suggesting that the listener should already be aware of the truth.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'you know it' implies negation by denying the possibility of not knowing the truth.""
}",['negation'],"{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The use of 'I believe her because she is telling the truth' involves negation by denying any possibility of falsehood. The phrase 'you know it by her story' personifies the story, endowing it with the ability to convey truth.""
}","['negation', 'personification']",0
