PTC_id,text,feature,properties
798,"The Senate must vote!”",Aspect,simple
798,"The Senate must vote!”","Language varieties","correctness,middle,clarity,forcefulness"
798,"The Senate must vote!”","Lexical and semantic fields","definite/hypothesis,indefinite/thesis"
798,"The Senate must vote!”",Mood,indicative
798,"The Senate must vote!”",Predication,active
798,"The Senate must vote!”",Tense,present
798,"The Senate must vote!”","Verb choices",modality
1632,"I document this abundantly in my new book The History of Jihad From Muhammad to ISIS .",Aspect,simple
1632,"I document this abundantly in my new book The History of Jihad From Muhammad to ISIS .","Language varieties","correctness,clarity,middle"
1632,"I document this abundantly in my new book The History of Jihad From Muhammad to ISIS .","Lexical and semantic fields","abstract,indefinite/thesis,definite/hypothesis"
1632,"I document this abundantly in my new book The History of Jihad From Muhammad to ISIS .",Mood,indicative
1632,"I document this abundantly in my new book The History of Jihad From Muhammad to ISIS .",Predication,active
1632,"I document this abundantly in my new book The History of Jihad From Muhammad to ISIS .",Tense,present
1652,"In the early twelfth century, the Fatimid caliph Al-Amir bi-Ahkamillah issued this edict:
Now, the prior degradation of the infidels in this world before the life to come—where it is their lot—is considered an act of piety; and the imposition of their poll tax [jizya], “until they pay the tribute out of hand and have been humbled” (Koran 9:29) is a divinely ordained obligation….The dhimmi’s payment of his dues by a bill drawn on a Muslim, or by delegating a real believer to pay it in his name will not be tolerated.
It must be exacted from him directly in order to vilify and humiliate him, so that Islam and its people may be exalted and the race of infidels brought low.
The jizya is to be imposed on all of them in full, without exception.
",Aspect,simple
1652,"In the early twelfth century, the Fatimid caliph Al-Amir bi-Ahkamillah issued this edict:
Now, the prior degradation of the infidels in this world before the life to come—where it is their lot—is considered an act of piety; and the imposition of their poll tax [jizya], “until they pay the tribute out of hand and have been humbled” (Koran 9:29) is a divinely ordained obligation….The dhimmi’s payment of his dues by a bill drawn on a Muslim, or by delegating a real believer to pay it in his name will not be tolerated.
It must be exacted from him directly in order to vilify and humiliate him, so that Islam and its people may be exalted and the race of infidels brought low.
The jizya is to be imposed on all of them in full, without exception.
","Figures of word choice",emphasis
1652,"In the early twelfth century, the Fatimid caliph Al-Amir bi-Ahkamillah issued this edict:
Now, the prior degradation of the infidels in this world before the life to come—where it is their lot—is considered an act of piety; and the imposition of their poll tax [jizya], “until they pay the tribute out of hand and have been humbled” (Koran 9:29) is a divinely ordained obligation….The dhimmi’s payment of his dues by a bill drawn on a Muslim, or by delegating a real believer to pay it in his name will not be tolerated.
It must be exacted from him directly in order to vilify and humiliate him, so that Islam and its people may be exalted and the race of infidels brought low.
The jizya is to be imposed on all of them in full, without exception.
","Language varieties","high,middle,clarity,correctness,forcefulness"
1652,"In the early twelfth century, the Fatimid caliph Al-Amir bi-Ahkamillah issued this edict:
Now, the prior degradation of the infidels in this world before the life to come—where it is their lot—is considered an act of piety; and the imposition of their poll tax [jizya], “until they pay the tribute out of hand and have been humbled” (Koran 9:29) is a divinely ordained obligation….The dhimmi’s payment of his dues by a bill drawn on a Muslim, or by delegating a real believer to pay it in his name will not be tolerated.
It must be exacted from him directly in order to vilify and humiliate him, so that Islam and its people may be exalted and the race of infidels brought low.
The jizya is to be imposed on all of them in full, without exception.
","Lexical and semantic fields","abstract,indefinite/thesis,definite/hypothesis"
1652,"In the early twelfth century, the Fatimid caliph Al-Amir bi-Ahkamillah issued this edict:
Now, the prior degradation of the infidels in this world before the life to come—where it is their lot—is considered an act of piety; and the imposition of their poll tax [jizya], “until they pay the tribute out of hand and have been humbled” (Koran 9:29) is a divinely ordained obligation….The dhimmi’s payment of his dues by a bill drawn on a Muslim, or by delegating a real believer to pay it in his name will not be tolerated.
It must be exacted from him directly in order to vilify and humiliate him, so that Islam and its people may be exalted and the race of infidels brought low.
The jizya is to be imposed on all of them in full, without exception.
",Mood,indicative
1652,"In the early twelfth century, the Fatimid caliph Al-Amir bi-Ahkamillah issued this edict:
Now, the prior degradation of the infidels in this world before the life to come—where it is their lot—is considered an act of piety; and the imposition of their poll tax [jizya], “until they pay the tribute out of hand and have been humbled” (Koran 9:29) is a divinely ordained obligation….The dhimmi’s payment of his dues by a bill drawn on a Muslim, or by delegating a real believer to pay it in his name will not be tolerated.
It must be exacted from him directly in order to vilify and humiliate him, so that Islam and its people may be exalted and the race of infidels brought low.
The jizya is to be imposed on all of them in full, without exception.
","New words and changing uses",acronyms
1652,"In the early twelfth century, the Fatimid caliph Al-Amir bi-Ahkamillah issued this edict:
Now, the prior degradation of the infidels in this world before the life to come—where it is their lot—is considered an act of piety; and the imposition of their poll tax [jizya], “until they pay the tribute out of hand and have been humbled” (Koran 9:29) is a divinely ordained obligation….The dhimmi’s payment of his dues by a bill drawn on a Muslim, or by delegating a real believer to pay it in his name will not be tolerated.
It must be exacted from him directly in order to vilify and humiliate him, so that Islam and its people may be exalted and the race of infidels brought low.
The jizya is to be imposed on all of them in full, without exception.
",Predication,"active,stative"
1652,"In the early twelfth century, the Fatimid caliph Al-Amir bi-Ahkamillah issued this edict:
Now, the prior degradation of the infidels in this world before the life to come—where it is their lot—is considered an act of piety; and the imposition of their poll tax [jizya], “until they pay the tribute out of hand and have been humbled” (Koran 9:29) is a divinely ordained obligation….The dhimmi’s payment of his dues by a bill drawn on a Muslim, or by delegating a real believer to pay it in his name will not be tolerated.
It must be exacted from him directly in order to vilify and humiliate him, so that Islam and its people may be exalted and the race of infidels brought low.
The jizya is to be imposed on all of them in full, without exception.
","Subject choices","humans,abstractions"
1652,"In the early twelfth century, the Fatimid caliph Al-Amir bi-Ahkamillah issued this edict:
Now, the prior degradation of the infidels in this world before the life to come—where it is their lot—is considered an act of piety; and the imposition of their poll tax [jizya], “until they pay the tribute out of hand and have been humbled” (Koran 9:29) is a divinely ordained obligation….The dhimmi’s payment of his dues by a bill drawn on a Muslim, or by delegating a real believer to pay it in his name will not be tolerated.
It must be exacted from him directly in order to vilify and humiliate him, so that Islam and its people may be exalted and the race of infidels brought low.
The jizya is to be imposed on all of them in full, without exception.
",Tense,"present,past"
1652,"In the early twelfth century, the Fatimid caliph Al-Amir bi-Ahkamillah issued this edict:
Now, the prior degradation of the infidels in this world before the life to come—where it is their lot—is considered an act of piety; and the imposition of their poll tax [jizya], “until they pay the tribute out of hand and have been humbled” (Koran 9:29) is a divinely ordained obligation….The dhimmi’s payment of his dues by a bill drawn on a Muslim, or by delegating a real believer to pay it in his name will not be tolerated.
It must be exacted from him directly in order to vilify and humiliate him, so that Islam and its people may be exalted and the race of infidels brought low.
The jizya is to be imposed on all of them in full, without exception.
","Verb choices","negation,modality"
1653,"In the year 718, the Umayyad caliph Umar ibn Abd al-Aziz sent out a message to the governors of the various Islamic provinces:
O you who believe!
The non-Muslims are nothing but dirt.
Allah has created them to be partisans of Satan; most treacherous in regard to all they do; whose whole endeavor in this nether life is useless, though they themselves imagine that they are doing fine work.
Upon them rests the curse of Allah, of the Angels and of man collectively
",Aspect,"simple,perfect"
1653,"In the year 718, the Umayyad caliph Umar ibn Abd al-Aziz sent out a message to the governors of the various Islamic provinces:
O you who believe!
The non-Muslims are nothing but dirt.
Allah has created them to be partisans of Satan; most treacherous in regard to all they do; whose whole endeavor in this nether life is useless, though they themselves imagine that they are doing fine work.
Upon them rests the curse of Allah, of the Angels and of man collectively
","Language varieties","middle,forcefulness,correctness,clarity"
1653,"In the year 718, the Umayyad caliph Umar ibn Abd al-Aziz sent out a message to the governors of the various Islamic provinces:
O you who believe!
The non-Muslims are nothing but dirt.
Allah has created them to be partisans of Satan; most treacherous in regard to all they do; whose whole endeavor in this nether life is useless, though they themselves imagine that they are doing fine work.
Upon them rests the curse of Allah, of the Angels and of man collectively
","Lexical and semantic fields","concrete,indefinite/thesis,definite/hypothesis,abstract"
1653,"In the year 718, the Umayyad caliph Umar ibn Abd al-Aziz sent out a message to the governors of the various Islamic provinces:
O you who believe!
The non-Muslims are nothing but dirt.
Allah has created them to be partisans of Satan; most treacherous in regard to all they do; whose whole endeavor in this nether life is useless, though they themselves imagine that they are doing fine work.
Upon them rests the curse of Allah, of the Angels and of man collectively
","Modifying clauses",adjective
1653,"In the year 718, the Umayyad caliph Umar ibn Abd al-Aziz sent out a message to the governors of the various Islamic provinces:
O you who believe!
The non-Muslims are nothing but dirt.
Allah has created them to be partisans of Satan; most treacherous in regard to all they do; whose whole endeavor in this nether life is useless, though they themselves imagine that they are doing fine work.
Upon them rests the curse of Allah, of the Angels and of man collectively
",Mood,indicative
1653,"In the year 718, the Umayyad caliph Umar ibn Abd al-Aziz sent out a message to the governors of the various Islamic provinces:
O you who believe!
The non-Muslims are nothing but dirt.
Allah has created them to be partisans of Satan; most treacherous in regard to all they do; whose whole endeavor in this nether life is useless, though they themselves imagine that they are doing fine work.
Upon them rests the curse of Allah, of the Angels and of man collectively
",Predication,"active,stative"
1653,"In the year 718, the Umayyad caliph Umar ibn Abd al-Aziz sent out a message to the governors of the various Islamic provinces:
O you who believe!
The non-Muslims are nothing but dirt.
Allah has created them to be partisans of Satan; most treacherous in regard to all they do; whose whole endeavor in this nether life is useless, though they themselves imagine that they are doing fine work.
Upon them rests the curse of Allah, of the Angels and of man collectively
","Subject choices","abstractions,humans"
1653,"In the year 718, the Umayyad caliph Umar ibn Abd al-Aziz sent out a message to the governors of the various Islamic provinces:
O you who believe!
The non-Muslims are nothing but dirt.
Allah has created them to be partisans of Satan; most treacherous in regard to all they do; whose whole endeavor in this nether life is useless, though they themselves imagine that they are doing fine work.
Upon them rests the curse of Allah, of the Angels and of man collectively
",Tense,"present,past"
2977,"According to Loomer, she obtained the image from a source which shows that Paddock’s car first arrived September 25th.",Aspect,simple
2977,"According to Loomer, she obtained the image from a source which shows that Paddock’s car first arrived September 25th.","Language varieties","correctness,clarity,middle"
2977,"According to Loomer, she obtained the image from a source which shows that Paddock’s car first arrived September 25th.","Lexical and semantic fields","definite/hypothesis,indefinite/thesis,concrete"
2977,"According to Loomer, she obtained the image from a source which shows that Paddock’s car first arrived September 25th.","Modifying clauses",adjective
2977,"According to Loomer, she obtained the image from a source which shows that Paddock’s car first arrived September 25th.",Mood,indicative
2977,"According to Loomer, she obtained the image from a source which shows that Paddock’s car first arrived September 25th.",Predication,active
2977,"According to Loomer, she obtained the image from a source which shows that Paddock’s car first arrived September 25th.","Subject choices",humans
2977,"According to Loomer, she obtained the image from a source which shows that Paddock’s car first arrived September 25th.",Tense,"present,past"
3325,"RIO DE JANEIRO — Brazilian police say the man considered to be the country’s largest arms dealer has been arrested in the United States by Immigration and Customs Enforcement agents.",Aspect,"simple,perfect"
3325,"RIO DE JANEIRO — Brazilian police say the man considered to be the country’s largest arms dealer has been arrested in the United States by Immigration and Customs Enforcement agents.","Language varieties","correctness,middle,clarity"
3325,"RIO DE JANEIRO — Brazilian police say the man considered to be the country’s largest arms dealer has been arrested in the United States by Immigration and Customs Enforcement agents.","Lexical and semantic fields","concrete,indefinite/thesis,definite/hypothesis"
3325,"RIO DE JANEIRO — Brazilian police say the man considered to be the country’s largest arms dealer has been arrested in the United States by Immigration and Customs Enforcement agents.",Mood,indicative
3325,"RIO DE JANEIRO — Brazilian police say the man considered to be the country’s largest arms dealer has been arrested in the United States by Immigration and Customs Enforcement agents.","New words and changing uses",acronyms
3325,"RIO DE JANEIRO — Brazilian police say the man considered to be the country’s largest arms dealer has been arrested in the United States by Immigration and Customs Enforcement agents.",Predication,"stative,active"
3325,"RIO DE JANEIRO — Brazilian police say the man considered to be the country’s largest arms dealer has been arrested in the United States by Immigration and Customs Enforcement agents.","Subject choices",humans
3325,"RIO DE JANEIRO — Brazilian police say the man considered to be the country’s largest arms dealer has been arrested in the United States by Immigration and Customs Enforcement agents.",Tense,"past,present"
4671,"Conservative Ben Shapiro told Fox news the verdict was “horrifying.",Aspect,simple
4671,"Conservative Ben Shapiro told Fox news the verdict was “horrifying.","Language varieties","correctness,clarity,forcefulness,middle"
4671,"Conservative Ben Shapiro told Fox news the verdict was “horrifying.","Lexical and semantic fields","abstract,indefinite/thesis,definite/hypothesis"
4671,"Conservative Ben Shapiro told Fox news the verdict was “horrifying.",Mood,indicative
4671,"Conservative Ben Shapiro told Fox news the verdict was “horrifying.",Predication,"active,stative"
4671,"Conservative Ben Shapiro told Fox news the verdict was “horrifying.","Subject choices",humans
4671,"Conservative Ben Shapiro told Fox news the verdict was “horrifying.",Tense,past
4696,"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Aspect,simple
4696,"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”","Language varieties","correctness,clarity,middle"
4696,"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”","Lexical and semantic fields","abstract,definite/hypothesis,concrete,indefinite/thesis"
4696,"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”","Modifying clauses",adjective
4696,"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Mood,indicative
4696,"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”","New words and changing uses",compounds
4696,"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Predication,"active,stative"
4696,"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”","Subject choices",humans
4696,"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Tense,"present,past"
4696,"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”","Verb choices",modality
4697,"That’s just what they claimed about Pamela Geller and me: that our visit could cause violence and disrupt community cohesion.",Aspect,simple
4697,"That’s just what they claimed about Pamela Geller and me: that our visit could cause violence and disrupt community cohesion.","Language varieties","correctness,clarity,middle"
4697,"That’s just what they claimed about Pamela Geller and me: that our visit could cause violence and disrupt community cohesion.","Lexical and semantic fields","definite/hypothesis,indefinite/thesis,abstract"
4697,"That’s just what they claimed about Pamela Geller and me: that our visit could cause violence and disrupt community cohesion.",Mood,indicative
4697,"That’s just what they claimed about Pamela Geller and me: that our visit could cause violence and disrupt community cohesion.",Predication,active
4697,"That’s just what they claimed about Pamela Geller and me: that our visit could cause violence and disrupt community cohesion.","Subject choices",humans
4697,"That’s just what they claimed about Pamela Geller and me: that our visit could cause violence and disrupt community cohesion.",Tense,"present,past"
4697,"That’s just what they claimed about Pamela Geller and me: that our visit could cause violence and disrupt community cohesion.","Verb choices",modality
5086,"“He has a great, steadfast commitment to justice,” Nader told reporters.",Aspect,simple
5086,"“He has a great, steadfast commitment to justice,” Nader told reporters.","Figures of word choice",emphasis
5086,"“He has a great, steadfast commitment to justice,” Nader told reporters.","Language varieties","clarity,middle,correctness"
5086,"“He has a great, steadfast commitment to justice,” Nader told reporters.","Lexical and semantic fields","abstract,indefinite/thesis,definite/hypothesis"
5086,"“He has a great, steadfast commitment to justice,” Nader told reporters.",Mood,indicative
5086,"“He has a great, steadfast commitment to justice,” Nader told reporters.",Predication,"active,stative"
5086,"“He has a great, steadfast commitment to justice,” Nader told reporters.","Subject choices","abstractions,humans"
5086,"“He has a great, steadfast commitment to justice,” Nader told reporters.",Tense,"present,past"
5866,"He stressed though, that he can only speak for the Hungarians and they “don’t want” immigration.",Aspect,simple
5866,"He stressed though, that he can only speak for the Hungarians and they “don’t want” immigration.","Language varieties","correctness,clarity,middle"
5866,"He stressed though, that he can only speak for the Hungarians and they “don’t want” immigration.","Lexical and semantic fields","definite/hypothesis,indefinite/thesis,abstract"
5866,"He stressed though, that he can only speak for the Hungarians and they “don’t want” immigration.","Modifying clauses",noun
5866,"He stressed though, that he can only speak for the Hungarians and they “don’t want” immigration.",Mood,indicative
5866,"He stressed though, that he can only speak for the Hungarians and they “don’t want” immigration.",Predication,active
5866,"He stressed though, that he can only speak for the Hungarians and they “don’t want” immigration.","Subject choices",humans
5866,"He stressed though, that he can only speak for the Hungarians and they “don’t want” immigration.",Tense,"present,past"
5866,"He stressed though, that he can only speak for the Hungarians and they “don’t want” immigration.","Verb choices","negation,modality"
5952,"For a more detailed analysis of motive, read FFF’s ebook JFK’s War with the National Security Establishment: Why Kennedy Was Assassinated by Douglas Horne, who served on the staff of the Assassination Records Review Board in the 1990s.",Aspect,simple
5952,"For a more detailed analysis of motive, read FFF’s ebook JFK’s War with the National Security Establishment: Why Kennedy Was Assassinated by Douglas Horne, who served on the staff of the Assassination Records Review Board in the 1990s.","Language varieties","clarity,correctness,middle"
5952,"For a more detailed analysis of motive, read FFF’s ebook JFK’s War with the National Security Establishment: Why Kennedy Was Assassinated by Douglas Horne, who served on the staff of the Assassination Records Review Board in the 1990s.","Lexical and semantic fields","abstract,definite/hypothesis,indefinite/thesis"
5952,"For a more detailed analysis of motive, read FFF’s ebook JFK’s War with the National Security Establishment: Why Kennedy Was Assassinated by Douglas Horne, who served on the staff of the Assassination Records Review Board in the 1990s.","Modifying clauses",adjective
5952,"For a more detailed analysis of motive, read FFF’s ebook JFK’s War with the National Security Establishment: Why Kennedy Was Assassinated by Douglas Horne, who served on the staff of the Assassination Records Review Board in the 1990s.",Mood,indicative
5952,"For a more detailed analysis of motive, read FFF’s ebook JFK’s War with the National Security Establishment: Why Kennedy Was Assassinated by Douglas Horne, who served on the staff of the Assassination Records Review Board in the 1990s.","New words and changing uses",acronyms
5952,"For a more detailed analysis of motive, read FFF’s ebook JFK’s War with the National Security Establishment: Why Kennedy Was Assassinated by Douglas Horne, who served on the staff of the Assassination Records Review Board in the 1990s.","Phrases built on nouns",appositives
5952,"For a more detailed analysis of motive, read FFF’s ebook JFK’s War with the National Security Establishment: Why Kennedy Was Assassinated by Douglas Horne, who served on the staff of the Assassination Records Review Board in the 1990s.",Predication,active
5952,"For a more detailed analysis of motive, read FFF’s ebook JFK’s War with the National Security Establishment: Why Kennedy Was Assassinated by Douglas Horne, who served on the staff of the Assassination Records Review Board in the 1990s.","Subject choices","humans,abstractions"
5952,"For a more detailed analysis of motive, read FFF’s ebook JFK’s War with the National Security Establishment: Why Kennedy Was Assassinated by Douglas Horne, who served on the staff of the Assassination Records Review Board in the 1990s.",Tense,past
6022,"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Aspect,simple
6022,"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.","Language varieties","correctness,middle,clarity"
6022,"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.","Lexical and semantic fields","abstract,concrete,indefinite/thesis,definite/hypothesis"
6022,"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.","Modifying clauses",adjective
6022,"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Mood,indicative
6022,"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.","New words and changing uses","acronyms,compounds"
6022,"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.","Phrases built on nouns",appositives
6022,"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Predication,"active,stative"
6022,"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.","Subject choices","humans,abstractions"
6022,"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Tense,"past,present"
6289,"Giuliani added, “I’ve looked at all those tweets and they don’t amount to anything.”",Aspect,"simple,perfect,progressive"
6289,"Giuliani added, “I’ve looked at all those tweets and they don’t amount to anything.”","Language varieties","correctness,clarity,middle"
6289,"Giuliani added, “I’ve looked at all those tweets and they don’t amount to anything.”","Lexical and semantic fields","definite/hypothesis,indefinite/thesis,abstract"
6289,"Giuliani added, “I’ve looked at all those tweets and they don’t amount to anything.”",Mood,indicative
6289,"Giuliani added, “I’ve looked at all those tweets and they don’t amount to anything.”",Predication,"stative,active"
6289,"Giuliani added, “I’ve looked at all those tweets and they don’t amount to anything.”","Subject choices",humans
6289,"Giuliani added, “I’ve looked at all those tweets and they don’t amount to anything.”",Tense,"present,past"
6289,"Giuliani added, “I’ve looked at all those tweets and they don’t amount to anything.”","Verb choices",negation
6314,"In his tweets, Trump also quoted criticism of the investigation from Alan Dershowitz, a Harvard Law School professor who frequently defends Trump on television.
In an interview with the Los Angeles Times, Dershowitz said he does not believe Sessions has the authority to end the probe.
“You can’t be both recused and making decisions about the investigation,” he said.
",Aspect,simple
6314,"In his tweets, Trump also quoted criticism of the investigation from Alan Dershowitz, a Harvard Law School professor who frequently defends Trump on television.
In an interview with the Los Angeles Times, Dershowitz said he does not believe Sessions has the authority to end the probe.
“You can’t be both recused and making decisions about the investigation,” he said.
","Language varieties","clarity,middle,correctness"
6314,"In his tweets, Trump also quoted criticism of the investigation from Alan Dershowitz, a Harvard Law School professor who frequently defends Trump on television.
In an interview with the Los Angeles Times, Dershowitz said he does not believe Sessions has the authority to end the probe.
“You can’t be both recused and making decisions about the investigation,” he said.
","Lexical and semantic fields","abstract,indefinite/thesis,definite/hypothesis"
6314,"In his tweets, Trump also quoted criticism of the investigation from Alan Dershowitz, a Harvard Law School professor who frequently defends Trump on television.
In an interview with the Los Angeles Times, Dershowitz said he does not believe Sessions has the authority to end the probe.
“You can’t be both recused and making decisions about the investigation,” he said.
","Modifying clauses","adjective,noun"
6314,"In his tweets, Trump also quoted criticism of the investigation from Alan Dershowitz, a Harvard Law School professor who frequently defends Trump on television.
In an interview with the Los Angeles Times, Dershowitz said he does not believe Sessions has the authority to end the probe.
“You can’t be both recused and making decisions about the investigation,” he said.
",Mood,indicative
6314,"In his tweets, Trump also quoted criticism of the investigation from Alan Dershowitz, a Harvard Law School professor who frequently defends Trump on television.
In an interview with the Los Angeles Times, Dershowitz said he does not believe Sessions has the authority to end the probe.
“You can’t be both recused and making decisions about the investigation,” he said.
","Phrases built on nouns",appositives
6314,"In his tweets, Trump also quoted criticism of the investigation from Alan Dershowitz, a Harvard Law School professor who frequently defends Trump on television.
In an interview with the Los Angeles Times, Dershowitz said he does not believe Sessions has the authority to end the probe.
“You can’t be both recused and making decisions about the investigation,” he said.
",Predication,"stative,active"
