sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res2,gpt_props2,res3,gpt_props3,res1,gpt_props1,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Phrases_built_on_nouns,[],[],[],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'wherefore the great Temur always strove to exterminate the infidels' summarizes or generalizes the preceding clause about Muhammad advising the same thing.""
}",['summative_modifier'],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests' summarizes or generalizes the preceding clause about Muhammad advising the same thing.""
}",['summative_modifier'],"{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive that renames the noun 'thing'. The phrase 'wherefore the great Temur always strove to exterminate the infidels' is a resumptive modifier that repeats the noun 'thing' from the previous clause.""
}","['appositives', 'resumptive_modifier']",[],['summative_modifier'],-1,[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Phrases_built_on_nouns,[],[],[],"{
  ""Properties"": [""appositives"", ""resumptive modifier"", ""summative modifier""],
  ""Explanation"": ""The phrases 'the pope’s word' (appositive), 'his astoundingly brazen lie' (resumptive modifier), and 'what it seems to be worth' (summative modifier) all demonstrate different properties of phrases built on nouns.""
}","['appositives', 'resumptive_modifier', 'summative_modifier']","{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'the pope's word' is an appositive, renaming 'it'. The phrase 'a letter without precedent' is a resumptive modifier, repeating 'the letter'.""
}","['appositives', 'resumptive_modifier']","```{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'the pope’s word' renames the noun 'assurance' (appositive) and repeats the noun 'letter' in 'a letter without precedent' (resumptive modifier).""
}```","['appositives', 'resumptive_modifier']",[],"['appositives', 'resumptive_modifier']",-1,[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Phrases_built_on_nouns,[],[],[],timeout,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' acts as an appositive, renaming the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' acts as a resumptive modifier, repeating the noun 'Ben Shapiro' to provide more information about him.""
}",['resumptive_modifier'],[],['resumptive_modifier'],-1,[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Phrases_built_on_nouns,[],[],[],"{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'according to Breitbart' is an appositive, renaming the noun 'Breitbart'. The phrase 'who described the detention centre' is a resumptive modifier, repeating the noun 'Sellner'.""
}","['appositives', 'resumptive_modifier']","```json
        {
            ""Properties"": [""resumptive modifier"", ""summative modifier""],
            ""Explanation"": ""The phrase 'the detention centre, a center looking akin to a typical American prison' is a resumptive modifier, as it repeats the noun it modifies. The phrase 'authority that his speaking at Hyde Park could cause violence and disrupt community cohesion' is a summative modifier, as it summarizes the preceding clause.""
        }
```","['resumptive_modifier', 'summative_modifier']","{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Sellner, who described the detention centre as looking akin to a typical American prison' renames the noun 'Sellner'.""
}",['appositives'],[],['appositives'],-1,[]
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Phrases_built_on_nouns,['appositives'],[],['appositives'],"{
  ""Properties"": [""appositives"", ""summative modifier""],
  ""Explanation"": ""The phrase 'Senate Ethics rules' is an appositive, renaming the noun 'rules'. The phrase 'for political purposes' is a summative modifier summarizing the preceding clause.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'executive director of FACT' renames and provides additional information about Kendra Arnold, while the phrase 'a letter without precedent' repeats the noun 'letter' to add emphasis and clarity.""
}","['appositives', 'resumptive_modifier']","{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'executive director of FACT' is an appositive, renaming the noun 'Kendra Arnold'. The phrase 'a letter without precedent' is a resumptive modifier, repeating and modifying the noun 'The letter from the president'.""
}","['appositives', 'resumptive_modifier']",['appositives'],"['appositives', 'resumptive_modifier']",0,[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Phrases_built_on_nouns,['appositives'],[],['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Cardinal Raymond Burke's statement' is an appositive, renaming the noun 'statement'.""
}",['appositives'],"{
  ""Properties"": [""appositives"", ""summative modifier""],
  ""Explanation"": ""The phrase 'Cardinal Raymond Burke’s statement' acts as an appositive, renaming the noun 'statement'. Additionally, the phrase 'The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò' acts as a summative modifier, summarizing the preceding clause.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'Cardinal Raymond Burke, a prelate of the authority' is an appositive, renaming the noun it modifies. Additionally, the phrase 'Archbishop Carlo Maria Viganò, a letter without precedent' is a resumptive modifier, as it repeats and modifies the noun.""
}","['appositives', 'resumptive_modifier']",['appositives'],"['appositives', 'resumptive_modifier']",0,[]
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Phrases_built_on_nouns,[],[],['absolute_construction'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'former trial lawyer' is an appositive that renames the noun 'I'.""
}",['appositives'],"{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'neither notes nor memories' repeats the noun 'notes' to provide a resumptive modifier.""
}",['resumptive_modifier'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a former trial lawyer' is a noun phrase built on 'trial lawyer' and renames the noun it modifies, 'I'.""
}",['appositives'],[],['appositives'],-1,[]
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Phrases_built_on_nouns,[],[],[],"{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'an outstanding human being' renames and modifies 'Louis Farrakhan', and the phrase 'a following of individuals' repeats the noun 'individuals' that it modifies.""
}","['appositives', 'resumptive_modifier']","```json
        {
            ""Properties"": [""appositives"", ""resumptive modifier""],
            ""Explanation"": ""The phrase 'Louis Farrakhan, an outstanding human being' is an example of an appositive, and 'thousands and thousands and thousands and thousands of people, a resumptive modifier, as it repeats the noun 'thousands'.""
        }
```","['appositives', 'resumptive_modifier']","{
    ""Properties"": [""appositives"", ""summative modifier""],
    ""Explanation"": ""The phrase 'an outstanding human being' renames 'Louis Farrakhan' in an appositive construction. 'He plays a big role in the lives of thousands and thousands and thousands and thousands of people' summarizes the preceding clause in a summative modifier.""
}","['appositives', 'summative_modifier']",[],"['appositives', 'resumptive_modifier']",-1,[]
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Phrases_built_on_nouns,['appositives'],['appositives'],['appositives'],"{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' renames and adds information about 'John Hancock', serving as an appositive. Additionally, the phrase 'the first signer of the Declaration of Independence' repeats the noun 'John Hancock', serving as a resumptive modifier.""
}","['appositives', 'resumptive_modifier']","{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' renames 'John Hancock', indicating an appositive construction.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' renames and provides additional information about 'John Hancock'.""
}",['appositives'],['appositives'],['appositives'],1,[]
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Phrases_built_on_nouns,[],[],[],"{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'Ms. Ford' renames 'her' in the main clause, functioning as an appositive. Additionally, the phrase 'her story' repeats and explains the noun it modifies, making it a resumptive modifier.""
}","['appositives', 'resumptive_modifier']","{
  ""Properties"": [""appositives"", ""resumptive modifier""],
  ""Explanation"": ""The phrase 'Ms. Ford' is an appositive, renaming the noun 'Thursday'. The phrase 'her story' is a resumptive modifier, repeating the noun it modifies, 'truth'.""
}","['appositives', 'resumptive_modifier']","{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Ms. Ford' renames the noun 'Thursday', making it an appositive.""
}",['appositives'],[],"['appositives', 'resumptive_modifier']",-1,[]
