Aspect - simple,Language varieties - correctness,Language varieties - clarity,Language varieties - middle,Lexical and semantic fields - abstract,Lexical and semantic fields - concrete,Lexical and semantic fields - indefinite/thesis,Lexical and semantic fields - definite/hypothesis,Mood - indicative,Predication - active,Subject choices - humans,Subject choices - abstractions,Aspect - perfect,Figures of word choice - emphasis,Language varieties - forcefulness,Phrases built on nouns - appositives,Predication - stative,Tense - present,Aspect - progressive,Modifying clauses - adjective,Tense - past,Modifying clauses - subordinate,Verb choices - modality,New words and changing uses - acronyms,Verb choices - negation,Modifying clauses - noun,New words and changing uses - prefixes/suffixes,New words and changing uses - compounds,Modifying clauses - comparitive,Tense - future,Language varieties - high,Modifying clauses - conditional,Figures of word choice - ploce,Aspect - perfect progressive,Language varieties - low,Subject choices - concepts,Language varieties - allusions,Predication - compound,Verb choices - nominalization,New words and changing uses - doubling,Lexical and semantic fields - prototype,New words and changing uses - onomatopoeia,Subject choices - rhetorical participants,Figures of word choice - metaplasms,Language varieties - register shift,Language varieties - cliches/idioms,Language varieties - maxims/proverbs,Verb choices - personification,Verb choices - multiplication,New words and changing uses - blends,Subject choices - slot fillers,Modifying phrases - single word modifiers,Modifying phrases - prepositional phrases,Modifying phrases - multiplying and embedding modifiers
"[0.007027226374970033, 0.31368533874801796]","[0.004517723483306067, 0.5171878241452414]","[0.003269811188046253, 0.6392287062594274]","[0.011102776031825893, 0.1114301795882638]","[0.02676581201963693, 0.00012405765034612868]","[0.015513169314307042, 0.02613646461712868]","[0.005367462187399025, 0.44158982454856693]","[0.0320281034420282, 4.371607084930094e-06]","[-0.0052191442975551994, 0.4543110084374246]","[0.039418091864372874, 1.57459409700911e-08]","[0.045803985477724005, 5.0378432771164805e-11]","[0.03855184535269678, 3.22486657753143e-08]","[0.011684978970471835, 0.09386464779051183]","[0.02648987867392507, 0.00014558723358881236]","[0.01582423846271963, 0.023281543146763332]","[0.05203801798447423, 8.31083412639106e-14]","[0.007657830783813921, 0.27226838786184854]","[0.03406557976340329, 1.0343454277922588e-06]","[-0.002742664765982267, 0.6941556833156981]","[0.026038388773359955, 0.0001887438482747579]","[0.02298836543474898, 0.0009807190333592309]","[0.02363893600194747, 0.0007002844994069902]","[0.037919728371836395, 5.386687108261658e-08]","[0.012018093968980233, 0.08488214383415282]","[0.013307019116676921, 0.05642336061635312]","[0.028603810590084634, 4.1026382014803786e-05]","[0.005782480277350206, 0.40709776027842115]","[0.012862560488627758, 0.06516620427700331]","[0.006172434017819777, 0.3762003564440674]","[0.034241589168862885, 9.096331887428401e-07]","[0.005622428181774849, 0.42020518015022534]","[0.008145794093342585, 0.2428711148168036]","[-0.004163695657186837, 0.5505441024056763]","[-0.00558204094647329, 0.4235288835365714]","[-0.0017331084254452991, 0.8037729948860074]","[-0.002648398946256074, 0.7041906202664836]","[-0.0019161167136411282, 0.7835435274692409]","[-0.0008168958926279209, 0.9067717887285335]","[-0.0016341100998824981, 0.8147809482284062]","[-0.0010004645520839922, 0.885949363029353]","[-0.0008168560144164946, 0.9067740614751689]","[-0.0005775903766588774, 0.9340056356192257]","[-0.0010005622428679675, 0.8859438143647212]","[-0.0015283089638611184, 0.8265633104844848]","[-0.0011552650617987254, 0.8684524360246909]","[-0.001528383580000427, 0.8265591295719643]","[-0.0014149738096835823, 0.839246251709311]","[-0.0014151119854515183, 0.8392384833337053]","[-0.001528532834139048, 0.8265507668921369]","[-0.0005775903766588789, 0.9340056356192257]","[-0.0005776467729803856, 0.9340024105262792]","[-0.0009591390004726353, 0.890627482070581]","[-0.015826943584828605, 0.023254598112639413]","[-0.0007333228092508822, 0.9162684199826832]"
"[0.010414340293241349, 0.13539421559557244]","[0.006695262962968032, 0.3371173296298497]","[0.004845857836169259, 0.48722446422669796]","[0.00728929550813137, 0.2960030305245025]","[0.04633127078230764, 3.014770625251815e-11]","[0.036609707947964046, 1.518453335769512e-07]","[0.007954575113155336, 0.2541092584419154]","[0.023556904721907124, 0.0007309413642172319]","[0.012322136545134706, 0.07729035245166394]","[0.049478588967724856, 1.2687910090628158e-12]","[0.03728653004384957, 8.933537935922634e-08]","[0.07144795492262039, 1.1151863701702204e-24]","[-0.002602671512789376, 0.709036378153522]","[0.05799726093847075, 8.65059702692357e-17]","[0.10086809006770778, 1.2485401967605146e-47]","[0.01533379069372236, 0.027920370443378306]","[0.032851707821525196, 2.4657765845462756e-06]","[0.04568304229361736, 5.660152939669066e-11]","[0.011520303209343798, 0.09858705537356412]","[0.021284010754882003, 0.002275295861583615]","[-0.012016661552440131, 0.08493445269911279]","[0.03282077248310476, 2.518635734148367e-06]","[0.07261266574144887, 1.939701654993045e-25]","[0.004142950222522536, 0.5525413605212803]","[0.014080443604667417, 0.0435242862801464]","[0.028688224440108503, 3.893140740694128e-05]","[0.02327332317627469, 0.0008467879545134943]","[0.020822279237053515, 0.0028310771085136677]","[0.017904849493375813, 0.010254325434526756]","[0.07299757933646298, 1.0814776882732522e-25]","[-0.00220195572772576, 0.7522426856200476]","[0.07046293692471045, 4.7651064830054084e-24]","[0.003930845530447273, 0.5730527734841238]","[-0.008272577379098265, 0.2355925320969561]","[-0.0025684654438390105, 0.7127029001018472]","[-0.003924926905938625, 0.5736585147712088]","[-0.002839683595724937, 0.6839258554776793]","[-0.0012106393687317085, 0.862212011880505]","[-0.002421750962921079, 0.728457787598046]","[-0.0014826877488368288, 0.8316658632695204]","[-0.0012105800276643289, 0.8622153798078357]","[-0.0008559885240654419, 0.9023298174005173]","[-0.001482833118345104, 0.8316576745280326]","[-0.00226495233668277, 0.7453907076051196]","[-0.0017121019932392243, 0.8061037265439535]","[-0.002265063369681262, 0.7453846378559605]","[-0.0020969901713885804, 0.7636927198311835]","[-0.0020971957848218655, 0.7636813954915647]","[-0.0022652854683408064, 0.745372497101306]","[-0.0008559885240654394, 0.9023298174005173]","[-0.0008560724450537944, 0.9023250185816865]","[0.039938068503619806, 1.0153627029205191e-08]","[0.015214700795688731, 0.029151356099158417]","[0.02756062438583213, 7.747694763040205e-05]"
"[0.0022153790307546423, 0.7507705632573921]","[0.001424241419155973, 0.8382078705405975]","[0.001030829032375187, 0.8825126370220971]","[0.003500221638303237, 0.615800806235197]","[0.002014038326689919, 0.7727782575276751]","[-0.0033382439555995434, 0.632231466780976]","[0.0016921270173562925, 0.8083216136457676]","[-0.007480448174820336, 0.2835184766757607]","[0.004242897522532824, 0.5429982043134733]","[0.008200309360677987, 0.2397436207437317]","[-0.00090507692900449, 0.8967642274168157]","[0.003948240372755948, 0.5713843812860983]","[-0.0017946663975773004, 0.7969433886419374]","[0.02354884756230574, 0.0007337996533093443]","[0.010567248185406691, 0.12976861155453995]","[0.012744354736384435, 0.0676812581931576]","[0.013990262543361293, 0.04488162377803795]","[0.018280486824903696, 0.008770518996285424]","[0.008190543231695576, 0.2402695212722525]","[0.012097089538778614, 0.08285392330337173]","[-0.008048119591515057, 0.24859014672461346]","[0.011243515724753492, 0.10696701689276383]","[0.02955869474670613, 2.2511869057103725e-05]","[-0.0049158140632667695, 0.48095988971257997]","[0.005593707966016581, 0.4226057475742794]","[-0.0015191758172682659, 0.8275875597548867]","[-0.0014780269528637939, 0.8321871335545463]","[-0.007363835788611167, 0.2910915715245876]","[0.013474200829369556, 0.0533822948562558]","[0.01710611748875118, 0.014187634914583334]","[-0.0023697906618168917, 0.7340483266995441]","[0.005720671508537512, 0.4121304204148166]","[0.013620282904492527, 0.05084225186503739]","[-0.0017597748815489775, 0.8008072920568264]","[-0.0005463735911523806, 0.9375649087304422]","[-0.0008349245708128481, 0.9047262740680191]","[-0.0006040681324540982, 0.9309877276329381]","[-0.00025753165171252766, 0.970548707781085]","[-0.0005151635767466449, 0.9411275166529703]","[-0.0003154028923506862, 0.9639337771656749]","[-0.00025751911853783363, 0.9705494242779266]","[-0.00018208908552797652, 0.9791734396816119]","[-0.00031543359522138276, 0.9639320224729159]","[-0.000481809314493516, 0.9449289354339173]","[-0.00036420474984746767, 0.9583580294101101]","[-0.0004818327653381562, 0.9449275968156674]","[-0.00044607960496455756, 0.9490083119166451]","[-0.00044612303171902485, 0.9490058323961513]","[-0.0004818796738765536, 0.9449249193425491]","[-0.00018208908552797687, 0.9791734396816119]","[-0.00018210681011403826, 0.9791724260735374]","[0.023631528279957105, 0.0007027917878852428]","[-0.0028059494551997046, 0.6874740761394091]","[0.008755770537419591, 0.20936082855639304]"
"[0.005963019647877439, 0.3925860140521762]","[0.003833556789205889, 0.5825940484059762]","[0.002774629063880419, 0.6907885006511688]","[0.009421365117435423, 0.1767841108336899]","[0.024648269777714393, 0.0004089586999743039]","[-0.01608649669090343, 0.021088933075340686]","[0.004554610565552274, 0.513772549598872]","[0.0012964150367595437, 0.8525541472055747]","[0.0070265659367519185, 0.3137543646622978]","[0.018943570562437444, 0.006607171004956636]","[0.009412799791916174, 0.1771990465164925]","[0.02633217185591906, 0.0001596353780178792]","[-0.022350620580238862, 0.001351323619800374]","[0.01842804205010678, 0.008236371707530171]","[0.06320884573184962, 1.1792733023973623e-19]","[-0.011552043636041906, 0.09768683649116919]","[0.018614822496254787, 0.00761049022598923]","[0.035877155990176546, 2.676183925947134e-07]","[-0.010130010306690519, 0.14639152067313355]","[0.008857198375148517, 0.20414289997564405]","[-0.017586502542478843, 0.011690224577373365]","[0.0022624277000725685, 0.7456706628590198]","[0.044844278538157846, 1.2591984643504884e-10]","[-0.0014877903798831138, 0.8310952623957765]","[0.04487413103591341, 1.22416731917826e-10]","[-0.004615592718560569, 0.5081522226661825]","[0.012736228437863647, 0.06784989851014454]","[-0.009169938553043131, 0.1886191063651]","[-0.008060950505597051, 0.24781358962100328]","[0.03532126321048472, 4.080487830551902e-07]","[0.009076258161762295, 0.19317501184654778]","[0.07337063703113153, 6.088056989240533e-26]","[0.004381876105760947, 0.5298561552199031]","[-0.004736693833805574, 0.4970665348425027]","[-0.0014706454689727246, 0.8330128405013685]","[-0.002247323646569709, 0.7473223169484887]","[-0.0016259388746640248, 0.8156816201885733]","[-0.0006931846671435641, 0.9208397710062755]","[-0.001386639378389638, 0.8424302531219179]","[-0.0008489536135121592, 0.9031285443920997]","[-0.0006931508604812623, 0.9208416995843343]","[-0.000490119751242561, 0.9439819574684272]","[-0.0008490364306483103, 0.9031238314490959]","[-0.0012968610185253879, 0.8525004588757631]","[-0.000980311043240284, 0.888231575361498]","[-0.001296924274199657, 0.8524968940120767]","[-0.0012006893460180213, 0.8633299879151467]","[-0.001200806484213847, 0.8633233705551023]","[-0.0012970508040622006, 0.8524897635542666]","[-0.0004901197512425588, 0.9439819574684272]","[-0.0004901675610914492, 0.9439792233830075]","[0.011067197892950834, 0.11257264950073141]","[0.0036203933138573975, 0.6037246739397015]","[0.007455487008218165, 0.2851164685941964]"
"[0.008496043447134904, 0.22317996163677514]","[0.005462010024965323, 0.43358808247197533]","[0.003953261317309009, 0.5708764327909799]","[0.009697257865370576, 0.1644440890298969]","[0.03912330297704714, 2.0109421989389454e-08]","[-0.006909090127036667, 0.3219136834289139]","[0.0064893596043513295, 0.35218663208018564]","[0.019722105294026345, 0.004687888273905964]","[0.013172196771034175, 0.05895713509853275]","[0.03833451699632856, 3.8475090419434365e-08]","[0.023305380199631933, 0.0008333746982068371]","[0.06169894933237616, 8.483974703108504e-19]","[0.0007948339930015738, 0.9092719809817186]","[0.029741104527672712, 2.000113528715101e-05]","[0.08973499484596482, 5.067416154114339e-38]","[-0.0068716949430155105, 0.32455154912604073]","[0.05005110342570863, 6.976357412857115e-13]","[0.03354544838068021, 1.5065853251707952e-06]","[-0.0026350114835400566, 0.7055886512205827]","[0.02354984127614773, 0.0007336385948618974]","[0.008549216762936252, 0.22034150828497304]","[0.061242482542600535, 1.5187649969813089e-18]","[0.010599937746778677, 0.12860450522655653]","[0.01612557670250446, 0.020778107128122152]","[0.03459818622214715, 6.9983259169126e-07]","[0.01051563278644326, 0.13165321387607246]","[0.026352564309296642, 0.00015765590724394637]","[0.03562222404879911, 3.245571908704867e-07]","[0.00585264653851438, 0.4014292539461932]","[0.005982843661113785, 0.3910604379040315]","[0.012715871824210185, 0.06829072504083715]","[0.01482687082531993, 0.033522417336191074]","[0.0060703039147838094, 0.384137671541428]","[-0.006748788195275034, 0.33324539436748896]","[-0.0020953596715500423, 0.7638709964172599]","[-0.0032019630852459357, 0.6462140447029723]","[-0.0023166200272294224, 0.7397967698852251]","[-0.0009876420978445215, 0.8874040089165874]","[-0.0019756691960809143, 0.7770019511423482]","[-0.0012095798765236236, 0.8623280771604859]","[-0.0009875938082936925, 0.8874067566425293]","[-0.00069831729172712, 0.9202536507484649]","[-0.0012096981728085736, 0.8623213795103121]","[-0.0018477532478122587, 0.7910790526820993]","[-0.0013967365139442235, 0.8412904491605837]","[-0.0018478436023812738, 0.7910740378846942]","[-0.0017107291232218718, 0.8062561111321558]","[-0.0017108964437968547, 0.8062467785668883]","[-0.0018480243380320422, 0.7910640072487618]","[-0.0006983172917271181, 0.9202536507484649]","[-0.0006983855834897318, 0.9202497454752332]","[0.017417462021146815, 0.01251419078015503]","[0.012555390647505446, 0.07184211905171937]","[0.014380089759788182, 0.03923086267335328]"
"[0.009511321107168801, 0.17266610839886404]","[0.008543085404455518, 0.2206501720911041]","[0.006183263836121494, 0.3753634554755284]","[0.020995522239669627, 0.0026094410497715004]","[0.054494443363523874, 5.3498541149661445e-15]","[-0.01706196854221135, 0.014434454692252121]","[0.010149954516157971, 0.14561808355115707]","[0.01941991732685055, 0.005362727993730896]","[0.003339558426038873, 0.6320973815542399]","[0.045295020930720284, 8.19955370404579e-11]","[0.04877728334254877, 2.619201525242508e-12]","[0.05542262660231168, 1.8443735503474137e-15]","[0.020444884008574953, 0.0033729882551542427]","[0.07047431583852794, 4.6743234947646955e-24]","[0.09425309794661368, 8.746048989858102e-42]","[-0.002110057212365645, 0.7622700501189549]","[0.06357582427025238, 7.270214536099721e-20]","[0.052069701291317265, 8.039473040208362e-14]","[0.017850056096347176, 0.010485294412963779]","[0.04376367216667024, 3.4476306772206276e-10]","[0.02767995355579691, 7.220468268564731e-05]","[0.027163942034675984, 9.816833655339787e-05]","[0.04702475579593727, 1.5291784889033055e-11]","[0.0010239936883534792, 0.8832860874523224]","[0.08163746616925573, 9.72264397911e-32]","[0.012083521731328234, 0.08319945797055305]","[0.025905846913132455, 0.00020351491237587292]","[0.03013555531935416, 1.5506844361570914e-05]","[0.01857920530760439, 0.007725517760873817]","[-0.007038379969463599, 0.31296495832827764]","[-0.010679682359924267, 0.12573591833119824]","[0.03405829454074202, 1.0385937584669755e-06]","[0.007662027801612192, 0.2719823597475039]","[-0.001070428531658705, 0.8780281117822862]","[-0.00327733500035407, 0.6384578100519332]","[-0.005008167921519646, 0.472778771097779]","[-0.003623406521012119, 0.6034322698565058]","[-0.001544763507930343, 0.8247345592260017]","[-0.003090130281932014, 0.6577687868441083]","[-0.001891894035605987, 0.7862130041965886]","[-0.0015446874338569429, 0.8247388558923666]","[-0.0010922323897914756, 0.8755696749194399]","[-0.0018920803964594785, 0.7862026066464087]","[-0.0028900547900609906, 0.6786226226224317]","[-0.002184624208232321, 0.7541295948194032]","[-0.0028901971320201185, 0.6786150601463233]","[-0.002675737491651087, 0.7012693244471288]","[-0.002676001083943564, 0.7012551481995922]","[-0.0028904818580095205, 0.6785999336358276]","[-0.0010922323897914693, 0.8755696749194399]","[-0.0010923399748740054, 0.8755635237574256]","[0.02705921929062797, 0.00010439310812435199]","[-0.01640508165050015, 0.018666315982735188]","[0.006701286281650294, 0.3366710834215317]"
"[0.013630509931603143, 0.05066305353361497]","[0.00876290705050196, 0.20900085127620036]","[0.006342365047223371, 0.3632013973552605]","[0.005023759122804717, 0.47138009349209437]","[0.05837998070734185, 5.439269547783716e-17]","[0.005761951142906875, 0.4087652264967947]","[0.010411122420188903, 0.135534021110972]","[0.020339256568124155, 0.0035428069224738234]","[0.012370557533220517, 0.0761339998865313]","[0.050398053870754425, 4.839503145217765e-13]","[0.033530321766506804, 1.5230307854583334e-06]","[0.07746789984275158, 9.765926732737196e-29]","[0.018118987216099208, 0.009377757040896663]","[0.13132370139421962, 9.505272269165868e-80]","[0.14682854601654438, 2.0135915580893137e-99]","[0.016109499926356248, 0.02090860143413919]","[0.04014052615036936, 8.566077531751111e-09]","[0.04105625837089475, 3.903693844848835e-09]","[-0.0009734150351578923, 0.8890073381646634]","[0.04313684691753522, 6.124597323922595e-10]","[0.02466918569829489, 0.00040460472326910707]","[0.018001136376873787, 0.009853154454890774]","[0.03426994489912512, 8.909467671418517e-07]","[0.026017493238287753, 0.00019100363124446788]","[0.01832693680323809, 0.008600659333842194]","[0.017064247280836803, 0.014421376651500381]","[0.04818259576869936, 4.788521881609662e-12]","[0.03435973173887763, 8.331613252245257e-07]","[0.03370816676455631, 1.3385547270149958e-06]","[0.025351967873008894, 0.0002779912397440358]","[-0.011129823594301065, 0.11056122212280238]","[0.012561041060582695, 0.07172121678731463]","[0.017652639526074033, 0.01137287705477856]","[0.00769043862889114, 0.2701969759950384]","[-0.003361663921383937, 0.629844280750777]","[0.02403858966131868, 0.0005676447683814973]","[-0.003716640188713615, 0.5941459620754058]","[-0.001584511779410689, 0.8203008701637436]","[-0.003169642446074982, 0.6495448639202047]","[0.02377860328329252, 0.0006508218119346766]","[-0.0015844336986151632, 0.8203052772481683]","[-0.0011203365594704994, 0.8723950563979005]","[-0.001940765530524742, 0.7808400920816392]","[-0.002964418533804968, 0.6708331061319216]","[-0.0022408366498399214, 0.7480150576294068]","[-0.002964564630515228, 0.6708253740620964]","[-0.0027445867413022993, 0.6939663243837382]","[-0.0027448572867636804, 0.6939518209522848]","[-0.002964856867144284, 0.670809908329732]","[-0.0011203365594704947, 0.8723950563979005]","[-0.0011204469824943443, 0.872388743123187]","[0.09644491402771663, 1.1149360860418378e-43]","[0.042920419571813216, 7.447871856636203e-10]","[0.05717722401593153, 2.3228749072100613e-16]"
"[0.004663753235057594, 0.5037157255849961]","[0.006270305993446348, 0.36867889577525903]","[0.004538284993671303, 0.5152826409752524]","[0.015409930101632528, 0.027148599460259586]","[0.04442271878531096, 1.8681656761317213e-10]","[0.015428883839620372, 0.026960285338625996]","[0.0074496879783832156, 0.2855030405683213]","[0.041565383361934514, 2.4978906001067097e-09]","[0.005137510373491266, 0.4613999325674642]","[0.042736831423014834, 8.809271958975056e-10]","[0.04190695647662779, 1.8514001658076592e-09]","[0.0532868934603193, 2.0970886944348355e-14]","[0.006661976362860746, 0.3395014587957641]","[0.10267650390417267, 2.6690700898158705e-49]","[0.1177213016078553, 2.4408965645027357e-64]","[0.0049885021459301175, 0.4745081699678084]","[0.02316639012570362, 0.0008949886798716988]","[0.05492232964115783, 3.286948771436354e-15]","[0.0008543068551200884, 0.902516022183533]","[0.04575280631572205, 5.28123284810371e-11]","[-0.0008682426357504444, 0.9009435462281518]","[0.012666304367255337, 0.06937397088095831]","[0.024433774264450033, 0.00045953400802911654]","[0.025724725463747107, 0.0002254616705494555]","[0.012220021566108045, 0.07979056282435522]","[-0.0008464265567724736, 0.9034154843738748]","[0.022124696962059924, 0.0015123999261087715]","[0.02502742742075759, 0.0003324365896486288]","[0.0019656674229339356, 0.7780907186123172]","[0.02554544404369616, 0.0002495317863776612]","[-0.010433141734362366, 0.13470911130109098]","[0.0006715888665677055, 0.9232963728374092]","[0.013627788436415093, 0.050714814649765384]","[-0.007747506928292077, 0.2666581441739988]","[-0.0024054416317241057, 0.7302022970762587]","[-0.0036758064054705367, 0.5982228748698863]","[-0.0026594452179473384, 0.7030015598249557]","[-0.0011337984765970735, 0.8708782499228891]","[-0.0022680391037322827, 0.7450737239318779]","[-0.0013885796464400129, 0.8422050902894471]","[-0.0011337429530392927, 0.8708814041632396]","[-0.000801657829192941, 0.9085009007693298]","[-0.0013887156640827393, 0.8421974139970677]","[-0.0021211929881742872, 0.7610422595169819]","[-0.001603432673067165, 0.8181880149984222]","[-0.002121296878256168, 0.7610365484992953]","[-0.001963891502482101, 0.778285962918874]","[-0.001964083888469376, 0.7782753177313311]","[-0.0021215046889529695, 0.7610251252815389]","[-0.0008016578291929388, 0.9085009007693298]","[-0.0008017363513991457, 0.9084964105829721]","[0.03766621165258858, 6.587932345566651e-08]","[0.014334624578320125, 0.0398560350275261]","[0.022845020542756816, 0.0010540730383338118]"
"[0.0156122190382568, 0.025189130056227325]","[0.018558488147908617, 0.0077940133551545185]","[0.01343215280959328, 0.05413105421778504]","[0.0189578971398187, 0.00656497278372872]","[0.12500480864957952, 2.2543549075787613e-72]","[0.01278206298155655, 0.06686590593837197]","[0.022049154570278427, 0.001569806124572691]","[0.050082839285065815, 6.738903806967611e-13]","[0.03714879364205208, 9.947921402063278e-08]","[0.09089564611646743, 5.723620940655946e-39]","[0.08261875324364057, 1.8132415523868164e-32]","[0.1480562614697076, 4.5526092400855284e-101]","[0.01685544138168297, 0.01565898441717734]","[0.26384476258258555, 0.0]","[0.29532069164958685, 0.0]","[0.01290623275094559, 0.06426556084562175]","[0.06148575020559059, 1.1140023207179432e-18]","[0.07688831828566693, 2.480664612010184e-28]","[0.012734024638932012, 0.06788412284656907]","[0.08592014635219564, 5.4637783168745e-35]","[0.03799858625253386, 5.0549379981609644e-08]","[0.05097666587569443, 2.612038437444623e-13]","[0.007129928464808304, 0.3067123372836141]","[0.001448613727986261, 0.8354784454303139]","[0.0006299734686910302, 0.9280395149798435]","[0.006527429357476843, 0.34936878200661087]","[0.11841568432395638, 4.393704115434187e-65]","[0.10251158899117183, 3.81944344146259e-49]","[0.02438962560058539, 0.0004702804939913887]","[0.009686506500814377, 0.16493305127414326]","[-0.016701861537783212, 0.01663723353375047]","[-0.004843491124548105, 0.48743717085821325]","[0.037940195531242116, 5.286810389183179e-08]","[0.005599745671784404, 0.4220600297437585]","[0.0005075806640124862, 0.9419897286974037]","[-0.0008903435664917433, 0.8984355776345243]","[-0.007871271770288946, 0.25911653282290265]","[-0.0033557593648546203, 0.6304540841106008]","[-0.00671284412491671, 0.3358736342570223]","[0.009098702229111421, 0.19207620761143476]","[0.012821111138220922, 0.06603690167390099]","[0.020504048560947282, 0.0032834966777923547]","[-0.004110260608592202, 0.5556996187979487]","[-0.006278168373458705, 0.36806710759497924]","[-0.004745747064048903, 0.49626548011627136]","[-0.0062784915145225025, 0.36805410650915144]","[-0.005812612209146759, 0.4046576729202511]","[-0.0058132106143402055, 0.4046321644025575]","[-0.006279137896602206, 0.36802810204175773]","[-0.002372700365389682, 0.7337341759389603]","[-0.0023729446054811783, 0.7337202724452936]","[0.14295451733461767, 2.685744460473496e-94]","[0.07858451347940157, 1.574409835391858e-29]","[0.1149899973368203, 1.8645473512317516e-61]"
