sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Emphasis,['by_position'],['by_position'],['by_position'],TRUE,[],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The use of the phrase 'I don’t regard Louis Farrakhan as an aberration or anything' at the beginning of the sentence and the repetition of 'thousands and thousands and thousands and thousands of people' at the end of the sentence emphasize the writer's viewpoint and the significance of Farrakhan's influence.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'I don’t regard Louis Farrakhan as an aberration or anything' and ends with 'thousands and thousands and thousands and thousands of people,' placing emphasis on these key elements by their position in the sentence.""
}",['by_position'],"{
  ""Properties"": [
    ""by position"",
    ""by sentence role""
  ],
  ""Explanation"": ""The sentence places emphasis on Louis Farrakhan by positioning his name at the beginning, and it emphasizes the subject 'he' by placing it at the end of the sentence.""
}","['by_position', 'by_sentence_role']",FALSE,"{
  ""Properties"": [
    ""by position"",
    ""from inversions""
  ],
  ""Explanation"": ""The sentence uses an inversion with the structure 'I don’t regard Louis Farrakhan as an aberration or anything' and 'he emphasized later', placing emphasis on the beginning and end of the sentence.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence uses an inversion with the structure 'I don’t regard Louis Farrakhan as an aberration or anything' and 'he emphasized later', placing emphasis on the beginning and end of the sentence. This emphasizes the speaker's opinion and the emphasis on Louis Farrakhan's influence.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence uses the strategy of emphasis by position, with the repetition of 'thousands and thousands and thousands and thousands' at the end of the sentence to draw attention. Additionally, the sentence also employs an inversion with the phrase 'thousands and thousands and thousands and thousands' placed at the end instead of the expected position.""
}","['by_position', 'from_inversions']",TRUE,"['by_position', 'from_inversions']",1,0,GPT is misinterpreting the property. Using it out of context of grammar.,['by_position'],
117,[ 1 12],"And so Chris Bryant, “a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’, a senior Labour MP has said.”",Emphasis,['by_position'],['by_position'],['by_position'],TRUE,[],"{
  ""Properties"": [
    ""by position"",
    ""from inversions""
  ],
  ""Explanation"": ""The sentence uses an inversion with 'And so' at the beginning for emphasis, and places 'a senior Labour backbencher' and 'a senior Labour MP' at the beginning and end of the sentence for additional emphasis.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [
    ""by position"",
    ""from inversions""
  ],
  ""Explanation"": ""The sentence starts with the phrase 'And so' to draw attention to what follows, using emphasis by position. It also contains an inversion with the phrase 'a senior Labour backbencher' placed before 'Chris Bryant', creating emphasis from inversions.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by sentence role""],
  ""Explanation"": ""The subject of the sentence, 'Chris Bryant,' receives the most attention, indicating emphasis based on sentence role.""
}",['by_sentence_role'],FALSE,"{
  ""Properties"": [
    ""by position"",
    ""from inversions""
  ],
  ""Explanation"": ""The sentence uses an inversion with the phrase 'a senior Labour backbencher' placed at the beginning for emphasis. Additionally, the end of the sentence emphasizes the reason for the ban, 'his presence is ‘not conducive to the public good’'.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence uses an inversion with the subject 'a senior Labour backbencher' placed at the beginning for emphasis. Additionally, the end of the sentence emphasizes the reason for the ban and the source of the statement, 'a senior Labour MP has said.'""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence uses an inversion with the phrase 'a senior Labour backbencher' placed at the beginning for emphasis. Additionally, the end of the sentence emphasizes the reason for the ban, 'his presence is not conducive to the public good'.""
}","['by_position', 'from_inversions']",TRUE,"['by_position', 'from_inversions']",1,0,GPT is misinterpreting the property. Using it out of context of grammar.,['by_position'],
143,[9 1 8],"Sagacious gun owners have always known that the ultimate goal of gun control extremists such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al., has always been gun confiscation.",Emphasis,['by_position'],['by_position'],['by_position'],TRUE,[],"{
  ""Properties"": [""by position"", ""from inversions"", ""combinations""]
}

  
  ","['by_position', 'from_inversions', 'combinations']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence begins with 'Sagacious gun owners' and ends with 'gun confiscation', placing emphasis on these salient elements at the beginning and end of the sentence. Additionally, the sentence contains an inversion with the list of gun control extremists following the phrase 'such as'. This inversion adds emphasis to the list of individuals by deviating from the normal Subject-Verb-Object order.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [
    ""by position"",
    ""from inversions""
  ],
  ""Explanation"": ""The sentence employs emphasis by placing the names of prominent gun control figures at the end and using an inversion 'et al.' to emphasize the concept of gun confiscation as the ultimate goal.""
}","['by_position', 'from_inversions']",FALSE,"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence uses an inversion by placing the subject 'Sagacious gun owners' at the beginning for emphasis. It also uses an inversion by placing the list of gun control extremists at the end of the sentence for emphasis.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence uses an inversion by placing the subject 'Sagacious gun owners' at the beginning for emphasis. It also uses an inversion by listing the names of the gun control extremists before the verb 'has always been', which emphasizes the accusation against them.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence uses an inversion by placing the subject 'Sagacious gun owners' at the beginning of the sentence for emphasis. Additionally, the names of the gun control extremists are placed at the end of the sentence, further emphasizing them.""
}","['by_position', 'from_inversions']",TRUE,"['by_position', 'from_inversions']",1,0,GPT is misinterpreting the property. Using it out of context of grammar.,['by_position'],
1290,[7 8],"But if you are a freedom-loving American who values your liberties and the God-given right to defend them, happy is NOT what you should be feeling right now.",Emphasis,['by_position'],['by_position'],['by_position'],TRUE,"['by_position', 'by_sentence_role']","{
  ""Properties"": [""by sentence role"", ""from inversions""],
  ""Explanation"": ""The subject 'freedom-loving American' receives the most attention in the sentence, and there is an inversion of the normal order of the sentence structure with 'happy is NOT what you should be feeling right now.'""
}","['by_sentence_role', 'from_inversions']","{
  ""Properties"": [
    ""by sentence role""
  ],
  ""Explanation"": ""The subject 'you' is the focus of the sentence, which receives the most attention."" 
}",['by_sentence_role'],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The writer places emphasis at the beginning of the sentence by highlighting the subject 'freedom-loving American'. Additionally, an inversion of the usual word order is used with 'happy is NOT', adding further emphasis to the negation.""
}","['by_position', 'from_inversions']",FALSE,"{
  ""Properties"": [
    ""by position"",
    ""from inversions""
  ],
  ""Explanation"": ""The sentence uses an inversion by placing 'happy' at the beginning for emphasis, and 'NOT' at the end for additional emphasis. This violates the normal order of Subject Verb Object (SVO) and places the salient elements at the beginning and end of the sentence.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [
    ""by position"",
    ""from inversions""
  ],
  ""Explanation"": ""The sentence uses an inversion by placing 'happy' at the beginning for emphasis, and 'NOT' at the end for additional emphasis. This violates the normal Subject Verb Object (SVO) order, emphasizing the contradictory nature of the statement.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [
    ""by position"",
    ""from inversions""
  ],
  ""Explanation"": ""The sentence uses an inversion by placing 'happy' at the beginning for emphasis, and 'NOT' at the end for additional emphasis. This creates emphasis through both sentence position and inversion.""
}","['by_position', 'from_inversions']",TRUE,"['by_position', 'from_inversions']",0,1,Annotaors missed 'fron inversion',"['by_position', 'from_inversions']",
1354,[7],"“I have, on numerous occasions, noted our intelligence findings that Russians attempted to interfere in our elections.",Emphasis,['by_position'],['by_position'],['by_position'],TRUE,"['by_position', 'by_sentence_role']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence utilizes the 'by position' property by placing the phrase 'on numerous occasions' at the beginning for emphasis. It also employs the 'from inversions' property through the inversion of the typical Subject Verb Object (SVO) order with 'Russians attempted to interfere' instead of 'Russians attempted to interfere'.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The writer places 'on numerous occasions' at the beginning of the sentence and 'in our elections' at the end, hence the emphasis is placed on the frequency of the intelligence findings and the impact on the elections.""
}",['by_position'],"{
  ""Properties"": [
    ""by position"",
    ""from inversions""
  ],
  ""Explanation"": ""The sentence uses both emphasis by position, with the phrase 'on numerous occasions' at the beginning, and from inversions, with the reversal of the typical word order in 'intelligence findings that Russians attempted to interfere'.""
}","['by_position', 'from_inversions']",FALSE,"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence uses an inversion with the phrase 'on numerous occasions' placed at the beginning, and 'our intelligence findings' placed at the end for emphasis. This creates emphasis through both by position and from inversions.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence uses an inversion by placing 'I have' at the beginning, and 'on numerous occasions' at the middle, which violates the normal Subject Verb Object (SVO) order. This creates emphasis on the act of noting and the frequency of the occasions.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence uses an inversion with the phrase 'on numerous occasions' placed at the beginning for emphasis. Additionally, the subject 'Russians' is placed at the beginning of the sentence for emphasis.""
}","['by_position', 'from_inversions']",TRUE,"['by_position', 'from_inversions']",0,1,Annotaors missed 'fron inversion',"['by_position', 'from_inversions']",
3326,[5 9],"And Ms. Ford may be overestimating the integrity of the ""supportive"" lawmakers and lawyers currently handling her.",Emphasis,['by_sentence_role'],['by_sentence_role'],['by_sentence_role'],TRUE,"['by_position', 'by_sentence_role']","{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The sentence begins with 'And' to draw attention to the point being made, and the word 'currently' is placed at the end to give it emphasis.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'And' which gives emphasis to the idea presented at the beginning of the sentence. This technique places emphasis on the skepticism towards Ms. Ford's situation.""
}",['by_position'],timeout,[],FALSE,"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'And' which places emphasis on the following statement, indicating a continuation or contrast with previous information.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'And' which draws attention to what follows, emphasizing the doubt expressed by the writer about Ms. Ford's situation.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'And' which draws attention to what follows, emphasizing the doubt being cast on Ms. Ford's estimation of the integrity of the 'supportive' lawmakers and lawyers.""
}",['by_position'],TRUE,['by_position'],1,0,GPT classification and explanation both wrong,['by_sentence_role'],
4458,[ 8 17],"They want to prosecute Assange and maybe hang him from the rafters in Congress, but what about Judith Miller and The New York Times lying the West into war?",Emphasis,['by_position'],['by_position'],['by_position'],TRUE,['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'They want to prosecute Assange', placing emphasis on this action and its subject.""
}",['by_position'],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence starts with 'They want to prosecute Assange' placing the salient elements at the beginning of the sentence. Additionally, the sentence uses inversion with 'but what about Judith Miller and The New York Times lying the West into war?' where the normal order of subject, verb, and object is altered.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [
    ""by position"",
    ""from inversions""
  ],
  ""Explanation"": ""The sentence uses emphasis by position to place 'Assange' at the beginning and 'Judith Miller and The New York Times' at the end for emphasis. It also employs an inversion with the phrase 'but what about Judith Miller and The New York Times lying the West into war?' by placing the object before the subject.""
}","['by_position', 'from_inversions']",FALSE,"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence uses an inversion with 'but what about Judith Miller and The New York Times lying the West into war?' and places the most attention on the beginning and end of the sentence with 'They want to prosecute Assange' and 'hang him from the rafters in Congress.'""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence uses an inversion with 'but what about Judith Miller and The New York Times lying the West into war?' and places emphasis on the beginning and end of the sentence to highlight the contrast between the treatment of Assange and the actions of Judith Miller and The New York Times.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence uses an inversion with 'but what about Judith Miller and The New York Times lying the West into war?' which violates the normal Subject Verb Object (SVO) order. Additionally, the beginning of the sentence 'They want to prosecute Assange and maybe hang him from the rafters in Congress' places emphasis on the action being taken.""
}","['by_position', 'from_inversions']",TRUE,"['by_position', 'from_inversions']",1,0,GPT is misinterpreting the property. Using it out of context of grammar.,['by_position'],
5208,[],"“At this time, we have not had cooperation from attorneys representing other clients, and they have made no attempt to substantiate their claims.”",Emphasis,['by_position'],['by_position'],['by_position'],TRUE,['by_position'],"{
  ""Properties"": [
    ""by position"",
    ""from inversions""
  ],
  ""Explanation"": ""The sentence uses both 'by position' emphasis by placing 'At this time' at the beginning of the sentence and 'from inversions' emphasis by inverting the normal order of the subject and verb in 'they have made no attempt to substantiate their claims.'""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'At this time' and ends with 'their claims', placing emphasis on the current status and the lack of action by the attorneys representing other clients.""
}",['by_position'],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The writer places the salient elements 'At this time' and 'they have made no attempt to substantiate their claims' at the beginning and end of the sentence, respectively, to emphasize the lack of cooperation and effort from the attorneys representing other clients.""
}",['by_position'],FALSE,"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The sentence uses emphasis by position by placing 'At this time' at the beginning and 'their claims' at the end, which draws attention to these elements.""
}",['by_position'],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The sentence uses emphasis by position, placing the salient elements 'At this time' and 'they have made no attempt to substantiate their claims' at the beginning and end of the sentence to influence what is emphasized.""
}",['by_position'],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The sentence uses emphasis by position by placing 'At this time' at the beginning and 'they have made no attempt to substantiate their claims' at the end, which draws attention to these elements.""
}",['by_position'],TRUE,['by_position'],1,1,,['by_position'],
4024,[13],"Specifically, one executive suggests paying for the rides of Latinos to get them to the polls — if they vote for Clinton, that is.",Emphasis,['by_sentence_role'],['by_position'],['by_position'],FALSE,"['from_inversions', 'by_position']","{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'one executive suggests' which places emphasis on the executive and the action of suggesting. The end of the sentence emphasizes the condition of paying for the rides of Latinos only if they vote for Clinton.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The salient elements 'one executive suggests' and 'if they vote for Clinton, that is' are placed at the beginning and end of the sentence, which influences the emphasis by positioning these key points prominently.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The beginning of the sentence places emphasis on 'one executive suggests' by positioning it first, drawing attention to the idea of an executive proposing a specific action.""
}",['by_position'],TRUE,"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence places emphasis on the idea of paying for the rides of Latinos to get them to the polls, which is at the beginning of the sentence, influencing what is emphasized.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'Specifically' which emphasizes the specific suggestion being made, and ends with 'if they vote for Clinton, that is' which emphasizes the condition attached to the suggestion.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The beginning of the sentence emphasizes the suggestion of paying for the rides of Latinos, while the end emphasizes the condition of voting for Clinton.""
}",['by_position'],TRUE,['by_position'],0,1,,['by_position'],if they vote for Clicnton' is placed at the end for emphasis
12899,[],Yore called the example Pope Francis set in the way he handled the abuse information “extremely dangerous.”,Emphasis,['by_position'],['by_position'],['by_position'],TRUE,['by_position'],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence begins with 'extremely dangerous,' placing emphasis on this description. The normal order of Subject Verb Object (SVO) is also violated with 'Yore called the example Pope Francis set...' which is an example of inversion.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by sentence role""],
  ""Explanation"": ""The subject of the sentence, 'Pope Francis', receives the most attention, indicating emphasis on his actions.""
}",['by_sentence_role'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence places the salient element 'extremely dangerous' at the end, which gives it the most emphasis.""
}",['by_position'],FALSE,"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence places emphasis on 'extremely dangerous' by positioning it at the end, influencing what is emphasized.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'extremely dangerous,' placing emphasis on this description.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'extremely dangerous,' placing emphasis on this description and influencing the reader's perception of the severity of the situation.""
}",['by_position'],TRUE,['by_position'],1,1,,['by_position'],
