sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_argument,[],[],[],TRUE,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example does not include any clear use of antithesis, antimetabole, definition as figure, induction, or eduction. However, it does demonstrate strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict in conservative Ben Shapiro's statement.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The sentence contains strategic repetition of the word 'horrifying', emphasizing the intensity of Ben Shapiro's reaction to the verdict.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the adjective 'horrifying' is strategically repeated to emphasize the intensity of the speaker's reaction to the verdict.""
}",['strategic_repetition'],TRUE,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'horrifying' in juxtaposition with the conservative viewpoint of Ben Shapiro creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the word 'horrifying' is strategically repeated for emphasis and to convey a strong negative sentiment.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties of Figures of argument. However, it does contain strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict."" 
}",['strategic_repetition'],0,['strategic_repetition'],1,0,GPT is misinterpreting the property. Using it out of context of grammar.,[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Figures_of_argument,[],[],[],TRUE,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by juxtaposing the idea of 'totally taken to heart' with 'those responsible in the Church', creating a contrast between the actions and the recipients of those actions.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement contains an antithesis, as it presents an argument from opposites - the declarations made by Archbishop Viganò must be totally taken to heart by those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The property of strategic repetition is used in the statement with the repetition of the phrase 'must be totally taken to heart'.""
}",['strategic_repetition'],FALSE,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting the authority of Archbishop Carlo Maria Viganò with those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting the authority of Archbishop Carlo Maria Viganò with those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The statement provides a clear and succinct definition of the authority and importance of Archbishop Carlo Maria Viganò's declarations within the Church.""
}",['defintion_as_figure'],0,['antithesis'],1,0,GPT is misinterpreting the property. Using it out of context of grammar.,[]
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Figures_of_argument,[],[],[],TRUE,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of the phrase 'the first signer of the Declaration of Independence' sets up an antithesis between John Hancock and the other signers, emphasizing his unique position.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' creates an antithesis by setting up a contrast between the 'first' and the subsequent signers of the Declaration of Independence.""
}",['antithesis'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The text provides a definition of John Hancock as the first signer of the Declaration of Independence.""
}",['defintion_as_figure'],FALSE,"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The text sets forth the full meaning and character of John Hancock as the first signer of the Declaration of Independence in a succinct and lucid manner.""
}",['defintion_as_figure'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The text sets forth the full meaning and character of John Hancock as the first signer of the Declaration of Independence.""
}",['defintion_as_figure'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The text provides a clear and succinct definition of John Hancock as the first signer of the Declaration of Independence.""
}",['defintion_as_figure'],1,['defintion_as_figure'],1,0,GPT is misinterpreting the property. Using it out of context of grammar.,[]
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Figures_of_argument,[],[],[],TRUE,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by presenting two contrasting ideas: 'I believe her because she is telling the truth' vs 'you know it by her story.'""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'I believe her' and 'you know it by her story' presents an argument from opposites, emphasizing the contrast between the speaker's belief and the listener's supposed knowledge.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'I believe her' and 'you know it' presents an argument from opposites, emphasizing the contrast between belief and knowledge.""
}",['antithesis'],TRUE,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'I believe her because she is telling the truth and you know it by her story' presents an argument from opposites, contrasting the idea of believing someone with the assertion of knowing the truth from their story.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by presenting opposing ideas in close proximity: 'I believe her because she is telling the truth and you know it by her story.'""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'I believe her because she is telling the truth and you know it by her story' presents an antithesis by contrasting the idea of believing someone based on their truthfulness with the idea of knowing the truth based on their story.""
}",['antithesis'],1,['antithesis'],0,1,Annotaors missed 'fron inversion',['from_inversion']
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Figures_of_argument,[],[],[],TRUE,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The sentence 'I have read the Cardinal's exposition in both Italian and English' is repeated with slight modification in 'and I only find mention of the help of the sacraments in certain cases.' This repetition creates emphasis and draws attention to the comparison between the two readings.""
}",['strategic_repetition'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement implies a conclusion drawn from specific examples mentioned by the Cardinal, which then leads to a general statement about the help of the sacraments in certain cases.""
}",['induction'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of strategic repetition is evident in the repetition of the idea of 'mention of the help of the sacraments' in both Italian and English, emphasizing its significance.""
}",['strategic_repetition'],FALSE,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of the phrase 'in both Italian and English' sets up an antithesis by contrasting the two languages, emphasizing the Cardinal's exposition in both languages.""
}",['antithesis'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a conclusion from specific cases (exposition in Italian and English) to make a generalization about the Cardinal's mention of the help of the sacraments in certain cases.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement 'I only find mention of the help of the sacraments in certain cases' is a conclusion drawn from specific examples or instances, indicating an inductive reasoning process.""
}",['induction'],0,['induction'],0,1,Annotaors missed 'fron inversion',['from_inversion']
80,[1],"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Figures_of_argument,[],[],[],TRUE,[],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement suggests that because the current situation is unprecedented, an unprecedented step of recalling Benedict XVI should be considered sooner rather than later.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The use of the phrase 'unprecedented moment in papal history' leads to the induction that an unprecedented step should also be considered to address the crisis.""
}",['induction'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The argument from opposites is employed in the phrase 'unprecedented moment in papal history' and 'unprecedented step of recalling Benedict XVI to the Chair of St. Peter'. This contrast emphasizes the gravity and unique nature of the situation.""
}",['antithesis'],FALSE,"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The argument is made from the specific situation of an unprecedented moment in papal history to the general suggestion of recalling Benedict XVI to the Chair of St. Peter before the crisis worsens.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The argument is made from specific circumstances (unprecedented moment in papal history) to a general conclusion (consider recalling Benedict XVI to the Chair of St. Peter).""
}",['induction'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'unprecedented moment' and 'unprecedented step' creates an antithesis by presenting opposite ideas for emphasis.""
}",['antithesis'],0,['induction'],1,0,classification and explanation both wrong,[]
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Figures_of_argument,[],[],[],TRUE,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition with the phrase 'loss of faith in the Church as an institution' being repeated in different forms ('their loss of faith in the Church', 'loss of faith in the Church as an institution').""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The statement uses strategic repetition with the phrase 'loss of faith in the Church as an institution' being repeated in a slightly modified form, creating emphasis and rhetorical effect.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition of the phrase 'loss of faith in the Church as an institution', emphasizing the sentiment expressed by multiple Catholics.""
}",['strategic_repetition'],TRUE,"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'loss of faith in the Church' is strategically repeated in the sentence to emphasize the sentiment expressed by the Catholics on social media.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'loss of faith' is strategically repeated in the sentence to emphasize the impact of Paul VI's canonization on the Catholics' faith in the Church.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'loss of faith in the Church as an institution' is strategically repeated in the sentence to emphasize the sentiment expressed by the Catholics on social media.""
}",['strategic_repetition'],1,['strategic_repetition'],1,0,GPT is misinterpreting the property. Using it out of context of grammar.,[]
159,[1],This is a very real threat – one that is largely immune to attack from the air.,Figures_of_argument,[],[],[],TRUE,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'largely immune' creates a contrast between 'real threat' and 'immune to attack', emphasizing the severity of the threat.""
}",['antithesis'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The statement provides a lucid and succinct definition of the threat by describing it as 'largely immune to attack from the air.'""
}",['defintion_as_figure'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites: the threat is real, but it is largely immune to attack from the air.""
}",['antithesis'],FALSE,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, highlighting the contrast between the threat being real and largely immune to attack from the air.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'very real threat' and 'largely immune to attack' presents an argument from opposites, emphasizing the severity of the threat and the difficulty in countering it.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting the threat being largely immune to attack from the air with the idea of it being a real threat.""
}",['antithesis'],1,['antithesis'],1,0,,[]
188,[1],They would be immediate targets should the US and South Korea attack the north.,Figures_of_argument,[],[],[],TRUE,[],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a conclusion about a general situation (potential targets) from a specific scenario (US and South Korea attacking the north).""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a conclusion about the potential targets in the specific scenario of a US and South Korea attack on the north, and then generalizes this to imply that 'they' would be immediate targets.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement makes a conclusion about a general situation (potential targets) based on the specific scenario of a US and South Korea attack on the north.""
}",['induction'],TRUE,"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a conclusion about the immediate targets in the event of a potential US and South Korea attack on North Korea based on specific circumstances.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a conclusion about the immediate targets in the event of a potential US and South Korea attack on the north, based on specific circumstances.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement draws a conclusion about the immediate targets in the event of a US and South Korea attack on the north based on specific circumstances.""
}",['induction'],1,['induction'],1,0,,[]
194,[9 1],"Think of this, the meekest man alive was sent to the face of the Pharaoh to tell him to obey or else.",Figures_of_argument,[],[],[],TRUE,[],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting the meekness of the man with the boldness of his task to confront the Pharaoh.""
}",['antithesis'],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The text presents an argument from opposites by contrasting the meekness of the man with the assertive action of delivering a demand to the Pharaoh.""
}",['antithesis'],"{
  ""Properties"": [
    ""antithesis"",
    ""defintion as figure""
  ],
  ""Explanation"": ""The sentence contains an argument from opposites (meek vs. commanding) and sets forth the full meaning of the situation lucidly and succinctly.""
}","['antithesis', 'defintion_as_figure']",FALSE,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by contrasting the meekness of the man with the boldness of his mission to confront the Pharaoh.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by juxtaposing the idea of the 'meekest man alive' with the action of confronting the Pharaoh, creating a contrast between meekness and assertiveness.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting the meekness of the man with the boldness of his mission to confront the Pharaoh.""
}",['antithesis'],1,['antithesis'],1,0,,[]
