sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Figures_of_word_choice,[],[],[],TRUE,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'in both Italian and English' emphasizes the thoroughness of the reading, implying that the speaker has made a diligent effort to understand the Cardinal's exposition.""
}",['emphasis'],"{
    ""Properties"": [""emphasis""],
    ""Explanation"": ""The use of the phrase 'in both Italian and English' emphasizes the thoroughness of the reader's review, suggesting that the reader has carefully examined the text in multiple languages to ensure a complete understanding.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'in certain cases' suggests more than is actually stated, leaving room for interpretation and innuendo.""
}",['emphasis'],TRUE,"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'in certain cases' suggests that there may be limitations or exceptions to the Cardinal's exposition, implying more than is actually stated.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'certain cases' suggests that there are specific situations where the help of the sacraments is mentioned, implying that it may not be universally applicable. This leads to an emphasis on the limited scope of the mention."" 
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'in certain cases' suggests that the Cardinal's exposition may have implied a broader application of the help of the sacraments, but the speaker is emphasizing that it is only in specific situations.""
}",['emphasis'],1,['emphasis'],0,1,,['emphasis'],implying that help of the sacraments is not readily available
117,[ 1 12],"And so Chris Bryant, “a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’, a senior Labour MP has said.”",Figures_of_word_choice,[],[],[],TRUE,[],"{
  ""Properties"": [""metaplasms""],
  ""Explanation"": ""The use of 'condoning' instead of 'endorsing' or 'supporting' highlights a deviation from the standard form of the word, emphasizing the disapproval of Trump's actions.""
}",['metaplasms'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The use of the rhetorical conditional 'if/then' statement is present in the phrase 'urging her to go further, and issue an official ban on Donald Trump from entering the UK'. The antecedent is the action of issuing a ban, and the consequent is the characterization of Trump's presence as 'not conducive to the public good'.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""metaplasms""],
  ""Explanation"": ""The word 'Labour' is spelled as 'Labour' in British English instead of 'Labor' in American English, emphasizing the British context.""
}",['metaplasms'],FALSE,"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The use of 'if...then' statement to suggest an absurd or unlikely scenario, in this case, urging the Prime Minister to issue an official ban on Donald Trump from entering the UK.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The use of 'if' in the statement 'urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’' creates a rhetorical conditional, suggesting an absurd hypothetical situation.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The use of 'if' in 'urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism' creates a rhetorical conditional statement.""
}",['rhetorical_conditional'],1,['rhetorical_conditional'],1,0,,[],
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Figures_of_word_choice,['emphasis'],['emphasis'],['emphasis'],TRUE,[],"{
  ""Properties"": [""correctio"", ""rhetorical conditional""],
  ""Explanation"": ""The use of 'note well' before emphasizing the content of the letter can be seen as a form of correctio, introducing the idea that the following statement is important. Additionally, the rhetorical conditional is present in the quoted section where a hypothetical statement is introduced ('I was banned for saying that...')""
}","['correctio', 'rhetorical_conditional']","{
  ""Properties"": [""rhetorical conditional"", ""emphasis""],
  ""Explanation"": ""The use of 'note well' serves as a rhetorical conditional by leading the reader to pay attention to the following statement. The emphasis on the quoted text is achieved through the structure of the sentence.""
}","['rhetorical_conditional', 'emphasis']","{
  ""Properties"": [""agnominatio""],
  ""Explanation"": ""The play on words is observed in the use of 'note well' and 'letter' in the same sentence, where 'note well' serves as a command and 'letter' refers to a written communication.""
}",['agnominatio'],FALSE,"{
  ""Properties"": [""agnominatio""],
  ""Explanation"": ""The use of 'note well' is a play on words, as it is a common phrase used to emphasize the importance of something, but in this context, it also serves to draw attention to the following statement.""
}",['agnominatio'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The use of 'if/then' statement in the form of a rhetorical conditional, presenting an absurd or unlikely antecedent.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The use of the rhetorical conditional 'if/then' statement creates an absurd or unlikely antecedent, suggesting that the speaker is banned for a statement that is extreme or controversial.""
}",['rhetorical_conditional'],0,['rhetorical_conditional'],0,0,GPT explanation doesn't reflect given sentence,[],
253,[3 8],Either that or they can go whine to the New York Times some more because the Jewish community won't let them burn crosses on their lawn.,Figures_of_word_choice,[],[],[],TRUE,[],"{
  ""Properties"": [""metaplasms""],
  ""Explanation"": ""The word 'whine' is a metaplasm for 'wine', emphasizing the deviation from the standard form to convey a different meaning.""
}",['metaplasms'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The phrase 'the Jewish community won't let them burn crosses on their lawn' creates a rhetorical conditional with an absurd antecedent, emphasizing the unlikelihood of the scenario.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The use of 'because' sets up a rhetorical conditional, suggesting an absurd or impossible situation where the Jewish community would allow cross burning.""
}",['rhetorical_conditional'],FALSE,"{
  ""Properties"": [""agnominatio"", ""rhetorical conditional""],
  ""Explanation"": ""The use of 'burn crosses on their lawn' is a play on words, as it is a reference to the Ku Klux Klan's practice, and it is also a rhetorical conditional as it presents an absurd hypothetical situation.""
}","['agnominatio', 'rhetorical_conditional']","{
  ""Properties"": [""metaplasms"", ""emphasis""],
  ""Explanation"": ""The use of 'whine' instead of 'complain' is a metaplasm, emphasizing the derogatory tone towards the subject. The mention of burning crosses on the lawn is an example of emphasis, suggesting a serious accusation without explicitly stating it.""
}","['metaplasms', 'emphasis']","{
  ""Properties"": [""agnominatio"", ""rhetorical conditional""],
  ""Explanation"": ""The use of 'whine' and 'burn crosses' creates a play on words, and the statement 'the Jewish community won't let them burn crosses on their lawn' is a rhetorical conditional, suggesting an absurd scenario.""
}","['agnominatio', 'rhetorical_conditional']",0,"['agnominatio', 'rhetorical_conditional']",1,0,,[],
282,[3 9],"And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like.",Figures_of_word_choice,[],[],[],TRUE,[],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement presents a rhetorical conditional, suggesting an absurd or unlikely outcome.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The sentence presents a rhetorical conditional, suggesting an absurd or difficult-to-imagine scenario of a 'promising GOP agenda' if not influenced by Trumpism.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The use of 'if/then' statement suggests a hypothetical situation where Trumpism is not the future of the GOP, which is seen as unlikely or absurd by the speaker.""
}",['rhetorical_conditional'],TRUE,"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The use of 'if/then' statement creates a rhetorical conditional, suggesting an absurd or unlikely scenario.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement presents a rhetorical conditional by suggesting an absurd or unlikely scenario: 'if Trumpism is not the future of the GOP'.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The sentence presents a rhetorical conditional by using 'if...then' to suggest an unlikely or absurd scenario, implying that Trumpism is indeed the future of the GOP.""
}",['rhetorical_conditional'],1,['rhetorical_conditional'],,,,,
296,[3],"There is only one Magisterium, he said, and bishops' conferences can only decide about pastoral questions.",Figures_of_word_choice,[],[],[],TRUE,[],"{
  ""Properties"": [""synonyms""],
  ""Explanation"": ""The use of 'Magisterium' and 'he' as a synonym for 'the pope' emphasizes the singular authority of the pope within the Catholic Church.""
}",['synonyms'],"{
  ""Properties"": [""metaplasms""],
  ""Explanation"": ""The word 'Magisterium' is a metaplasm, as it is the alteration of 'magistery' to indicate a different form of the word.""
}",['metaplasms'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement 'There is only one Magisterium' is a rhetorical conditional, as it presents an absurd or extreme hypothetical situation.""
}",['rhetorical_conditional'],FALSE,"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'he said' emphasizes the authority and certainty of the statement being made.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'he said' emphasizes the authority and certainty of the statement, suggesting that the speaker is confident in the assertion being made.""
}",['emphasis'],"{
  ""Properties"": [""synonyms""],
  ""Explanation"": ""The use of 'Magisterium' and 'bishops' conferences' as synonyms for the same concept emphasizes the hierarchical structure within the church.""
}",['synonyms'],0,['emphasis'],,,,,
319,[3],It’s not coming back.,Figures_of_word_choice,[],[],[],TRUE,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'It's not coming back' implies that something has been lost or is no longer available, leading to the suggestion of a significant or irreversible change without explicitly stating it."" 
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'It's not coming back' emphasizes the finality of the situation, suggesting that there is no hope for the return of whatever is being referred to.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of a short, declarative statement creates emphasis and implies a significance beyond the literal meaning of the words.""
}",['emphasis'],TRUE,"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'It's not coming back' emphasizes the finality of the situation, suggesting that the subject is permanently gone.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'It's not coming back' emphasizes the finality of the situation, suggesting that there is no possibility of return.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'It's not coming back' emphasizes the finality of the situation, suggesting that whatever is being referred to is permanently gone.""
}",['emphasis'],1,['emphasis'],,,,,
320,[ 3 16],There will be no turning back.,Figures_of_word_choice,[],[],[],TRUE,[],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement 'There will be no turning back' creates a rhetorical conditional by implying that the future action is inevitable and cannot be undone.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement 'There will be no turning back' sets up a rhetorical conditional by implying that a turning back is not possible in the future.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The phrase 'there will be no turning back' is structured as a rhetorical conditional, suggesting that the future is irreversible.""
}",['rhetorical_conditional'],TRUE,"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement 'There will be no turning back' presents a rhetorical conditional, implying that the situation is irreversible.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement 'There will be no turning back' presents a rhetorical conditional, implying that there is no possibility of reversing or changing the current course of action.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement 'There will be no turning back' presents a rhetorical conditional, implying that the situation is irreversible or that there are no alternative options.""
}",['rhetorical_conditional'],1,['rhetorical_conditional'],,,,,
325,[3],A caller to the Michael Savage radio show who says he was neighbors with Las Vegas gunman Stephen Paddock asserts that Paddock could not have carried out the massacre and that it was actually a “set-up”.,Figures_of_word_choice,[],[],[],TRUE,[],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement uses a rhetorical conditional by presenting an absurd claim - that the massacre was a 'set-up' - with the implication that it is not true.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement uses a rhetorical conditional ('could not have carried out the massacre') to suggest an absurd scenario ('it was actually a set-up').""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement 'Paddock could not have carried out the massacre' presents a rhetorical conditional, suggesting an unlikely scenario. This technique is used to emphasize the caller's skepticism about the official narrative.""
}",['rhetorical_conditional'],TRUE,"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement 'Paddock could not have carried out the massacre' sets up a rhetorical conditional, suggesting an absurd or unlikely scenario.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement 'Paddock could not have carried out the massacre' sets up a rhetorical conditional by implying an absurd antecedent, as the caller believes it was a 'set-up'.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The use of the rhetorical conditional 'could not have carried out the massacre' presents an absurd antecedent, implying that it was actually a 'set-up'.""
}",['rhetorical_conditional'],1,['rhetorical_conditional'],,,,,
365,[6 4],"""What you want to do is destroy this guy's life, hold this seat open, and hope you win in 2020,"" Graham blasted Democrat Senators on the committee.",Figures_of_word_choice,['emphasis'],['emphasis'],['emphasis'],TRUE,['emphasis'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement emphasizes a hypothetical situation where the Democrats want to destroy someone's life and hold a seat open, suggesting an extreme and unlikely motive.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""ploce""],
  ""Explanation"": ""The use of the phrase 'destroy this guy's life' and 'hold this seat open' involves the repetition of the structure 'verb + object + modifier' in a single sentence, which constitutes ploce.""
}",['ploce'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement includes a rhetorical conditional by implying that the Democratic Senators' intent is to destroy someone's life and hold a seat open with the hope of winning in 2020, which is presented as an absurd or unlikely scenario.""
}",['rhetorical_conditional'],FALSE,"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement 'hope you win in 2020' is a rhetorical conditional, suggesting an absurd or unlikely outcome.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement 'hope you win in 2020' is a rhetorical conditional, suggesting an unlikely or absurd outcome.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""ploce""],
  ""Explanation"": ""The use of the phrase 'destroy this guy's life' and 'hold this seat open' creates a repetition of the word 'this' for emphasis and rhetorical effect.""
}",['ploce'],0,['rhetorical_conditional'],0,0,GPT explanation doesn't reflect given sentence,[],
