sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,annotator_consitency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Language_of_origin,['Latin/Greek'],['Latin/Greek'],['Latin/Greek'],True,[],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The term 'conquest' can be traced back to Norman French, which is evident in the context of military conquests and the actions of a historical figure like Temur.""
}",['Norman_French'],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The use of the word 'exterminate' in the context of military conquest reflects the influence of Norman French, which contributed many military terms to the English language.""
}",['Norman_French'],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The term 'tradition' in the context of 'the tradition of the Muslim doctors' comes from Norman French influence in English.""
}",['Norman_French'],False,"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The use of the term 'conquest' in the text is an example of a word that came from Norman French, which is often associated with military terms and conquests.""
}",['Norman_French'],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The use of the word 'conquest' in the text is an example of a term associated with military endeavors that came from the Norman French language.""
}",['Norman_French'],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The use of the word 'exterminate' in the context of conquests reflects the influence of Norman French, which contributed many military terms to the English language.""
}",['Norman_French'],1,['Norman_French'],
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Language_of_origin,['Old_English_Core'],['Old_English_Core'],['Old_English_Core'],True,[],"{
  ""Properties"": [
    ""Old English Core"",
    ""Norman French""
  ],
  ""Explanation"": ""The text contains words from the Old English Core such as 'regard' and 'individuals', as well as a term associated with luxury that comes from Norman French, 'articulate'.""
}","['Old_English_Core', 'Norman_French']","{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The term 'aberration' comes from Norman French, which is evident in the legal and military context in which it is used.""
}",['Norman_French'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The text contains simple and frequently used words like 'regard', 'him', 'big', 'role', 'later'.""
}",['Old_English_Core'],True,"{
  ""Properties"": [""Old English Core"", ""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core (e.g., 'regard', 'human', 'individuals'), Norman French (e.g., 'aberration', 'outstanding', 'following'), and Latin/Greek (e.g., 'articulate', 'emphasized').""
}","['Old_English_Core', 'Norman_French', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core (e.g., 'regard', 'outstanding', 'individuals') and Latin/Greek (e.g., 'aberration', 'articulate', 'individuals').""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The text contains simple and frequently used words such as 'regard', 'outstanding', 'human being', 'commands', 'following', 'individuals', 'learned', 'articulate', 'plays', 'big', 'role', 'lives', 'thousands'. These words are part of the Old English core vocabulary.""
}",['Old_English_Core'],0,"['Old_English_Core', 'Norman_French', 'Latin/Greek']",
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Language_of_origin,['Old_English_Core'],['Old_English_Core'],['Old_English_Core'],True,[],"{
  ""Properties"": [
    ""Old English Core"",
    ""Latin/Greek""
  ],
  ""Explanation"": ""The use of 'Declaration of Independence' and 'signer' reflects the use of Latin/Greek terms, while 'the first', 'said' and 'of' are examples of Old English Core words.""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [
    ""Old English Core""
  ],
  ""Explanation"": ""The text contains simple and frequently used words commonly found in Old English Core language, such as 'John' and 'the'.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from Old English Core, such as 'the', 'of', and 'first', as well as words of Latin/Greek origin, such as 'Declaration', 'Independence', and 'signer'.""
}","['Old_English_Core', 'Latin/Greek']",False,"{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core, such as 'the', 'of', and 'the', as well as words derived from Latin/Greek, such as 'Declaration', 'Independence', and 'signer'.""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core, such as 'the', 'of', 'the', 'first', and also includes words derived from Latin/Greek, such as 'Declaration', 'Independence', and 'signer'.""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core, such as 'the', 'of', 'the', and also includes words derived from Latin/Greek, such as 'Declaration', 'Independence'.""
}","['Old_English_Core', 'Latin/Greek']",1,"['Old_English_Core', 'Latin/Greek']",
417,[4],That’s why they had shots fired from the front and placed Oswald in the rear.,Language_of_origin,['Old_English_Core'],['Old_English_Core'],['Old_English_Core'],True,"['Norman_French', 'Old_English_Core']","{
  ""Properties"": [""Old English Core"", ""Norman French""],
  ""Explanation"": ""The sentence contains words from Old English Core ('they', 'had', 'shots', 'fired', 'from', 'the', 'and', 'placed') and Norman French ('front', 'rear').""
}","['Old_English_Core', 'Norman_French']","{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The term 'shots fired' is likely of Norman French origin, as it relates to a military action or conflict.""
}",['Norman_French'],"{
  ""Properties"": [""Old English Core"", ""Norman French""],
  ""Explanation"": ""The sentence contains words from Old English Core such as 'they', 'had', 'shots', 'fired', 'from', 'the', 'and', 'placed', 'in', and 'the'. It also includes the Norman French term 'front' and the phrase 'rear' which has its origins in Norman French.""  
}","['Old_English_Core', 'Norman_French']",True,"{
  ""Properties"": [""Old English Core"", ""Norman French""],
  ""Explanation"": ""The sentence contains words from the Old English core ('they', 'had', 'shots', 'fired', 'from', 'the', 'and', 'in', 'the') and the Norman French ('front', 'placed', 'rear').""
}","['Old_English_Core', 'Norman_French']","{
  ""Properties"": [""Old English Core"", ""Norman French""],
  ""Explanation"": ""The sentence contains words from the Old English core vocabulary ('they', 'had', 'shots', 'fired', 'from', 'the', 'and', 'in', 'the') as well as the Norman French word 'placed'.""
}","['Old_English_Core', 'Norman_French']","{
  ""Properties"": [""Old English Core"", ""Norman French""],
  ""Explanation"": ""The text contains words from the Old English core ('they', 'had', 'shots', 'fired', 'from', 'the', 'and', 'placed', 'in', 'the') and the Norman French ('front', 'rear').""
}","['Old_English_Core', 'Norman_French']",1,"['Old_English_Core', 'Norman_French']",
3060,[9 9],"And Abraham drew near, and said, Wilt thou also destroy the righteous with the wicked?",Language_of_origin,['Old_English_Core'],['Old_English_Core'],['Old_English_Core'],True,['Old_English_Core'],"{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words that are part of the Old English core (e.g., 'and', 'near', 'the') and also includes words derived from Latin (e.g., 'destroy', 'righteous', 'wicked').""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core ('and', 'the', 'wilt', 'thou', 'also', 'with') and also includes the word 'destroy' which comes from Latin/Greek origins.""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The sentence contains words from Old English Core, such as 'drew', 'near', 'said', 'destroy', 'righteous', and 'wicked'.""
}",['Old_English_Core'],False,"{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English core ('and', 'said') as well as words derived from Latin ('destroy', 'righteous', 'wicked').""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from Old English core (e.g., 'drew', 'near', 'said', 'destroy', 'righteous', 'wicked') as well as words derived from Latin/Greek (e.g., 'destroy', 'righteous', 'wicked').""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The sentence contains simple and frequently used words in contemporary English, such as 'and', 'said', 'the', 'with'. These words are part of the Old English core."" 
}",['Old_English_Core'],0,"['Old_English_Core', 'Latin/Greek']",
3886,[ 9  9 13],Peradventure there be fifty righteous within the city: wilt thou also destroy and not spare the place for the fifty righteous that are therein?,Language_of_origin,['Old_English_Core'],['Old_English_Core'],['Old_English_Core'],True,['Old_English_Core'],"{
  ""Properties"": [
    ""Old English Core""
  ],
  ""Explanation"": ""The text contains simple and frequently used words that are part of the Old English core, such as 'be', 'city', 'place', 'that', 'are'.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains Old English Core words like 'be', 'fifty', 'wilt', 'also' and Latin/Greek words like 'destroy', 'spare', 'place', 'righteous', and 'therein'.""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [
    ""Old English Core""
  ],
  ""Explanation"": ""The text contains simple and frequently used words in contemporary English, characteristic of Old English Core vocabulary.""
}",['Old_English_Core'],False,"{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English core ('be', 'there', 'wilt', 'also') as well as words derived from Latin ('destroy', 'spare', 'place', 'righteous').""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The text contains words from Old English Core, such as 'be', 'fifty', 'the', 'city', 'wilt', 'also', 'destroy', 'not', 'place', 'are', 'therein'.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English core ('be', 'there', 'the') and also includes words derived from Latin ('city', 'destroy', 'place', 'also').""
}","['Old_English_Core', 'Latin/Greek']",0,"['Old_English_Core', 'Latin/Greek']",
10448,[],Anybody?,Language_of_origin,['Old_English_Core'],['Old_English_Core'],['Old_English_Core'],True,['Old_English_Core'],"{
  ""Properties"": [
    ""Old English Core"",
    ""Norman French"",
    ""Latin/Greek""
  ],
  ""Explanation"": ""The text contains words that are part of the Old English core, such as 'peaceful' and 'pleasant'. It also includes terms of Norman French origin like 'hors d'oeuvre' and 'entrepreneur', and words of Latin/Greek origin like 'television' and 'technology'.""
}","['Old_English_Core', 'Norman_French', 'Latin/Greek']","{
  ""Properties"": [
    ""Latin/Greek"",
    ""Old English Core""
  ],
  ""Explanation"": ""The text contains words from the Latin/Greek vernacular of the Church and Academe (e.g., 'vaccination') as well as words from the Old English Core (e.g., 'fast', 'travel').""
}","['Latin/Greek', 'Old_English_Core']","{
  ""Properties"": [""Old English Core"", ""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text likely uses Old English Core due to the use of simple and frequently used words, Norman French due to the presence of terms associated with luxury, and Latin/Greek due to the inclusion of words commonly used in Academe.""
}","['Old_English_Core', 'Norman_French', 'Latin/Greek']",False,"{
  ""Properties"": [""Old English Core"", ""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text uses words from Old English Core, Norman French, and Latin/Greek origins. For example, 'news' and 'text' are from Old English Core, 'linguist' is from Latin, and 'specializing' is from Norman French.""
}","['Old_English_Core', 'Norman_French', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from Old English Core (e.g., 'news', 'text'), Norman French (e.g., 'linguist', 'specializing', 'contemporary'), and Latin/Greek (e.g., 'rhetoretician', 'linguist', 'specializing').""
}","['Old_English_Core', 'Norman_French', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English core, such as 'news' and 'text', as well as words from Norman French, such as 'linguist' and 'specializing', and words from Latin/Greek, such as 'rhetoretician' and 'linguist'.""
}","['Old_English_Core', 'Norman_French', 'Latin/Greek']",1,"['Old_English_Core', 'Norman_French', 'Latin/Greek']",
320,[ 3 16],There will be no turning back.,Language_of_origin,['Old_English_Core'],['Old_English_Core'],['Old_English_Core'],,['Old_English_Core'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The phrase 'no turning back' consists of simple and frequently used words, which are characteristic of Old English Core.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The phrase 'turning back' consists of simple and commonly used words in contemporary English, indicating the use of Old English Core.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The sentence contains simple and frequently used words, which are characteristic of Old English core vocabulary.""
}",['Old_English_Core'],False,"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The sentence contains simple and frequently used words, which are characteristic of Old English Core.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The sentence contains simple and frequently used words that are part of the Old English core, such as 'will', 'be', 'no', 'turning', and 'back'.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The sentence contains simple and frequently used words that are part of the Old English core, such as 'will', 'be', 'no', 'turning', and 'back'.""
}",['Old_English_Core'],1,['Old_English_Core'],True
4458,[ 8 17],"They want to prosecute Assange and maybe hang him from the rafters in Congress, but what about Judith Miller and The New York Times lying the West into war?",Language_of_origin,['Latin/Greek'],['Latin/Greek'],"['Old_English_Core', 'Latin/Greek']",,"['Norman_French', 'Old_English_Core']","{
  ""Properties"": [""Old English Core""]
}

  ",['Old_English_Core'],"{
  ""Properties"": [""Old English Core"", ""Norman French"", ""Latin/Greek""]
}

 	","['Old_English_Core', 'Norman_French', 'Latin/Greek']","{
  ""Properties"": [""Old English Core"", ""Norman French"", ""Latin/Greek""]
}
  
  ","['Old_English_Core', 'Norman_French', 'Latin/Greek']",False,"{
  ""Properties"": [""Old English Core"", ""Norman French""]
}

  ","['Old_English_Core', 'Norman_French']","{
  ""Properties"": [""Old English Core"", ""Norman French""]
}

  ","['Old_English_Core', 'Norman_French']","{
  ""Properties"": [""Old English Core"", ""Norman French"", ""Latin/Greek""]
}

  ","['Old_English_Core', 'Norman_French', 'Latin/Greek']",0,"['Old_English_Core', 'Norman_French']",False
852,[5],"On top of that, we have questions as to whether the body was even that of Stephen Paddock, given the fact that certain elements of the Paddock in the preliminary police report, which mentioned the autopsy, are apparently at odds with the Paddock of other documentation.",Language_of_origin,['Latin/Greek'],['Latin/Greek'],"['Old_English_Core', 'Latin/Greek']",,"['Latin/Greek', 'Old_English_Core']","{
  ""Properties"": [
    ""Old English Core"",
    ""Latin/Greek""
  ],
  ""Explanation"": ""The text contains words from the Old English core (e.g., 'questions', 'body', 'given', 'fact', 'certain') as well as words derived from Latin/Greek (e.g., 'preliminary', 'autopsy', 'apparently', 'documentation').""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [
    ""Old English Core"",
    ""Latin/Greek""
  ],
  ""Explanation"": ""The text contains words derived from Old English (e.g., 'body', 'even', 'given', 'certain') and Latin/Greek (e.g., 'questions', 'elements', 'report', 'mentioned', 'autopsy', 'apparently', 'odds', 'documentation').""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Latin/Greek""],
  ""Explanation"": ""The use of words like 'autopsy', 'preliminary', and 'documentation' indicates the presence of Latin/Greek origin in the text.""
}",['Latin/Greek'],False,"{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core (e.g., 'that', 'given', 'certain') and Latin/Greek (e.g., 'preliminary', 'autopsy', 'documentation').""
}","['Old_English_Core', 'Latin/Greek']","{
  ""Properties"": [""Latin/Greek""],
  ""Explanation"": ""The text contains words derived from Latin, such as 'preliminary', 'autopsy', and 'documentation'. These words are commonly used in academic and formal contexts, indicating the influence of Latin on the language of origin.""
}",['Latin/Greek'],"{
  ""Properties"": [""Old English Core"", ""Latin/Greek""],
  ""Explanation"": ""The text contains words from the Old English Core ('that', 'the', 'was', 'even', 'given', 'the') and Latin/Greek ('questions', 'body', 'elements', 'preliminary', 'police', 'report', 'mentioned', 'autopsy', 'apparently', 'odds', 'documentation').""
}","['Old_English_Core', 'Latin/Greek']",0,"['Old_English_Core', 'Latin/Greek']",False
5438,[],I wanted them to know that I listened.”,Language_of_origin,['Latin/Greek'],['Old_English_Core'],['Old_English_Core'],,['Old_English_Core'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The example includes words from the Old English core, such as 'I' and 'to know'. These are among the simplest and most frequently used words in contemporary English.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The sentence contains simple and frequently used words that are part of the Old English core.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The sentence uses simple and frequently used words in contemporary English, indicating the use of Old English Core.""
}",['Old_English_Core'],True,"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The sentence contains simple and frequently used words in contemporary English, indicating the use of Old English Core.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The sentence contains simple and frequently used words in contemporary English, indicating the use of Old English Core.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The sentence contains simple and frequently used words in contemporary English, indicating the use of Old English Core.""
}",['Old_English_Core'],1,['Old_English_Core'],False
5582,[],"©2018 The Atlanta Journal-Constitution (Atlanta, Ga.), Distributed by Tribune Content Agency, LLC.",Language_of_origin,['Latin/Greek'],['Latin/Greek'],['Old_English_Core'],,['Old_English_Core'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The text contains the Old English word 'Atlanta', which is a simple and frequently used word in contemporary English.""
}",['Old_English_Core'],"{
  ""Properties"": [""Old English Core""],
  ""Explanation"": ""The text contains the use of contemporary English words, indicating the presence of Old English Core property.""
}",['Old_English_Core'],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The mention of 'The Atlanta Journal-Constitution' is an indication that the Norman French property is used. The term 'journal' is derived from Norman French, which signifies that this language of origin is present in the example text.""
}",['Norman_French'],False,"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The use of 'Constitution' in the name 'The Atlanta Journal-Constitution' likely reflects the influence of Norman French, as the term 'constitution' has legal and political origins associated with the Norman French conquest.""
}",['Norman_French'],"{
  ""Properties"": [""Old English Core""]
  ,
  ""Explanation"": ""The text contains no specific words or terms that can be attributed to Norman French or Latin/Greek origin. However, the use of 'The' and 'Atlanta' in the text are examples of words from the Old English core, which consists of the simplest and most frequently used words in contemporary English.""
}",['Old_English_Core'],"{
  ""Properties"": [""Norman French""],
  ""Explanation"": ""The use of 'The Atlanta Journal-Constitution' indicates the influence of Norman French, as 'journal' and 'constitution' are both words with Norman French origins.""
}",['Norman_French'],0,['Norman_French'],False
12847,[],"He was formally indicted by a grand jury on Wednesday on 34 counts, including 17 counts of premeditated first-degree murder and 17 counts of attempted first-degree murder.",Language_of_origin,['Latin/Greek'],['Latin/Greek'],"['Old_English_Core', 'Norman_French']",,"['Norman_French', 'Old_English_Core']","{
  ""Properties"": [""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The use of 'indicted', 'grand jury', 'premeditated', 'first-degree murder', and 'attempted first-degree murder' suggests the influence of Norman French in legal terminology as well as Latin/Greek in formal and academic expressions.""
}","['Norman_French', 'Latin/Greek']","{
  ""Properties"": [
    ""Norman French""
  ],
  ""Explanation"": ""The term 'indicted' and legal terms such as 'grand jury', 'premeditated', 'first-degree', and 'murder' come from Norman French, indicating the influence of Norman French in legal terminology."" 
}",['Norman_French'],"{
  ""Properties"": [""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The term 'formally' comes from Norman French, and the legal terms 'indicted', 'grand jury', 'premeditated', 'murder', and 'attempted' come from Norman French and Latin/Greek origins commonly found in legal terminology.""
}","['Norman_French', 'Latin/Greek']",True,"{
  ""Properties"": [""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The term 'indicted' comes from Norman French, and the legal and formal nature of the text suggests the influence of Norman French. Additionally, the use of 'premeditated', 'first-degree', 'murder', and 'attempted' indicates the influence of Latin/Greek, which are commonly used in legal terminology.""
}","['Norman_French', 'Latin/Greek']","{
  ""Properties"": [""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The term 'indicted' comes from Norman French, and the legal terms 'premeditated', 'first-degree', 'murder', and 'attempted' come from Latin/Greek origins.""
}","['Norman_French', 'Latin/Greek']","{
  ""Properties"": [""Norman French"", ""Latin/Greek""],
  ""Explanation"": ""The term 'indicted' comes from Norman French, and the terms 'premeditated', 'first-degree', and 'murder' come from Latin/Greek origins.""
}","['Norman_French', 'Latin/Greek']",1,"['Norman_French', 'Latin/Greek']",False
