sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth
253,[3 8],Either that or they can go whine to the New York Times some more because the Jewish community won't let them burn crosses on their lawn.,Modifying_phrases,"['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']",TRUE,[],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adjectives 'Jewish' and 'New York' modify the nouns 'community' and 'Times' respectively. The adverb 'more' modifies the verb 'whine'.""
}",['single_word_modifiers'],"{
  ""Properties"": [""prepositional phrases"", ""single word modifiers"", ""multiplying and embedding modifiers""]
} 
   
  	","['prepositional_phrases', 'single_word_modifiers', 'multiplying_and_embedding_modifiers']","{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The sentence contains a prepositional phrase 'to the New York Times' which modifies the verb 'go' and a single word modifier 'Jewish' which modifies the noun 'community'.""
}","['prepositional_phrases', 'single_word_modifiers']",FALSE,"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adjectives 'Jewish' and 'more' are used to modify the nouns 'community' and 'some' respectively.""
}",['single_word_modifiers'],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adjectives 'Jewish' and 'New York' modify the nouns 'community' and 'Times' respectively. The adverb 'more' modifies the verb 'whine'.""
}",['single_word_modifiers'],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adjectives 'Jewish' and 'New York' modify the nouns 'community' and 'Times' respectively, and the adverb 'more' modifies the verb 'whine'.""
}",['single_word_modifiers'],1,['single_word_modifiers'],0,1,,['single_word_modifiers']
263,[3],"While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers.",Modifying_phrases,[],[],[],TRUE,[],"{
  ""Properties"": [""prepositional phrases""],
  ""Explanation"": ""The example contains prepositional phrases 'While Obama pardoned drug dealers' and 'locked up ranchers', which modify the actions of Obama, and 'Trump pardons ranchers' and 'locks up drug dealers', which modify the actions of Trump.""
}",['prepositional_phrases'],"{
  ""Properties"": [""prepositional phrases""]
}

 		",['prepositional_phrases'],"{
  ""Properties"": [""single word modifiers"", ""prepositional phrases""],
  ""Explanation"": ""The sentence contains both single word modifiers (e.g., 'drug' as an adjective) and prepositional phrases (e.g., 'up ranchers' modifying 'locked').""
}","['single_word_modifiers', 'prepositional_phrases']",FALSE,"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The sentence contains single word modifiers in the form of adjectives 'drug' and 'ranchers' and adverbs 'up' and 'down'. These modifiers provide additional information about the actions of Obama and Trump.""
}",['single_word_modifiers'],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The sentence contains single word modifiers in the form of adjectives 'drug' and 'ranchers' and verbs 'pardoned' and 'locked up'.""
}",['single_word_modifiers'],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The sentence contains single word modifiers in the form of adjectives 'drug' and 'ranchers', and verbs 'pardoned' and 'locked up'. These modifiers provide additional information about the subjects and actions in the sentence.""
}",['single_word_modifiers'],1,['single_word_modifiers'],1,0,gpt is choosing words in the sentence and assigning the wrong part of speech.,[]
282,[3 9],"And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like.",Modifying_phrases,"['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']",TRUE,"['single_word_modifiers', 'prepositional_phrases']","{
  ""Properties"": [""prepositional phrases""],
  ""Explanation"": ""The prepositional phrase 'of the GOP' modifies the noun 'future' and 'the GOP agenda'.""
}",['prepositional_phrases'],"{
  ""Properties"": [""prepositional phrases""],
  ""Explanation"": ""The sentence contains a prepositional phrase 'of the GOP' which modifies the noun 'future' and another prepositional phrase 'of the GOP' which modifies the noun 'agenda'.""
}",['prepositional_phrases'],"{
  ""Properties"": [""prepositional phrases""],
  ""Explanation"": ""The prepositional phrase 'of the GOP' modifies the noun 'Trumpism' by specifying its relationship to the GOP.""
}",['prepositional_phrases'],TRUE,"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adjectives 'promising' and 'hard' modify the nouns 'GOP agenda' and 'future' respectively, making them single word modifiers.""
}",['single_word_modifiers'],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adjectives 'promising' and 'GOP' are used to modify the noun 'agenda'.""
}",['single_word_modifiers'],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adjectives 'promising' and 'hard' modify the nouns 'GOP agenda' and 'future', respectively.""
}",['single_word_modifiers'],1,['single_word_modifiers'],1,0,,"['prepositional_phrases', 'single_word_modifiers']"
307,[3],"Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews.",Modifying_phrases,['prepositional_phrases'],['prepositional_phrases'],['prepositional_phrases'],TRUE,"['single_word_modifiers', 'prepositional_phrases']","{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The sentence contains single word modifiers such as 'BDS', 'Hamas', 'blood libels', 'destroy', and 'Jews', which function as adjectives to modify the nouns they are referring to.""
}",['single_word_modifiers'],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The phrase 'blood libels' is a single word modifier (noun) that modifies the noun 'Hamas'.""
}",['single_word_modifiers'],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The use of single word modifiers such as 'BDS', 'Hamas', 'blood libels', 'destroy', and 'Jews' to modify and emphasize the nouns in the sentence.""
}",['single_word_modifiers'],TRUE,"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The sentence contains single word modifiers in the form of adjectives and nouns, such as 'BDS', 'Hamas', 'blood libels', 'Israel', and 'Jews'. These words modify the subject and convey specific attributes or characteristics.""
}",['single_word_modifiers'],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The sentence contains single word modifiers such as 'BDS', 'Hamas', 'blood libels', 'destroy', and 'Jews' which function as adjectives and adverbs to modify the nouns and verbs in the sentence.""
}",['single_word_modifiers'],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The sentence contains single word modifiers such as 'BDS', 'Hamas', 'blood libels', 'destroy', and 'Jews' which are used as adjectives to modify the nouns they are associated with.""
}",['single_word_modifiers'],1,['single_word_modifiers'],1,0,gpt is choosing words in the sentence and assigning the wrong part of speech.,['prepositional_phrases']
311,[3],"The Vatican presents a choice: the world, or Christ.",Modifying_phrases,[],[],[],TRUE,[],"{
  ""Properties"": [""prepositional phrases""],
  ""Explanation"": ""The prepositional phrase 'The Vatican' modifies the subject 'presents', indicating who is presenting the choice.""
}",['prepositional_phrases'],"{
  ""Properties"": [""prepositional phrases""],
  ""Explanation"": ""The sentence contains a prepositional phrase 'of the world' that modifies the noun 'choice.'""
}",['prepositional_phrases'],"{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The sentence contains a prepositional phrase 'of the Vatican' modifying the subject 'The Vatican' and 'of the world' modifying the subject 'the world'. Additionally, it uses the single word modifiers 'the' and 'or' to modify the nouns 'world' and 'Christ'.""
}","['prepositional_phrases', 'single_word_modifiers']",FALSE,"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The sentence contains the single word modifier 'presents' which is an action verb modified by the adjective 'Vatican'.""
}",['single_word_modifiers'],"{
  ""Properties"": [""prepositional phrases""],
  ""Explanation"": ""The prepositional phrase 'The Vatican' modifies the subject 'presents', indicating who is making the choice.""
}",['prepositional_phrases'],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adjectives 'the world' and 'Christ' modify the noun 'choice' by presenting two options for consideration.""
}",['single_word_modifiers'],0,['single_word_modifiers'],,,,
387,[4],"On the one hand, it could refuse to grant Trump what he wanted and let the records be released, which it knew would point to the CIA’s guilt in the assassination.",Modifying_phrases,['prepositional_phrases'],['prepositional_phrases'],['prepositional_phrases'],TRUE,"['multiplying_and_embedding_modifiers', 'single_word_modifiers', 'prepositional_phrases']","{
  ""Properties"": [""prepositional phrases""],
  ""Explanation"": ""The sentence includes the prepositional phrase 'to grant Trump what he wanted' and 'in the assassination', which modify the verb and the object, respectively.""
}",['prepositional_phrases'],"{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The sentence contains prepositional phrases such as 'on the one hand' and 'in the assassination', which modify the subject and the verb. It also includes single word modifiers like 'CIA's' and 'guilt' which are adjectives.""
}","['prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [
    ""prepositional phrases""
  ],
  ""Explanation"": ""The sentence contains a prepositional phrase 'in the assassination' which modifies the noun 'guilt'.""
}",['prepositional_phrases'],FALSE,"{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The sentence contains prepositional phrases ('to grant Trump', 'in the assassination') which modify the verb, and single word modifiers ('the records', 'the CIA’s') which modify the nouns.""
}","['prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The sentence contains prepositional phrases such as 'on the one hand' and 'in the assassination', which modify the subject and verb. It also includes single word modifiers like 'wanted' and 'guilt'.""
}","['prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The sentence contains prepositional phrases ('on the one hand', 'in the assassination') and single word modifiers ('the', 'what', 'the', 'CIA’s').""
}","['prepositional_phrases', 'single_word_modifiers']",1,"['prepositional_phrases', 'single_word_modifiers']",,,,
576,[5 9],So seriously that J Street can't decide what to do about a politician who defends a Hitler-lover and raises the Jewish Question.,Modifying_phrases,"['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']",TRUE,"['multiplying_and_embedding_modifiers', 'single_word_modifiers', 'prepositional_phrases']","{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adverbs 'seriously' and 'just' modify the verb 'decide' and 'can't', respectively.""
}",['single_word_modifiers'],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adverbs 'seriously' and 'seriously' modify the verb 'decide' to convey the extent of the action.""
}",['single_word_modifiers'],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adverbs 'seriously' and 'seriously' modify the verb 'can't decide', indicating the manner in which J Street is affected by the situation.""
}",['single_word_modifiers'],TRUE,"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adverbs 'seriously' and 'so' modify the verb 'decide'.""
}",['single_word_modifiers'],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adverbs 'seriously' and 'so' modify the verb 'decide' and the adjective 'seriously' modifies the verb 'can't'.""
}",['single_word_modifiers'],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adverbs 'seriously' and 'about' modify the verb 'decide' and the adjective 'serious', respectively.""
}",['single_word_modifiers'],1,['single_word_modifiers'],,,,
659,[5],"“Under these circumstances, we did not have confidence that Strzok’s decision to prioritize the Russia investigation over following up on the Midyear-related investigative lead discovered on the Weiner laptop was free from bias,” the report said.",Modifying_phrases,"['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']",TRUE,"['multiplying_and_embedding_modifiers', 'single_word_modifiers', 'prepositional_phrases']","{
  ""Properties"": [""prepositional phrases""],
  ""Explanation"": ""The prepositional phrase 'Under these circumstances' modifies the context in which the action took place.""
}",['prepositional_phrases'],"{
  ""Properties"": [
    ""prepositional phrases""
  ],
  ""Explanation"": ""The prepositional phrase 'Under these circumstances' modifies the verb 'did not have confidence' by providing information about the circumstances in which the lack of confidence existed.""
}",['prepositional_phrases'],"{
  ""Properties"": [
    ""prepositional phrases""
  ],
  ""Explanation"": ""The prepositional phrase 'to prioritize the Russia investigation over following up on the Midyear-related investigative lead discovered on the Weiner laptop' modifies the noun 'decision.'""
}",['prepositional_phrases'],TRUE,"{
  ""Properties"": [""prepositional phrases""],
  ""Explanation"": ""The prepositional phrase 'Under these circumstances' modifies the verb 'did not have confidence' by providing additional information about the circumstances under which the lack of confidence existed.""
}",['prepositional_phrases'],"{
  ""Properties"": [""prepositional phrases""],
  ""Explanation"": ""The prepositional phrase 'Under these circumstances' modifies the verb 'did not have confidence' by providing additional information about the circumstances under which the lack of confidence existed.""
}",['prepositional_phrases'],"{
  ""Properties"": [""prepositional phrases""],
  ""Explanation"": ""The prepositional phrase 'Under these circumstances' modifies the verb 'did not have confidence' by providing additional information about the circumstances under which the lack of confidence existed.""
}",['prepositional_phrases'],1,['prepositional_phrases'],,,,
848,[5],Judge: I don’t understand why the witness is having such trouble with the question.,Modifying_phrases,"['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']",TRUE,"['single_word_modifiers', 'prepositional_phrases']","{
  ""Properties"": [
    ""prepositional phrases"",
    ""single word modifiers""
  ],
  ""Explanation"": ""The sentence contains a prepositional phrase 'with the question' which modifies the verb 'having.' Additionally, the word 'such' is a single word modifier that modifies the adjective 'trouble.'""
}","['prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [""prepositional phrases""],
  ""Explanation"": ""The sentence contains the prepositional phrase 'with the question', which modifies the verb 'having', indicating the specific trouble the witness is experiencing.""
}",['prepositional_phrases'],"{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The statement contains a prepositional phrase 'with the question' modifying the verb 'having trouble', and the adverb 'such' modifying the adjective 'trouble'.""
}","['prepositional_phrases', 'single_word_modifiers']",FALSE,"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adverb 'such' modifies the adjective 'trouble'.""
}",['single_word_modifiers'],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adverb 'such' modifies the adjective 'trouble' in the sentence.""
}",['single_word_modifiers'],"{
  ""Properties"": [""prepositional phrases""],
  ""Explanation"": ""The sentence contains a prepositional phrase 'with the question' which modifies the verb 'having trouble'.""
}",['prepositional_phrases'],0,['single_word_modifiers'],,,,
989,[17  6],"What about Judge Kavanaugh's comfort in being put through the ringer without a shred of evidence, Senator Flake?",Modifying_phrases,['prepositional_phrases'],['prepositional_phrases'],['prepositional_phrases'],TRUE,"['multiplying_and_embedding_modifiers', 'single_word_modifiers', 'prepositional_phrases']","{
  ""Properties"": [""prepositional phrases""],
  ""Explanation"": ""The prepositional phrases 'in being put through the ringer' and 'without a shred of evidence' both modify the noun 'comfort' in the sentence.""
}",['prepositional_phrases'],"{
  ""Properties"": [
    ""single word modifiers""
  ],
  ""Explanation"": ""The single word modifier 'comfort' modifies the noun 'Judge Kavanaugh.'""
}",['single_word_modifiers'],"{
  ""Properties"": [""prepositional phrases""],
  ""Explanation"": ""The prepositional phrase 'in being put through the ringer without a shred of evidence' modifies the noun 'comfort.'""
}",['prepositional_phrases'],FALSE,"{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The sentence contains a prepositional phrase 'in being put through the ringer' which modifies the noun 'comfort', and the single word modifier 'without' modifies the noun 'evidence'.""
}","['prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The sentence contains a prepositional phrase 'in being put through the ringer' which modifies the noun 'comfort' and a single word modifier 'without' modifying the noun 'a shred'.""
}","['prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adjectives 'Judge' and 'comfort' modify the noun 'Kavanaugh' and the verb 'being put', respectively.""
}",['single_word_modifiers'],0,"['prepositional_phrases', 'single_word_modifiers']",,,,
