sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,
159,[1],This is a very real threat – one that is largely immune to attack from the air.,New_words_and_changing_uses,[],[],[],TRUE,[],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'immune' is formed according to the model of 'resistant', creating the analogy between 'immune to attack' and 'resistant to attack'.""
}",['analogy'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The use of 'immume to attack' is an analogy formed according to the model of physical immunity, stating that the threat is resistant to a specific form of attack, similar to how the body is resistant to specific diseases.""
}",['analogy'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'largely' is used as an analogy to mean almost entirely, akin to the word 'mostly'""
}",['analogy'],TRUE,"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'immune' is used in an analogy to convey the idea that the threat is resistant to attack, similar to how the immune system defends against pathogens.""
}",['analogy'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'largely' is formed by analogy from 'large'.""
}",['analogy'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'immune' is formed by analogy from the word 'resistant' in the context of being resistant to attack.""
}",['analogy'],1,['analogy'],,,,,
214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",New_words_and_changing_uses,[],[],[],TRUE,[],"{
  ""Properties"": [""taboo deformation""],
  ""Explanation"": ""The use of euphemistic language ('I should be killed and I should die') to soften the impact of the violent threat fits the property of taboo deformation.""
}",['taboo_deformation'],"{
  ""Properties"": [""conversion""],
  ""Explanation"": ""The word 'screaming' is a conversion from a verb to a noun to describe the action of the woman.""
}",['conversion'],"{
  ""Properties"": [""conversion""],
  ""Explanation"": ""The word 'screaming' is originally a verb (participle), but here it is used as a noun, indicating a change in part of speech (conversion).""
}",['conversion'],FALSE,"{
  ""Properties"": [""clipping""],
  ""Explanation"": ""The word 'reporters' is a clipped form of the original word 'reporters'.""
}",['clipping'],"{
  ""Properties"": [""clipping""],
  ""Explanation"": ""The word 'news' has been clipped to 'news conference' in the phrase 'Friday's news conference'.""
}",['clipping'],"{
  ""Properties"": [""conversion""],
  ""Explanation"": ""The word 'screaming' is a conversion from a verb to a gerund, changing the part of speech from a verb to a noun.""
}",['conversions'],0,['clipping'],,,,,
243,[2 6],Women everywhere should be furious.,New_words_and_changing_uses,[],[],[],TRUE,[],"{
  ""Properties"": [""taboo deformation""],
  ""Explanation"": ""The use of 'furious' in this context could be considered a euphemism for a stronger, potentially taboo, emotion."" 
}",['taboo_deformation'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'everywhere' is formed by analogy from 'where'.""
}",['analogy'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'everywhere' follows the model of 'everyone' or 'everybody' and is formed by analogy from those words.""
}",['analogy'],FALSE,"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'everywhere' is formed by analogy from 'where'.""
}",['analogy'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'everywhere' is formed by analogy from 'where', indicating a similar meaning and distribution.""
}",['analogy'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'everywhere' is formed by analogy from 'every' to indicate a broad or universal scope.""
}",['analogy'],1,['analogy'],,,,,
244,[2],"Why not, one could say, since the Church is ready to bless nearly everything on the earth?",New_words_and_changing_uses,[],[],[],TRUE,[],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'nearly' is formed by analogy from 'near', and has a similar meaning.""
}",['analogy'],"{
  ""Properties"": [""catachresis""],
  ""Explanation"": ""The word 'bless' is used to designate something that is not traditionally blessed by the Church, serving as a catachresis.""
}",['catachresis'],"{
  ""Properties"": [""catachresis""],
  ""Explanation"": ""The use of 'bless nearly everything on the earth' borrows the religious connotation of the word 'bless' to describe the Church's readiness to approve or support a wide range of things.""
}",['catachresis'],FALSE,"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'nearly' is formed by analogy from the word 'near'.""
}",['analogy'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'nearly' is formed by analogy from 'near', using the suffix -ly to indicate 'in a nearly manner'.""
}",['analogy'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'nearly' is formed by analogy from 'near'.""
}",['analogy'],1,['analogy'],,,,,
247,[13  2],"“But it is extremely dangerous as the head of the Catholic Church — you know, the last appeal — that this is the kind of behavior that is going to be mimicked around the world by bishops, [who will say] ‘Well if the Pope is not going to intervene and impose zero tolerance, why should I?’”",New_words_and_changing_uses,[],[],[],TRUE,[],"{
  ""Properties"": [""borrowing"", ""analogy""],
  ""Explanation"": ""The phrase 'zero tolerance' is borrowed from English, and the use of 'intervene' and 'impose' follows an analogy with the concept of law enforcement, implying a similar approach to addressing the mentioned behavior.""
}","['borrowing', 'analogy']","{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'intervene' is used with the meaning of 'impose', which is formed by analogy to its original meaning of interfering or coming between.""
}",['analogy'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The formation of the word 'intervene' is based on the model of 'impose,' creating an analogy between the two words that are close in meaning.""
}",['analogy'],FALSE,"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'intervene' is used in an analogy to 'impose zero tolerance', forming a new word 'intervene and impose' by analogy.""
}",['analogy'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'intervene' is used in an analogy to create the new term 'impose zero tolerance' by modeling the structure of the original word.""
}",['analogy'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'intervene' is used in analogy with 'impose zero tolerance', forming a new word 'impose zero tolerance' by analogy from 'intervene'.""
}",['analogy'],1,['analogy'],,,,,
311,[3],"The Vatican presents a choice: the world, or Christ.",New_words_and_changing_uses,[],[],[],TRUE,[],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'choice' is formed according to the model of 'option', which is close in meaning.""
}",['analogy'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'choice' is formed according to the model of the word 'choose', which is close in meaning.""
}",['analogy'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'Christ' is used to form a new word 'Christian' by analogy.""
}",['analogy'],TRUE,"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'world' is used in analogy with 'Christ' to present a choice, forming a new word according to the model of another word that is close in meaning.""
}",['analogy'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'choice' is formed according to the model of 'Christ', which is close in meaning.""
}",['analogy'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'choice' is formed according to the model of 'Christ', which is close in meaning.""
}",['analogy'],1,['analogy'],,,,,
319,[3],It’s not coming back.,New_words_and_changing_uses,[],[],[],TRUE,[],"{
  ""Properties"": [""catachresis""],
  ""Explanation"": ""The use of 'it' as a placeholder for a specific noun is a form of catachresis, borrowing an available word to designate something that lacks a label.""
}",['catachresis'],"{
  ""Properties"": [""taboo deformation""],
  ""Explanation"": ""The phrase 'It’s not coming back' uses a euphemism (coming back) to avoid using a more direct or potentially offensive expression.""
}",['taboo_deformation'],"{
  ""Properties"": [""taboo deformation""],
  ""Explanation"": ""The use of 'it's not coming back' may be a euphemism for a more direct or explicit statement, indicating a taboo deformation.""
}",['taboo_deformation'],FALSE,"{
  ""Properties"": [""catachresis""],
  ""Explanation"": ""The phrase 'It's not coming back' uses the word 'back' to designate something that lacks a label, which is a form of catachresis.""
}",['catachresis'],"{
  ""Properties"": [""clipping""],
  ""Explanation"": ""The word 'it’s' is a clipped form of 'it is'.""
}",['clipping'],"{
  ""Properties"": [""clipping""],
  ""Explanation"": ""The word 'It’s' is a clipped form of 'It is'.""
}",['clipping'],0,['clipping'],,,,,
320,[ 3 16],There will be no turning back.,New_words_and_changing_uses,[],[],[],TRUE,[],"{
  ""Properties"": [""catachresis""],
  ""Explanation"": ""The word 'turning' is borrowed to designate a lack of turning back.""
}",['catachresis'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The phrase 'turning back' is modified by the addition of 'no' to create the new meaning, forming an analogy to the original phrase.""
}",['analogy'],"{
  ""Properties"": [""taboo deformation""],
  ""Explanation"": ""The phrase 'no turning back' can be seen as a euphemism for a more direct or potentially negative expression, making it a taboo deformation.""
}",['taboo_deformation'],FALSE,"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The phrase 'turning back' is used as a model to form the new word 'turning back' by analogy.""
}",['analogy'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'turning' is used in a similar way to 'sequel' or 'prequel', forming the new word 'turning back' by analogy.""
}",['analogy'],"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'turning' is used to create a new word 'turning back' by analogy to 'coming back' or 'going back'.""
}",['analogy'],1,['analogy'],,,,,
417,[4],That’s why they had shots fired from the front and placed Oswald in the rear.,New_words_and_changing_uses,[],[],[],TRUE,[],"{
  ""Properties"": [""taboo deformation""],
  ""Explanation"": ""The use of 'shots fired' instead of 'gunshots' can be considered a euphemism to avoid the graphic nature of the word 'gunshots.'""
}",['taboo_deformation'],"{
  ""Properties"": [""clipping"", ""analogy""],
  ""Explanation"": ""The word 'shots' is a clipping of 'gunshots' and 'front' and 'rear' are used in analogy to refer to the location, demonstrating the properties of clipping and analogy.""
}","['clipping', 'analogy']","{
  ""Properties"": [""clipping"", ""compounds""],
  ""Explanation"": ""The word 'shots' is a clipping of 'gunshots' and 'shots fired' is a compound word.""
}","['clipping', 'compounds']",FALSE,"{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'front' and 'rear' are used in an analogous way to describe the direction of the shots fired, similar to how they are used to describe the location of a building or vehicle.""
}",['analogy'],"{
  ""Properties"": [""conversions""],
  ""Explanation"": ""The word 'shot' is originally a noun, but it is used here as a verb, indicating a change in part of speech.""
}",['conversions'],"{
  ""Properties"": [""catachresis""],
  ""Explanation"": ""The use of 'shots fired' to describe gunfire is a form of catachresis, as 'shots' typically refers to alcoholic drinks or attempts in a game, but is borrowed here to designate gunfire.""
}",['catachresis'],0,['analogy'],,,,,
514,[5 7],"Instead of preaching out against sin, they advocate for that which God clearly condemns, thereby making war against God (Micah 3:5), which at length destroys our government, our country and our families.",New_words_and_changing_uses,[],[],[],TRUE,[],"{
  ""Properties"": [""foreign borrowing"", ""conversions""],
  ""Explanation"": ""The text includes 'advocate' which is a foreign borrowing from Latin (advocatus) and 'preaching' converted from a verb to a noun. Therefore, both foreign borrowing and conversion are present in the text.""
}","['foreign_borrowing', 'conversions']","{
  ""Properties"": [""analogy""],
  ""Explanation"": ""The word 'preaching' is replaced with 'advocate' by analogy, as both words convey similar concepts related to spreading a message or belief.""
}",['analogy'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The text does not contain new words or changing uses that would fit the other properties, but it includes 'advocate', which is borrowed from Latin 'advocatus'.""
}",['foreign_borrowing'],FALSE,"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The text does not contain any new words or changing uses that fit the other properties listed. However, the use of 'advocate' is a foreign borrowing from Latin 'advocatus'.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing"", ""compounds""],
  ""Explanation"": ""The text does not contain any new words or changing uses that fit the properties listed.""
}","['foreign_borrowing', 'compounds']","{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The text does not contain any new words or changing uses that fit the properties provided. The words used are standard English vocabulary without any indication of foreign borrowing, compounds, prefixes/suffixes, or any other listed properties.""
}",['foreign_borrowing'],0,['foreign_borrowing'],,,,,
