sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Parallelism,[],[],[],TRUE,[],"{
  ""Properties"": [""grammatical structure (parison)"", ""comparison (parallelism in argument)""],
  ""Explanation"": ""The text exhibits both parison with the repeated structure 'he was told by authorities that' and comparison in the contrast between the detention center and a typical American prison.""
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']","{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause' shows grammatical structure parallelism, creating parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The statement draws a comparison between the detention centre and a typical American prison to emphasize their similarity.""
}",['comparison_(parallelism_in_argument)'],FALSE,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'he was told by authorities' and 'could cause violence and disrupt community cohesion.'""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause violence' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause violence' exhibits a grammatical structure of parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],TRUE,['grammatical_structure_(parison)'],1,0,GPT explanation is incorrect,[],
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Parallelism,[],[],[],TRUE,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' twice in the sentence demonstrates grammatical structure parallelism (parison), where longer clauses exhibit repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'John Hancock' at the beginning of each clause, creating a sense of balance and emphasis.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The quoted text demonstrates parallelism in grammatical structure by repeating the phrase 'the first signer of the Declaration of Independence' to create a sense of parity and cohesion.""
}",['grammatical_structure_(parison)'],TRUE,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' is repeated in the sentence, creating a grammatical structure of parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' and 'said' creates a grammatical structure of repetition, emphasizing the significance of the statement.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' and 'said' creates a grammatical structure of repetition, indicating parity among longer clauses.""
}",['grammatical_structure_(parison)'],TRUE,['grammatical_structure_(parison)'],1,0,GPT explanation is incorrect,[],
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Parallelism,[],[],[],TRUE,[],"{
  ""Properties"": [""in syllables (isocolon)"", ""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'a dark, impenetrable and “irreversible” winter' demonstrates isocolon with equal syllable length, and the repetition of 'of persecution of the faithful' creates a parison in the grammatical structure.""
}","['in_syllables_(isocolon)', 'grammatical_structure_(parison)']","{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of the phrase 'a dark' followed by multiple adjectives 'impenetrable' and 'irreversible' constitutes parison, creating parity among longer clauses from repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The use of 'dark, impenetrable and irreversible' creates a sense of parallelism through equal syllable length in the phrases, enhancing the coherence and impact of the statement.""
}",['in_syllables_(isocolon)'],FALSE,"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The example uses isocolon, as the phrases 'a dark, impenetrable' and 'irreversible' have equal syllable length, creating a sense of cohesion and emphasis.""
}",['in_syllables_(isocolon)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The phrase 'dark, impenetrable and irreversible' demonstrates isocolon with equal syllable length in each adjective.""
}",['in_syllables_(isocolon)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The example exhibits the use of isocolon, as the phrases 'a dark, impenetrable' and 'irreversible' have equal syllable length, creating a sense of balance and cohesion.""
}",['in_syllables_(isocolon)'],TRUE,['in_syllables_(isocolon)'],1,0,GPT explanation is incorrect,[],
117,[ 1 12],"And so Chris Bryant, “a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’, a senior Labour MP has said.”",Parallelism,[],[],[],TRUE,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'a senior Labour backbencher' followed by 'a senior Labour MP' demonstrates parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of parallelism can be seen in the repeated structure of 'a senior Labour backbencher' and 'a senior Labour MP', which creates a balanced and symmetrical pattern in the sentence.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The use of 'a senior Labour backbencher' and 'a senior Labour MP' in similar grammatical structures creates a sense of parity and repetition.""
}",['grammatical_structure_(parison)'],TRUE,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'a senior Labour backbencher' and 'a senior Labour MP' in parallel form demonstrates the grammatical structure of parison, creating parity among longer clauses through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'a senior Labour backbencher' and 'a senior Labour MP' in parallel structure creates grammatical parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'a senior Labour backbencher' and 'a senior Labour MP' in the same sentence exhibits grammatical structure parallelism (parison).""
}",['grammatical_structure_(parison)'],TRUE,['grammatical_structure_(parison)'],1,0,GPT explanation is incorrect,[],
159,[1],This is a very real threat – one that is largely immune to attack from the air.,Parallelism,[],[],[],TRUE,[],"{
  ""Properties"": [""in stress patterns""],
  ""Explanation"": ""The text uses an iambic stress pattern with alternating stressed and unstressed syllables, such as 'very real' and 'largely immune'.""
}",['in_stress_patterns_(iambic_parameter)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text contains parallelism in argument, as it presents a comparison between the threat being immune to attack from the air and its reality as a significant concern.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The sentence presents a comparison between the threat being discussed and the inability to attack it from the air, highlighting the seriousness of the threat.""
}",['comparison_(parallelism_in_argument)'],FALSE,"{
  ""Properties"": [""in stress patterns""],
  ""Explanation"": ""The sentence exhibits an iambic stress pattern with alternating stressed and unstressed syllables, such as 'This is a very real threat' and 'one that is largely immune to attack from the air.'""
}",['in_stress_patterns_(iambic_parameter)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'one that is' in 'one that is largely immune to attack from the air.'""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""in stress patterns (iambic parameter)""],
  ""Explanation"": ""The sentence exhibits an iambic stress pattern with alternating stressed and unstressed syllables, such as 'This is a very real threat'.""
}",['in_stress_patterns_(iambic_parameter)'],FALSE,['in_stress_patterns_(iambic_parameter)'],1,0,GPT explanation is incorrect,[],
188,[1],They would be immediate targets should the US and South Korea attack the north.,Parallelism,[],[],[],TRUE,[],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'the US and South Korea' and 'the north'."" 
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'the US and South Korea' and 'the north'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [
    ""comparison""
  ],
  ""Explanation"": ""The statement sets up a comparison between the immediate targets in case of a US and South Korea attack on the north, implying a parallelism in argument.""
}",['comparison_(parallelism_in_argument)'],FALSE,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'should' in the clause creates a parallel grammatical structure with 'the US' and 'South Korea'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits grammatical structure parallelism with the repetition of 'should' and 'the' in 'should the US and South Korea attack the north.'""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The sentence presents a comparison between the potential targets in the event of a US and South Korea attack on the north.""
}",['comparison_(parallelism_in_argument)'],FALSE,['grammatical_structure_(parison)'],1,0,GPT explanation is incorrect,[],
214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Parallelism,[],[],[],TRUE,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'I should be killed and I should die' demonstrates parallelism in grammatical structure, establishing parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The example uses isocolon, as the adjacent phrases 'I should be killed' and 'I should die' have equal syllable length, helping to create a cohesive set of consecutive statements.""
}",['in_syllables_(isocolon)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The example exhibits isocolon as the phrases 'I should be killed' and 'I should die' have equal syllable length, creating a sense of balance and cohesion.""
}",['in_syllables_(isocolon)'],FALSE,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'I should be killed and I should die' exhibits parity among longer clauses, demonstrating the use of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'I should be killed' and 'I should die' exhibits parallelism in grammatical structure, creating a sense of balance and emphasis on the speaker's reported experience.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""in stress patterns (iambic parameter)""],
  ""Explanation"": ""The sentence exhibits an alternating stressed and unstressed syllable pattern, as seen in 'screaming through my door' and 'I should be killed and I should die'.""
}",['in_stress_patterns_(iambic_parameter)'],FALSE,['grammatical_structure_(parison)'],0,1,,['grammatical_structure_(parison)'], 'I should be killed' and 'I should die' 
243,[2 6],Women everywhere should be furious.,Parallelism,[],[],[],TRUE,[],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The phrase 'Women everywhere should be furious' contains an isocolon with three syllables in each adjacent phrase.""
}",['in_syllables_(isocolon)'],"{
  ""Properties"": [""in stress patterns""],
  ""Explanation"": ""The statement exhibits the iambic parameter with an alternating stressed and unstressed syllable pattern.""
}",['in_stress_patterns_(iambic_parameter)'],"{
  ""Properties"": [""in stress patterns""],
  ""Explanation"": ""This sentence contains an iambic stress pattern with alternating stressed and unstressed syllables: 'Wǝmǝn ǝvǝrywhǝrǝ shǝuld bǝ fǝryǝs.'""
}",['in_stress_patterns_(iambic_parameter)'],FALSE,"{
  ""Properties"": [""in stress patterns""],
  ""Explanation"": ""The phrase 'should be furious' follows an iambic stress pattern with alternating stressed and unstressed syllables.""
}",['in_stress_patterns_(iambic_parameter)'],"{
  ""Properties"": [""in stress patterns (iambic parameter)""],
  ""Explanation"": ""The phrase 'should be furious' follows an iambic stress pattern with alternating stressed and unstressed syllables.""
}",['in_stress_patterns_(iambic_parameter)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The statement consists of two adjacent phrases with equal syllable length, creating a sense of cohesion and emphasis.""
}",['in_syllables_(isocolon)'],FALSE,['in_stress_patterns_(iambic_parameter)'],1,0,GPT explanation is incorrect,[],
263,[3],"While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers.",Parallelism,[],[],['grammatical_structure_(parison)'],FALSE,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure by repeating the pattern 'pardoned [noun] and locked up [noun]' for both Obama and Trump.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [
    ""comparison""
  ],
  ""Explanation"": ""The sentence presents a direct comparison between the actions of Obama and Trump, highlighting their opposite approaches to pardoning and locking up individuals involved in drug-related and ranching activities.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [
    ""grammatical structure (parison)""
  ],
  ""Explanation"": ""The statement uses a grammatical structure that mirrors the contrast between Obama and Trump's actions, creating a parallelism in the argument.""
}",['grammatical_structure_(parison)'],FALSE,"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The sentence contains a comparison between the actions of Obama and Trump, highlighting the reversal of their approaches to pardoning and locking up individuals.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The sentence presents a clear comparison between the actions of Obama and Trump in pardoning and locking up different groups of people.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The sentence uses parallelism in argument by comparing the actions of Obama and Trump in pardoning and locking up different groups of people.""
}",['comparison_(parallelism_in_argument)'],TRUE,,0,0,,['in stress patterns (iambic parameter)'],
319,[3],It’s not coming back.,Parallelism,[],[],[],TRUE,[],"{
    ""Properties"": [],
    ""Explanation"": ""The given text does not exhibit any clear instances of parallelism properties."" 
}",[],"{
  ""Properties"": [""in stress patterns (iambic parameter)""],
  ""Explanation"": ""The phrase 'It’s not coming back' follows an iambic stress pattern with alternating stressed and unstressed syllables.""
}",['in_stress_patterns_(iambic_parameter)'],"{
  ""Properties"": [""in stress patterns (iambic parameter)""],
  ""Explanation"": ""The phrase 'It's not coming back' follows an iambic stress pattern with alternating stressed and unstressed syllables.""
}",['in_stress_patterns_(iambic_parameter)'],FALSE,"{
  ""Properties"": [""in stress patterns (iambic parameter)""],
  ""Explanation"": ""The phrase 'It's not coming back' follows an iambic stress pattern with alternating stressed and unstressed syllables.""
}",['in_stress_patterns_(iambic_parameter)'],"{
  ""Properties"": [""in stress patterns (iambic parameter)""],
  ""Explanation"": ""The phrase 'It's not coming back' follows an iambic stress pattern with alternating stressed and unstressed syllables.""
}",['in_stress_patterns_(iambic_parameter)'],"{
  ""Properties"": [""in stress patterns (iambic parameter)""],
  ""Explanation"": ""The phrase 'It's not coming back' follows an iambic stress pattern with alternating stressed and unstressed syllables.""
}",['in_stress_patterns_(iambic_parameter)'],TRUE,['in_stress_patterns_(iambic_parameter)'],1,0,GPT explanation is incorrect,[],
