sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Phrases_built_on_verbs,[],[],[],TRUE,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence does not contain any infinitive phrases. However, it does contain a participial phrase 'conservative Ben Shapiro,' which is an adjective describing the subject of the sentence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence does not contain any infinitive phrases, but it does contain a participial phrase 'conservative Ben Shapiro told', where 'told' is a past participle, modifying 'Ben Shapiro'.""
}",['participal_phrases'],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'Conservative Ben Shapiro told Fox news' which is built on the verb 'told.'""
}",['participial_phrases'],FALSE,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'told Fox news the verdict was horrifying' contains a participal phrase 'told Fox news', where 'told' is a past participle and 'Fox news' is the direct object.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence does not contain any infinitive phrases, but it does contain a participial phrase 'conservative Ben Shapiro told Fox news', where 'told' is a past participle.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'told Fox news the verdict was “horrifying' contains a participial phrase 'told Fox news', where 'told' is a past participle modifying 'Ben Shapiro'.""
}",['participal_phrases'],1,['participal_phrases'],1,0,,[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Phrases_built_on_verbs,[],[],[],TRUE,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participal phrase 'described the detention centre as looking akin to a typical American prison' which modifies the subject 'Sellner'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'described the detention centre as looking akin to a typical American prison', which modifies the subject 'Sellner'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'described the detention centre as looking akin to a typical American prison,' which modifies 'Sellner' and provides additional information about his actions and beliefs.""
}",['participal_phrases'],TRUE,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'described the detention centre as looking akin to a typical American prison', which modifies the subject 'Sellner'. This participial phrase provides additional information about Sellner and his actions.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'described the detention centre as looking akin to a typical American prison', which modifies the subject 'Sellner'. This participial phrase provides additional information about Sellner's actions and beliefs.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'described the detention centre as looking akin to a typical American prison', which modifies the subject 'Sellner'.""
}",['participal_phrases'],1,['participal_phrases'],1,0,,[]
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Phrases_built_on_verbs,[],[],[],TRUE,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'cashing in' is a participial phrase expressing the action of elected officials. It modifies the noun 'officials' and functions as an adjective in the sentence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'cashing in' is a participal phrase, as it describes the action of elected officials in a manner that changes the relation of that action to an agent.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes' is a participial phrase, as it is headed by the present participle 'safeguard' and modifies the noun 'rules.'""
}",['participal_phrases'],TRUE,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes' is a participal phrase, as it is describing the Senate Ethics rules.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'cashing in' is a participial phrase, indicating the action associated with elected officials.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'cashing in' is a participial phrase, as it is used to describe the action of elected officials. It functions as an adjective phrase modifying the noun 'officials'.""
}",['participal_phrases'],1,['participal_phrases'],,,,
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Phrases_built_on_verbs,[],[],[],TRUE,[],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'made by a prelate of the authority of Archbishop Carlo Maria Viganò'. This phrase modifies the noun 'declarations' and gives more information about them, fulfilling the criteria of a participial phrase.""
}",['participial_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'made by a prelate of the authority of Archbishop Carlo Maria Viganò' is a participal phrase modifying 'declarations', indicating the source of the declarations and changing the relationship of the action 'made' to an agent.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'made by a prelate of the authority of Archbishop Carlo Maria Viganò' is a participal phrase, describing the nature of the declarations made.""
}",['participal_phrases'],FALSE,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'made by a prelate of the authority of Archbishop Carlo Maria Viganò', which modifies the noun 'declarations'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'made by a prelate' is a participal phrase, as it describes the declarations and functions as an adjective phrase headed by the participle 'made'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The statement contains a participial phrase 'made by a prelate of the authority of Archbishop Carlo Maria Viganò', which modifies the noun 'declarations'.""
}",['participal_phrases'],1,['participal_phrases'],,,,
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Phrases_built_on_verbs,[],[],[],TRUE,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'being a outstanding human being' which describes Louis Farrakhan.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'being learned and articulate' modifying 'individuals', indicating that the phrase is an adjective phrase headed by a present participle.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'being who commands a following' is a participial phrase used to describe Louis Farrakhan.""
}",['participal_phrases'],TRUE,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'being learned and articulate' which modifies 'individuals'. This participial phrase functions as an adjective to provide additional information about the individuals who follow Louis Farrakhan.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'being an outstanding human being' which modifies the noun 'Louis Farrakhan'. This participial phrase functions as an adjective in the sentence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participal phrase 'being learned and articulate' which modifies the noun 'individuals'. This participal phrase provides additional information about the individuals who follow Louis Farrakhan.""
}",['participal_phrases'],1,['participal_phrases'],,,,
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Phrases_built_on_verbs,[],[],[],TRUE,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a participal phrase modifying the noun 'John Hancock.' It describes his role in relation to the Declaration of Independence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a participial phrase modifying 'John Hancock'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participal phrase 'the first signer of the Declaration of Independence' modifies the noun 'John Hancock'. This phrase is built on the verb 'signer', illustrating the use of a participal phrase.""
}",['participal_phrases'],TRUE,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a participial phrase modifying the noun 'John Hancock'. It provides additional information about John Hancock by describing his role as the first signer of the Declaration of Independence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a participial phrase modifying the noun 'John Hancock'. It provides additional information about John Hancock by using a participle ('signer') and functions as an adjective phrase.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a participial phrase modifying the noun 'John Hancock'. It provides additional information about John Hancock by using the participle 'signer'.""
}",['participal_phrases'],1,['participal_phrases'],,,,
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Phrases_built_on_verbs,[],[],[],TRUE,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'telling the truth' is a participal phrase, which modifies 'she.' It provides additional information about Ms. Ford and functions as an adjective in the sentence.""
}",['participal_phrases'],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The phrase 'telling the truth' is a participial phrase modifying 'she'. It describes the action in a way that changes the relation of the action to the agent.""
}",['participial_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'telling the truth' is a participal phrase, as it describes Ms. Ford and is headed by the participle 'telling'. It changes the relation of the action 'telling' to the agent (Ms. Ford).""
}",['participal_phrases'],FALSE,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'telling the truth' which modifies 'she'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'telling the truth', which modifies 'she'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'telling the truth', which modifies the subject 'she'.""
}",['participal_phrases'],1,['participal_phrases'],,,,
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Phrases_built_on_verbs,[],[],[],TRUE,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence 'having read the Cardinal's exposition in both Italian and English' contains a participial phrase 'having read', which modifies the subject's action.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'having read the Cardinal's exposition in both Italian and English', which modifies the subject 'I'. This phrase provides additional information about the action of reading.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The presence of the participal phrase 'having read' signals that the action of reading occurred prior to the main action, 'find mention'. This changes the relation of reading to the agent, suggesting a sequence of events.""
}",['participal_phrases'],TRUE,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participal phrase 'having read the Cardinal's exposition in both Italian and English' is used in the sentence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participal phrase 'having read the Cardinal's exposition in both Italian and English' is used to provide additional information about the subject 'I'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participal phrase 'having read the Cardinal's exposition in both Italian and English' modifies the subject 'I', indicating the action that was completed before the main action of 'find mention of the help of the sacraments'.""
}",['participal_phrases'],1,['participal_phrases'],,,,
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Phrases_built_on_verbs,[],[],[],TRUE,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'persecution of the faithful by their own shepherds' is a participial phrase, where 'persecution' is the gerund form of the verb 'persecute'. It serves as a modifier for 'winter'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'persecution of the faithful by their own shepherds' functions as an adjective describing 'winter.' The phrase is built on the participle 'persecution,' indicating the action being done.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'persecution of the faithful by their own shepherds' is a participial phrase, indicating the action carried out by the shepherds.""
}",['participal_phrases'],TRUE,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'persecution of the faithful by their own shepherds' is a participial phrase, as it is describing the type of winter that will fall.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'persecution of the faithful by their own shepherds' is a participial phrase, as it is headed by the participle 'persecution' and describes the type of winter that will fall.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'persecution of the faithful by their own shepherds' is a participial phrase, as it is describing the action of persecution in a way that changes the relation of that action to the agents (the shepherds).""
}",['participal_phrases'],1,['participal_phrases'],,,,
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Phrases_built_on_verbs,[],[],[],TRUE,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'saying that [Islam] is a religion and is a belief system that mandates warfare against unbelievers,' which modifies the noun 'banned.'""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example contains a participial phrase 'saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”', modifying the noun 'banned'.""
}",['participal_phrases'],"{
  ""Properties"": [""infinitive phrases""],
  ""Explanation"": ""The infinitive phrase 'to me from the UK Home Office' functions as an adverb, providing information about the action of receiving the letter.""
}",['infinitive_phrases'],FALSE,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'saying that' is a participial phrase, as it is headed by the present participle 'saying' and functions as an adjective to modify the noun 'banned'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'saying that [Islam] is a religion and is a belief system that mandates warfare against unbelievers', which modifies the noun 'banned'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'saying that [Islam] is a religion and is a belief system that mandates warfare against unbelievers', which modifies the noun 'banned'.""
}",['participal_phrases'],1,['participal_phrases'],,,,
