sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Prosody_and_punctuation,[],[],[],TRUE,[],"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text exhibits variations in stress patterns and rhythm, particularly in the repetition of similar syllable patterns in words such as 'advises' and 'doctors' and the rhythmic structure of the sentence.""
}","['stress', 'rhythm']","{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text contains a rhythmic pattern with a noticeable flow and cadence, especially in the repetition of certain words and phrases. This rhythmic structure enhances the rhetorical impact of the sentence.""
}",['rhythm'],"{
  ""Properties"": [""rhythm"", ""innotation""],
  ""Explanation"": ""The text exhibits a rhythmic pattern in its sentence structure, and the use of the word 'wherefore' suggests a specific intonation in the expression of the idea.""
}","['rhythm', 'innotation']",FALSE,"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text exhibits a rhythmic pattern with the repetition of similar sentence structures and the use of parallelism in 'as much to acquire that glory, as to signalise himself by the greatness of his conquests.'""
}",['rhythm'],"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text exhibits a rhythmic pattern with the repetition of similar sentence structures and the use of parallelism in 'as much to acquire that glory, as to signalise himself by the greatness of his conquests.'""
}",['rhythm'],"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text exhibits a rhythmic pattern with the repetition of similar sounds and structures, such as 'the same thing' and 'the great'. This creates a sense of flow and musicality in the sentence.""
}",['rhythm'],1,['rhythm'],,,,
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Prosody_and_punctuation,[],[],[],TRUE,[],"{
  ""Properties"": [""intonation"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks and the syntax of the sentence indicate that there is likely a specific intonation and rhythm that would be used when speaking this sentence. The prosody of the statement would likely involve emphasizing certain words and using a specific rhythm to convey the meaning effectively.""
}","['intonation', 'rhythm']","{
  ""Properties"": [""intonation"", ""rhythm""],
  ""Explanation"": ""The use of reported speech and a direct quote indicates that intonation and rhythm are likely used in the original spoken statement, but they are not directly reflected in the written text.""
}","['intonation', 'rhythm']","{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The sentence exhibits prosodic stress and rhythm through the natural emphasis and flow of the words. Certain words are stressed to convey meaning, and there is a noticeable rhythm to the sentence as a whole.""
}","['stress', 'rhythm']",FALSE,"{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks around the direct quote indicates innotation, and the flow of the sentence suggests a specific rhythm in the delivery of the information.""
}","['innotation', 'rhythm']","{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks around the statement from Breitbart indicates a potential change in innotation or rhythm when reading the quoted text. This can affect the stress and rhythm of the sentence when spoken aloud.""
}","['innotation', 'rhythm']","{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks and commas in the sentence indicates a specific intonation pattern and rhythm for speaking the quoted text, suggesting the presence of innotation and rhythm in the example.""
}","['innotation', 'rhythm']",1,"['innotation', 'rhythm']",,,,
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Prosody_and_punctuation,[],[],[],TRUE,[],"{
    ""Properties"": [""stress""],
    ""Explanation"": ""The text emphasizes certain words, such as 'must' and 'totally', which suggests the use of stress. This emphasizes the importance of Archbishop Carlo Maria Viganò's declarations."" 
}",['stress'],"{
  ""Properties"": [""punctuation""],
  ""Explanation"": ""The given text demonstrates the use of punctuation in the form of quotation marks and a comma.""
}",['punctuation'],"{
  ""Properties"": [""intonation"", ""stress"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks around the statement along with the flow and emphasis of the words suggests the presence of intonation, stress, and rhythm in the text.""
}","['intonation', 'stress', 'rhythm']",FALSE,"{
  ""Properties"": [""intonation"", ""stress""],
  ""Explanation"": ""The use of quotation marks indicates that there may be a specific intonation or stress placed on the quoted statement when spoken aloud.""
}","['innotation', 'stress']","{
  ""Properties"": [""intonation"", ""stress""],
  ""Explanation"": ""The use of quotation marks indicates the presence of intonation, and the emphasis on 'totally' suggests stress in the statement.""
}","['innotation', 'stress']","{
  ""Properties"": [""intonation"", ""stress""],
  ""Explanation"": ""The use of quotation marks indicates the presence of intonation, and the emphasis on 'totally' suggests the use of stress in the statement.""
}","['innotation', 'stress']",1,"['innotation', 'stress']",,,,
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Prosody_and_punctuation,[],[],[],TRUE,[],"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The sentence structure and phrasing exhibit a balanced and rhythmic pattern, with a clear cadence and flow of language.""
}",['rhythm'],"{
  ""Properties"": [""innotation"", ""rhythm"", ""punctuation""],
  ""Explanation"": ""The use of punctuation such as commas, as well as the flow and structure of the sentence, indicate the presence of rhythm and innotation. The sentence is structured in a way that suggests a specific emphasis on certain words and phrases, conveying a particular tone and meaning.""
}","['innotation', 'rhythm', 'punctuation']","{
  ""Properties"": [
    ""intonation"",
    ""rhythm""
  ],
  ""Explanation"": ""The text likely uses intonation to emphasize the contrast between contemporaneous notes and later verbal testimony, and it also exhibits a rhythmic structure in the phrasing and cadence of the sentence.""
}","['intonation', 'rhythm']",FALSE,"{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The text does not exhibit stress patterns or explicit punctuation that would indicate prosody, but it does convey a sense of innotation through the use of contrast and emphasis in the sentence structure. The rhythm of the sentence is also notable, with a balanced cadence that contributes to its persuasive effect.""
}","['innotation', 'rhythm']","{
  ""Properties"": [""innotation"", ""stress"", ""rhythm""],
  ""Explanation"": ""The text exhibits innotation through the use of emphasis on certain words to convey the speaker's conviction. The stress and rhythm of the sentence also contribute to the persuasive and authoritative tone of the statement.""
}","['innotation', 'stress', 'rhythm']","{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The text does not exhibit stress patterns or explicit punctuation that would indicate prosody. However, it does exhibit innotation through the use of contrast and emphasis in the structure of the sentence, which is evident in the contrast between 'neither notes nor memories' and 'contemporaneous notes and later verbal testimony.' The rhythm of the sentence is also notable, with a balanced and deliberate cadence that adds weight to the argument being made.""
}","['innotation', 'rhythm']",0,"['innotation', 'rhythm']",,,,
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Prosody_and_punctuation,[],[],[],TRUE,[],"{
  ""Properties"": [""innotation"", ""stress""],
  ""Explanation"": ""The use of the interjection 'said' indicates that innotation and stress are present, as these elements are crucial for the delivery and interpretation of spoken language.""
}","['innotation', 'stress']","{
  ""Properties"": [""innotation"", ""stress""],
  ""Explanation"": ""The comma after 'Independence' indicates a pause or innotation, and the emphasis on 'first' suggests stress on that word.""
}","['innotation', 'stress']","{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text contains a rhythmic pattern due to the repetition of 'John Hancock' and 'the Declaration of Independence'. This repetition creates a rhythmic flow within the sentence.""
}",['rhythm'],FALSE,"{
  ""Properties"": [""innotation"", ""stress""],
  ""Explanation"": ""The use of innotation and stress can be identified in the example text through the emphasis on 'John Hancock' as the first signer of the Declaration of Independence.""
}","['innotation', 'stress']","{
  ""Properties"": [""rhythm"", ""innotation""],
  ""Explanation"": ""The use of commas and the phrase 'the first signer of the Declaration of Independence' suggests a specific rhythm and innotation in the sentence, emphasizing the importance of John Hancock's role.""
}","['rhythm', 'innotation']","{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text exhibits rhythm through the use of a comma after the introductory phrase 'John Hancock' and the subsequent pause before the continuation of the sentence. This creates a rhythmic pattern in the delivery of the information.""
}",['rhythm'],0,"['innotation', 'stress']",,,,
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Prosody_and_punctuation,[],[],[],TRUE,[],"{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks and the syntax implies innotation, indicating a particular emphasis or intonation when speaking the quoted words. Additionally, the syntax also suggests a particular rhythm or cadence in the spoken words.""
}","['innotation', 'rhythm']","{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks and the structure of the sentence indicate a specific innotation or emphasis on the words 'I believe her' and 'you know it' which affects the rhythm of the sentence.""
}","['innotation', 'rhythm']","{
  ""Properties"": [""intonation""],
  ""Explanation"": ""The use of quotation marks and positioning of the phrase 'I believe her' can indicate a particular intonation or emphasis, which may be expressed verbally through stress or rhythm. In this case, the emphasis is on 'I believe her'.""
}",['intonation'],FALSE,"{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks and the specific phrasing of 'I believe her because she is telling the truth and you know it by her story' indicates a specific innotation and rhythm in the speaker's delivery.""
}","['innotation', 'rhythm']","{
  ""Properties"": [""punctuation""],
  ""Explanation"": ""The example text contains punctuation in the form of quotation marks and a colon.""
}",['innotation'],"{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks and the specific phrasing indicate a potential change in innotation and rhythm when spoken aloud.""
}","['innotation', 'rhythm']",0,"['innotation', 'rhythm']",,,,
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Prosody_and_punctuation,[],[],[],TRUE,[],"{
  ""Properties"": [""stress""],
  ""Explanation"": ""The text does not exhibit clear indications of innotation or rhythm. However, the use of 'only' and 'certain' suggests a stress on these particular words, highlighting their significance in the sentence. This emphasizes the Cardinal's limited mention of the help of the sacraments in specific cases.""
}",['stress'],"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text demonstrates the use of rhythm through the balanced and symmetrical structure of the sentence, with clear and predictable patterns of stressed and unstressed syllables.""
}",['rhythm'],"{
  ""Properties"": [""innotation"", ""stress""],
  ""Explanation"": ""The use of 'only' adds innotation and stress to emphasize the speaker's exclusive experience of finding mention of the help of the sacraments in certain cases.""
}","['innotation', 'stress']",FALSE,"{
  ""Properties"": [""stress""],
  ""Explanation"": ""The use of stress is evident in the emphasis placed on 'help' and 'certain cases' in the sentence, indicating the speaker's intention to highlight these specific points.""
}",['stress'],"{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The use of the word 'only' in the sentence indicates a specific stress or emphasis, and the overall structure of the sentence suggests a particular rhythm in the delivery of the information.""
}","['innotation', 'rhythm']","{
  ""Properties"": [""innotation"", ""stress""],
  ""Explanation"": ""The use of the word 'only' in the sentence may indicate a specific stress or innotation to emphasize the limitation of finding mention of the help of the sacraments.""
}","['innotation', 'stress']",0,['stress'],,,,
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Prosody_and_punctuation,[],[],[],TRUE,[],"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text demonstrates a form of rhythm through the use of parallel structure, with repetitive phrases like 'according to a Breitbart report' and 'search engines like Google can shift the opinions.' This creates a rhythmic pattern in the sentence structure.""
}",['rhythm'],"{
  ""Properties"": [""intonation"", ""rhythm""],
  ""Explanation"": ""The text may include intonation to suggest emphasis or stress on certain words or phrases, and there may be a rhythm to the sentence structure. These properties can be conveyed through the use of punctuation or phrasing.""
}","['intonation', 'rhythm']","{
  ""Properties"": [""rhythm"", ""innotation""],
  ""Explanation"": ""The text demonstrates rhythm through the use of commas and a long sentence structure. Additionally, the inclusion of a direct quote in the middle of the sentence may involve changes in intonation for emphasis or distinction from the surrounding text.""
}","['rhythm', 'innotation']",FALSE,"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text exhibits a rhythmic pattern with the use of commas and a balanced sentence structure, creating a flowing and consistent rhythm.""
}",['rhythm'],"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text exhibits a rhythmic pattern with the use of commas, quotation marks, and a balanced sentence structure. This creates a sense of flow and cadence in the sentence.""
}",['rhythm'],"{
  ""Properties"": [""intonation"", ""rhythm""],
  ""Explanation"": ""The text does not exhibit stress patterns or explicit punctuation that would indicate prosody, but it does convey a sense of intonation through the use of quotation marks and commas. The rhythm of the sentence is also notable, with a balanced structure and clear phrasing.""
}","['innotation', 'rhythm']",0,['rhythm'],,,,
80,[1],"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Prosody_and_punctuation,[],[],[],TRUE,[],"{
  ""Properties"": [""intonation"", ""stress"", ""rhythm""],
  ""Explanation"": ""In the given text, intonation is used to convey a sense of urgency and importance, while stress and rhythm are employed to emphasize the unprecedented nature of the situation and the need for prompt action.""
}","['intonation', 'stress', 'rhythm']","{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text contains a rhythmic pattern with the use of commas and conjunctions, contributing to a flowing and structured cadence.""
}",['rhythm'],"{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The text uses innotation to convey a sense of urgency and importance, as well as rhythm to create a flowing and persuasive argument.""
}","['innotation', 'rhythm']",FALSE,"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text exhibits a rhythmic pattern with the repetition of the word 'unprecedented' and the use of parallel structure in the phrase 'before this crisis gets any more out-of-control than it already is.'""
}",['rhythm'],"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text exhibits a rhythmic pattern with the repetition of 'unprecedented' and the use of parallel structure in 'before this crisis gets any more out-of-control than it already is.'""
}",['rhythm'],"{
  ""Properties"": [""rhythm"", ""punctuation""],
  ""Explanation"": ""The text exhibits a sense of rhythm through the use of commas and the repetition of the word 'unprecedented'. The punctuation also contributes to the flow and emphasis of the sentence.""
}","['rhythm', 'innotation']",0,['rhythm'],,,,
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Prosody_and_punctuation,[],[],[],TRUE,[],"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The use of the emphasized words 'dark', 'impenetrable', 'irreversible', and 'persecution' creates a stressed and rhythmic pattern in the sentence, enhancing its emotional impact.""
}","['stress', 'rhythm']","{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The use of commas in the list of adjectives creates a rhythmic pattern, while the varying lengths and emphasis on the words 'dark', 'impenetrable', and 'irreversible' creates a noteworthy stress pattern.""
}","['stress', 'rhythm']","{
  ""Properties"": [""stress"", ""punctuation""],
  ""Explanation"": ""The use of quotation marks around the word 'irreversible' suggests that there is a stress or emphasis on this word. Additionally, the use of commas and the hyphen in the phrase 'dark, impenetrable' shows a deliberate use of punctuation for emphasis and rhythm.""
}","['stress', 'punctuation']",FALSE,"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The use of commas and quotation marks creates a rhythmic pattern in the sentence, and the repetition of 'dark, impenetrable and' creates a stressed and rhythmic effect.""
}","['stress', 'rhythm']","{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks around the word 'irreversible' creates a stress on this particular word, emphasizing its significance. Additionally, the sentence has a rhythmic pattern with a series of adjectives separated by commas, followed by a clause with a parallel structure.""
}","['stress', 'rhythm']","{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks around the word 'irreversible' creates a stress on this particular word, emphasizing its significance. Additionally, the rhythm of the sentence is structured in a way that creates a sense of foreboding and emphasis on certain words, contributing to the overall impactful delivery of the message.""
}","['stress', 'rhythm']",1,"['stress', 'rhythm']",,,,
