sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth
311,[3],"The Vatican presents a choice: the world, or Christ.",Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],TRUE,['Periodic_sentences'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'the world, or Christ' after the grammatically complete main clause. It is also periodic as it delivers its meaning dramatically at the end with the contrasting choice between 'the world' and 'Christ'.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('the world, or Christ').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],FALSE,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],1,['right_branching'],1,0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences']
349,[4],"Recently, a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],TRUE,"['left_branching', 'right_branching', 'middle_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause is complete.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the initial complete grammatical structure.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed.'""
}",['right_branching'],TRUE,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],1,['right_branching'],1,0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching']
363,[4 9],Murdering infidels thus doesn’t contradict the spirit of Ramadan; it embodies it.,Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],TRUE,['Periodic_sentences'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('it embodies it'). It branches to the right with additional information added after the main clause.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with a modifying clause ('it embodies it').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'it embodies it.'""
}",['right_branching'],TRUE,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'it embodies it.' This makes it a right-branching sentence.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with a modifying clause ('it embodies it'). This makes it a right-branching sentence.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with a modifying clause ('it embodies it'). This makes it a right-branching sentence.""
}",['right_branching'],1,['right_branching'],1,0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences']
956,[6],Nothing good can be said about his four years of sanctimony and incompetence.,Sentence_architecture,[],[],[],TRUE,[],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'of sanctimony and incompetence.'""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching"",
    ""periodic sentences""
  ],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with the modifying clauses 'of sanctimony and incompetence.' Additionally, it is periodic as it delivers its meaning, criticizing his four years, at the end with a dramatic effect.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('of sanctimony and incompetence')."" 
}",['right_branching'],FALSE,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'of sanctimony and incompetence' after completing the main clause.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('of sanctimony and incompetence').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'of sanctimony and incompetence.'""
}",['right_branching'],1,['right_branching'],1,0,GPT defaults to right-branching. Explanation is incorrect.,[]
1040,[5 6 8],"The telling details of Archbishop Viganò’s testimony concerning Bergoglio’s friendly relations with McCarrick before he finally had to cut him loose—details conveniently ignored by Winters, Allen and Shea—are utterly devastating to any defense of Bergoglio.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],TRUE,"['Periodic_sentences', 'left_branching', 'right_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching"",
    ""Periodic sentences""
  ],
  ""Explanation"": ""The sentence is right-branching as it contains modifying clauses after the main clause. It is also periodic, as it delivers its meaning dramatically at the end with the phrase 'utterly devastating to any defense of Bergoglio.'""
}","['right_branching', 'Periodic_sentences']","{
  ""Properties"": [""right branching"", ""Periodic sentences""]
  ,
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause, and it is a periodic sentence because it delivers its meaning at the end with a dramatic pause.""
}","['right_branching', 'Periodic_sentences']",FALSE,"{
  ""Properties"": [""right branching"", ""Periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause. It is also periodic as it delivers its meaning dramatically at the end with a dash.""
}","['right_branching', 'Periodic_sentences']","{
  ""Properties"": [""right branching"", ""Periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause. It is also periodic as it delivers its meaning dramatically at the end with a dash.""
}","['right_branching', 'Periodic_sentences']","{
  ""Properties"": [""right branching"", ""Periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause. It is also periodic as it delivers its meaning dramatically at the end with a dash.""
}","['right_branching', 'Periodic_sentences']",1,"['right_branching', 'Periodic_sentences']",1,0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching']
1259,[7],Does Berg and the AMA support our military?,Sentence_architecture,[],[],[],TRUE,[],"{
  ""Properties"": [""loose sentences""],
  ""Explanation"": ""The question is a loose sentence as it trails off without a concluding point. The lack of further context or detail leaves the meaning open-ended.""
}",['loose_sentences'],"{
  ""Properties"": [""middle branching""],
  ""Explanation"": ""The sentence inserts material ('Berg and the AMA') between the subject ('support') and the verb ('our military').""
}",['middle_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The question consists of a complete grammatical structure followed by modifying phrases and clauses ('Berg and the AMA' as the subject, 'support our military' as the complete predication, with 'our military' as a modifying element).""
}",['right_branching'],FALSE,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses ('Berg and the AMA') after the main clause ('support our military').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses ('support our military') after the main clause ('Does Berg and the AMA support').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('Berg and the AMA') and phrases ('support our military').""
}",['right_branching'],1,['right_branching'],1,0,GPT explanation is not logical,[]
1311,[ 8  7 14  6],"As Trump grandly proclaimed, Americans no longer have to fear North Korea and can sleep peacefully at night!",Sentence_architecture,['left_branching'],['left_branching'],['left_branching'],TRUE,"['Periodic_sentences', 'left_branching']","{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses (Americans no longer have to fear North Korea and can sleep peacefully at night) after the initial proclamation.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right branching as it is complete grammatically but continues with modifying clauses ('Americans no longer have to fear North Korea' is the main clause, followed by 'and can sleep peacefully at night' as a modifying clause).""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the complete grammatical structure, 'Americans no longer have to fear North Korea.'""
}",['right_branching'],TRUE,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('Americans no longer have to fear North Korea and can sleep peacefully at night').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases ('Americans no longer have to fear North Korea and can sleep peacefully at night').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'Americans no longer have to fear North Korea'.""
}",['right_branching'],1,['right_branching'],1,0,GPT defaults to right-branching. Explanation is incorrect.,['left_branching']
1350,[7],"As far as the labor market is concerned, “America First” has not translated to Americans First.",Sentence_architecture,['left_branching'],['left_branching'],['left_branching'],TRUE,['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying phrase 'has not translated to Americans First'. This makes it a right-branching sentence.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues after the main clause with the modifying phrase 'has not translated to Americans First.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with the modifying clause 'has not translated to Americans First.' This makes it a right-branching sentence.""
}",['right_branching'],TRUE,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('has not translated to Americans First').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, as 'has not translated to Americans First' is a modifying clause.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('has not translated to Americans First').""
}",['right_branching'],1,['right_branching'],1,0,GPT defaults to right-branching. Explanation is incorrect.,['left_branching']
3428,[9],One leaked official memo says: “Assange is going to make a nice bride in prison.,Sentence_architecture,['left_branching'],['left_branching'],['left_branching'],TRUE,['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('in prison').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with a modifying clause 'in prison' after completing the main clause 'Assange is going to make a nice bride'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying language ('in prison').""
}",['right_branching'],TRUE,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases ('in prison').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'in prison'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with a modifying clause after the main clause 'Assange is going to make a nice bride in prison.'""
}",['right_branching'],1,['right_branching'],0,0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences']
3498,[9],"In the end, Only the corrupt king acknowledges the God of Shadrach, Meshach, and Abednego.",Sentence_architecture,['left_branching'],['left_branching'],['left_branching'],TRUE,"['Periodic_sentences', 'left_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases at the end ('of Shadrach, Meshach, and Abednego').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses 'of Shadrach, Meshach, and Abednego'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, specifically 'acknowledges the God of Shadrach, Meshach, and Abednego' which follows the main clause 'Only the corrupt king acknowledges'.""
}",['right_branching'],TRUE,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('of Shadrach, Meshach, and Abednego').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('of Shadrach, Meshach, and Abednego').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses ('of Shadrach, Meshach, and Abednego').""
}",['right_branching'],1,['right_branching'],1,0,GPT defaults to right-branching. Explanation is incorrect.,['left_branching']
