sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Subject_choices,['rhetorical_participants'],['rhetorical_participants'],['rhetorical_participants'],TRUE,[],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'I' is used to refer to the reader, indicating that the statement is from their perspective.""
}",['rhetorical_participants'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The only identifiable subject in the sentence is 'Cardinal', which refers to a specific individual.""
}",['humans'],"{
  ""Properties"": [""humans""]
}",['humans'],FALSE,"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a single individual, a specific person.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal' refers to a specific individual, indicating the presence of a human subject.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' indicates that the writer is referring to themselves, making it an example of rhetorical participants.""
}",['rhetorical_participants'],0,['humans'],1,0,GPT did not adhere to definitions,['rhetorical_participants'],
243,[2 6],Women everywhere should be furious.,Subject_choices,['humans'],['humans'],['humans'],TRUE,[],"{
  ""Properties"": [""humans""]
  ,
  ""Explanation"": ""The subject 'women' refers to a group of people, making it an example of the property 'humans'.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""]
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  , ""Explanation"": ""The subject 'women' in this sentence is used to address the reader directly, invoking a sense of shared experience and emotion.""
}",['rhetorical_participants'],FALSE,"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women' is used to address the reader directly, making it a rhetorical participant.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women everywhere' is a rhetorical participant as it addresses the reader directly, invoking a sense of shared identity and emotion.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'women' is used to address the reader directly, making it a rhetorical participant.""
}",['rhetorical_participants'],1,['rhetorical_participants'],1,0,GPT did not adhere to definitions,['humans'],
375,[4],"Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.",Subject_choices,"['slot_fillers', 'humans']","['slot_fillers', 'humans']","['slot_fillers', 'humans']",TRUE,"['slot_fillers', 'humans', 'abstractions']","{
  ""Properties"": [""slot fillers"", ""abstractions""]
}

  ","['slot_fillers', 'abstractions']","{
  ""Properties"": [""rhetorical participants"", ""slot fillers""],
  ""Explanation"": ""The sentence makes use of 'it' as a slot filler and includes the rhetorical participant 'God Himself'.""
}","['rhetorical_participants', 'slot_fillers']","{
  ""Properties"": [""humans"", ""abstractions"", ""slot fillers""],
  ""Explanation"": ""The sentence contains the human referent 'Catholics', the abstract concept 'immoral', and the slot filler 'it'.""
}","['humans', 'abstractions', 'slot_fillers']",FALSE,"{
  ""Properties"": [""rhetorical participants"", ""abstractions"", ""slot fillers""],
  ""Explanation"": ""The sentence contains the slot filler 'it', the abstractions 'God Himself' and 'immoral', and the rhetorical participant 'Catholics'.""
}","['rhetorical_participants', 'abstractions', 'slot_fillers']","{
  ""Properties"": [""slot fillers""],
  ""Explanation"": ""The sentence uses 'it' as a dummy subject to make a complete sentence.""
}",['slot_fillers'],"{
  ""Properties"": [""rhetorical participants"", ""slot fillers""],
  ""Explanation"": ""The sentence uses 'it' as a slot filler to make a complete sentence, and 'Catholics' as a rhetorical participant representing a group of people.""
}","['rhetorical_participants', 'slot_fillers']",0,"['rhetorical_participants', 'abstractions', 'slot_fillers']",1,0,,"['slot_fillers', 'humans']",
405,[5 4 8 8 9],"So, according to Faggioli, the same Pope who sacks conservative bishops and cardinals according to his pleasure and has just removed a cardinal from the College of Cardinals in an unprecedented disciplinary act under fire from the media, is somehow powerless to dismiss Modernist bishops who have created an obscene “gay culture” in the Church and replace them with orthodox, normal heterosexual males.",Subject_choices,['humans'],['humans'],['humans'],TRUE,"['concepts', 'humans']","{
  ""Properties"": [""rhetorical participants"", ""things""],
  ""Explanation"": ""The sentence refers to 'Faggioli' (a person) and 'the Pope' (a person), as well as 'conservative bishops and cardinals' and 'Modernist bishops' (both groups of people), making use of the 'humans' property. Additionally, it discusses actions related to these individuals, falling under the 'things' property.""
}","['rhetorical_participants', 'things']","{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject choices in the text refer to specific individuals such as 'Faggioli', 'the Pope', 'conservative bishops', 'cardinals', 'a cardinal', 'Modernist bishops', and 'heterosexual males'. Therefore, the property 'humans' is present in the example text.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'Faggioli' as the subject suggests that the writer is referring to someone specific or known to the reader, making it a rhetorical participant.""
}",['rhetorical_participants'],FALSE,"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'Faggioli' as the subject indicates a rhetorical participant, as it refers to a specific individual involved in the discourse.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'Faggioli' as the subject indicates a rhetorical participant, as it refers to a specific individual in the context of the writer's argument.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants"", ""abstractions""]
}

  ","['rhetorical_participants', 'abstractions']",0,['rhetorical_participants'],1,0,GPT is mangling the definitions,['humans'],
430,[4 9 9 6],This is clearly the testimony of an honest man who has only the good of the Church in his heart—a modern-day Athanasius standing against something so much worse than Liberius.,Subject_choices,"['slot_fillers', 'humans']","['slot_fillers', 'humans']","['slot_fillers', 'humans']",TRUE,"['humans', 'abstractions']","{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'man' refers to a single individual person, meeting the criteria for the 'humans' property.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants"", ""abstractions""],
  ""Explanation"": ""The use of 'an honest man' and 'the Church' points to the abstraction of honesty and the rhetorical participation of the writer or reader.""
}","['rhetorical_participants', 'abstractions']","{
  ""Properties"": [""humans"", ""concepts""],
  ""Explanation"": ""The text contains the property of 'humans' with the reference to 'a modern-day Athanasius'. It also contains the property of 'concepts' with the term 'the Church' and 'something so much worse than Liberius'.""
}","['humans', 'concepts']",FALSE,"{
  ""Properties"": [""rhetorical participants"", ""abstractions""],
  ""Explanation"": ""The subject 'an honest man' is an abstraction, and the statement is directed at the reader as a rhetorical participant.""
}","['rhetorical_participants', 'abstractions']","{
  ""Properties"": [""rhetorical participants"", ""abstractions""],
  ""Explanation"": ""The subject 'an honest man' refers to a rhetorical participant, and the mention of 'the Church' and 'Liberius' are abstractions.""
}","['rhetorical_participants', 'abstractions']","{
  ""Properties"": [""rhetorical participants"", ""abstractions""]
}

 	","['rhetorical_participants', 'abstractions']",1,"['rhetorical_participants', 'abstractions']",1,0,,"['slot_fillers', 'humans']",
1284,[7 8],"I hope the American people can see through this sham, that you knew about it and you held it.""",Subject_choices,"['rhetorical_participants', 'humans']","['rhetorical_participants', 'humans']","['rhetorical_participants', 'humans']",TRUE,"['rhetorical_participants', 'humans']","{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The statement refers to 'the American people' as a group of individuals and includes 'you' as a rhetorical participant.""
}","['rhetorical_participants', 'humans']","{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'you' is a rhetorical participant, directly addressing the reader.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The subject choices of 'American people' and 'you' both fall under the category of humans and rhetorical participants.""
}","['rhetorical_participants', 'humans']",FALSE,"{
  ""Properties"": [""humans"", ""rhetorical participants""],
  ""Explanation"": ""The subject choices in the text include 'American people' (humans) and 'you' (rhetorical participant).""
}","['humans', 'rhetorical_participants']","{
  ""Properties"": [""humans"", ""rhetorical participants""],
  ""Explanation"": ""The text contains the property 'humans' as it refers to 'the American people' and 'you'. It also contains the property 'rhetorical participants' as it includes the subject 'you' which refers to the reader or audience.""
}","['humans', 'rhetorical_participants']","{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The subject choices in the text include 'American people' (humans) and 'you' (rhetorical participant).""
}","['rhetorical_participants', 'humans']",0,"['humans', 'rhetorical_participants']",1,1,,"['rhetorical_participants', 'humans']",
1311,[ 8  7 14  6],"As Trump grandly proclaimed, Americans no longer have to fear North Korea and can sleep peacefully at night!",Subject_choices,['humans'],['humans'],['humans'],TRUE,"['rhetorical_participants', 'humans']","{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Americans' refers to a group of people, qualifying as a human subject choice.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The subject 'Americans' refers to a group of people, and 'Trump' is mentioned as a rhetorical participant.""
}","['rhetorical_participants', 'humans']","{
    ""Properties"": [""humans"", ""rhetorical participants""],
    ""Explanation"": ""The subject choices in the text include 'Trump' as a human and rhetorical participant, as well as 'Americans' as a group of people.""
}","['humans', 'rhetorical_participants']",FALSE,"{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The subject 'Americans' refers to a group of people, and the use of 'Americans' reflects a rhetorical appeal to the audience's national identity.""
}","['rhetorical_participants', 'humans']","{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The subject 'Americans' refers to a group of people, and 'Trump' is a rhetorical participant as the speaker being referenced.""
}","['rhetorical_participants', 'humans']","{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The subject 'Americans' refers to a group of people, and the use of 'Americans' and 'Trump' suggests a focus on humans. The use of 'Americans' also implies a rhetorical appeal to the audience's national identity.""
}","['rhetorical_participants', 'humans']",1,"['rhetorical_participants', 'humans']",1,0,GPT is misinterpreting the property. Using it out of context of grammar.,['humans'],
1354,[7],"“I have, on numerous occasions, noted our intelligence findings that Russians attempted to interfere in our elections.",Subject_choices,"['rhetorical_participants', 'humans']","['rhetorical_participants', 'humans']","['rhetorical_participants', 'humans']",TRUE,"['rhetorical_participants', 'humans', 'abstractions']","{
  ""Properties"": [""rhetorical participants"", ""abstractions""],
  ""Explanation"": ""The subject 'I' refers to the writer, making it a rhetorical participant. The intelligence findings and the interference in elections are abstractions as they cannot be easily pointed to.""
}","['rhetorical_participants', 'abstractions']","{
  ""Properties"": [""rhetorical participants"", ""abstractions""],
  ""Explanation"": ""The subject 'I' refers to the writer, indicating the use of rhetorical participants. The subject 'intelligence findings' is an abstraction as it refers to a concept that cannot be easily pointed to.""
}","['rhetorical_participants', 'abstractions']","{
  ""Properties"": [""rhetorical participants"", ""concepts""]
} 
 ","['rhetorical_participants', 'concepts']",FALSE,"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'our' indicates that the writer is referring to themselves as a rhetorical participant in the statement.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants"", ""abstractions""],
  ""Explanation"": ""The subject 'I' indicates a rhetorical participant, and 'intelligence findings' is an abstraction referring to a concept that cannot be easily pointed to.""
}","['rhetorical_participants', 'abstractions']","{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'I' refers to the writer themselves, making it a rhetorical participant.""
}",['rhetorical_participants'],0,['rhetorical_participants'],1,0,GPT explanation is only partially correct,"['rhetorical_participants', 'humans']",
1369,[7],"We imported goods ""Made in China,"" while exporting our future.",Subject_choices,['rhetorical_participants'],['rhetorical_participants'],['rhetorical_participants'],TRUE,"['things', 'rhetorical_participants', 'abstractions']","{
  ""Properties"": [""concepts""],
  ""Explanation"": ""The subject 'our future' is an example of a concept, as it refers to a vague, general and all-encompassing term.""
}",['concepts'],"{
  ""Properties"": [""things""],
  ""Explanation"": ""The subject 'goods' refers to physical objects, indicating the presence of the property 'things.'""
}",['things'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'we' refers to a group or collection of people, making use of the property 'humans.'""
}",['humans'],FALSE,"{
  ""Properties"": [""abstractions""],
  ""Explanation"": ""The sentence contains the abstraction 'future' which refers to a concept that cannot be pointed to easily.""
}",['abstractions'],"{
  ""Properties"": [""abstractions""],
  ""Explanation"": ""The subject 'our future' is an abstraction, as it refers to a concept rather than a tangible entity.""
}",['abstractions'],"{
  ""Properties"": [""abstractions""],
  ""Explanation"": ""The sentence contains the abstraction 'future' which refers to a concept that cannot be easily pointed to.""
}",['abstractions'],1,['abstractions'],1,0,GPT is assinging the poperty to the object not the subject,['rhetorical_participants'],
1390,[7 9],"Barack Obama spent considerable time selling the American people on the idea of a cooperative Iran — all the while cutting quiet deals, behind closed doors, with the rogue nation.",Subject_choices,['humans'],['humans'],['humans'],TRUE,"['humans', 'abstractions']","{
  ""Properties"": [""rhetorical participants"", ""abstractions""],
  ""Explanation"": ""The text uses the rhetorical participant 'Barack Obama' as the subject, and also contains the abstractions 'cooperative Iran' and 'rogue nation'.""
}","['rhetorical_participants', 'abstractions']","{
  ""Properties"": [""humans"", ""abstractions""],
  ""Explanation"": ""The subject choices in the text include 'Barack Obama' (human) and 'the American people' (human), as well as 'the idea of a cooperative Iran' (abstraction).""
}","['humans', 'abstractions']","{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The text contains the rhetorical participant 'Barack Obama' as the subject, indicating the writer's focus on the actions and decisions of this individual.""
}",['rhetorical_participants'],FALSE,"{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The text contains the use of 'Barack Obama' as a human subject and 'the American people' as a group of people, making use of the 'humans' property. Additionally, the use of 'the American people' can also be considered a rhetorical participant as it represents the audience being addressed in the context of the statement.""
}","['rhetorical_participants', 'humans']","{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Barack Obama' refers to a single individual, meeting the criteria for the 'humans' property.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'Barack Obama' is a rhetorical participant, as it refers to a specific individual in the context of the writer's statement.""
}",['rhetorical_participants'],0,"['rhetorical_participants', 'humans']",1,0,GPT is mangling the definitions,['humans'],
