sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Tropes,[],[],[],TRUE,[],"{
  ""Properties"": [""amphiboly""],
  ""Explanation"": ""The phrase 'you know it by her story' can be construed to have two meanings: 'you know she is telling the truth by her story' or 'you know she is lying by her story'.""
}",['amphiboly'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'I believe her' may be a euphemism to avoid directly stating the opposite, 'I don't believe her'. It serves to soften the potential harshness of the statement.""
}",['euphemism'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'telling the truth' instead of explicitly stating 'lying' can be seen as a form of euphemism to soften the gravity of the accusation.""
}",['euphemism'],FALSE,"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'I believe her' instead of 'I believe Christine Blasey Ford' can be seen as a euphemism to avoid direct reference to the person's name.""
}",['euphemism'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'I believe her' can be seen as a euphemism for expressing support for Ms. Ford's allegations without explicitly stating it.""
}",['euphemism'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'I believe her' can be seen as a euphemism for expressing support for Ms. Ford's allegations without explicitly stating it.""
}",['euphemism'],1,['euphemism'],,,,
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Tropes,[],[],[],TRUE,[],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'help of the sacraments' instead of more specific language may be seen as a euphemism to soften the discussion around sensitive religious topics.""
}",['euphemism'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'the Cardinal' as a representative of the Catholic Church or its officials is an example of metonymy, where a specific term is used to represent a more general concept.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'the Cardinal' refers to a specific person, but is replaced by a general term 'the help of the sacraments in certain cases' which signifies the teachings or opinions of the Cardinal.""
}",['metonymy'],FALSE,"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'help of the sacraments' may be a euphemism for the last rites or extreme unction, which are sacraments administered to the dying in the Catholic Church.""
}",['euphemism'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'help of the sacraments' may be a euphemism for the more direct term 'use of the sacraments' to minimize the gravity of the situation being discussed.""
}",['euphemism'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'help of the sacraments' may be a euphemism for the more direct and potentially offensive term 'last rites' or 'extreme unction'.""
}",['euphemism'],1,['euphemism'],,,,
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Tropes,['metaphor'],['metaphor'],['metaphor'],TRUE,[],"{
  ""Properties"": [""metaphor""],
  ""Explanation"": ""The use of 'dark, impenetrable and “irreversible” winter' is a metaphor that brings the term 'winter' from the semantic field of seasons to convey a sense of bleakness and hardship.""
}",['metaphor'],"{
  ""Properties"": [""metaphor"", ""hyperbole""],
  ""Explanation"": ""The use of 'irreversible' winter is a metaphor, bringing the idea of a harsh season to describe a difficult and unchangeable situation. The phrase 'persecution of the faithful' employs hyperbole, as it exaggerates the severity of the situation.""
}","['metaphor', 'hyperbole']","{
  ""Properties"": [""metaphor"", ""hyperbole"", ""euphemism""],
  ""Explanation"": ""The use of 'irreversible' implies an exaggerated and dire situation, indicating hyperbole. The phrase 'a dark, impenetrable and irreverisble winter of persecution' is a metaphor comparing the persecution to a harsh season. Additionally, 'persecution' is a euphemism for oppression or mistreatment.""
}","['metaphor', 'hyperbole', 'euphemism']",FALSE,"{
  ""Properties"": [""metaphor""],
  ""Explanation"": ""The use of 'irreversible winter' is a metaphor, bringing the term 'winter' from a literal sense to create a novel pairing that expresses a point trenchantly.""
}",['metaphor'],"{
  ""Properties"": [""metaphor"", ""hyperbole""],
  ""Explanation"": ""The use of 'irreversible' to describe the severity of the persecution is a metaphor, as it brings a term from an 'alien' semantic field to create a novel pairing that expresses a point trenchantly. The phrase 'dark, impenetrable and irreversible winter' employs hyperbole, as it exaggerates the severity of the persecution for emphasis.""
}","['metaphor', 'hyperbole']","{
  ""Properties"": [""metaphor"", ""hyperbole""],
  ""Explanation"": ""The use of 'irreversible' to describe the winter of persecution is a metaphor, bringing the concept of irreversibility to the idea of the persecution. The phrase 'dark, impenetrable and “irreversible” winter' also employs hyperbole, as it exaggerates the severity of the persecution by likening it to an extreme and unchangeable season.""
}","['metaphor', 'hyperbole']",0,"['metaphor', 'hyperbole']",1,1,,"['metaphor', 'hyperbole']"
245,[2],"I am sure there are many many others, too, who think alike, but whom I do not know.",Tropes,[],[],[],TRUE,[],"{
  ""Properties"": [""paradox""],
  ""Explanation"": ""The statement 'many many others, too, who think alike, but whom I do not know' presents a paradox, as it implies the speaker is both sure of the existence of others who think alike and unsure of their existence at the same time.""
}",['paradox'],"{
  ""Properties"": [""paradox""],
  ""Explanation"": ""The speaker maintains a contradiction by expressing certainty about the existence of others who share their thoughts, while acknowledging ignorance of those individuals.""
}",['paradox'],"{
  ""Properties"": [""irony"", ""litotes"", ""paralepsis/praeteritio""],
  ""Explanation"": ""The speaker expresses certainty about a common belief, but then introduces doubt by mentioning unknown others, employing irony. The use of 'many many' is an example of hyperbole, and the denial of knowledge about other like-minded individuals is a form of paralepsis/praeteritio. This statement also contains litotes with the phrase 'whom I do not know.'""
}","['irony', 'litotes', 'paralepsis/praeteritio']",FALSE,"{
  ""Properties"": [""irony"", ""litotes""],
  ""Explanation"": ""The speaker expresses certainty about the existence of others who share their thoughts, while using the phrase 'many many others' and 'whom I do not know' to downplay the actual number of people who may think alike.""
}","['irony', 'litotes']","{
  ""Properties"": [""irony""],
  ""Explanation"": ""The speaker says 'I am sure there are many many others, too' while expressing doubt about the existence of others who think alike, creating a contrast between what is said and what is meant.""
}",['irony'],"{
  ""Properties"": [""paradox""],
  ""Explanation"": ""The speaker maintains a contradiction by expressing certainty ('I am sure') while acknowledging uncertainty ('whom I do not know').""
}",['paradox'],0,"['irony', 'litotes']",1,0,,[]
296,[3],"There is only one Magisterium, he said, and bishops' conferences can only decide about pastoral questions.",Tropes,[],[],[],TRUE,[],"{
  ""Properties"": [""synecdoche"", ""metonymy""],
  ""Explanation"": ""The use of 'Magisterium' to represent the whole body of teaching authority in the Catholic Church is an example of synecdoche. Additionally, 'bishops' conferences' is a metonymy for the bishops themselves.""
}","['synecdoche', 'metonymy']","{
  ""Properties"": [""synecdoche""],
  ""Explanation"": ""The use of 'Magisterium' as a part to represent the whole entity of the teaching authority of the Roman Catholic Church.""
}",['synecdoche'],"{
  ""Properties"": [
    ""metonymy""
  ],
  ""Explanation"": ""The use of 'Magisterium' to refer to the collective authority of the Roman Catholic Church, which is often represented by a single leader, employs metonymy as it substitutes the part for the whole.""
}",['metonymy'],FALSE,"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'Magisterium' as a descriptive label characterizes and renames the authority figure, emphasizing their role and authority within the context of the statement.""
}",['antonomasia'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'Magisterium' as a substitute for the Catholic Church's teaching authority represents metonymy, as it substitutes a specific term for a broader concept related to it.""
}",['metonymy'],"{
  ""Properties"": [""synecdoche""],
  ""Explanation"": ""The use of 'Magisterium' to refer to the collective authority of the Roman Catholic Church, with 'he' representing the whole institution.""
}",['synecdoche'],0,['antonomasia'],1,0,,[]
319,[3],It’s not coming back.,Tropes,[],[],[],TRUE,[],"{
  ""Properties"": [""metaphor""],
  ""Explanation"": ""The statement 'It's not coming back' can be interpreted as a metaphor, suggesting that something (possibly an opportunity, relationship, or situation) is permanently lost or unavailable.""
}",['metaphor'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'It’s not coming back' can be considered a euphemism for a more direct statement, such as 'It is gone' or 'It is lost.' The phrase 'It’s not coming back' softens the impact of the situation."" 
}",['euphemism'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The phrase 'It’s not coming back' can be interpreted as a euphemism for the more direct and potentially harsh statement 'It's gone.' The speaker may be using a milder phrase to minimize the impact of the situation.""
}",['euphemism'],FALSE,"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The phrase 'It's not coming back' is a euphemism for a more direct statement, such as 'It's gone' or 'It's lost'.""
}",['euphemism'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The phrase 'It's not coming back' is a euphemism for a more direct statement, such as 'It's gone forever.' The use of 'not coming back' softens the impact of the loss or absence.""
}",['euphemism'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The phrase 'It's not coming back' is a euphemism for a more direct statement, such as 'It's gone' or 'It's lost'. The use of 'not coming back' softens the impact of the situation.""
}",['euphemism'],1,['euphemism'],1,0,,[]
320,[ 3 16],There will be no turning back.,Tropes,[],[],[],TRUE,[],"{
  ""Properties"": [""paralepsis/praeteritio""],
  ""Explanation"": ""The phrase 'There will be no turning back' uses the rhetorical device of paralepsis/praeteritio by implying that the act of 'turning back' is not even worth mentioning, thus drawing attention to it while denying discussing it.""
}",['paralepsis/praeteritio'],"{
  ""Properties"": [""paradox""],
  ""Explanation"": ""The statement 'There will be no turning back' is a paradox as it appears to deny the possibility of turning back while also suggesting a fixed and unchangeable future, creating a self-contradicting impression.""
}",['paradox'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The phrase 'turning back' is used in place of a descriptive label ('retreat') to characterize the action while renaming it.""
}",['antonomasia'],FALSE,"{
  ""Properties"": [""paralepsis/praeteritio""],
  ""Explanation"": ""The phrase 'There will be no turning back' is a form of paralepsis/praeteritio, as it implies that the speaker is denying the possibility of turning back while simultaneously bringing attention to it.""
}",['paralepsis/praeteritio'],"{
  ""Properties"": [""paradox""],
  ""Explanation"": ""The statement 'There will be no turning back' presents a paradox as it implies a sense of finality and inevitability, while also suggesting the impossibility of turning back.""
}",['paradox'],"{
  ""Properties"": [""paradox"", ""euphemism""]
  ,
  ""Explanation"": ""The statement 'There will be no turning back' can be interpreted as a paradox, as it implies a sense of finality while using the word 'turning', which suggests the possibility of change. It can also be seen as a euphemism, as it is a polite or mild way of expressing the idea that there is no option to retreat or change course.""
}","['paradox', 'euphemism']",0,['paralepsis/praeteritio'],1,0,,[]
325,[3],A caller to the Michael Savage radio show who says he was neighbors with Las Vegas gunman Stephen Paddock asserts that Paddock could not have carried out the massacre and that it was actually a “set-up”.,Tropes,[],[],[],TRUE,[],"{
  ""Properties"": [""paralepsis/praeteritio""],
  ""Explanation"": ""The statement 'asserts that Paddock could not have carried out the massacre' while also denying it with the term 'set-up' is an example of paralepsis/praeteritio, where something is said while denying saying it.""
}",['paralepsis/praeteritio'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The caller's statement that Paddock could not have carried out the massacre, while also claiming it was a 'set-up', is an example of irony, where one thing is said while another thing is meant.""
}",['irony'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The caller's assertion of the Las Vegas gunman being incapable of carrying out the massacre, despite claiming to have been neighbors with him, is ironic given the circumstances of the situation.""
}",['irony'],FALSE,"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The caller's assertion that Paddock could not have carried out the massacre, while claiming it was a 'set-up', creates a situation of irony where one thing is said, but another thing is meant.""
}",['irony'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The caller's statement that Paddock could not have carried out the massacre, while claiming it was a 'set-up', creates an ironic contrast between the two statements.""
}",['irony'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The caller's statement that Paddock could not have carried out the massacre, while also claiming it was a 'set-up', creates an ironic situation where the caller's words convey a different meaning than their literal interpretation.""
}",['irony'],1,['irony'],1,0,,[]
392,[ 9 13  4],"“Their only defense was that the activities they described were either non-partisan or were not officially taken by the company,” Carlson said Monday night, describing Google’s official response to his requests for comment, before challenging the company’s response: “But of course they were both.",Tropes,[],[],[],TRUE,[],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The statement 'Their only defense was that the activities they described were either non-partisan or were not officially taken by the company' is ironic as it is followed by the speaker challenging the company's response by stating 'But of course they were both.'""
}",['irony'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The statement 'But of course they were both' is an example of irony. The speaker is saying one thing (accepting the company's defense) while implying another (rejecting the company's defense).""
}",['irony'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The speaker describes Google's official response as non-partisan or not officially taken by the company, but then challenges the response by asserting that they were both, implying a contradictory or opposite meaning.""
}",['irony'],TRUE,"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The speaker, Carlson, is using irony by stating Google's defense and then immediately challenging it, implying that the defense is not valid.""
}",['irony'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The speaker describes Google's official response as claiming that the activities were non-partisan or not officially taken, but then challenges this response by asserting that they were both partisan and officially taken.""
}",['irony'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The speaker, Carlson, is using irony by stating that Google's activities were either non-partisan or not officially taken, while implying that they were in fact both partisan and officially taken.""
}",['irony'],1,['irony'],,,,
476,[4],The former recognizes that an armed populace is a threat to any tyrant and pushes for gun control out of self-preservation.,Tropes,[],[],[],TRUE,[],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The statement implies that those pushing for gun control are doing so out of self-preservation, while the literal message is advocating for gun control to protect citizens from harm, creating a clear example of irony.""
}",['irony'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The statement expresses a contradiction between the push for gun control and the recognition of an armed populace as a threat to any tyrant, implying a hidden meaning or intention."" 
}",['irony'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The statement implies that the proponent of gun control is in fact a potential tyrant, holding views ironically opposite to what is expected."" 
}",['irony'],TRUE,"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The statement suggests that those advocating for gun control are doing so out of self-preservation, which is ironic given that gun control is often seen as a threat to the right to bear arms.""
}",['irony'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The statement contains irony as it suggests that those pushing for gun control are doing so out of self-preservation, while the actual reason may be different.""
}",['irony'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The statement suggests that those pushing for gun control are doing so out of self-preservation, while the actual reason may be to disarm the populace and reduce the threat to their power, creating an ironic contrast.""
}",['irony'],1,['irony'],,,,
