sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Verb_choices,[],[],[],TRUE,[],"{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The sentence uses negation to deny any doubt about Ms. Ford's truthfulness, and personification by attributing the ability to 'know' to 'her story'.""
}","['negation', 'personification']","{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The verb 'believe' negates any doubt or contradiction, and the statement personifies Ms. Ford's story by attributing knowledge to it.""
}","['negation', 'personification']","{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'believe' is used in negation to contradict any doubt about Ms. Ford's truthfulness.""
}",['negation'],FALSE,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'you know it' implies negation by denying the opposite, suggesting that the listener should already be aware of the truth.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'you know it' implies negation by denying the possibility of not knowing the truth.""
}",['negation'],"{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The use of 'I believe her because she is telling the truth' involves negation by denying any possibility of falsehood. The phrase 'you know it by her story' personifies the story, endowing it with the ability to convey truth.""
}","['negation', 'personification']",0,['negation'],,,,,
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Verb_choices,[],[],[],TRUE,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'only' in the sentence indicates a negation, as it denies the presence of mention of the help of the sacraments in other cases.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'only' negates the presence of mention of the help of the sacraments in certain cases. This indicates a form of contradiction or denial.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement involves the contradiction or denial of finding mention of the help of the sacraments.""
}",['negation'],TRUE,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'only' in the sentence indicates a negation, as it denies finding mention of the help of the sacraments in certain cases in both Italian and English.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'only' in the sentence indicates a negation, as it denies finding mention of something other than the help of the sacraments.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'only' in the sentence indicates negation, as it denies finding mention of the help of the sacraments in certain cases in both Italian and English.""
}",['negation'],1,['negation'],,,,,
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Verb_choices,['modality'],['modality'],['modality'],TRUE,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'inserting' introduces the concept of negation as it implies the action of putting negative search suggestions, which involves contradiction or denial of something.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the phrase 'inserting negative search suggestions' involves the denial or contradiction of positive search suggestions, indicating the presence of negation in the verb choices.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'negative' search suggestions is a form of negation, as it involves the contradiction or denial of positive search suggestions.""
}",['negation'],TRUE,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' involves the contradiction or denial of positive information, making it an example of negation.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the property of negation, as it discusses the insertion of negative search suggestions to shift opinions of undecided voters.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'negative search suggestions' and the mention of 'shift the opinions' indicate the presence of negation in the text.""
}",['negation'],1,['negation'],1,0,GPT wrongly assings negation,['modality'],
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Verb_choices,[],[],[],TRUE,[],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'loss' in 'loss of faith' indicates a contradiction or denial of faith, making this an example of negation.""
}",['negation'],"{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The verb 'canonised' has been nominalized to 'canonisation'.""
}",['nominalization'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'loss of faith' in the context of 'if Paul VI is canonised' indicates a contradiction or denial of faith in the Church.""
}",['negation'],FALSE,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'loss of faith' in the context of potential canonization indicates a denial or contradiction of faith in the Church.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'loss of faith' and 'will be complete' indicates a form of negation, as it expresses the denial of faith in the Church if Paul VI is canonized.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'declaring' is used to convey the negation or contradiction of the potential canonization of Paul VI by a group of Catholics.""
}",['negation'],1,['negation'],,,,,
143,[9 1 8],"Sagacious gun owners have always known that the ultimate goal of gun control extremists such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al., has always been gun confiscation.",Verb_choices,[],[],[],TRUE,[],"{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The statement includes negation through the denial of the intentions of gun control extremists to pursue gun confiscation. It also exhibits personification by endowing the 'gun control extremists' with human-like agency.""
}","['negation', 'personification']","{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The sentence negates the stated intentions of the gun control advocates (Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al.) by labeling them as 'extremists' and suggesting that their 'ultimate goal' has always been gun confiscation. Additionally, the use of 'gun control extremists' personifies this group by attributing an exaggerated and negative behavior to them.""
}","['negation', 'personification']","{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'not' or 'never' is not present in the text, indicating the absence of negation.""
}",['negation'],FALSE,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement involves the contradiction or denial of the intentions of gun control extremists, suggesting that their ultimate goal is not what is commonly believed.""
}",['negation'],"{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The statement involves negation by denying the intentions of gun control extremists, and personification by endowing them with human-like agency as 'extremists'.""
}","['negation', 'personification']","{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'have always known' negates the possibility that the ultimate goal of gun control extremists is not gun confiscation.""
}",['negation'],0,['negation'],,,,,
194,[9 1],"Think of this, the meekest man alive was sent to the face of the Pharaoh to tell him to obey or else.",Verb_choices,[],[],[],TRUE,[],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of the phrase 'the face of the Pharaoh' personifies the Pharaoh, giving them human-like agency and presence.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of 'sent' suggests the action of sending is being attributed to a person, in this case, the meekest man, implying a human-like agency.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The property of personification is used in the sentence to endow the abstract concept of 'meekness' with the ability to be 'sent' and to confront the Pharaoh.""
}",['personification'],TRUE,"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of 'sent to the face of the Pharaoh' personifies the action of sending, endowing it with human-like agency.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of 'sent' implies agency and intention, endowing the action with human-like qualities, which is an example of personification.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of 'sent' implies agency and intention, endowing the action with human-like qualities, which is an example of personification.""
}",['personification'],1,['personification'],,,,,
214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Verb_choices,['modality'],['modality'],['modality'],TRUE,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement contains negation in the form of denial and contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'should be killed' and 'should die' in the reported speech indicates negation, as these phrases express denial or contradiction of the speaker's well-being.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The quote includes the negation of the speaker's safety and well-being through the use of 'should be killed' and 'should die'.""
}",['negation'],TRUE,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'was' in parentheses indicates a potential negation, as it contradicts the direct quote from the speaker.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should' in the context of being killed and dying implies negation, as it contradicts the normal expectation of safety and survival.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'should be killed' and 'should die' involves the negation of the speaker's well-being.""
}",['negation'],1,['negation'],1,0,GPT wrongly assings negation,['modality'],
241,[9 2],"After Farrakhan's speech Sunday, CNN anchor Jake Tapper, among a few others, began tweeting out a few quotes from it, and declared that Farrakhan was more dangerous than other ""alt-reich"" leaders because he “has a much larger following and elected officials meet with him openly.”",Verb_choices,[],[],[],TRUE,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement 'Farrakhan was more dangerous than other 'alt-reich' leaders' involves a comparison and negation of the degree of danger posed by Farrakhan in relation to 'alt-reich' leaders.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'more dangerous than' in the comparison between Farrakhan and other 'alt-reich' leaders involves negation as it contradicts a previously held notion about the danger posed by other leaders.""
}",['negation'],"{
  ""Properties"": [""negation"", ""multiplication""],
  ""Explanation"": ""The negation is present in the comparison of Farrakhan to 'alt-reich' leaders, and the multiplication is evident in the use of multiple verbs in the statement ('began tweeting out' and 'declared').""
}","['negation', 'multiplication']",FALSE,"{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The use of 'more dangerous than' involves a comparison and negation, while the statement 'Farrakhan was more dangerous than other 'alt-reich' leaders' personifies Farrakhan by attributing the quality of being 'dangerous' to him.""
}","['negation', 'personification']","{
  ""Properties"": [""negation"", ""multiplication""],
  ""Explanation"": ""The use of 'more dangerous than' involves a comparison and negation, while the multiplication of 'elected officials meet with him openly' emphasizes the extent of the action.""
}","['negation', 'multiplication']","{
  ""Properties"": [""negation"", ""multiplication""],
  ""Explanation"": ""The use of 'more dangerous than' involves negation by comparing Farrakhan to 'alt-reich' leaders. Additionally, the multiplication of verbs 'meet' and 'openly' emphasizes the extent of the action.""
}","['negation', 'multiplication']",0,"['negation', 'multiplication']",,,,,
243,[2 6],Women everywhere should be furious.,Verb_choices,['modality'],['modality'],['modality'],TRUE,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The example does not exhibit any of the properties besides negation. The use of 'should' implies an expectation or obligation rather than a possibility, ruling out modality. The verb 'should be' is not nominalized, personified, or multiplied in this case.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement expresses a strong sentiment of anger or frustration, indicating negation as it denies the current state of affairs for women.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text does not contain any other properties listed.""
}",['negation'],TRUE,"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement expresses a strong emotion of anger, which can be seen as a form of negation or contradiction to the current state of affairs.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement expresses a denial or contradiction of the current situation, as it suggests that women are not currently furious but should be."" 
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement expresses a strong emotion of anger, which can be seen as a form of negation or contradiction to the current state of affairs.""
}",['negation'],1,['negation'],1,0,GPT wrongly assings negation,['modality'],
253,[3 8],Either that or they can go whine to the New York Times some more because the Jewish community won't let them burn crosses on their lawn.,Verb_choices,"['modality', 'negation']","['modality', 'negation']","['modality', 'negation']",TRUE,[],"{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The sentence negates the possibility of burning crosses on the Jewish community's lawn, and personifies the Jewish community by suggesting they won't allow such an action.""
}","['negation', 'personification']","{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'won't' indicates negation by denying the possibility of the Jewish community allowing the burning of crosses on their lawn.""
}",['negation'],"{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The use of 'won't let them' involves negation, and the phrase 'the Jewish community won't let them burn crosses on their lawn' personifies the Jewish community by attributing agency to it.""
}","['negation', 'personification']",FALSE,"{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The use of 'won't' in 'the Jewish community won't let them' indicates negation, and the phrase 'the Jewish community won't let them burn crosses on their lawn' personifies the Jewish community by endowing it with the agency to prevent an action.""
}","['negation', 'personification']","{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The use of 'won't' in 'the Jewish community won't let them' indicates negation, and the phrase 'the Jewish community won't let them burn crosses on their lawn' personifies the Jewish community by attributing the action of not allowing to it.""
}","['negation', 'personification']","{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The use of 'won't' in 'the Jewish community won't let them' indicates negation, and the phrase 'the Jewish community won't let them burn crosses on their lawn' personifies the Jewish community by endowing it with the agency to prevent the action.""
}","['negation', 'personification']",1,"['negation', 'personification']",1,0,GPT wrongly assings negation,['modality'],
