sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt3.5 isCorrect,comments,ground truth,gpt4 isCorrect
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity']",TRUE,[],"{
  ""Properties"": [""correctness"", ""clarity"", ""maxims/proverbs"", ""allusions""],
  ""Explanation"": ""The text is well-formed grammatically and understandable to the intended audience. It also contains a maxim or proverb ('the tradition of the Muslim doctors') and an allusion to historical and cultural knowledge (Temur's conquests) which requires understanding of the context.""
}","['correctness', 'clarity', 'maxims/proverbs', 'allusions']","{
  ""Properties"": [""allusions""],
  ""Explanation"": ""The text makes an allusion to 'the tradition of the Muslim doctors' without explicitly naming the other context, requiring cultural knowledge to understand the reference.""
}",['allusions'],"{
  ""Properties"": [""allusions"", ""high""],
  ""Explanation"": ""The text makes an allusion to the tradition of the Muslim doctors, which requires cultural and historical knowledge to understand. Additionally, the language used is formal and grand, typical of historical or scholarly texts.""
}","['allusions', 'high']",FALSE,"{
  ""Properties"": [""allusions""],
  ""Explanation"": ""The text makes an allusion to the tradition of the Muslim doctors and the actions of Temur, requiring cultural knowledge to fully understand the reference.""
}",['allusions'],"{
  ""Properties"": [""allusions""],
  ""Explanation"": ""The text makes an allusion to the tradition of the Muslim doctors and the actions of Temur, requiring cultural knowledge to fully understand the reference.""
}",['allusions'],"{
  ""Properties"": [""allusions""],
  ""Explanation"": ""The text makes an allusion to the tradition of the Muslim doctors and the actions of Temur, requiring cultural knowledge to fully understand the reference.""
}",['allusions'],1,['allusions'],0,0,,"['correctness', 'clarity', 'middle']",FALSE
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Phrases_built_on_nouns,[],[],[],TRUE,[],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' acts as an appositive, renaming and providing additional information about 'the same thing.' Additionally, the phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' acts as a summative modifier, summarizing the reasons why Temur strove to exterminate the infidels.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' functions as an appositive, renaming and providing additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive that renames and further describes the noun 'the same thing'. The phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' is a summative modifier that summarizes the preceding clause.""
}","['appositives', 'summative_modifier']",FALSE,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and provides additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and further describes the noun 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive built on the noun 'thing', renaming and providing additional information about it.""
}",['appositives'],1,['appositives'],1,0,,[],TRUE
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Series,[],[],[],TRUE,[],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'as much' in the sentence indicates the presence of polysyndeton, where conjunctions are used between every item.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'the glory,' and 'the greatness of his conquests' creates a polysyndeton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' to connect the different motivations ('to acquire that glory' and 'to signalise himself') indicates the presence of polysyndeton in the text.""
}",['polysyndenton'],TRUE,"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'to acquire that glory' and 'to signalise himself' indicates the presence of polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The text uses the polysyndenton property by using the conjunction 'as' between the listed reasons for Temur's actions.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'acquire that glory' and 'to signalise himself' suggests the presence of polysyndenton.""
}",['polysyndenton'],1,['polysyndenton'],1,0,GPT misinterprets the feature,[],TRUE
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Phrases_built_on_nouns,[],[],[],TRUE,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' renames the noun 'word' and modifies it with additional information.""
}",['appositives'],"{
  ""Properties"": [""resumptive modifier"", ""summative modifier""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is a resumptive modifier, as it repeats and modifies the noun 'lie'. The phrase 'what it seems to be worth' is a summative modifier, summarizing the preceding clause.""
}","['resumptive_modifier', 'summative_modifier']",FALSE,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive that renames the noun 'word'.""
}",['appositives'],1,['appositives'],1,0,,[],TRUE
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Series,[],[],[],TRUE,[],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence uses the conjunction 'but' to join clauses and lists the pope’s lie, homosexual activity, and assurance with conjunctions.""
}",['polysyndenton'],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The use of 'first place' suggests a gradatio, listing items in a series with an overlapping relationship, implying a chain of causality.""
}",['gradatio'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence contains the use of the polysyndenton, with 'but' and 'that' functioning as conjunctions between the listed clauses, indicating the presence of this specific rhetorical device.""
}",['polysyndenton'],FALSE,"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'but' between 'it follows his astoundingly brazen lie' and 'we can take the assurance for what it seems to be worth' demonstrates the polysyndenton property.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence uses the conjunction 'but' to connect the two clauses, indicating polysyndeton.""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing items without any conjunctions.""
}",['asyndenton'],0,['polysyndenton'],1,0,,[],TRUE
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_argument,[],[],[],TRUE,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example does not include any clear use of antithesis, antimetabole, definition as figure, induction, or eduction. However, it does demonstrate strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict in conservative Ben Shapiro's statement.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The sentence contains strategic repetition of the word 'horrifying', emphasizing the intensity of Ben Shapiro's reaction to the verdict.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the adjective 'horrifying' is strategically repeated to emphasize the intensity of the speaker's reaction to the verdict.""
}",['strategic_repetition'],TRUE,"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'horrifying' in juxtaposition with the conservative viewpoint of Ben Shapiro creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the word 'horrifying' is strategically repeated for emphasis and to convey a strong negative sentiment.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties of Figures of argument. However, it does contain strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict."" 
}",['strategic_repetition'],0,['strategic_repetition'],1,0,GPT is misinterpreting the property. Using it out of context of grammar.,[],TRUE
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Phrases_built_on_nouns,[],[],[],TRUE,[],"{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is a resumptive modifier, as it repeats and refers back to the noun it modifies, 'Ben Shapiro'.""
}",['resumptive_modifier'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive as it renames the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive modifying the noun 'Shapiro.'""
}",['appositives'],FALSE,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro' with additional information.""
}",['appositives'],1,['appositives'],1,0,,[],TRUE
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Phrases_built_on_verbs,[],[],[],TRUE,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence does not contain any infinitive phrases. However, it does contain a participial phrase 'conservative Ben Shapiro,' which is an adjective describing the subject of the sentence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence does not contain any infinitive phrases, but it does contain a participial phrase 'conservative Ben Shapiro told', where 'told' is a past participle, modifying 'Ben Shapiro'.""
}",['participal_phrases'],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'Conservative Ben Shapiro told Fox news' which is built on the verb 'told.'""
}",['participial_phrases'],FALSE,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'told Fox news the verdict was horrifying' contains a participal phrase 'told Fox news', where 'told' is a past participle and 'Fox news' is the direct object.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence does not contain any infinitive phrases, but it does contain a participial phrase 'conservative Ben Shapiro told Fox news', where 'told' is a past participle.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'told Fox news the verdict was “horrifying' contains a participial phrase 'told Fox news', where 'told' is a past participle modifying 'Ben Shapiro'.""
}",['participal_phrases'],1,['participal_phrases'],1,0,,[],TRUE
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Series,[],[],[],TRUE,[],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The use of 'and' before 'horrifying' is absent so it falls under the category of asyndeton.""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The use of 'and' is omitted when listing the adjectives 'horrifying.'""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The use of 'and' is omitted when listing the adjectives 'horrifying'.""
}",['asyndenton'],TRUE,"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The use of 'and' is omitted when listing the adjectives 'horrifying'.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing the actions 'told', 'horrifying' without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The use of 'and' is omitted when listing the adjectives 'horrifying'.""
}",['asyndenton'],1,['asyndenton'],1,0,,[],TRUE
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Tense,['past'],['past'],['past'],TRUE,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the past tense, but the verb 'was' is in the present tense, emphasizing the immediacy of the verdict as well as its impact on the speaker."" 
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence uses the past tense 'was' to express something that already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of the past tense 'was' indicates that the action of 'told' already happened.""
}",['past'],0,"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the present tense, which is often used in news headlines for immediacy effect.""
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'was' indicates that the action has already happened, placing it in the past tense.""
}",['past'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of the present tense in the quote 'the verdict was “horrifying' emphasizes the immediacy and impact of the statement.""
}",['present'],0,['present'],1,0,,['past'],FALSE
