sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Emphasis,['by_sentence_role'],['by_position'],['by_sentence_role'],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The salient elements are placed at the beginning and end of the sentence, giving them the most emphasis.""
}",['by_position'],"{
  ""Properties"": [
    ""by position"",
    ""from inversions""
  ],
  ""Explanation"": ""The sentence begins with 'Muhammad advises' and ends with 'the greatness of his conquests', placing emphasis on these elements. Additionally, the inverted word order 'wherefore the great Temur always strove' is used for emphasis.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence begins with the subject 'Muhammad' and ends with the emphasis on 'greatness of his conquests,' demonstrating the use of emphasis by position. Additionally, the phrase 'as much to acquire that glory' is an example of inversion, violating the normal SVO order.""
}","['by_position', 'from_inversions']",['by_sentence_role'],"['by_position', 'from_inversions']",-1,[],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins by emphasizing 'Muhammad advises the same thing' and ends with emphasizing 'the greatness of his conquests', which indicates the use of emphasis by position.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence employs emphasis by position by placing 'Muhammad advises the same thing' at the beginning, which draws attention to this statement and emphasizes its importance.""
}",['by_position'],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The beginning of the sentence emphasizes 'Muhammad' and 'the great Temur', while the end of the sentence emphasizes 'the greatness of his conquests' by placing them in prominent positions.""
}",['by_position']
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Emphasis,['by_sentence_role'],['by_position'],['by_sentence_role'],"{
  ""Properties"": [
    ""by position"",
    ""by sentence role""
  ],
  ""Explanation"": ""The beginning and end of the sentence are used to emphasize the important elements, and the subjects of the sentences receive the most attention.""
}","['by_position', 'by_sentence_role']","{
  ""Properties"": [
    ""by position"",
    ""by sentence role"",
    ""from inversions"",
    ""combinations""
  ],
  ""Explanation"": ""The writer uses emphasis by position to place salient elements at the beginning and end of the sentence, emphasizes the subject 'pope's word' by sentence role, uses inversion with 'it follows' and 'we can take', and employs a combination of emphasis strategies in one sentence.""
}","['by_position', 'by_sentence_role', 'from_inversions', 'combinations']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The writer uses inversion by placing 'The pope’s word' and 'his astoundingly brazen lie' at the beginning of the sentence, emphasizing these elements. This creates emphasis by position as the salient elements are placed at the beginning and end of the sentence.""
}","['by_position', 'from_inversions']",['by_sentence_role'],"['by_position', 'by_sentence_role']",0,[],"{
  ""Properties"": [""by position"", ""by sentence role""],
  ""Explanation"": ""The sentence uses position to emphasize 'We are simply asked to take the pope’s word for it' by placing it at the beginning. It also emphasizes the subject 'we' by sentence role.""
}","['by_position', 'by_sentence_role']","{
  ""Properties"": [
    ""by position"",
    ""by sentence role""
  ],
  ""Explanation"": ""The sentence places emphasis on 'the pope’s word' by positioning it at the beginning and 'Ricca’s homosexual activity' by placing it at the end. The subject 'the pope’s word' also receives attention as the focus of the sentence.""
}","['by_position', 'by_sentence_role']","{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The sentence places emphasis on the beginning and end, highlighting the idea that the reader is asked to take the pope's word for it, but casting doubt on the assurance by the end of the sentence.""
}",['by_position']
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Emphasis,['by_position'],['by_position'],['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The salient element 'horrifying' is placed at the end of the sentence, giving it emphasis.""
}",['by_position'],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The quote 'horrifying' is placed at the end of the sentence for emphasis, and the normal order of subject, verb, and object is violated with 'the verdict was' at the beginning."" 
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position""],
  ""Explanation"": ""The salient element 'horrifying' is placed at the end of the sentence, receiving the most emphasis.""
}",['by_position'],['by_position'],['by_position'],1,[],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence uses an inversion by placing 'Conservative Ben Shapiro' at the beginning, violating the normal SVO order. Additionally, the salient elements like 'horrifying' are placed at the end of the sentence, creating emphasis by position.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence places the salient element, 'horrifying', at the end, emphasizing this reaction to the verdict. It also uses an inversion by placing 'horrifying' after the verb 'was'.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position""],
  ""Explanation"": ""The word 'horrifying' is placed at the end of the sentence, which emphasizes it as the final and most impactful element.""
}",['by_position']
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Emphasis,['by_position'],['by_position'],['by_position'],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The use of 'According to Breitbart' at the beginning of the sentence and 'could cause violence and disrupt community cohesion' at the end of the sentence emphasize the source of the information and the potential consequences of the speaker's actions.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The beginning of the sentence 'According to Breitbart' emphasizes the source of the information, while the end of the sentence emphasizes the reason for the authorities' action.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The beginning of the sentence focuses on the source of the information, Breitbart, and the end of the sentence emphasizes the reason for the authorities' warning.""
}",['by_position'],['by_position'],['by_position'],1,[],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The emphasis in the sentence is placed at the beginning and end, with 'Sellner' and 'community cohesion' being salient elements, thereby influencing what is emphasized.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with the name 'Sellner', emphasizing the individual who is the subject of the statement.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with the name 'Sellner' and ends with the impact of his speaking at Hyde Park. This placement emphasizes Sellner and the potential consequences of his actions.""
}",['by_position']
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Emphasis,['by_position'],['by_position'],['by_position'],"```json
{
  ""Properties"": [""by position"", ""by sentence role""],
  ""Explanation"": ""The beginning of the sentence emphasizes the violation of Senate Ethics rules, while the subject 'Kendra Arnold' receives attention as the speaker of the statement.""
}
```","['by_position', 'by_sentence_role']","{
  ""Properties"": [""by position"", ""by sentence role""],
  ""Explanation"": ""The phrase 'This is a clear violation' is at the beginning of the sentence, emphasizing the seriousness of the violation. Also, the subject 'Kendra Arnold' receives attention as the speaker of the quote.""
}","['by_position', 'by_sentence_role']","{
  ""Properties"": [""by position""],
  ""Explanation"": ""The beginning of the sentence 'This is a clear violation' emphasizes the idea that a violation has occurred.""
}",['by_position'],['by_position'],"['by_position', 'by_sentence_role']",0,[],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The sentence places emphasis on 'This is a clear violation' at the beginning and 'for political purposes' at the end, using the by position strategy for emphasis.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence emphasizes the clear violation of the Senate Ethics rules by placing it at the beginning of the sentence.""
}",['by_position'],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The use of quotes at the beginning and end of the sentence places emphasis on the statement made by Kendra Arnold, executive director of FACT, by positioning it at the beginning and end of the sentence.""
}",['by_position']
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Emphasis,['by_position'],['by_sentence_role'],['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The beginning of the sentence places emphasis on 'Cardinal Raymond Burke' and the end emphasizes 'those responsible in the Church.'""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The beginning of the sentence emphasizes 'Cardinal Raymond Burke's statement' and the end emphasizes 'those responsible in the Church.'""
}",['by_position'],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence begins with the subject 'Cardinal Raymond Burke' and ends with the emphasis on 'those responsible in the Church.' This positioning emphasizes the importance of the statement and directs attention to specific entities within the sentence."" 
}","['by_position', 'from_inversions']",['by_position'],['by_position'],1,[],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The writer places emphasis at the beginning of the sentence by starting with 'The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart', and at the end of the sentence with 'by those responsible in the Church'.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The emphasis in the sentence is placed at the beginning and end, with 'Cardinal Raymond Burke’s statement' and 'those responsible in the Church' receiving the most attention.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò' and ends with 'in the Church.' The beginning and end of the sentence receive the most emphasis, influencing what is emphasized in the statement.""
}",['by_position']
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Emphasis,['by_position'],['by_position'],['by_position'],"```JSON
{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence starts with 'As a former trial lawyer' to emphasize the speaker's authority, and the inverted structure 'the content of the written notes usually prevails' places emphasis on the written notes.""
}
```","['by_position', 'from_inversions']","{
    ""Properties"": [""by position""],
    ""Explanation"": ""The beginning and end of the sentence receive emphasis, such as 'As a former trial lawyer' at the beginning and 'the content of the written notes usually prevails' at the end.""
}",['by_position'],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The beginning and end of the sentence are used to emphasize the writer's expertise as a former trial lawyer. The inversion 'in a contest between' also draws attention to the comparison being made.""
}","['by_position', 'from_inversions']",['by_position'],"['by_position', 'from_inversions']",0,[],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence uses the structure 'neither...nor...,' placing 'notes' in the beginning and 'memories' at the end. This emphasizes the contrast between the two and highlights the preference for notes over memories in a legal context.""
}",['by_position'],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence places emphasis on the contrast between 'contemporaneous notes' and 'later verbal testimony' by positioning 'contemporaneous notes' at the beginning and using an inversion ('in a contest between...') to highlight the contrast further.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence 'the content of the written notes usually prevails' places emphasis on the written notes by positioning them at the end of the sentence, as well as using an inversion of the typical Subject Verb Object (SVO) order with 'usually prevails'. This inversion emphasizes the idea of the written notes prevailing.""
}","['by_position', 'from_inversions']"
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Emphasis,['by_position'],['by_position'],['by_position'],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The emphasis is achieved through the use of anastrophe in the phrase 'thousands and thousands and thousands and thousands of people' and by positioning the emphasized elements at the end of the sentence, such as 'he emphasized later'.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position"", ""combinations""],
  ""Explanation"": ""The writer emphasizes certain elements by placing them at the beginning and end of the sentence. Additionally, by combining the emphasis on Louis Farrakhan and the repetition of 'thousands and thousands,' the writer further highlights the importance of Louis Farrakhan's influence.""
}","['by_position', 'combinations']","{
  ""Properties"": [""by position""],
  ""Explanation"": ""The writer uses the position at the end of the sentence to emphasize the importance of Louis Farrakhan's role in the lives of thousands of people.""
}",['by_position'],['by_position'],"['by_position', 'from_inversions']",0,[],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The use of the phrase 'I don’t regard Louis Farrakhan as an aberration or anything' at the beginning of the sentence and the repetition of 'thousands and thousands and thousands and thousands of people' at the end of the sentence emphasize the writer's viewpoint and the significance of Farrakhan's influence.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'I don’t regard Louis Farrakhan as an aberration or anything' and ends with 'thousands and thousands and thousands and thousands of people,' placing emphasis on these key elements by their position in the sentence.""
}",['by_position'],"{
  ""Properties"": [
    ""by position"",
    ""by sentence role""
  ],
  ""Explanation"": ""The sentence places emphasis on Louis Farrakhan by positioning his name at the beginning, and it emphasizes the subject 'he' by placing it at the end of the sentence.""
}","['by_position', 'by_sentence_role']"
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Emphasis,['by_position'],['by_sentence_role'],['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with the name 'John Hancock', placing emphasis on this person as the subject of the sentence.""
}",['by_position'],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The phrase 'John Hancock, the first signer of the Declaration of Independence,' is placed at the beginning of the sentence, giving it the most emphasis.""
}",['by_position'],"{
  ""Properties"": [""by position"", ""by sentence role""],
  ""Explanation"": ""The beginning of the sentence 'John Hancock' and the end of the sentence 'said' receive emphasis, as well as the subject of the sentence 'John Hancock'.""
}","['by_position', 'by_sentence_role']",['by_position'],['by_position'],1,[],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The phrase 'John Hancock' is placed at the beginning of the sentence, receiving emphasis as the subject of the statement.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The emphasis is placed at the beginning of the sentence on 'John Hancock' by positioning it as the first element, giving it more attention and emphasis.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The salient element 'John Hancock' is placed at the beginning of the sentence, receiving emphasis by position.""
}",['by_position']
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Emphasis,['by_position'],['by_position'],['by_position'],"{
  ""Properties"": [""by sentence role""],
  ""Explanation"": ""The subject 'Ms. Ford' receives the most attention in the sentence.""
}",['by_sentence_role'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The beginning of the sentence 'She said Thursday regarding Ms. Ford' receives emphasis by positioning the main action at the start.""
}",['by_position'],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The phrase 'regarding Ms. Ford' is placed at the beginning of the sentence to emphasize its importance. The normal order of Subject Verb Object is also violated in the sentence, using the inversion strategy.""
}","['by_position', 'from_inversions']",['by_position'],['by_sentence_role'],-1,[],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence places emphasis on the statement 'I believe her' by positioning it at the beginning, influencing the emphasis on this assertion.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The beginning and end of the sentence receive the most emphasis. In this sentence, the mention of 'Thursday' and the quote 'I believe her because she is telling the truth and you know it by her story' appear at the beginning and end, respectively, influencing what is emphasized.""
}",['by_position'],"{
  ""Properties"": [
    ""by position"",
    ""from inversions""
  ],
  ""Explanation"": ""The sentence shows emphasis by position as it starts with 'She said Thursday' and ends with 'by her story.' Additionally, there is an inversion in the phrase 'Thursday regarding Ms. Ford', violating the normal order of Subject Verb Object (SVO).""
}","['by_position', 'from_inversions']"
