sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Figures_of_argument,[],[],['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage includes the strategic repetition of the phrase 'according to the tradition'."" 
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition with the phrase 'Muhammad advises the same thing' being repeated at the beginning and end of the sentence.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains the strategic repetition of 'according to the tradition of the Muslim doctors' and 'to acquire that glory, as to signalise himself by the greatness of his conquests.'""
}",['strategic_repetition'],[],['strategic_repetition'],-1,[],"{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The passage contains a strategic repetition of the idea that Muhammad advises the same thing, emphasizing the significance of the advice in the tradition of the Muslim doctors and in Temur's actions.""
}",['strategic_repetition'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'wherefore the great Temur always strove to exterminate the infidels' followed by 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' presents an argument from opposites, contrasting the motivations for Temur's actions.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites, contrasting the advice of Muhammad with the actions of Temur to exterminate the infidels for glory and conquest.""
}",['antithesis']
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Figures_of_argument,['eduction'],[],[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of strategic repetition is evident in the repeated phrase 'take the pope's word for it'.""
}",['strategic_repetition'],"```json
{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage uses strategic repetition by repeating the phrase 'take the' and 'for what it seems to be worth'.""
}
```",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage uses strategic repetition with the phrase 'we are simply asked to take', 'we can take the assurance', and 'for what it seems to be worth'.""
}",['strategic_repetition'],[],['strategic_repetition'],-1,[],"{
  ""Properties"": [""antimetabole""],
  ""Explanation"": ""The sentence 'take the assurance for what it seems to be worth' is an example of antimetabole, as it transposes the arguments in a phrase.""
}",['antimetabole'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'given that it follows his astoundingly brazen lie' sets up an argument from opposites, contrasting the pope's word with the lie.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses an argument from opposites, contrasting the pope's word with his alleged lie about evidence for Ricca's homosexual activity.""
}",['antithesis']
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_argument,[],[],[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of the phrase 'horrifying' in response to the current verdict is an example of antithesis, as it presents opposing or contrasting ideas within a short sentence.""
}",['antithesis'],"``` 
{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro told' is repeated at the beginning of the sentence for emphasis.""
}
```",['strategic_repetition'],"{
  ""Properties"": [
    ""strategic repetition"",
    ""eduction""
  ],
  ""Explanation"": ""The text does not use antithesis, antimetabole, definition as figure, or induction. However, it does use strategic repetition by repeating the word 'horrifying' for emphasis. It also uses eduction by generating the conclusion that Ben Shapiro found the verdict horrifying based on his statement on Fox news.""
}","['strategic_repetition', 'eduction']",[],['antithesis'],-1,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The example does not include any clear use of antithesis, antimetabole, definition as figure, induction, or eduction. However, it does demonstrate strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict in conservative Ben Shapiro's statement.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The sentence contains strategic repetition of the word 'horrifying', emphasizing the intensity of Ben Shapiro's reaction to the verdict.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the adjective 'horrifying' is strategically repeated to emphasize the intensity of the speaker's reaction to the verdict.""
}",['strategic_repetition']
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Figures_of_argument,['eduction'],[],[],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The use of 'violence and disrupt community cohesion' presents an argument from opposites.""
}",['antithesis'],"``` 
{
  ""Properties"": [""strategic repetition"", ""antithesis""],
  ""Explanation"": ""The use of the phrase 'detention centre' is strategically repeated within the passage. Additionally, the use of 'violence and disrupt community cohesion' creates an antithesis by contrasting the potential effects of the speaker's actions.""
}
```","['strategic_repetition', 'antithesis']","{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The use of the phrase 'his speaking at Hyde Park could cause violence and disrupt community cohesion' is strategically repeated for emphasis and to reinforce the point being made.""
}",['strategic_repetition'],[],['antithesis'],-1,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of the phrase 'akin to a typical American prison' presents an antithesis by juxtaposing the detention centre with a typical American prison to highlight their differences or similarities.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'typical American prison' and 'Hyde Park' creates a contrast or opposition, demonstrating the use of antithesis in the passage.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'looking akin to a typical American prison' and 'could cause violence and disrupt community cohesion' presents an argument from opposites, creating a contrast between the detention center and the potential effects of Sellner speaking at Hyde Park.""
}",['antithesis']
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Figures_of_argument,['defintion_as_figure'],[],['defintion_as_figure'],"```json
{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition with the repeated use of 'Senate Ethics rules' and 'cashing in' to emphasize the point.""
}
```",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The repetition of the phrase 'Senate Ethics rules' emphasizes the significance and impact of the violation.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The strategic repetition of the phrase 'official position' emphasizes the importance and seriousness of the violation being discussed.""
}",['strategic_repetition'],['defintion_as_figure'],['strategic_repetition'],-1,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of the opposites 'appearance' and 'actuality' in the phrase 'safeguard against the appearance or actuality' represents a clear use of antithesis, an argument from opposites.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the repetition of 'violation' and 'official' within the sentence qualifies this as a strategic repetition.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The statement uses strategic repetition by repeating the concept of 'violation' in the phrase 'clear violation' and effectively reinforces the idea of wrongdoing.""
}",['strategic_repetition']
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Figures_of_argument,[],[],[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites is demonstrated in the statement 'totally taken to heart'""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'The declarations made by a prelate' is strategically repeated within the passage.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains the strategic repetition of the phrase 'The declarations made by a prelate of the authority'.""
}",['strategic_repetition'],[],['strategic_repetition'],-1,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by juxtaposing the idea of 'totally taken to heart' with 'those responsible in the Church', creating a contrast between the actions and the recipients of those actions.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement contains an antithesis, as it presents an argument from opposites - the declarations made by Archbishop Viganò must be totally taken to heart by those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The property of strategic repetition is used in the statement with the repetition of the phrase 'must be totally taken to heart'.""
}",['strategic_repetition']
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Figures_of_argument,[],['strategic_repetition'],[],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The use of 'neither notes nor memories' creates an argument from opposites, making this an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition"", ""antimetabole""],
  ""Explanation"": ""The use of the phrase 'neither notes nor memories' and the repetition of 'contemporaneous notes' and 'later verbal testimony' demonstrate strategic repetition. The inversion of the arguments in the phrase 'neither notes nor memories are infallible' is an example of antimetabole.""
}","['strategic_repetition', 'antimetabole']","{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The text contains strategic repetition in the phrase 'neither notes nor memories' and 'the content of the written notes'.""
}",['strategic_repetition'],[],['antithesis'],-1,[],"{
  ""Properties"": [
    ""induction""
  ],
  ""Explanation"": ""The use of induction is evident in the passage as it presents a conclusion from the specific (contemporaneous notes) to the general (content of the written notes usually prevails).""
}",['induction'],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The statement presents an argument from opposites by contrasting the reliability of contemporaneous notes with later verbal testimony about those notes.""
}",['antithesis'],"{
  ""Properties"": [
    ""induction""
  ],
  ""Explanation"": ""The statement makes a generalization that in a contest between contemporaneous notes and later verbal testimony, the content of the written notes usually prevails, which is a conclusion drawn from specific examples or instances.""
}",['induction']
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Figures_of_argument,['strategic_repetition'],['strategic_repetition'],['strategic_repetition'],"{
  ""Properties"": [""strategic repetition"", ""definition as figure""],
  ""Explanation"": ""The passage uses strategic repetition in the phrase 'thousands and thousands and thousands and thousands' to emphasize the large number of people impacted. It also sets forth the full meaning and character of Louis Farrakhan as an 'outstanding human being who commands a following of individuals who are learned and articulate.'""
}","['strategic_repetition', 'defintion_as_figure']","``` 
{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text contains strategic repetition with the phrase 'thousands and thousands and thousands and thousands of people.'""
}
```",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage features the strategic repetition of the phrase 'thousands and thousands and thousands and thousands.'""
}",['strategic_repetition'],['strategic_repetition'],['strategic_repetition'],1,[],"{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The text exhibits strategic repetition through the repetition of the phrase 'thousands and thousands and thousands and thousands' to emphasize the large number of people influenced by Louis Farrakhan.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage includes the strategic repetition of 'thousands and thousands and thousands and thousands' to emphasize the large following of Louis Farrakhan.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text contains strategic repetition of the phrase 'thousands and thousands and thousands and thousands' for emphasis.""
}",['strategic_repetition']
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Figures_of_argument,[],[],[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The repetition of the phrase 'John Hancock' within the passage qualifies as strategic repetition.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The phrase 'John Hancock' is strategically repeated in the example text.""
}",['strategic_repetition'],"``` 
Properties: [""strategic repetition""]
Explanation: The phrase ""the first signer of the Declaration of Independence"" is strategically repeated in order to emphasize the significance of John Hancock's role. 
```",['strategic_repetition'],[],['strategic_repetition'],-1,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of the phrase 'the first signer of the Declaration of Independence' sets up an antithesis between John Hancock and the other signers, emphasizing his unique position.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' creates an antithesis by setting up a contrast between the 'first' and the subsequent signers of the Declaration of Independence.""
}",['antithesis'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The text provides a definition of John Hancock as the first signer of the Declaration of Independence.""
}",['defintion_as_figure']
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Figures_of_argument,[],[],[],"{
  ""Properties"": [""strategic repetition"", ""antithesis""],
  ""Explanation"": ""The use of 'I believe her because' followed by 'she is telling the truth' is a form of strategic repetition. Additionally, the use of 'I believe her because' followed by 'you know it by her story' is an example of antithesis, as it presents two opposing ideas in the same sentence.""
}","['strategic_repetition', 'antithesis']","```{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'I believe her' and 'you know it by her story' presents an argument from opposites, which is an example of antithesis.""
}```",['antithesis'],"{
  ""Properties"": [""strategic repetition"", ""definition as figure""],
  ""Explanation"": ""The use of 'I believe her' and 'her story' in close proximity demonstrates strategic repetition, while the statement 'she is telling the truth' sets forth the full meaning and character of Ms. Ford's credibility in a lucid and succinct manner.""
}","['strategic_repetition', 'defintion_as_figure']",[],"['strategic_repetition', 'antithesis']",-1,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by presenting two contrasting ideas: 'I believe her because she is telling the truth' vs 'you know it by her story.'""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'I believe her' and 'you know it by her story' presents an argument from opposites, emphasizing the contrast between the speaker's belief and the listener's supposed knowledge.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'I believe her' and 'you know it' presents an argument from opposites, emphasizing the contrast between belief and knowledge.""
}",['antithesis']
