sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Figures_of_word_choice,[],[],"['emphasis', 'polyptoton']","{
  ""Properties"": [""synonyms""],
  ""Explanation"": ""The use of 'exterminate' as a synonym for 'annihilate' emphasizes the intent to completely destroy the infidels.""
}",['synonyms'],"{
  ""Properties"": [""metaplasms""],
  ""Explanation"": ""The word 'Muhammad' is a metaplasm of 'Mohammed' which is the more common spelling in English, emphasizing a deviation from the standard form.""
}",['metaplasms'],"{
  ""Properties"": [""metaplasms""],
  ""Explanation"": ""The use of the word 'Temur' instead of the more common 'Tamerlane' is a form of metaplasm, emphasizing a deviation from the standard form.""
}",['metaplasms'],[],['metaplasms'],-1,[],"{
  ""Properties"": [""polyptoton""],
  ""Explanation"": ""The repetition of 'the' in 'the tradition of the Muslim doctors' and 'the greatness of his conquests' shows the use of polyptoton.""
}",['polyptoton'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The emphasis property is used here, as the leading words 'the great Temur' suggest more than is actually stated, implying a sense of grandeur and significance to his actions.""
}",['emphasis'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The statement 'wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests' presents a rhetorical conditional with 'wherefore' introducing the antecedent and 'as much to...as to' providing the consequent, creating a conditional statement where the antecedent is somewhat absurd in its implied reasoning.""
}",['rhetorical_conditional']
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Figures_of_word_choice,[],['emphasis'],['emphasis'],"{
  ""Properties"": [""polyptoton""],
  ""Explanation"": ""The repetition of 'take' and 'worth' in different forms ('take' and 'taken', 'worth' and 'worth')"" 
}",['polyptoton'],"``` 

{
  ""Properties"": [""anatanaclasis""],
  ""Explanation"": ""The use of the word 'word' is repeated but has different meanings in each instance, creating a pun.""
}
```",['anatanaclasis'],"``` 
{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of leading words like 'seems to be worth' suggests more than is actually stated, allowing for deniability.""
}
```",['emphasis'],['emphasis'],['polyptoton'],-1,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'astoundingly brazen lie' and 'assurance for what it seems to be worth' suggests that the speaker is using leading words to imply more than is actually stated, allowing for plausible deniability.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of leading words 'for what it seems to be worth' suggests more than is actually stated, allowing the speaker to benefit from an implication while allowing deniability.""
}",['emphasis'],"{
  ""Properties"": [""correctio"", ""emphasis""],
  ""Explanation"": ""The use of 'astoundingly brazen lie' followed by 'we can take the assurance for what it seems to be worth' introduces alternative connotations and emphasizes the doubt of the speaker.""
}","['correctio', 'emphasis']"
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_word_choice,['emphasis'],[],[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'horrifying' suggests a stronger emotion than just 'bad' or 'unfortunate', allowing the speaker to benefit from an implication while allowing deniability.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The word 'horrifying' is used to emphasize the speaker's strong reaction to the verdict, suggesting more than is actually stated.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'horrifying' suggests a strong negative reaction to the verdict without explicitly stating it, allowing for deniability if needed.""
}",['emphasis'],[],['emphasis'],-1,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'horrifying' implies a strong negative reaction, but leaves it to the audience to infer the specific details or reasons for the reaction.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'horrifying' emphasizes the strong negative sentiment towards the verdict.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'horrifying' is an example of emphasis, as it conveys a strong negative sentiment, possibly going beyond what is directly stated.""
}",['emphasis']
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Figures_of_word_choice,"['emphasis', 'synonyms']",[],[],"``` 
        {
            ""Properties"": [""metaplasms"", ""rhetorical conditional""],
            ""Explanation"": ""The use of 'akin' instead of 'like' is a metaplasm, demonstrating a deviation from the standard form. The phrase 'could cause violence and disrupt community cohesion' is a rhetorical conditional, as it presents an if/then statement with an absurd antecedent.""
        }
```","['metaplasms', 'rhetorical_conditional']","{
  ""Properties"": [""metaplasms"", ""emphasis""],
  ""Explanation"": ""The use of 'akim' instead of 'akin' in the phrase 'looking akin to' is an example of metaplasms. The choice of words such as 'could cause violence' and 'disrupt community cohesion' suggests more than is actually stated, emphasizing the potential negative impact of the speaker's actions.""
}","['metaplasms', 'emphasis']","{
  ""Properties"": [""metaplasms"", ""synonyms""],
  ""Explanation"": ""The use of 'akin to' instead of 'like' is a metaplasm, while the substitution of 'detention centre' for 'typical American prison' is an example of synonyms, which changes the connotation.""
}","['metaplasms', 'synonyms']",[],"['metaplasms', 'rhetorical_conditional']",-1,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'akin to a typical American prison' emphasizes the comparison between the detention center and a prison, implying negative connotations associated with American prisons without explicitly stating it.""
}",['emphasis'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The use of the hypothetical 'could' in the statement 'his speaking at Hyde Park could cause violence' forms a rhetorical conditional, suggesting a possible consequence if the action were to occur.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of words like 'detention centre', 'American prison', 'violence', and 'disrupt community cohesion' suggests a negative and potentially alarming situation, thus employing emphasis to convey a particular message.""
}",['emphasis']
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Figures_of_word_choice,"['emphasis', 'polyptoton']",['emphasis'],['emphasis'],"{
  ""Properties"": [""rhetorical conditional"", ""emphasis""],
  ""Explanation"": ""The sentence contains a rhetorical conditional ('if/then' statement) and the use of leading words that suggest more than is actually stated, allowing for implications without direct accusation.""
}","['rhetorical_conditional', 'emphasis']","{
  ""Properties"": [""synonyms""],
  ""Explanation"": ""The use of 'safeguard against' instead of 'prevent' or 'prohibit' changes the connotation and implies a more proactive effort to protect against 'cashing in' on official position.""
}",['synonyms'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'cashing in' and 'official position for political purposes' suggests more than is actually stated, allowing for implication and plausible deniability.""
}",['emphasis'],['emphasis'],"['rhetorical_conditional', 'emphasis']",0,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'cashing in' emphasizes the unethical behavior and suggests that the elected officials are benefiting financially from their position, without explicitly stating it.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of quotation marks around 'cashing in' emphasizes the phrase and suggests that it has a deeper or different meaning than just the literal interpretation, indicating that there may be some criticism or implication within the phrase.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'cashing in' emphasizes the idea of personal gain and ethical misconduct without making a direct accusation, allowing for deniability.""
}",['emphasis']
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Figures_of_word_choice,['emphasis'],[],[],"{
  ""Properties"": [""correctio""],
  ""Explanation"": ""The use of 'declarations made' followed by 'a prelate' suggests a correction or alternative interpretation, allowing the speaker to introduce different connotations.""
}",['correctio'],"{
  ""Properties"": [""emphasis"", ""rhetorical conditional""],
  ""Explanation"": ""The use of leading words 'must be totally taken to heart' suggests more than is actually stated, allowing for deniability. The statement also contains a rhetorical conditional with 'must be' implying an absurd antecedent if not followed.""
}","['emphasis', 'rhetorical_conditional']","{
  ""Properties"": [""metaplasms"", ""synonyms""],
  ""Explanation"": ""The use of 'prelate' instead of 'official' is a form of metaplasm, emphasizing the specific authority of the individual. Additionally, the substitution of 'official' with 'prelate' is a use of synonyms to alter the connotation of the sentence.""
}","['metaplasms', 'synonyms']",[],['correctio'],-1,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the phrase 'must be totally taken to heart' emphasizes the importance and seriousness of Archbishop Carlo Maria Viganò's declarations."" 
}",['emphasis'],"{
  ""Properties"": [
    ""emphasis""
  ],
  ""Explanation"": ""The statement uses leading words suggesting that the declarations must be taken very seriously, without explicitly stating it.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'totally' emphasizes the importance and seriousness of considering the declarations made by Archbishop Carlo Maria Viganò.""
}",['emphasis']
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Figures_of_word_choice,['ploce'],[],['emphasis'],"{
  ""Properties"": [""correctio""],
  ""Explanation"": ""The speaker makes a mistake by saying 'neither notes nor memories are infallible' and then corrects it by stating that 'the content of the written notes usually prevails'. This deliberate mistake and correction introduces an alternative connotation or interpretation.""
}",['correctio'],"{
  ""Properties"": [""ploce""],
  ""Explanation"": ""The word 'notes' is repeated throughout the passage to emphasize its importance in the context of the statement.""
}",['ploce'],"```json
{
  ""Properties"": [""correctio"", ""emphasis""],
  ""Explanation"": ""The speaker uses the phrase 'neither notes nor memories' and then immediately corrects themselves by stating 'the content of the written notes usually prevails', thereby introducing an alternative connotation and implying that written notes are more reliable.""
}
```","['correctio', 'emphasis']",['ploce'],['correctio'],-1,[],"{
  ""Properties"": [""synonyms"", ""emphasis""],
  ""Explanation"": ""The use of 'notes' and 'verbal testimony' as synonyms emphasizes the importance of written notes over later verbal testimony.""
}","['synonyms', 'emphasis']","{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The statement emphasizes the superiority of contemporaneous notes over later verbal testimony, suggesting the written notes as more reliable without explicitly stating it.""
}",['emphasis'],"{
  ""Properties"": [
    ""emphasis""
  ],
  ""Explanation"": ""The use of the phrase 'the content of the written notes usually prevails' is an example of emphasis, as it suggests that written notes hold more weight than verbal testimony without explicitly stating it.""
}",['emphasis']
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Figures_of_word_choice,"['emphasis', 'ploce']","['emphasis', 'ploce']",['emphasis'],"{
  ""Properties"": [
    ""ploce"",
    ""emphasis""
  ],
  ""Explanation"": ""The repetition of 'thousands and thousands and thousands and thousands' is an example of ploce. The emphasis on Louis Farrakhan being an outstanding human being and playing a big role in the lives of thousands of people is an example of emphasis, where leading words suggest more than is actually stated.""
}","['ploce', 'emphasis']","```json
        {
            ""Properties"": [""ploce"", ""emphasis""],
            ""Explanation"": ""The repetition of 'thousands and thousands and thousands and thousands' is an example of ploce. The emphasis on Farrakhan being 'an outstanding human being' and 'who commands a following of individuals who are learned and articulate' is an example of emphasis.""
        }
```","['ploce', 'emphasis']","{
  ""Properties"": [""anatanaclasis"", ""emphasis""],
  ""Explanation"": ""The use of 'outstanding' with two different meanings in the same sentence is an example of anatanaclasis, and the repetition of 'thousands and thousands' emphasizes the large number of people influenced by Farrakhan.""
}","['anatanaclasis', 'emphasis']","['emphasis', 'ploce']","['ploce', 'emphasis']",0,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of the word 'outstanding' and the repetition of 'thousands and thousands' emphasize the speaker's positive view of Louis Farrakhan and the impact of his influence.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The speaker uses the word 'thousands' repeated multiple times to emphasize the significant number of people impacted by Louis Farrakhan, suggesting a larger impact than what is explicitly stated.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The speaker emphasizes the positive qualities of Louis Farrakhan without explicitly stating them, benefiting from the implication while allowing deniability.""
}",['emphasis']
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Figures_of_word_choice,['emphasis'],[],[],"``` 
{
  ""Properties"": [""metaplasms""],
  ""Explanation"": ""The word 'signer' is constructed by adding or changing letters (subtracting the 'e' and adding 'er') in the standard form of the word 'sign'. This emphasizes a deviation from the standard form.""
}
```",['metaplasms'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The use of 'said' implies that a statement or quote will follow, creating a conditional expectation for the reader.""
}",['rhetorical_conditional'],"{
  ""Properties"": [""rhetorical conditional""],
  ""Explanation"": ""The phrase 'the first signer' introduces a rhetorical conditional as it implies that there were multiple signers, which is a fact.""
}",['rhetorical_conditional'],[],['rhetorical_conditional'],-1,[],"{
  ""Properties"": [""polyptoton""],
  ""Explanation"": ""The use of the phrase 'first signer' involves the repetition of the word 'signer' in different form ('signer' and 'signed')""
}",['polyptoton'],"{
  ""Properties"": [
    ""agnominatio"",
    ""correctio""
  ],
  ""Explanation"": ""The use of the name 'John Hancock' is a form of agnominatio, as it is a play on words due to his famous signature. Additionally, the mention of him as 'the first signer of the Declaration of Independence' introduces a sense of correctio, as it corrects any potential misunderstanding about his significance.""
}","['agnominatio', 'correctio']","{
  ""Properties"": [
    ""correctio""
  ],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' is a correctio as it corrects and specifies who John Hancock was in case the reader is not familiar.""
}",['correctio']
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Figures_of_word_choice,['emphasis'],[],['emphasis'],"{
  ""Properties"": [""ploce"", ""emphasis""],
  ""Explanation"": ""The repetition of the word 'her' in the sentence emphasizes the speaker's belief in Ms. Ford's truthfulness and adds emphasis to the statement, making it more convincing.""
}","['ploce', 'emphasis']","``` 
{
  ""Properties"": [""ploce"", ""emphasis""],
  ""Explanation"": ""The repetition of 'her' and the use of leading words like 'you know it' suggest a use of ploce and emphasis in the example text.""
}
```","['ploce', 'emphasis']","``` 
{
  ""Properties"": [""ploce"", ""emphasis""],
  ""Explanation"": ""The repetition of 'her' and 'truth' throughout the passage is an example of ploce. The emphasis placed on 'you know it' suggests more than is actually stated, making use of emphasis.""
}
```","['ploce', 'emphasis']",['emphasis'],"['ploce', 'emphasis']",0,[],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The use of 'you know it' implies that the listener already knows the truth of Ms. Ford's story, adding emphasis to the speaker's belief in her truthfulness.""
}",['emphasis'],"{
  ""Properties"": [""emphasis""],
  ""Explanation"": ""The speaker uses leading words 'and you know it' which suggest more than is actually stated, allowing for implication without direct assertion.""
}",['emphasis'],"{
  ""Properties"": [
    ""emphasis""
  ],
  ""Explanation"": ""The use of 'you know it' suggests that the speaker is implying that the listener should already know the truth based on the story, implying more than is actually stated.""
}",['emphasis']
