sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity']","{
  ""Properties"": [""clarity"", ""high"", ""allusions""],
  ""Explanation"": ""The text is written in formal English, making it clear and understandable to a wider audience, and it contains an allusion to the tradition of the Muslim doctors, requiring cultural knowledge to fully understand.""
}","['clarity', 'high', 'allusions']","{
  ""Properties"": [""correctness"", ""appropriateness"", ""allusions""],
  ""Explanation"": ""The text is grammatically correct, culturally appropriate, and contains an allusion to the tradition of the Muslim doctors.""
}","['correctness', 'appropriateness', 'allusions']","{
  ""Properties"": [""correctness"", ""clarity"", ""allusions""],
  ""Explanation"": ""The text is well formed grammatically and is understandable to the intended audience. It also contains an allusion to the tradition of the Muslim doctors, requiring cultural knowledge to fully understand.""
}","['correctness', 'clarity', 'allusions']","['correctness', 'clarity']","['clarity', 'high', 'allusions']",0,[],"{
  ""Properties"": [""correctness"", ""clarity"", ""maxims/proverbs"", ""allusions""],
  ""Explanation"": ""The text is well-formed grammatically and understandable to the intended audience. It also contains a maxim or proverb ('the tradition of the Muslim doctors') and an allusion to historical and cultural knowledge (Temur's conquests) which requires understanding of the context.""
}","['correctness', 'clarity', 'maxims/proverbs', 'allusions']","{
  ""Properties"": [""allusions""],
  ""Explanation"": ""The text makes an allusion to 'the tradition of the Muslim doctors' without explicitly naming the other context, requiring cultural knowledge to understand the reference.""
}",['allusions'],"{
  ""Properties"": [""allusions"", ""high""],
  ""Explanation"": ""The text makes an allusion to the tradition of the Muslim doctors, which requires cultural and historical knowledge to understand. Additionally, the language used is formal and grand, typical of historical or scholarly texts.""
}","['allusions', 'high']"
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Language_varieties,"['correctness', 'forcefulness']","['correctness', 'clarity', 'forcefulness']","['correctness', 'clarity']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""allusions""],
  ""Explanation"": ""The text is grammatically well-formed, understandable to the intended audience, uses striking expression to reinforce the message, and makes an allusion to the pope's previous lie.""
}","['correctness', 'clarity', 'forcefulness', 'allusions']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""middle""],
  ""Explanation"": ""The text is well-formed grammatically, understandable, uses standard edited American English, and contains a forceful expression that reinforces the message.""
}","['correctness', 'clarity', 'forcefulness', 'middle']","{
  ""Properties"": [
    ""correctness"",
    ""clarity"",
    ""forcefulness"",
    ""allusions""
  ],
  ""Explanation"": ""The text is well formed grammatically, understandable to the intended audience, includes memorable or striking expression, and makes an allusion to the pope's credibility.""
}","['correctness', 'clarity', 'forcefulness', 'allusions']","['correctness', 'forcefulness']","['correctness', 'clarity', 'forcefulness', 'allusions']",0,[],"{
  ""Properties"": [""clarity"", ""forcefulness"", ""appropriateness""]
}

  
 	","['clarity', 'forcefulness', 'appropriateness']","{
  ""Properties"": [""clarity"", ""forcefulness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it contains a forceful expression ('astoundingly brazen lie') which reinforces the message.""
}","['clarity', 'forcefulness']","{
  ""Properties"": [
    ""clarity"",
    ""forcefulness""
  ],
  ""Explanation"": ""The text is forceful in its expression, using words like 'astoundingly brazen lie' to reinforce the message. It is also relatively clear in its meaning and understandable to the intended audience.""
}","['clarity', 'forcefulness']"
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity', 'middle']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable, using appropriate language for the context of a news report.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""middle""],
  ""Explanation"": ""The text is clear and easily understandable for the intended audience, and it uses standard edited American English.""
}","['clarity', 'middle']","``` 
{
  ""Properties"": [""clarity"", ""middle""],
  ""Explanation"": ""The text is easily understandable and uses standard edited American English""
}
```","['clarity', 'middle']","['correctness', 'clarity']","['clarity', 'middle']",0,[],"{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The statement is clear and understandable to the intended audience, and it is appropriate for the context of a news report on Fox.""  
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The sentence is clear and understandable to the intended audience, and it is appropriate for a news context in terms of language use.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""forcefulness""]
  }
  
  ","['clarity', 'forcefulness']"
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Language_varieties,"['clarity', 'forcefulness', 'appropriateness']","['correctness', 'clarity']","['correctness', 'clarity', 'middle']","{
    ""Properties"": [
        ""correctness"",
        ""clarity"",
        ""appropriateness""
    ],
    ""Explanation"": ""The text is well-formed grammatically, understandable, and tied to cultural norms of propriety.""
}","['correctness', 'clarity', 'appropriateness']","{
  ""Properties"": [
    ""clarity"",
    ""middle""
  ],
  ""Explanation"": ""The text is written in Standard Edited American English and is clearly understandable to the intended audience.""
}","['clarity', 'middle']","``` 
{
  ""Properties"": [""correctness"", ""appropriateness"", ""middle"", ""allusions""],
  ""Explanation"": ""The text is well formed grammatically and follows the conventions of standard edited American English. It is also appropriate for a news text and makes an allusion to a typical American prison.""
}
```","['correctness', 'appropriateness', 'middle', 'allusions']","['clarity', 'forcefulness', 'appropriateness']","['correctness', 'clarity', 'appropriateness']",0,[],"{
  ""Properties"": [""clarity""],
  ""Explanation"": ""The sentence is clear and easily understandable to the intended audience, using standard English and familiar vocabulary and structure.""
}",['clarity'],"{
  ""Properties"": [""clarity""],
  ""Explanation"": ""The text is written in a clear and understandable manner, making it easy for the intended audience to comprehend the message.""
}",['clarity'],"{
  ""Properties"": [
    ""clarity"",
    ""appropriateness""
  ],
  ""Explanation"": ""The text is clear and easily understandable, and it adheres to the cultural norms of propriety by reporting a statement made by an individual without using low or forceful language. The language used is appropriate for a news article."" 
}","['clarity', 'appropriateness']"
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Language_varieties,"['clarity', 'low']","['correctness', 'clarity']","['middle', 'correctness', 'clarity', 'appropriateness', 'forcefulness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience (those familiar with political language). It is also appropriate in the context of a formal statement about Senate Ethics rules.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is grammatically correct, clear, and appropriate for the formal context of discussing Senate Ethics rules.""
}","['correctness', 'clarity', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""appropriateness"", ""middle""],
  ""Explanation"": ""The text is well formed grammatically, understandable to the intended audience, uses formal and widely accepted conventions, and reinforces its message by using strong language against a violation of ethics.""
}","['correctness', 'clarity', 'forcefulness', 'appropriateness', 'middle']","['clarity', 'low']","['clarity', 'appropriateness']",0,[],"{
  ""Properties"": [""clarity"", ""appropriateness"", ""forcefulness""],
  ""Explanation"": ""The statement is clear and easily understandable to the intended audience. It also adheres to the cultural norms of propriety by using formal language suited for discussing Senate Ethics rules. The use of forceful language reinforces the seriousness of the violation."" 
}","['clarity', 'appropriateness', 'forcefulness']","{
  ""Properties"": [""clarity"", ""appropriateness"", ""middle""]
}

  ","['clarity', 'appropriateness', 'middle']","{
  ""Properties"": [
    ""clarity"",
    ""appropriateness""
  ],
  ""Explanation"": ""The sentence is clear and understandable to the intended audience, using standard language. It is also appropriate as it follows the cultural norms of propriety regarding political discourse and ethics.""
}","['clarity', 'appropriateness']"
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity', 'high', 'forcefulness']","{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is well-formed grammatically, understandable, and tied to the cultural norms of propriety within the context of the Church.""
}","['correctness', 'clarity', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is well-formed grammatically, clear and understandable to the intended audience, and appropriate for a formal statement by a high-ranking religious figure.""
}","['correctness', 'clarity', 'appropriateness']","{
    ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""high""],
    ""Explanation"": ""The text is grammatically correct and uses formal language typical of scholarly publications. It is clear and forceful in its expression, conveying a strong message to the intended audience.""
}","['correctness', 'clarity', 'forcefulness', 'high']","['correctness', 'clarity']","['correctness', 'clarity', 'appropriateness']",0,[],"{
  ""Properties"": [""appropriateness"", ""clarity""]
}
  
  ","['appropriateness', 'clarity']","{
  ""Properties"": [
    ""formal""
  ],
  ""Explanation"": ""The text is written in a formal style, using standard language typical of reputable sources such as newspapers and official statements.""
}",['formal'],"{
  ""Properties"": [""clarity"", ""appropriateness"", ""high""]
}

 ","['clarity', 'appropriateness', 'high']"
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity', 'forcefulness', 'middle']","{
  ""Properties"": [
    ""correctness"",
    ""clarity"",
    ""forcefulness"",
    ""appropriateness"",
    ""high""
  ],
  ""Explanation"": ""The text is well-formed grammatically (correctness), understandable to the intended audience (clarity), uses memorable and striking expressions (forcefulness), is tied to the cultural norms of propriety (appropriateness), and is written in formal English (high)."" 
}","['correctness', 'clarity', 'forcefulness', 'appropriateness', 'high']","``` 
        {
            ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""middle""],
            ""Explanation"": ""The text is well formed grammatically, understandable to the intended audience, and uses standard edited American English, typical of reputable newspapers.""
        }
```","['correctness', 'clarity', 'forcefulness', 'middle']",timeout,[],"['correctness', 'clarity']","['correctness', 'clarity', 'forcefulness', 'appropriateness', 'high']",0,[],"{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""appropriateness""]
}","['correctness', 'clarity', 'forcefulness', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""appropriateness""]
}

  
 ","['correctness', 'clarity', 'forcefulness', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""appropriateness"", ""maxims/proverbs""],
  ""Explanation"": ""The text is well formed grammatically (correctness) and is easily understandable to the intended audience (clarity). The use of the phrase 'neither notes nor memories are infallible' expresses common wisdom (maxims/proverbs). The message is reinforced through forceful and memorable expression (forcefulness). The statement is tied to cultural norms of propriety for legal statements (appropriateness).""
}","['correctness', 'clarity', 'forcefulness', 'appropriateness', 'maxims/proverbs']"
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity', 'forcefulness', 'middle']","{
  ""Properties"": [""clarity"", ""appropriateness"", ""middle"", ""maxims/proverbs""],
  ""Explanation"": ""The text is written in standard edited English and is clear and appropriate for a news audience. It also contains a phrase expressing common wisdom: 'I don’t regard Louis Farrakhan as an aberration or anything.'""
}","['clarity', 'appropriateness', 'middle', 'maxims/proverbs']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness"", ""middle""],
  ""Explanation"": ""The text is grammatically correct, understandable, emphasizes a message, and uses Standard Edited American English.""
}","['correctness', 'clarity', 'forcefulness', 'middle']","{
  ""Properties"": [""correctness"", ""clarity"", ""appropriateness"", ""middle""],
  ""Explanation"": ""The text is grammatically correct, understandable to the intended audience, tied to cultural norms of propriety, and written in standard edited American English.""
}","['correctness', 'clarity', 'appropriateness', 'middle']","['correctness', 'clarity']","['clarity', 'appropriateness', 'middle', 'maxims/proverbs']",0,[],"{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it adheres to the cultural norms of propriety by using language appropriate for a formal interview or statement.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it conforms to the cultural norms of propriety by using language that is respectful and appropriate for a formal context.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""clarity"", ""forcefulness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and the use of repetition ('thousands and thousands and thousands and thousands') adds forcefulness to the message.""
}","['clarity', 'forcefulness']"
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Language_varieties,"['correctness', 'clarity', 'high']","['correctness', 'clarity']","['correctness', 'clarity']","{
  ""Properties"": [""clarity"", ""appropriateness""],
  ""Explanation"": ""The text is clear and understandable to the intended audience, and it is appropriate for the formal tone required when discussing historical figures and documents.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity""],
  ""Explanation"": ""The text is well-formed grammatically and understandable to the intended audience.""
}","['correctness', 'clarity']","{
  ""Properties"": [""correctness"", ""middle""],
  ""Explanation"": ""The text is well formed grammatically and uses standard edited American English.""
}","['correctness', 'middle']","['correctness', 'clarity']","['clarity', 'appropriateness']",0,[],"{
  ""Properties"": [],
  ""Explanation"": ""The text is a simple quotation and does not exhibit any specific language variety properties.""
}",[],"{
  ""Properties"": [""clarity"", ""high""],
  ""Explanation"": ""The text is written in formal English and is easily understandable to the intended audience.""
}","['clarity', 'high']","{
  ""Properties"": [""maxims/proverbs""],
  ""Explanation"": ""The quote attributed to John Hancock expresses a form of common wisdom or aphorism.""
}",['maxims/proverbs']
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Language_varieties,"['correctness', 'clarity']","['correctness', 'clarity']","['correctness', 'clarity', 'forcefulness', 'middle']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness""],
  ""Explanation"": ""The text is well formed grammatically (correctness), understandable to the intended audience (clarity), and contains a forceful expression that reinforces the message.""
}","['correctness', 'clarity', 'forcefulness']","``` {
    ""Properties"": [""correctness"", ""clarity"", ""appropriateness"", ""middle""],
    ""Explanation"": ""The text is well formed grammatically, understandable to the intended audience, tied to cultural norms of propriety, and follows widely accepted conventions of Standard Edited American English.""
} ```","['correctness', 'clarity', 'appropriateness', 'middle']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness""],
  ""Explanation"": ""The text is well formed grammatically, understandable to the intended audience, and uses forceful language to reinforce the message.""
}","['correctness', 'clarity', 'forcefulness']","['correctness', 'clarity']","['correctness', 'clarity', 'forcefulness']",0,[],"{
  ""Properties"": [""clarity"", ""appropriateness""]
  ,
  ""Explanation"": ""The sentence is clear and understandable, and it is appropriate for the context in which it is used.""
}","['clarity', 'appropriateness']","{
  ""Properties"": [""correctness"", ""clarity"", ""forcefulness""],
  ""Explanation"": ""The sentence is grammatically correct, clear in its message, and forcefully expresses the speaker's belief in Ms. Ford's truthfulness.""
}","['correctness', 'clarity', 'forcefulness']","{
  ""Properties"": [""clarity""],
  ""Explanation"": ""The statement is clear and understandable to the intended audience.""
}",['clarity']
