sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",New_words_and_changing_uses,['foreign_borrowing'],[],"['compounds', 'prefixes/suffixes']","``` 

{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'Muhammad' as a common noun to refer to a Muslim advisor and 'Temur' as a common noun to refer to a historical figure indicates the use of proper nouns as common nouns. Additionally, 'infidels' is a foreign borrowing from the Arabic language.""
}
```","['foreign_borrowing', 'proper_nouns_to_common_nouns']","{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'Muhammad' as a general term for a Muslim advisor represents the transformation of a proper noun into a common noun, and it is a foreign borrowing from Arabic.""
}","['foreign_borrowing', 'proper_nouns_to_common_nouns']","{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'Muhammad' as a common noun for a general term and the borrowing of 'Temur' from another language both demonstrate the properties of foreign borrowing and proper nouns to common nouns.""
}","['foreign_borrowing', 'proper_nouns_to_common_nouns']",['foreign_borrowing'],"['foreign_borrowing', 'proper_nouns_to_common_nouns']",0,[],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of the word 'infidels' in the English text is a foreign borrowing from the Arabic 'kafir', reflecting the influence of Islamic tradition and terminology on the English language.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of the word 'infidels' is an example of foreign borrowing, as it is adopted from Arabic in this English text.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of the word 'infidels', borrowed from the Arabic 'kafir', is an example of foreign borrowing.""
}",['foreign_borrowing']
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",New_words_and_changing_uses,['prefixes/suffixes'],[],"['compounds', 'catachresis']","{
  ""Properties"": [""compounds"", ""clipping"", ""analogy""],
  ""Explanation"": ""The text contains compounds such as 'homosexual activity', clipping such as 'pope' from 'pope's', and analogy in the form of 'no evidence' and 'no' as a prefix""
}","['compounds', 'clipping', 'analogy']","{
  ""Properties"": [""conversion"", ""clipping""],
  ""Explanation"": ""The word 'texted' is a conversion of the noun 'text' into a verb. The word 'pope' is a clipping of the proper noun 'Pope'.""
}","['conversions', 'clipping']","{
  ""Properties"": [""foreign borrowing"", ""compounds"", ""conversions""],
  ""Explanation"": ""The text contains foreign borrowing with the word 'pope', which is borrowed from Latin. The text also includes compounds like 'homosexual activity' and 'brazen lie'. Finally, the term 'assurance' is a conversion from a noun to a verb.""
}","['foreign_borrowing', 'compounds', 'conversions']",['prefixes/suffixes'],"['compounds', 'clipping', 'analogy']",-1,[],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The example text does not exhibit any specific neologism or change in word use that would fall under the other listed properties. The language used in the text appears to be standard English without any new words or changing uses.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of the word 'homosexual' is a foreign borrowing from Greek ('homo', same) and Latin ('sexus', sex).""
}",['foreign_borrowing'],"{
  ""Properties"": [""prefixes/suffixes""],
  ""Explanation"": ""The word 'homosexual' is formed using the prefix 'homo-' meaning 'same' and the suffix '-sexual' meaning 'related to sexual activity'.""
}",['prefixes/suffixes']
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,New_words_and_changing_uses,['foreign_borrowing'],['foreign_borrowing'],['conversions'],"{
  ""Properties"": [""foreign borrowing"", ""clipping""],
  ""Explanation"": ""The word 'verdict' is borrowed from Latin (veredictum) and then clipped to form the word 'verdict' in English.""
}","['foreign_borrowing', 'clipping']","{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The use of the proper noun 'Fox news' has been transformed into a common noun to refer to the news organization, and 'horrifying' is a loanword from the French 'horrifiant'.""
}","['foreign_borrowing', 'proper_nouns_to_common_nouns']","{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The word 'verdict' is borrowed from Latin (veredictum).""
}",['foreign_borrowing'],['foreign_borrowing'],"['foreign_borrowing', 'clipping']",0,[],"{
  ""Properties"": [""conversions""],
  ""Explanation"": ""The use of 'verdict' as a verb is an example of conversion, where a noun is used as a verb.""
}",['conversions'],"{
  ""Properties"": [""catachresis""],
  ""Explanation"": ""The term 'horrifying' is used to express the severity of the verdict in a way that lacks a specific label, fitting the definition of catachresis.""
}",['catachresis'],"{
  ""Properties"": [""conversion""],
  ""Explanation"": ""The use of 'verdict' as a verb is a conversion, as 'verdict' is originally a noun.""
}",['conversion']
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",New_words_and_changing_uses,['foreign_borrowing'],"['compounds', 'foreign_borrowing']","['compounds', 'conversions']","```{
  ""Properties"": [""foreign borrowing"", ""clipping"", ""conversions""],
  ""Explanation"": ""The text includes the foreign borrowing of 'Breitbart' and 'Hyde Park'. It also uses the clipping of 'according' and 'described'. Additionally, it involves a conversion with 'speaking' originally being a verb used as a noun.""
}```","['foreign_borrowing', 'clipping', 'conversions']","{
  ""Properties"": [""foreign borrowing"", ""conversions"", ""taboo deformation"", ""fabrication""],
  ""Explanation"": ""The text contains a foreign borrowing 'akin', a conversion of the noun 'detention centre' into the adjective 'detention', a taboo deformation 'could cause', and potentially a fabrication 'disrupt community cohesion' which may be a made up term for this context.""
}","['foreign_borrowing', 'conversions', 'taboo_deformation', 'fabrication']","{
  ""Properties"": [""foreign borrowing"", ""conversion"", ""taboo deformation""],
  ""Explanation"": ""The use of 'akin' (foreign borrowing from Old English) and 'disrupt' (noun turned into verb) show the foreign borrowing and conversion properties. The use of 'could cause violence' instead of a more direct term represents taboo deformation.""
}","['foreign_borrowing', 'conversions', 'taboo_deformation']",['foreign_borrowing'],"['foreign_borrowing', 'clipping', 'conversions']",0,[],"{
  ""Properties"": [""analogy"", ""foreign borrowing"", ""clipping""],
  ""Explanation"": ""The use of 'akin' in the context of describing the detention center as resembling a typical American prison is an analogy. The term 'Hyde Park' is a foreign borrowing from the name of a specific location. Additionally, the word 'akin' is a clipped form of 'resembling'.""
}","['analogy', 'foreign_borrowing', 'clipping']","{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of 'akin' is a foreign borrowing from the Old English word 'eċenn' and is an example of borrowing a word from another language.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The text contains the foreign borrowing property as it uses 'akin', a word borrowed from Middle English, to describe the detention center."" 
}",['foreign_borrowing']
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",New_words_and_changing_uses,"['acronyms', 'foreign_borrowing', 'conversions']",['acronyms'],"['compounds', 'acronyms']","```json
{
  ""Properties"": [""conversions"", ""proper nouns to common nouns""],
  ""Explanation"": ""The word 'cashing' is converted from a verb to a noun, and 'kleenex' is used as a common noun to refer to tissue.""
}
```","['conversions', 'proper_nouns_to_common_nouns']","{
  ""Properties"": [""compounds"", ""conversions""],
  ""Explanation"": ""The text contains compounds such as 'Senate Ethics', 'political purposes' and 'executive director'. It also uses conversions, such as 'cashing in' (a verb derived from the noun 'cash').""
}","['compounds', 'conversions']","{
  ""Properties"": [""compounds"", ""acronyms"", ""proper nouns to common nouns""],
  ""Explanation"": ""The text includes compounds like 'Senate Ethics rules' and 'elected officials', acronyms like 'FACT', and the use of 'kleenex' as a common noun for tissue.""
}","['compounds', 'acronyms', 'proper_nouns_to_common_nouns']","['acronyms', 'foreign_borrowing', 'conversions']","['conversions', 'proper_nouns_to_common_nouns']",0,[],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of 'cashing in' in this context is a foreign borrowing from English, as it originates from a colloquial American phrase meaning to profit or benefit from a situation, often in a way that is questionable or unethical.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of 'cashing in' is a foreign borrowing from colloquial English, denoting profiting from a situation."" 
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing"", ""compounds""],
  ""Explanation"": ""The use of 'cashing in' is a compound word, formed by combining 'cashing' and 'in'. The term 'cashing in' originated as a foreign borrowing from the concept of exchanging assets for money, but it is now used as a compound to signify exploiting a situation for personal gain.""
}","['foreign_borrowing', 'compounds']"
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,New_words_and_changing_uses,"['foreign_borrowing', 'prefixes/suffixes']",[],['catachresis'],"{
  ""Properties"": [""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'Viganò' as a general term for Archbishop Carlo Maria Viganò""
}",['proper_nouns_to_common_nouns'],"``` 
{
  ""Properties"": [""foreign borrowing"", ""conversions"", ""proper nouns to common nouns""],
  ""Explanation"": ""The text uses a foreign borrowing ('prelate'), a conversion of a proper noun to a common noun ('Viganò' to refer to Archbishop Carlo Maria Viganò), and a conversion of a noun to a verb ('taken to heart').""
}
```","['foreign_borrowing', 'conversions', 'proper_nouns_to_common_nouns']","{
  ""Properties"": [""conversion"", ""proper nouns to common nouns""],
  ""Explanation"": ""The text features the conversion of 'declaration' from a noun to a verb, and the use of proper nouns like 'Archbishop Carlo Maria Viganò' as general terms.""
}","['conversions', 'proper_nouns_to_common_nouns']","['foreign_borrowing', 'prefixes/suffixes']",['proper_nouns_to_common_nouns'],-1,[],"{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The text includes foreign borrowing with the use of 'prelate' and 'Viganò', representing proper nouns being used as common nouns.""
}","['foreign_borrowing', 'proper_nouns_to_common_nouns']","{
  ""Properties"": [""foreign borrowing""],
  ""Explanation"": ""The use of 'prelate' originates from the Latin 'praelatus', which has been borrowed into English to refer to a high-ranking member of the clergy.""
}",['foreign_borrowing'],"{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The text contains 'Archbishop Carlo Maria Viganò,' a proper noun used as a general term in the context of the Church, which qualifies as proper nouns to common nouns. Additionally, 'prelate' has been borrowed from Latin ('praelatus') through foreign borrowing.""
}","['foreign_borrowing', 'proper_nouns_to_common_nouns']"
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",New_words_and_changing_uses,['foreign_borrowing'],[],"['compounds', 'catachresis']","{
  ""Properties"": [""compounds"", ""conversions""],
  ""Explanation"": ""The text contains compound words such as 'trial lawyer' and 'verbal testimony', as well as conversions of nouns into verbs ('notes' into 'notable').""
}","['compounds', 'conversions']","{
  ""Properties"": [""conversion"", ""blends""],
  ""Explanation"": ""The text contains the conversion of the noun 'notes' into the verb 'notes' and 'verbal testimony'. It also includes a blend with 'contemporaneous' and 'testimony'.""
}","['conversions', 'blends']","{
  ""Properties"": [""acronyms"", ""conversions""],
  ""Explanation"": ""The text uses the acronym 'FAKE' for 'False Assertions Knowingly Empowered'. It also includes a conversion of the noun 'notes' into the verb 'noted'."" 
}","['acronyms', 'conversions']",['foreign_borrowing'],"['compounds', 'conversions']",-1,[],"{
  ""Properties"": [""compounds"", ""conversion""],
  ""Explanation"": ""The use of 'contemporaneous' and 'verbal testimony' involves converting the adjectives 'contemporaneous' and 'verbal' into nouns to fit the context. Additionally, 'contemporaneous notes' is a compound noun.""
}","['compounds', 'conversion']","{
  ""Properties"": [""compounds"", ""analogy""],
  ""Explanation"": ""The use of 'contemporaneous' and 'verbal testimony' appears to be a compound, and the formation of 'contemporaneous' and 'later' seems to have been influenced by the analogy of 'contemporary' and 'later'.""
}","['compounds', 'analogy']","{
  ""Properties"": [""compounds"", ""conversion""],
  ""Explanation"": ""The text contains compounds like 'verbal testimony' and 'written notes', as well as conversion of 'notes' from a noun to a verb in 'verbal testimony about those notes'.""
}","['compounds', 'conversion']"
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",New_words_and_changing_uses,"['doubling', 'foreign_borrowing']",['foreign_borrowing'],['conversions'],,[],,[],,[],"['doubling', 'foreign_borrowing']",['doubling'],0,['doubling'],"{
  ""Properties"": [""foreign borrowing"", ""compounds""],
  ""Explanation"": ""The text uses the foreign borrowing of the name 'Louis Farrakhan' as well as compounds like 'outstanding' and 'thousands and thousands and thousands' formed by yoking existing words together.""
}","['foreign_borrowing', 'compounds']","{
  ""Properties"": [""doubling""],
  ""Explanation"": ""The use of 'thousands and thousands and thousands and thousands' involves the doubling of the word 'thousands' for emphasis.""
}",['doubling'],"{
  ""Properties"": [""compounds"", ""conversion""],
  ""Explanation"": ""The text includes compounds such as 'outstanding human being' and 'thousands and thousands', and a conversion where 'learned' is used as a past participle verb ('individuals who are learned').""
}","['compounds', 'conversion']"
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",New_words_and_changing_uses,['proper_nouns_to_common_nouns'],[],[],"``` 
{
  ""Properties"": [""foreign borrowing"", ""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'John Hancock' as a general term for signature is an example of proper nouns being used as common nouns. Additionally, the name 'John Hancock' is borrowed from a person's name to refer to a signature.""
}
```","['foreign_borrowing', 'proper_nouns_to_common_nouns']","{
  ""Properties"": [""proper nouns to common nouns""],
  ""Explanation"": ""The proper noun 'John Hancock' is used as a common noun to refer to a signature.""
}",['proper_nouns_to_common_nouns'],"{
  ""Properties"": [""proper nouns to common nouns""],
  ""Explanation"": ""The proper noun 'John Hancock' is used as a general term referring to a signature.""
}",['proper_nouns_to_common_nouns'],[],['proper_nouns_to_common_nouns'],-1,[],"{
  ""Properties"": [""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'John Hancock' as a term for signature, demonstrates the transformation of a proper noun into a common noun.""
}",['proper_nouns_to_common_nouns'],"{
  ""Properties"": [""proper nouns to common nouns""],
  ""Explanation"": ""The proper noun 'John Hancock' has been used to refer to a signature, making it a common noun.""
}",['proper_nouns_to_common_nouns'],"{
  ""Properties"": [""proper nouns to common nouns""],
  ""Explanation"": ""The use of 'John Hancock' as a generic term for a signature reflects the process of converting a proper noun into a common noun.""
}",['proper_nouns_to_common_nouns']
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",New_words_and_changing_uses,[],['foreign_borrowing'],[],"{
  ""Properties"": [""compounds"", ""conversions""],
  ""Explanation"": ""The text includes compounds like 'Thursday' and 'telling the truth', as well as a conversion with 'believe her'""
}","['compounds', 'conversions']","{
  ""Properties"": [""foreign borrowing"", ""clipping"", ""conversions"", ""doubling""],
  ""Explanation"": ""The text uses the foreign borrowing of 'Ms.' (from the honorific 'miss'), clipping of 'Thursday' from 'Thor's day', conversion of 'believe' from a verb to a noun, and doubling with 'you know it'.""
}","['foreign_borrowing', 'clipping', 'conversions', 'doubling']","{
  ""Properties"": [""conversion"", ""acronym"", ""foreign borrowing"", ""taboo deformation""],
  ""Explanation"": ""The use of 'Ms.' as a title is a conversion of a common noun to a proper noun, 'Ms.' is also an acronym, 'Thursday' is a foreign borrowing, and the use of 'darn it' is a taboo deformation.""
}","['conversions', 'acronyms', 'foreign_borrowing', 'taboo_deformation']",[],"['compounds', 'conversions']",-1,[],"{
  ""Properties"": [""conversion""],
  ""Explanation"": ""The word 'believe' is originally a verb, but in the given text, it is used as a noun, indicating a change in part of speech (conversion).""
}",['conversion'],"{
  ""Properties"": [""conversions""],
  ""Explanation"": ""The conversion property is present in the use of the noun 'Thursday' being used as an adverb to describe a time of speaking.""
}",['conversions'],"{
  ""Properties"": [
    ""conversion""
  ],
  ""Explanation"": ""The use of 'believe' as a verb in 'I believe her' is an example of conversion, as it changes a noun into a verb.""
}",['conversion']
