sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,Unnamed: 16,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y,props_gpt4_majority,res1_y.1,gpt_props1_y.1,res2_y.1,gpt_props2_y.1,res3_y.1,gpt_props3_y.1
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Parallelism,['gramatical_structure_(parison)'],[],['gramatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'wherefore the great Temur always strove' and 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' shows parity among longer clauses from repetition, demonstrating grammatical structure parallelism (parison).""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'the great Temur always strove' and 'to exterminate the infidels, as much to acquire that glory, as to signalise himself' creates parity among longer clauses.""
}",['grammatical_structure_(parison)'],timeout,[],['gramatical_structure_(parison)'],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text uses parallelism in argument by comparing the advice of Muhammad with the tradition of the Muslim doctors and their impact on the actions of Temur.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The example contains parallelism in argument, as it compares the tradition of Muhammad with the actions of Temur in striving to exterminate the infidels for glory and conquests.""
}",['comparison_(parallelism_in_argument)'],"``` 
{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The example text does not exhibit any iambic parameter, parison, or parallelism in argument. However, it does display isocolon with the equal syllable length in the phrases 'according to the tradition of the Muslim doctors' and 'as much to acquire that glory'.""
}
```",['in_syllables_(isocolon)'],[],"{
  ""Properties"": [
    ""grammatical structure (parison)""
  ],
  ""Explanation"": ""The use of the structure 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' represents parity among longer clauses with repetition, which is characteristic of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The sentence exhibits the rhetorical device of parison, with the repetition of the structure 'as much to acquire that glory, as to signalise himself by the greatness of his conquests'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [
    ""grammatical structure (parison)""
  ],
  ""Explanation"": ""The sentence contains a grammatical structure in the form of repetition for emphasis and coherence: 'wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.'""
}",['grammatical_structure_(parison)']
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Parallelism,['in_stress_patterns_(iambic_parameter)'],['gramatical_structure_(parison)'],[],"{
  ""Properties"": [
    ""grammatical structure (parison)""
  ],
  ""Explanation"": ""The repetition of 'take the' and 'for' creates a parity among longer clauses, indicating the use of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'but given that' and 'we can take' forms a parity among longer clauses from repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not exhibit any of the properties of parallelism listed.""
}",[],['in_stress_patterns_(iambic_parameter)'],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The example text exhibits grammatical structure parallelism by repeating the phrase 'we are simply asked to' and 'we can take the assurance'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammar structure"", ""comparison""],
  ""Explanation"": ""The text exhibits parallelism in both grammatical structure and comparison, with repetition in the structure of clauses and the comparison of different time periods for climate change.""
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']","{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The example text exhibits parallelism in grammatical structure with the repetition of 'we are simply asked to' and 'we can take the assurance'.""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'but given that' sets up a grammatical structure that mirrors the previous clause, creating a sense of parity and repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The text uses grammatical structure parallelism in the repeated structure of 'but given that' and 'we can take', creating a sense of balance and cohesion.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parity among longer clauses from repetition, creating a sense of balance and coherence in the argument.""
}",['grammatical_structure_(parison)']
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Parallelism,['in_syllables_(isocolon)'],[],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'Conservative Ben Shapiro' and 'horrifying' creates parity among longer clauses, demonstrating parison parallelism.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""in stress patterns (iambic parameter)""],
  ""Explanation"": ""The alternation of stressed and unstressed syllables in the phrase 'horrifying.'""
}",['in_stress_patterns_(iambic_parameter)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of parallelism in the argument is evident as the speaker contrasts the previous perception of climate change as a theory with its current reality.""
}",['comparison_(parallelism_in_argument)'],[],['grammatical_structure_(parison)'],-1,,timeout,[],"{
    ""Properties"": [""comparison""],
    ""Explanation"": ""The text contains parallelism in argument by comparing the past belief about climate change to the current reality.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The use of 'horrifying' in the example text shows parallelism in the comparison of the speaker's reaction to the verdict.""
}",['comparison_(parallelism_in_argument)'],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of parallel structure is evident in the repetition of the adjective 'horrifying' to emphasize the intensity of the verdict for the speaker.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'the verdict was' and 'horrifying' creates parity among longer clauses, demonstrating the use of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The grammatical structure in the statement is parallelism, as it repeats the adjective 'horrifying' in the same grammatical structure.""
}",['grammatical_structure_(parison)']
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Parallelism,[],[],[],"{
  ""Properties"": [
    ""grammatical structure (parison)""
  ],
  ""Explanation"": ""The repetition of 'he was told' and 'could cause' creates a parity in the longer clauses, indicating the use of grammatical structure parallelism.""
}",['grammatical_structure_(parison)'],"```


        {
          ""Properties"": [""grammatical structure""],
          ""Explanation"": ""The repetition of 'as looking akin' and 'could cause violence and disrupt' creates parity among longer clauses in the sentence.""
        }
```",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text uses parallelism in argument by comparing the detention center to a typical American prison and stating the reason given by authorities for not allowing Sellner to speak at Hyde Park.""
}",['comparison_(parallelism_in_argument)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'he was told by authorities' and 'could cause violence' demonstrates parallelism in grammatical structure (parison).""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The example text uses the grammatical structure of parison by repeating the phrase 'he was told by authorities' and 'his speaking at Hyde Park'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'who described' and 'he was told' creates parity among longer clauses and contributes to the coherence of the statement.""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""grammatical structure (parison)"", ""comparison (parallelism in argument)""],
  ""Explanation"": ""The text exhibits both parison with the repeated structure 'he was told by authorities that' and comparison in the contrast between the detention center and a typical American prison.""
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']","{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'he was told' and 'could cause' shows grammatical structure parallelism, creating parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The statement draws a comparison between the detention centre and a typical American prison to emphasize their similarity.""
}",['comparison_(parallelism_in_argument)']
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Parallelism,['in_syllables_(isocolon)'],[],['gramatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'which safeguard against the appearance or actuality' creates a grammatical parallelism in the sentence.""
}",['grammatical_structure_(parison)'],timeout,[],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The repetition of 'which safeguard against the appearance or actuality' demonstrates the use of parallelism in grammatical structure.""
}",['grammatical_structure_(parison)'],['in_syllables_(isocolon)'],['grammatical_structure_(parison)'],-1,,timeout,[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'This is a clear violation' and 'of elected officials 'cashing in' on their official position for political purposes' demonstrates a parity in grammatical structure.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The example text uses the grammatical structure of parison with the repetition of 'cashing in’ on their official position for political purposes' and 'violations of the Senate Ethics rules'.""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The grammatical structure of the sentence features repetition with the phrase 'against the appearance or actuality', which creates a sense of parity and cohesion.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of parallel structure 'appearance or actuality' creates a grammatical structure, highlighting the similarity between the two concepts.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [
    ""grammatical structure (parison)""
  ],
  ""Explanation"": ""The sentence uses grammatical structure parallelism by repeating the phrase 'of the Senate Ethics rules' to create parity among longer clauses.""
}",['grammatical_structure_(parison)']
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Parallelism,['gramatical_structure_(parison)'],[],['gramatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'must be totally taken to heart' creates a parity among longer clauses, indicating the use of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The example exhibits the grammatical structure property of parallelism with the repetition of 'The declarations made by' and 'must be totally taken to heart by'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'must be totally taken to heart' demonstrates parallelism in grammatical structure (parison).""
}",['grammatical_structure_(parison)'],['gramatical_structure_(parison)'],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The example text uses the property of parison, with the repetition of 'The declarations made by' before two longer clauses""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The example text displays the property of parison through the repetition of the phrase 'The declarations made by a prelate of the authority'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The text contains parallelism in argument as it presents a comparison between the past and present views on climate change.""
}",['comparison_(parallelism_in_argument)'],[],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The statement exhibits parallelism in grammatical structure, with the repetition of 'The declarations made by a prelate...' and 'must be totally taken to heart by those responsible...'""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The statement exhibits parallelism in its grammatical structure, with the repetition of 'The declarations made by a prelate' and 'of the authority of Archbishop Carlo Maria Viganò'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [
    ""grammatical structure (parison)""
  ],
  ""Explanation"": ""The statement uses a grammatical structure called parison by repeating the phrase 'The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.' This repetition creates a sense of parity and emphasis on the importance of the declarations.""
}",['grammatical_structure_(parison)']
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Parallelism,[],[],['gramatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The example text contains the property of parallelism in grammatical structure, as the clauses 'neither notes nor memories are infallible' and 'the content of the written notes usually prevails' are structured in a parallel form.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'neither notes nor memories' and 'contemporaneous notes and later verbal testimony' creates a parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'neither...nor' and 'between...and' creates a grammatical structure of parity among longer clauses, indicating the presence of parison.""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The example text uses the property of parallelism in grammatical structure to create parity among the longer clauses through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The example text demonstrates the use of grammatical structure parallelism (parison) through the repetition of 'neither... nor' and 'contemporaneous... and later'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The example text shows parity among longer clauses from repetition, indicating the use of parison.""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""parison""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'neither... nor' and 'in a contest between... and'.""
}",[''],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of the repeated structure 'neither...nor' and 'content of the written notes' mirror each other in the sentence, creating a sense of balance and equivalence.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [
    ""grammatical structure (parison)""
  ],
  ""Explanation"": ""The sentence exhibits grammatical structure parallelism with the repeated pattern 'neither... nor', 'notes... memories', 'contemporaneous... later', and 'verbal testimony... written notes'. This creates a balanced and cohesive structure in the sentence.""
}",['grammatical_structure_(parison)']
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Parallelism,['gramatical_structure_(parison)'],[],['gramatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'thousands and thousands and thousands and thousands' creates parity among longer clauses, demonstrating the use of parison in the text.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""in syllables (isocolon)""],
  ""Explanation"": ""The example text contains adjacent phrases with equal syllable length, helping the consecutive statements to cohere as a set.""
}",['in_syllables_(isocolon)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The repetition of 'thousands and thousands and thousands and thousands' creates a parity among the longer clauses, indicating the use of parison parallelism.""
}",['grammatical_structure_(parison)'],['gramatical_structure_(parison)'],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'thousands and thousands and thousands and thousands' creates a grammatical structure of parity among longer clauses, indicating the use of parison parallelism.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The example text uses comparison to emphasize the change in perception of Louis Farrakhan, from being regarded as an aberration to being considered an outstanding human being."" 
}",['comparison_(parallelism_in_argument)'],"``` 

{
  ""Properties"": [""grammatical structure (parison)"", ""comparison (parallelism in argument)""],
  ""Explanation"": ""The use of repetitive structure in the phrases 'thousands and thousands and thousands and thousands' and the comparison of 'Yesterday climate change was a theory. Today climate change is the reality.' demonstrate the use of grammatical structure and comparison in parallelism.""
}
```","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']",[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits grammatical structure parallelism through repetition of the phrase 'thousands and thousands and thousands and thousands'. This creates a sense of parity and emphasis on the large number of people influenced by Louis Farrakhan.""
}",['grammatical_structure_(parison)'],"{
    ""Properties"": [""parison""],
    ""Explanation"": ""The use of repetition in the structure 'thousands and thousands and thousands and thousands' creates a sense of parity among longer clauses, which is characteristic of parison parallelism.""
}",[''],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'thousands and thousands and thousands and thousands' creates a sense of parity and repetition in the structure, indicating the presence of parison.""
}",['grammatical_structure_(parison)']
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Parallelism,[],[],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'the first signer' creates parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The structure of the clauses is repeated for emphasis.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'the first signer of the Declaration of Independence' in the example text shows parallelism in grammatical structure (parison).""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'That's the kind of' in the example text demonstrates an example of parison, where longer clauses have parity through repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure""],
  ""Explanation"": ""The example text exhibits the property of parison, with the repetition of 'John Hancock' and 'the first signer of the Declaration of Independence'.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'That's the kind of' in the example indicates the use of grammatical structure parallelism (parison).""
}",['grammatical_structure_(parison)'],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' twice in the sentence demonstrates grammatical structure parallelism (parison), where longer clauses exhibit repetition.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The sentence exhibits parallelism in grammatical structure with the repetition of 'John Hancock' at the beginning of each clause, creating a sense of balance and emphasis.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The quoted text demonstrates parallelism in grammatical structure by repeating the phrase 'the first signer of the Declaration of Independence' to create a sense of parity and cohesion.""
}",['grammatical_structure_(parison)']
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Parallelism,[],[],['gramatical_structure_(parison)'],"{
  ""Properties"": [
    ""comparison (parallelism in argument)""
  ],
  ""Explanation"": ""The text contains parallelism in argument by comparing the statement 'I believe her because she is telling the truth' with 'you know it by her story'.""
}",['comparison_(parallelism_in_argument)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'I believe her because' and 'you know it by her story' demonstrates parity among longer clauses.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of 'I believe her because' and 'you know it by' creates a grammatical structure of parity among longer clauses.""
}",['grammatical_structure_(parison)'],[],['grammatical_structure_(parison)'],-1,,"{
  ""Properties"": [""grammatical structure (parison)"", ""comparison (parallelism in argument)""],
  ""Explanation"": ""The example text exhibits grammatical structure parallelism with the repeated phrase 'I believe her because', as well as comparison parallelism in the argument regarding the truthfulness of Ms. Ford."" 
}","['grammatical_structure_(parison)', 'comparison_(parallelism_in_argument)']","{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The repetition of the phrase 'I believe her because' creates parity among longer clauses, demonstrating parallelism in grammatical structure.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""comparison""],
  ""Explanation"": ""The example text uses parallelism in argument by comparing the past belief about climate change to the current belief."" 
}",['comparison_(parallelism_in_argument)'],[],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The usage of 'I believe her because' and 'you know it by' demonstrates parallelism in the grammatical structure of the clauses, creating a balanced and impactful statement.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The use of 'I believe her because' and 'you know it by' shows parity among longer clauses through repetition, indicating the use of parison.""
}",['grammatical_structure_(parison)'],"{
  ""Properties"": [""grammatical structure (parison)""],
  ""Explanation"": ""The parallel structure is used to draw a comparison between the speaker's belief in Ms. Ford and the listener's knowledge of her story.""
}",['grammatical_structure_(parison)']
