sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Phrases_built_on_verbs,[],[],['inifinitive_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participal phrase 'wherefore the great Temur always strove to exterminate the infidels' modifies the verb 'strive' and describes the reason or motive for his actions.""
}",['participal_phrases'],"{
  ""Properties"": [
    ""participal phrases"",
    ""infinite phrases""
  ],
  ""Explanation"": ""The text contains participal phrases 'to acquire that glory' and 'to signalise himself' as well as an infinitive phrase 'to exterminate the infidels'. These phrases modify the actions of the main verb 'stroved'.""
}","['participal_phrases', 'inifinitive_phrases']","{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'having boiled the water' is an example of a participal phrase used in the text, modifying the subject 'I'.""
}",['participal_phrases'],[],['participal_phrases'],-1,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'wherefore the great Temur always strove to exterminate the infidels' which modifies the main clause and provides additional information about Temur's actions and motives.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is a participial phrase modifying the verb 'advises.' It provides additional information about the action of advising.""
}",['participal_phrases'],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The phrase 'wherefore the great Temur always strove to exterminate the infidels' functions as a participial phrase, providing additional information about the action and motive of Temur.""
}",['participial_phrases']
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Phrases_built_on_verbs,"['inifinitive_phrases', 'participal_phrases']",[],['inifinitive_phrases'],"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not contain any participial or infinitive phrases built on verbs.""
}",[],"``` 
        {
          ""Properties"": [""participal phrases""],
          ""Explanation"": ""The example text contains a participal phrase 'following his astoundingly brazen lie'.""
        }
```",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participal phrase 'given that it follows his astoundingly brazen lie', which changes the relation of the action to an agent.""
}",['participal_phrases'],"['inifinitive_phrases', 'participal_phrases']",['participal_phrases'],0,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place'. This phrase modifies the main clause by providing additional information about the circumstances under which we are asked to take the pope's word for it.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participal phrase 'given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place,' which provides more information about the situation.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The text contains a participial phrase 'that there was no evidence for Ricca’s homosexual activity', which describes the action preceding the following clause.""
}",['participal_phrases']
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Phrases_built_on_verbs,[],[],[],"``` 
{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'horrifying' functions as an adjective to describe the verdict, and is headed by the participle 'horrifying'.""
}
```",['participal_phrases'],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro told' contains a participial phrase 'Conservative Ben Shapiro' being the one who told Fox news the verdict was 'horrifying'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participal phrase 'Conservative Ben Shapiro told', where 'told' functions as a participle rather than a verb.""
}",['participal_phrases'],[],['participal_phrases'],-1,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence does not contain any infinitive phrases. However, it does contain a participial phrase 'conservative Ben Shapiro,' which is an adjective describing the subject of the sentence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence does not contain any infinitive phrases, but it does contain a participial phrase 'conservative Ben Shapiro told', where 'told' is a past participle, modifying 'Ben Shapiro'.""
}",['participal_phrases'],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'Conservative Ben Shapiro told Fox news' which is built on the verb 'told.'""
}",['participial_phrases']
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Phrases_built_on_verbs,[],[],[],"{
  ""Properties"": [
    ""participal phrases"",
    ""inifinitive phrases""
  ],
  ""Explanation"": ""The example text contains both participal and infinitive phrases. 'looking akin to a typical American prison' is a participal phrase and 'to cause violence and disrupt community cohesion' is an infinitive phrase.""
}","['participal_phrases', 'inifinitive_phrases']","{
  ""Properties"": [
    ""participal phrases""
  ],
  ""Explanation"": ""The text contains the participial phrase 'who described the detention centre as looking akin to a typical American prison'. This phrase describes the subject (Sellner) and changes the relationship of the action (described) to the agent.""
}",['participal_phrases'],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The example text contains a participial phrase 'described the detention centre as looking akin to a typical American prison'. This phrase modifies 'Sellner' and provides additional information about his actions.""
}",['participal_phrases'],[],['participal_phrases'],-1,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participal phrase 'described the detention centre as looking akin to a typical American prison' which modifies the subject 'Sellner'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'described the detention centre as looking akin to a typical American prison', which modifies the subject 'Sellner'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'described the detention centre as looking akin to a typical American prison,' which modifies 'Sellner' and provides additional information about his actions and beliefs.""
}",['participal_phrases']
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Phrases_built_on_verbs,[],[],[],"```json
{
  ""Properties"": [
    ""participal phrases""
  ],
  ""Explanation"": ""The example text contains a participal phrase 'elected officials ‘cashing in’ on their official position', which describes the action of the elected officials.""
}
```",['participal_phrases'],timeout,[],"```json
{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes' is a participal phrase modifying 'Senate Ethics rules.'""
}
```",['participal_phrases'],[],['participal_phrases'],-1,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'cashing in' is a participial phrase expressing the action of elected officials. It modifies the noun 'officials' and functions as an adjective in the sentence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'cashing in' is a participal phrase, as it describes the action of elected officials in a manner that changes the relation of that action to an agent.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes' is a participial phrase, as it is headed by the present participle 'safeguard' and modifies the noun 'rules.'""
}",['participal_phrases']
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Phrases_built_on_verbs,[],[],[],"{
  ""Properties"": [
    ""participal phrases""
  ],
  ""Explanation"": ""The example text contains a participal phrase 'made by a prelate', which modifies the noun 'declarations'.""
}",['participal_phrases'],"```JSON
{
    ""Properties"": [""participal phrases""],
    ""Explanation"": ""The phrase 'made by a prelate' is a participal phrase modifying the noun 'declarations', indicating who made the declarations.""
}
```",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participal phrase 'made by a prelate' modifies the noun 'declarations' in the sentence.""
}",['participal_phrases'],[],['participal_phrases'],-1,[],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'made by a prelate of the authority of Archbishop Carlo Maria Viganò'. This phrase modifies the noun 'declarations' and gives more information about them, fulfilling the criteria of a participial phrase.""
}",['participial_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'made by a prelate of the authority of Archbishop Carlo Maria Viganò' is a participal phrase modifying 'declarations', indicating the source of the declarations and changing the relationship of the action 'made' to an agent.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'made by a prelate of the authority of Archbishop Carlo Maria Viganò' is a participal phrase, describing the nature of the declarations made.""
}",['participal_phrases']
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Phrases_built_on_verbs,['participal_phrases'],['participal_phrases'],[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participal phrase 'As a former trial lawyer'. This phrase modifies the subject 'I' and functions as an adjective.""
}",['participal_phrases'],"{
    ""Properties"": [""participal phrases""],
    ""Explanation"": ""The example text contains a participal phrase 'being something' as 'a former trial lawyer'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participal phrase 'having done something' - 'having boiled the water'""
}",['participal_phrases'],['participal_phrases'],['participal_phrases'],1,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example contains a participal phrase 'neither notes nor memories are infallible' to express the state of being of the notes and memories.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example contains a participal phrase 'while neither notes nor memories are infallible', which expresses the state of being for the notes and memories.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'written notes usually prevails' is a participial phrase describing the content of the written notes.""
}",['participal_phrases']
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Phrases_built_on_verbs,[],[],[],"```{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'being learned and articulate' functions as an adjective and is headed by the participle 'being'.""
}```",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participal phrase 'being learned and articulate'. It functions as an adjective phrase describing the individuals who follow Louis Farrakhan.""
}",['participal_phrases'],"```json
        {
            ""Properties"": [""participal phrases""],
            ""Explanation"": ""The phrase 'having boiled the water' is an example of a participal phrase used in the text.""
        }
```",['participal_phrases'],[],['participal_phrases'],-1,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'being a outstanding human being' which describes Louis Farrakhan.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'being learned and articulate' modifying 'individuals', indicating that the phrase is an adjective phrase headed by a present participle.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'being who commands a following' is a participial phrase used to describe Louis Farrakhan.""
}",['participal_phrases']
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Phrases_built_on_verbs,[],[],[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a participial phrase describing John Hancock.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a participial phrase describing John Hancock.""
}",['participal_phrases'],"{
    ""Properties"": [""participal phrases""],
    ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a participle phrase modifying 'John Hancock'.""
}",['participal_phrases'],[],['participal_phrases'],-1,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a participal phrase modifying the noun 'John Hancock.' It describes his role in relation to the Declaration of Independence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a participial phrase modifying 'John Hancock'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participal phrase 'the first signer of the Declaration of Independence' modifies the noun 'John Hancock'. This phrase is built on the verb 'signer', illustrating the use of a participal phrase.""
}",['participal_phrases']
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Phrases_built_on_verbs,[],[],[],"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not contain any participial or infinitive phrases built on verbs.""
}",[],timeout,[],timeout,[],[],[],1,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'telling the truth' is a participal phrase, which modifies 'she.' It provides additional information about Ms. Ford and functions as an adjective in the sentence.""
}",['participal_phrases'],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The phrase 'telling the truth' is a participial phrase modifying 'she'. It describes the action in a way that changes the relation of the action to the agent.""
}",['participial_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'telling the truth' is a participal phrase, as it describes Ms. Ford and is headed by the participle 'telling'. It changes the relation of the action 'telling' to the agent (Ms. Ford).""
}",['participal_phrases']
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Phrases_built_on_verbs,[],[],[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participal phrase 'having read' which modifies the subject 'I'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains the phrase 'having read the Cardinal's exposition in both Italian and English', which is a participal phrase.""
}",['participal_phrases'],timeout,[],[],['participal_phrases'],-1,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence 'having read the Cardinal's exposition in both Italian and English' contains a participial phrase 'having read', which modifies the subject's action.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'having read the Cardinal's exposition in both Italian and English', which modifies the subject 'I'. This phrase provides additional information about the action of reading.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The presence of the participal phrase 'having read' signals that the action of reading occurred prior to the main action, 'find mention'. This changes the relation of reading to the agent, suggesting a sequence of events.""
}",['participal_phrases']
