sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Prosody_and_punctuation,[],[],[],"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text exhibits rhythm through the pattern of stressed and unstressed syllables, creating a sense of flow and musicality.""
}",['rhythm'],"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text contains stress on certain syllables and follows a specific rhythm in the arrangement of words and phrases, contributing to the overall prosody of the text.""
}","['stress', 'rhythm']","{
  ""Properties"": [""stress""],
  ""Explanation"": ""The text uses stress to emphasize certain words, such as 'advises', 'according', 'great', 'exterminate', 'glory', 'signalise', and 'conquests'.""
}",['stress'],[],['rhythm'],-1,[],"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text exhibits variations in stress patterns and rhythm, particularly in the repetition of similar syllable patterns in words such as 'advises' and 'doctors' and the rhythmic structure of the sentence.""
}","['stress', 'rhythm']","{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text contains a rhythmic pattern with a noticeable flow and cadence, especially in the repetition of certain words and phrases. This rhythmic structure enhances the rhetorical impact of the sentence.""
}",['rhythm'],"{
  ""Properties"": [""rhythm"", ""innotation""],
  ""Explanation"": ""The text exhibits a rhythmic pattern in its sentence structure, and the use of the word 'wherefore' suggests a specific intonation in the expression of the idea.""
}","['rhythm', 'innotation']"
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Prosody_and_punctuation,['stress'],[],[],"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The example text exhibits a natural flow and pattern of sound, indicating the presence of rhythmic properties in the prosody."" 
}",['rhythm'],timeout,[],"{
  ""Properties"": [""rhythm"", ""stress""],
  ""Explanation"": ""The text has a noticeable rhythmic pattern and varying degrees of stress on certain words to create emphasis."" 
}","['rhythm', 'stress']",[],['rhythm'],-1,[],"{
  ""Properties"": [""punctuation""],
  ""Explanation"": ""The text uses punctuation to separate clauses and phrases, indicating the structure and flow of the sentence. This demonstrates the use of punctuation, but not necessarily prosody like innotation, stress, or rhythm."" 
}",['punctuation'],"{
  ""Properties"": [""intonation"", ""rhythm""],
  ""Explanation"": ""The use of commas and the structure of the sentence suggest a particular intonation and rhythm that convey a sense of skepticism and emphasis on certain key points.""
}","['intonation', 'rhythm']","{
  ""Properties"": [""rhythm"", ""innotation""],
  ""Explanation"": ""The text exhibits a rhythmic pattern with a mix of short and long phrases, and it also conveys a sense of doubt or skepticism through the use of intonation.""
}","['rhythm', 'innotation']"
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Prosody_and_punctuation,['stress'],[],[],"{
  ""Properties"": [
    ""stress"",
    ""intonation""
  ],
  ""Explanation"": ""The use of double quotation marks around the word 'horrifying' indicates a change in stress and intonation when spoken, highlighting the emotional impact of the verdict.""
}","['stress', 'innotation']","{
  ""Properties"": [""intonation"", ""stress""],
  ""Explanation"": ""The use of quotation marks indicates a change in intonation and stress to emphasize the word 'horrifying'.""
}","['innotation', 'stress']","{
  ""Properties"": [
    ""intonation""
  ],
  ""Explanation"": ""The use of quotation marks around the word 'horrifying' indicates a change in intonation, suggesting emphasis or a particular tone in the speaker's voice.""
}",['innotation'],[],"['stress', 'innotation']",-1,[],"{
  ""Properties"": [""intonation"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks around the word 'horrifying' suggests a specific intonation or emphasis on this word, indicating a particular rhythm in the speech.""
}","['intonation', 'rhythm']","{
  ""Properties"": [""intonation""],
  ""Explanation"": ""The usage of double quotation marks indicates that the phrase 'horrifying' may be emphasized or pronounced with a particular intonation, but it does not necessarily convey stress, rhythm, or specific punctuation patterns."" 
}",['intonation'],"{
  ""Properties"": [""intontation"", ""stress""],
  ""Explanation"": ""The use of quotation marks around the word 'horrifying' indicates a likely change in intonation, and the word may be stressed for emphasis.""
}","['intontation', 'stress']"
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Prosody_and_punctuation,[],[],[],"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The example text exhibits a rhythmic pattern in the way the words are structured and arranged. This is evident in the flowing and balanced structure of the sentence."" 
}",['rhythm'],"{
  ""Properties"": [""rhythm"", ""stress""],
  ""Explanation"": ""The text contains rhythm in the flow of the sentence structure and stress in the emphasis placed on certain words and phrases.""
}","['rhythm', 'stress']","{
  ""Properties"": [""rhythm"", ""intonation""],
  ""Explanation"": ""The example text uses rhythm to create a smooth and flowing delivery of the information. It also employs intonation to convey emphasis and emotion in the speaker's words.""
}","['rhythm', 'innotation']",[],['rhythm'],-1,[],"{
  ""Properties"": [""intonation"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks and the syntax of the sentence indicate that there is likely a specific intonation and rhythm that would be used when speaking this sentence. The prosody of the statement would likely involve emphasizing certain words and using a specific rhythm to convey the meaning effectively.""
}","['intonation', 'rhythm']","{
  ""Properties"": [""intonation"", ""rhythm""],
  ""Explanation"": ""The use of reported speech and a direct quote indicates that intonation and rhythm are likely used in the original spoken statement, but they are not directly reflected in the written text.""
}","['intonation', 'rhythm']","{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The sentence exhibits prosodic stress and rhythm through the natural emphasis and flow of the words. Certain words are stressed to convey meaning, and there is a noticeable rhythm to the sentence as a whole.""
}","['stress', 'rhythm']"
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Prosody_and_punctuation,['stress'],[],[],"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text contains both stressed syllables and a pattern of alternating stressed and unstressed syllables, creating a rhythm. For example, 'clear viOlation' and 'cashing in' have clear stress patterns.""
}","['stress', 'rhythm']","{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text includes stressed words, such as 'violation', and follows a regular rhythm in its sentence structure.""
}","['stress', 'rhythm']","{
  ""Properties"": [""intonation"", ""stress""],
  ""Explanation"": ""The use of quotation marks and punctuation indicates varying intonation and stress to emphasize the quoted statement within the sentence.""
}","['innotation', 'stress']",[],"['stress', 'rhythm']",-1,[],"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The presence of a clear pattern of stressed and unstressed syllables in the sentence indicates the use of rhythm in the text.""
}",['rhythm'],"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""In the example text, there is evidence of stress as certain words are emphasized (e.g., 'clear violation', 'Senate Ethics rules', 'official position', 'political purposes'). Additionally, there is a rhythmic pattern to the sentence which is created by the use of commas and the overall flow of the statement.""
}","['stress', 'rhythm']","{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text has a rhythmic pattern with alternating stressed and unstressed syllables, such as 'clear vi-o-la-tion' and 'Sen-ate Eth-ics rules'. This creates a sense of flow and emphasis in the sentence.""
}",['rhythm']
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Prosody_and_punctuation,[],[],[],"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The use of emphasized words and the overall flow of the sentence demonstrate the presence of stress and rhythm in the example text.""
}","['stress', 'rhythm']","{
  ""Properties"": [""rhythm"", ""stress""],
  ""Explanation"": ""The text exhibits rhythm in the form of regular alternation of stressed and unstressed syllables, as well as stress in the emphasis on certain words within the sentence.""
}","['rhythm', 'stress']","{
  ""Properties"": [""rhythm"", ""stress""],
  ""Explanation"": ""The text exhibits rhythm through the use of alternating stressed and unstressed syllables, as well as stress in the emphasis placed on certain words for added emphasis and meaning."" 
}","['rhythm', 'stress']",[],"['rhythm', 'stress']",-1,[],"{
    ""Properties"": [""stress""],
    ""Explanation"": ""The text emphasizes certain words, such as 'must' and 'totally', which suggests the use of stress. This emphasizes the importance of Archbishop Carlo Maria Viganò's declarations."" 
}",['stress'],"{
  ""Properties"": [""punctuation""],
  ""Explanation"": ""The given text demonstrates the use of punctuation in the form of quotation marks and a comma.""
}",['punctuation'],"{
  ""Properties"": [""intonation"", ""stress"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks around the statement along with the flow and emphasis of the words suggests the presence of intonation, stress, and rhythm in the text.""
}","['intonation', 'stress', 'rhythm']"
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Prosody_and_punctuation,[],[],[],"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text uses stress to emphasize certain words (e.g. 'former', 'contemporaneous') and has a natural rhythm that is created by the arrangement of the words and phrases.""
}","['stress', 'rhythm']","{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text uses a rhythmic pattern with a combination of long and short sentences for emphasis and flow.""
}",['rhythm'],"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text uses stress to emphasize certain words ('former', 'infallible', 'content', 'written'), and has a rhythmic pattern with a mix of long and short sentences.""
}","['stress', 'rhythm']",[],"['stress', 'rhythm']",-1,[],"{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The sentence structure and phrasing exhibit a balanced and rhythmic pattern, with a clear cadence and flow of language.""
}",['rhythm'],"{
  ""Properties"": [""innotation"", ""rhythm"", ""punctuation""],
  ""Explanation"": ""The use of punctuation such as commas, as well as the flow and structure of the sentence, indicate the presence of rhythm and innotation. The sentence is structured in a way that suggests a specific emphasis on certain words and phrases, conveying a particular tone and meaning.""
}","['innotation', 'rhythm', 'punctuation']","{
  ""Properties"": [
    ""intonation"",
    ""rhythm""
  ],
  ""Explanation"": ""The text likely uses intonation to emphasize the contrast between contemporaneous notes and later verbal testimony, and it also exhibits a rhythmic structure in the phrasing and cadence of the sentence.""
}","['intonation', 'rhythm']"
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Prosody_and_punctuation,['stress'],[],[],"{
  ""Properties"": [""rhythm"", ""stress""],
  ""Explanation"": ""The use of repetition of 'thousands and thousands and thousands and thousands' creates a rhythmic pattern in the sentence, and the emphasis on 'thousands and thousands and thousands and thousands' adds stress to these words."" 
}","['rhythm', 'stress']","{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The text contains specific stresses on certain words such as 'outstanding' and 'thousands', as well as a noticeable rhythm in the repetition of 'thousands and thousands and thousands and thousands'.""
}","['stress', 'rhythm']","{
  ""Properties"": [""stress""],
  ""Explanation"": ""The presence of emphasis on certain words, such as 'outstanding' and 'thousands', indicates the use of stress in the example text.""
}",['stress'],[],"['rhythm', 'stress']",-1,[],"{
  ""Properties"": [""stress""],
  ""Explanation"": ""In the given text, there is a use of stress to emphasize the speaker's viewpoint. The stress on 'thousands and thousands and thousands and thousands' highlights the large number of people impacted by Louis Farrakhan, conveying the speaker's strong emphasis on this point.""
}",['stress'],"{
  ""Properties"": [""innotation""],
  ""Explanation"": ""The use of the phrase 'he emphasized later' suggests the presence of innotation, which indicates the linguistic and emotional emphasis placed on a specific word or phrase.""
}",['innotation'],"{
  ""Properties"": [""stress"", ""rhythm""],
  ""Explanation"": ""The statement includes stress on specific words to convey emphasis and rhythm in the repetition of the phrase 'thousands and thousands and thousands and thousands of people.'""
}","['stress', 'rhythm']"
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Prosody_and_punctuation,[],[],[],"{
  ""Properties"": [""punctuation""],
  ""Explanation"": ""The example text contains the use of commas for appositives and quotation marks for direct speech, demonstrating the use of punctuation.""
}",['innotation'],"{
  ""Properties"": [""intonation"", ""rhythm""],
  ""Explanation"": ""The use of the comma after 'John Hancock' and the pause after 'Independence' indicate intonation and rhythm in the text.""
}","['innotation', 'rhythm']","{
  ""Properties"": [""intonation"", ""rhythm""],
  ""Explanation"": ""The commas in the text suggest a break or pause in speech, indicating intonation. The repetition of 'of' creates a rhythmic pattern in the sentence.""
}","['innotation', 'rhythm']",[],"['innotation', 'rhythm']",-1,[],"{
  ""Properties"": [""innotation"", ""stress""],
  ""Explanation"": ""The use of the interjection 'said' indicates that innotation and stress are present, as these elements are crucial for the delivery and interpretation of spoken language.""
}","['innotation', 'stress']","{
  ""Properties"": [""innotation"", ""stress""],
  ""Explanation"": ""The comma after 'Independence' indicates a pause or innotation, and the emphasis on 'first' suggests stress on that word.""
}","['innotation', 'stress']","{
  ""Properties"": [""rhythm""],
  ""Explanation"": ""The text contains a rhythmic pattern due to the repetition of 'John Hancock' and 'the Declaration of Independence'. This repetition creates a rhythmic flow within the sentence.""
}",['rhythm']
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Prosody_and_punctuation,[],[],[],"{
  ""Properties"": [""intonation"", ""rhythm""],
  ""Explanation"": ""In the example text, the sentence structure and phrasing suggest a particular intonation and rhythm when spoken aloud, indicating the presence of these prosodic properties.""
}","['innotation', 'rhythm']","{
  ""Properties"": [""intonation"", ""stress""],
  ""Explanation"": ""In the given text, there is a change in the pitch and emphasis on certain words when spoken, indicating the use of intonation and stress in prosody.""
}","['innotation', 'stress']","{
  ""Properties"": [""rhythm"", ""stress""],
  ""Explanation"": ""The text contains a regular pattern of stressed and unstressed syllables, creating a rhythmic quality. The use of stress in certain words also helps convey the speaker's emphasis and conviction in their belief.""
}","['rhythm', 'stress']",[],"['innotation', 'rhythm']",-1,[],"{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks and the syntax implies innotation, indicating a particular emphasis or intonation when speaking the quoted words. Additionally, the syntax also suggests a particular rhythm or cadence in the spoken words.""
}","['innotation', 'rhythm']","{
  ""Properties"": [""innotation"", ""rhythm""],
  ""Explanation"": ""The use of quotation marks and the structure of the sentence indicate a specific innotation or emphasis on the words 'I believe her' and 'you know it' which affects the rhythm of the sentence.""
}","['innotation', 'rhythm']","{
  ""Properties"": [""intonation""],
  ""Explanation"": ""The use of quotation marks and positioning of the phrase 'I believe her' can indicate a particular intonation or emphasis, which may be expressed verbally through stress or rhythm. In this case, the emphasis is on 'I believe her'.""
}",['intonation']
