sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Subject_choices,"['concepts', 'humans']",['humans'],['humans'],"``` 

{
  ""Properties"": [""humans""],
  ""Explanation"": ""The example text contains references to specific individuals and groups of people, such as 'Muhammad', 'the Muslim doctors', and 'Temur'. Therefore, the property of humans is present in the subject choices.""
}
```",['humans'],"```


        ""Properties"": [""humans""],
        ""Explanation"": ""The text references named individuals and groups of people such as 'Muhammad' and 'the Muslim doctors'"" 
```",['humans'],"{
    ""Properties"": [""humans""],
    ""Explanation"": ""The example text includes proper names such as 'Muhammad' and 'Temur'. This indicates the use of humans as subjects.""
}",['humans'],['humans'],['humans'],1,[],"{
    ""Properties"": [""humans""],
    ""Explanation"": ""The text mentions 'Muhammad' and 'the great Temur' as specific individuals, falling under the category of humans.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The sentence uses 'the great Temur' as the subject, focusing on the actions and motivations of the historical figure, rather than specific humans or abstractions.""
}",['rhetorical_participants'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Muhammad' refers to a single individual, fitting the property of humans.""
}",['humans']
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Subject_choices,"['slot_fillers', 'rhetorical_participants', 'concepts', 'humans']",['rhetorical_participants'],"['slot_fillers', 'rhetorical_participants']","{
  ""Properties"": [""rhetorical participants"", ""abstractions"", ""slot fillers""],
  ""Explanation"": ""The text uses 'we' as a rhetorical participant, and 'it' as a slot filler. It also refers to abstract concepts such as 'the pope’s word', 'astoundingly brazen lie', and 'no evidence for Ricca’s homosexual activity'.""
}","['rhetorical_participants', 'abstractions', 'slot_fillers']","```json
{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'we' implicates the reader as part of the discussion, making them a rhetorical participant.""
}
```",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The text includes the rhetorical participant 'We', indicating the writer is involving the reader in the argument.""
}",['rhetorical_participants'],"['slot_fillers', 'rhetorical_participants', 'concepts', 'humans']",['rhetorical_participants'],0,[],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'we' indicates that the subject choice involves the reader or writer themselves.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'we' indicates that the writer is including themselves as part of the readership, making it a rhetorical participant.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants"", ""abstractions"", ""things""]
  ,
  ""Explanation"": ""The text includes a reference to 'we' as the readers ('we are simply asked') and mentions 'the pope' as a rhetorical participant. It also refers to abstract concepts such as 'his astoundingly brazen lie' and 'the assurance' alongside 'Ricca’s homosexual activity' which is a thing.""
}","['rhetorical_participants', 'abstractions', 'things']"
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Subject_choices,"['concepts', 'humans']",['humans'],['humans'],"``` 
{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Ben Shapiro' is a human individual.""
}
```",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject choices in the text include the proper name 'Ben Shapiro', a conservative commentator.""
}",['humans'],timeout,[],['humans'],['humans'],1,[],"{
  ""Properties"": [""rhetorical participants""]
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'Conservative Ben Shapiro' as the subject emphasizes the viewpoint of the writer or reader themselves, classifying this as a rhetorical participant choice.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""]
  ,
  ""Explanation"": ""The subject 'Ben Shapiro' represents a rhetorical participant - a specific individual expressing their opinion.""
}",['rhetorical_participants']
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Subject_choices,"['things', 'concepts', 'humans', 'abstractions']",['humans'],['humans'],"{
  ""Properties"": [""humans"", ""abstractions""],
  ""Explanation"": ""The text includes proper names (Sellner) and an abstraction (detention centre) as subjects within the sentence.""
}","['humans', 'abstractions']",timeout,[],"{
  ""Properties"": [""humans"", ""abstractions""],
  ""Explanation"": ""The subject choices in the text refer to specific individuals such as 'Sellner' and also to abstractions like 'detention centre' and 'violence'.""
}","['humans', 'abstractions']",['humans'],"['humans', 'abstractions']",0,[],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject choices in the text refer to specific individuals ('Sellner') and groups ('authorities').""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Sellner' is a human individual, making use of the 'humans' property.""
}",['humans'],"{
  ""Properties"": [""humans"", ""rhetorical participants""],
  ""Explanation"": ""The example includes 'Sellner' as a human subject and 'he' as a rhetorical participant, indicating the writer's reference to individuals and the involvement of the writer and reader in the discourse.""
}","['humans', 'rhetorical_participants']"
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Subject_choices,"['concepts', 'humans', 'abstractions']",['humans'],"['slot_fillers', 'humans']","{
    ""Properties"": [""humans"", ""abstractions""],
    ""Explanation"": ""The example text uses the human subject 'Kendra Arnold' and the abstraction 'Senate Ethics rules' as the subjects in the sentence.""
}","['humans', 'abstractions']","```{
  ""Properties"": [""humans"", ""abstractions""],
  ""Explanation"": ""The subject choices include 'Kendra Arnold' (human) and 'Senate Ethics rules' and 'elected officials' (abstractions).""
}```","['humans', 'abstractions']","{
  ""Properties"": [""humans"", ""abstractions""],
  ""Explanation"": ""The text references the human 'Kendra Arnold' and also mentions an abstraction 'Senate Ethics rules'.""
}","['humans', 'abstractions']","['concepts', 'humans', 'abstractions']","['humans', 'abstractions']",0,[],"{
  ""Properties"": [""humans"", ""abstractions""],
  ""Explanation"": ""The subject choices in the text include the human 'Kendra Arnold' and the abstraction 'Senate Ethics rules'.""
}","['humans', 'abstractions']","{
  ""Properties"": [""humans"", ""abstractions""],
  ""Explanation"": ""The subject 'Kendra Arnold, executive director of FACT' is a human, and the statement refers to abstractions such as 'violation of Senate Ethics rules' and 'cashing in on their official position'.""
}","['humans', 'abstractions']","{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The subject 'Kendra Arnold' is a human (proper name), and the quotation includes the rhetorical participant 'executive director of FACT'.""
}","['rhetorical_participants', 'humans']"
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Subject_choices,['humans'],['things'],['things'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'Cardinal Raymond Burke' as the subject suggests that the writer is referring to a specific person involved in the topic being discussed.""
}",['rhetorical_participants'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject choices in the example text include 'Cardinal Raymond Burke' and 'Archbishop Carlo Maria Viganò', both of which are humans.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject choices in the example text include 'Cardinal Raymond Burke' and 'Archbishop Carlo Maria Viganò' as proper names of individuals.""
}",['humans'],['things'],['humans'],-1,[],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Cardinal Raymond Burke' is a proper name, which falls under the 'humans' property.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The subject 'Cardinal Raymond Burke' is a specific human individual, and the statement is attributed to him, making it a rhetorical participant.""
}","['rhetorical_participants', 'humans']","{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The statement includes the rhetorical participant 'Cardinal Raymond Burke' and refers to him as a prelate, which falls under the 'humans' category.""
}","['rhetorical_participants', 'humans']"
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Subject_choices,"['things', 'rhetorical_participants', 'abstractions']",['rhetorical_participants'],['rhetorical_participants'],"```As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.```

{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' and 'you' in the text indicates the presence of rhetorical participants as the subject choices.""
}",['rhetorical_participants'],"{
  ""Properties"": [
    ""rhetorical participants"",
    ""abstractions""
  ],
  ""Explanation"": ""The use of 'I' as the subject indicates the writer's personal experience, making it a rhetorical participant. Additionally, 'former trial lawyer' is an abstraction referring to the writer's previous occupation.""
}","['rhetorical_participants', 'abstractions']","``` 
Properties:
- humans
- rhetorical participants
Explanation: 
The text includes the use of 'I' as a rhetorical participant and 'trial lawyer' as a human subject choice. 
```",[],['rhetorical_participants'],['rhetorical_participants'],1,[],"{
  ""Properties"": [""humans"", ""rhetorical participants""],
  ""Explanation"": ""The subject 'I' refers to the writer, and the reference to 'you' indicates the intended reader. This demonstrates the use of the rhetorical participant property. Additionally, the mention of 'a former trial lawyer' represents a human subject.""
}","['humans', 'rhetorical_participants']","{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The subject 'I' indicates the writer speaking as a former trial lawyer, thus making use of rhetorical participants.""
}",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' in the sentence signifies that the writer is referring to their own experience and expertise. This falls under the category of rhetorical participants.""
}",['rhetorical_participants']
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Subject_choices,"['rhetorical_participants', 'humans']",['rhetorical_participants'],['rhetorical_participants'],,[],,[],,[],['rhetorical_participants'],"['rhetorical_participants', 'humans']",0,"['rhetorical_participants', 'humans']","{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject choices in the text refer to Louis Farrakhan, a specific individual, and the individuals who follow him, emphasizing the human aspect of the discussion.""
}",['humans'],"{
  ""Properties"": [""humans"", ""abstractions""],
  ""Explanation"": ""The subject choices in the text include 'Louis Farrakhan' (proper name, human) and 'an aberration' and 'an outstanding human being' (abstractions).""
}","['humans', 'abstractions']","{
  ""Properties"": [""humans"", ""abstractions""]
  ,
  ""Explanation"": ""The text refers to Louis Farrakhan as a human being and also discusses his role in the lives of thousands of people, which falls under the property of 'abstractions' as it refers to a large group of individuals."" 
}","['humans', 'abstractions']"
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Subject_choices,"['humans', 'abstractions']",['humans'],['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'John Hancock' is a single individual and proper name.""
}",['humans'],"```json
        {
            ""Properties"": [""humans""],
            ""Explanation"": ""The subject 'John Hancock' is a single individual.""
        }
```",['humans'],"{
  ""Properties"": [
    ""humans""
  ],
  ""Explanation"": ""The subject 'John Hancock' is a specific individual, which falls under the 'humans' category.""
}",['humans'],['humans'],['humans'],1,[],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'John Hancock' is a proper name, representing a specific individual.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'John Hancock' refers to a single individual and a proper name.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'John Hancock' is a specific individual, making it a human subject.""
}",['humans']
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Subject_choices,['humans'],['rhetorical_participants'],['rhetorical_participants'],"{
  ""Properties"": [
    ""humans"",
    ""rhetorical participants""
  ],
  ""Explanation"": ""The subject choices in the example text include 'Ms. Ford' (human) and 'she' (rhetorical participant).""
}","['humans', 'rhetorical_participants']","{
  ""Properties"": [""humans"", ""rhetorical participants""],
  ""Explanation"": ""The subject choices in the example text include humans (Ms. Ford) and rhetorical participants ('she', 'I', 'you').""
}","['humans', 'rhetorical_participants']","{
  ""Properties"": [""humans"", ""rhetorical participants""],
  ""Explanation"": ""The subject choices in the text include both humans (Ms. Ford, you) and the rhetorical participant (I, her).""
}","['humans', 'rhetorical_participants']",['rhetorical_participants'],"['humans', 'rhetorical_participants']",0,[],"{
  ""Properties"": [
    ""humans""
  ],
  ""Explanation"": ""The subject 'Ms. Ford' is a human individual, representing a single person.""
}",['humans'],"{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The use of 'she' and 'Ms. Ford' indicates the presence of both rhetorical participants and humans in the subject choices.""
}","['rhetorical_participants', 'humans']","{
  ""Properties"": [""rhetorical participants"", ""humans""],
  ""Explanation"": ""The subject 'Ms. Ford' is a human, and the phrase 'you know it' indicates the presence of a rhetorical participant.""
}","['rhetorical_participants', 'humans']"
