sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Tropes,['simile'],[],"['hyperbole', 'metaphor']","{
  ""Properties"": [""metaphor"", ""euphemism""],
  ""Explanation"": ""The text contains a metaphor comparing the act of exterminating infidels to acquiring glory and signaling oneself through conquests. It also includes the euphemism 'exterminate' instead of a more direct and offensive term.""
}","['metaphor', 'euphemism']","{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'great Temur' to refer to Temur the Great using a term associated with his greatness and power.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'Temur' as a substitution for 'Timur the Great' based on his reputation and accomplishment.""
}",['metonymy'],['simile'],['metonymy'],-1,[],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'the great Temur' substitutes Temur's actual name with a descriptive label, to characterize and rename him.""
}",['metonymy'],"{
  ""Properties"": [""metaphor""],
  ""Explanation"": ""The use of the metaphor 'to acquire that glory' creates a novel pairing that expresses Temur's motivation for striving to exterminate the infidels.""
}",['metaphor'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'the great Temur' to refer to the historical figure Timur is an example of antonomasia, where a proper name is replaced with a descriptive label that characterizes while renaming.""
}",['antonomasia']
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Tropes,"['irony', 'hyperbole', 'paradox']",['irony'],"['hyperbole', 'metaphor']","{
  ""Properties"": [""metaphor"", ""irony"", ""hyperbole"", ""euphemism""],
  ""Explanation"": ""The use of 'brazen lie' as a metaphor, the ironic use of 'simply asked' and 'assurance for what it seems to be worth', hyperbolic 'astoundingly brazen lie', and the euphemistic 'homosexual activity' instead of a more blunt phrase.""
}","['metaphor', 'irony', 'hyperbole', 'euphemism']","{
  ""Properties"": [""metaphor"", ""irony"", ""hyperbole"", ""euphemism""],
  ""Explanation"": ""The text uses metaphor to compare the pope's word to an assurance, irony in the statement about taking the pope's word for it, hyperbole with the description of the pope's lie as 'astoundingly brazen', and euphemism with the phrase 'homosexual activity' instead of a more graphic description.""
}","['metaphor', 'irony', 'hyperbole', 'euphemism']","{
  ""Properties"": [""metaphor"", ""irony"", ""euphemism""],
  ""Explanation"": ""The text contains metaphors such as 'pope’s word', use of irony in 'astoundingly brazen lie', and euphemism in 'homosexual activity'.""
}","['metaphor', 'irony', 'euphemism']","['irony', 'hyperbole', 'paradox']","['metaphor', 'irony', 'hyperbole', 'euphemism']",0,[],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The statement 'we are simply asked to take the pope’s word for it' is ironic, as it implies doubt about the pope's credibility despite being the pope.""
}",['irony'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The statement 'we are simply asked to take the pope's word for it' is used to convey the opposite meaning, implying skepticism or disbelief, which is an example of irony.""
}",['irony'],"{
  ""Properties"": [""irony"", ""hyperbole""],
  ""Explanation"": ""The statement 'we are simply asked to take the pope's word for it' is ironic, as it follows the assertion that the pope made a brazen lie. Additionally, the phrase 'astoundingly brazen lie' is hyperbolic, as it exaggerates the boldness of the lie.""
}","['irony', 'hyperbole']"
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Tropes,['metonymy'],[],['metaphor'],"``` 
{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'Fox news' to represent the organization as a whole.""
}
```",['metonymy'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The word 'horrifying' is being used in an ironic manner, as conservative Ben Shapiro is likely expressing satisfaction with the verdict.""
}",['irony'],"{
  ""Properties"": [""metaphor"", ""irony""],
  ""Explanation"": ""The use of the metaphor 'horrifying' to describe the verdict, and the irony of a conservative being horrified by the verdict""
}","['metaphor', 'irony']",['metonymy'],['metonymy'],1,[],"{
  ""Properties"": [""metaphor""],
  ""Explanation"": ""The use of the word \""horrifying\"" to describe the verdict is a metaphor, bringing the term from an 'alien' semantic field (horror) to create a novel pairing that expresses a point trenchantly.""
}",['metaphor'],"{
  ""Properties"": [""hyperbole""],
  ""Explanation"": ""The use of the word 'horrifying' to express an exaggerated and strong reaction to the verdict indicates the presence of hyperbole.""
}",['hyperbole'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of the word 'horrifying' may be a euphemism to express Shapiro's strong disapproval of the verdict."" 
}",['euphemism']
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Tropes,"['simile', 'euphemism']",['simile'],['simile'],"{
  ""Properties"": [
    ""metonymy""
  ],
  ""Explanation"": ""The use of 'authorities' as a substitution for the specific people in charge demonstrates the property of metonymy.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'authorities' as a substitute for the specific group or individuals who told Sellner that his speaking at Hyde Park could cause violence and disrupt community cohesion.""
}",['metonymy'],"{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The use of 'detention centre' instead of 'prison' is a metonymy, and 'could cause violence and disrupt community cohesion' is a euphemism for potential unrest and conflict.""
}","['metonymy', 'euphemism']",['simile'],['metonymy'],-1,[],"{
  ""Properties"": [""simile"", ""euphemism""],
  ""Explanation"": ""The use of 'looking akin to a typical American prison' employs a simile to compare the detention centre to an American prison. Additionally, the statement 'could cause violence and disrupt community cohesion' utilizes euphemism to soften the potential impact of the speaker's actions.""
}","['simile', 'euphemism']","{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'Hyde Park' is a metonymy, as it is being used to represent a larger concept of free speech or public discourse within the community known to take place in that location.""
}",['metonymy'],"{
  ""Properties"": [""metaphor"", ""euphemism""],
  ""Explanation"": ""The use of 'looking akin to a typical American prison' is a metaphor, bringing together the idea of the detention center and the American prison. The phrase 'could cause violence and disrupt community cohesion' uses euphemism to minimize the potential impact of the speaker's presence.""
}","['metaphor', 'euphemism']"
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Tropes,"['allegory', 'euphemism']",['antonomasia'],['metaphor'],"{
  ""Properties"": [
    ""antonomasia"",
    ""euphemism""
  ],
  ""Explanation"": ""The phrase 'elected officials' is a descriptive label characterizing while renaming. The use of 'safeguard against the appearance or actuality' is a euphemism to minimize the gravity of the situation.""
}","['antonomasia', 'euphemism']","{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The use of 'cashing in' as a metonymy for 'exploiting their official position for personal gain' and the euphemistic phrase 'safeguard against the appearance or actuality' both appear in the text.""
}","['metonymy', 'euphemism']","{
  ""Properties"": [
    ""euphemism""
  ],
  ""Explanation"": ""The phrase 'cashing in' is a euphemism for profiting or exploiting their official position.""
}",['euphemism'],"['allegory', 'euphemism']","['antonomasia', 'euphemism']",0,[],"{
  ""Properties"": [""hyperbole""],
  ""Explanation"": ""The use of 'cashing in' is an overstatement, an exaggerated claim not meant to be taken literally. It emphasizes the severity of the violation.""
}",['hyperbole'],"{
  ""Properties"": [""metaphor"", ""euphemism""],
  ""Explanation"": ""The use of the phrase 'cashing in' is a metaphor for exploiting one's official position for political gain. The term 'cashing in' serves as a euphemism for unethical behavior.""
}","['metaphor', 'euphemism']","{
  ""Properties"": [""metaphor"", ""euphemism""],
  ""Explanation"": ""The statement 'cashing in' is a metaphorical expression, as it symbolizes benefiting personally from one's official position. Additionally, the use of 'safeguard against the appearance or actuality' can be seen as a euphemism for preventing or avoiding the possibility of elected officials using their position for personal gain.""
}","['metaphor', 'euphemism']"
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Tropes,"['metonymy', 'synecdoche', 'metaphor']",[],"['metonymy', 'metaphor']","{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The use of 'a prelate of the authority of Archbishop Carlo Maria Viganò' is a metonymy, as it substitutes a specific person for the broader category of prelate with authority. The term 'taken to heart' is a euphemism for 'seriously considered'.""
}","['metonymy', 'euphemism']","{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The term 'prelate' is used as a metonymy for Cardinal Raymond Burke, and the phrase 'taken to heart' is a euphemism for 'seriously considered'.""
}","['metonymy', 'euphemism']","```json
{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'prelate' as a substitution for Archbishop Carlo Maria Viganò according to their association with the Church""
}
```",['metonymy'],"['metonymy', 'synecdoche', 'metaphor']","['metonymy', 'euphemism']",0,[],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'Archbishop Carlo Maria Viganò' as a descriptive label characterizes while renaming, indicating his authority and position.""
}",['antonomasia'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'prelate of the authority of Archbishop Carlo Maria Viganò' is a form of metonymy, where a specific term is substituted to represent a larger concept, in this case a prominent figure within the Church.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The phrase 'a prelate of the authority of Archbishop Carlo Maria Viganò' uses metonymy by substituting the mention of a specific prelate with the authority of Archbishop Carlo Maria Viganò.""
}",['metonymy']
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Tropes,[],[],['litotes'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'contemporaneous notes' as a substitution for 'written notes' based on their temporal association.""
}",['metonymy'],"{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The use of 'notes' as a substitution for written records is an example of metonymy. The phrase 'let go' instead of 'fired' is an example of euphemism.""
}","['metonymy', 'euphemism']","{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'notes' to stand for the actual written records in the example text is an example of metonymy.""
}",['metonymy'],[],['metonymy'],-1,[],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The phrase 'contemporaneous notes' replaces a descriptive label, characterizing them as notes taken at the same time as the events they describe.""
}",['antonomasia'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The phrase 'contemporaneous notes' replaces 'written notes usually' to describe notes taken at the same time as the events, therefore using antonomasia to rename and characterize.""
}",['antonomasia'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'former trial lawyer' to describe the speaker replaces a proper name with a descriptive label that characterizes while renaming.""
}",['antonomasia']
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Tropes,"['hyperbole', 'metaphor']",['hyperbole'],['hyperbole'],"{
  ""Properties"": [""metonymy"", ""hyperbole"", ""euphemism""],
  ""Explanation"": ""The use of 'individuals' as a substitute for 'followers', the exaggerated repetition of 'thousands', and the euphemistic phrase 'plays a big role' instead of 'exerts a significant influence'."" 
}","['metonymy', 'hyperbole', 'euphemism']","```json
{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The speaker uses euphemistic language to describe Louis Farrakhan, minimizing any negative connotations by emphasizing his positive qualities.""
}
```",['euphemism'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The speaker uses euphemism by referring to Louis Farrakhan as an 'outstanding human being' instead of using a more neutral or negative term.""
}",['euphemism'],['hyperbole'],['euphemism'],-1,[],"{
  ""Properties"": [
    ""hyperbole""
  ],
  ""Explanation"": ""The statement employs hyperbole by emphasizing 'thousands and thousands and thousands and thousands of people' to exaggerate the extent of Louis Farrakhan's influence.""
}",['hyperbole'],"{
  ""Properties"": [""hyperbole"", ""litotes""],
  ""Explanation"": ""The statement uses hyperbole to exaggerate the impact of Louis Farrakhan by repeating 'thousands' multiple times. It also employs litotes by downplaying the significance of Farrakhan as 'not an aberration' and emphasizing his following.""
}","['hyperbole', 'litotes']","{
  ""Properties"": [""hyperbole""],
  ""Explanation"": ""The use of 'thousands and thousands and thousands and thousands' is an obvious exaggeration, qualifying as hyperbole.""
}",['hyperbole']
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Tropes,['antonomasia'],[],[],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'John Hancock' as a substitution for the person himself, based on his association with his famous signature.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The term 'John Hancock' is used as a metonymy to refer to a signature, based on the association with his large, prominent signature on the Declaration of Independence.""
}",['metonymy'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'John Hancock' to refer to the first signer of the Declaration of Independence is an example of antonomasia.""
}",['antonomasia'],[],['metonymy'],-1,[],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The text uses antonomasia by referring to John Hancock as the first signer of the Declaration of Independence, using his name as a descriptive label.""
}",['antonomasia'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'John Hancock' instead of saying the full name 'John Hancock, the first signer of the Declaration of Independence' serves as an antonomasia, replacing the proper name with a descriptive label that characterizes while renaming.""
}",['antonomasia'],"{
  ""Properties"": [""metaphor""],
  ""Explanation"": ""The use of 'John Hancock' as a reference to a signature is a metaphorical usage, as it brings a term from an 'alien' semantic field (a person's name) to create a novel pairing that expresses a point trenchantly.""
}",['metaphor']
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Tropes,[],[],[],"```{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The use of 'Ms. Ford' instead of her full name is a metonymy, and the use of 'telling the truth' instead of stating the alleged event directly is a euphemism.""
}```","['metonymy', 'euphemism']","{
  ""Properties"": [""antonomasia"", ""metaphor""],
  ""Explanation"": ""The use of 'Ms. Ford' as a descriptive label instead of the proper name is an example of antonomasia. The phrase 'her story' is a metaphor for Ms. Ford's account of what happened."" 
}","['antonomasia', 'metaphor']","{
  ""Properties"": [
    ""antonomasia""
  ],
  ""Explanation"": ""The use of 'Ms. Ford' as a descriptive label characterizes and renames the person being referred to.""
}",['antonomasia'],[],"['metonymy', 'euphemism']",-1,[],"{
  ""Properties"": [""amphiboly""],
  ""Explanation"": ""The phrase 'you know it by her story' can be construed to have two meanings: 'you know she is telling the truth by her story' or 'you know she is lying by her story'.""
}",['amphiboly'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'I believe her' may be a euphemism to avoid directly stating the opposite, 'I don't believe her'. It serves to soften the potential harshness of the statement.""
}",['euphemism'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The use of 'telling the truth' instead of explicitly stating 'lying' can be seen as a form of euphemism to soften the gravity of the accusation.""
}",['euphemism']
