sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Verb_choices,['multiplication'],['modality'],[],"{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The use of 'exterminate' and 'infidels' reflects the denial and contradiction of the infidels' existence. The personification of the nation as 'the greatness of his conquests' also signifies the attribution of human-like agency to the abstract concept of conquests.""
}","['negation', 'personification']","{
  ""Properties"": [""personification""],
  ""Explanation"": ""The personification property is present as the text endows the abstract concept of 'glory' with human-like agency, suggesting that Temur strove to acquire glory as if it were a person.""
}",['personification'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'advises' is used in the text to contradict or deny the action of acquiring glory and signaling himself by the greatness of his conquests."" 
}",['negation'],['multiplication'],"['negation', 'personification']",-1,[],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The verb 'signalise' endows the abstract concept of 'himself' with the human-like agency of 'signaling' something, thus demonstrating personification.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The phrase 'the great Temur always strove to exterminate the infidels' personifies Temur, endowing him with the human-like agency of striving to accomplish a goal.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The text personifies 'glory' and 'greatness' by endowing them with the agency to be acquired and signaled by Temur's actions.""
}",['personification']
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Verb_choices,"['nominalization', 'negation']",['modality'],"['modality', 'negation']","{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the contradiction or denial of something, specifically regarding the pope's assurance.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the negation property through the phrase 'but given that it follows his astoundingly brazen lie'.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains a negation in the phrase 'no evidence for Ricca's homosexual activity'.""
}",['negation'],"['nominalization', 'negation']",['negation'],0,[],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of the word 'lie' signals a contradiction or denial of the pope's previous statement about evidence for Ricca’s homosexual activity.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the phrase 'there was no evidence' is a form of negation, contradicting the existence of evidence for Ricca’s homosexual activity.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'but' introduces a contradiction to what was stated before, signifying the presence of negation in the text.""
}",['negation']
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Verb_choices,"['nominalization', 'personification']",[],['personification'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the word 'horrifying' conveys the idea of negation, as it expresses the denial or contradiction of something positive.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'horrifying' expresses a negation or denial of something positive or neutral.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the word 'horrifying' in response to the verdict indicates a form of contradiction or denial, making use of negation.""
}",['negation'],"['nominalization', 'personification']",['negation'],-1,[],"{
  ""Properties"": [""negation"", ""modality""],
  ""Explanation"": ""The verb 'told' in this sentence does not directly exhibit any of the properties, but the context of the statement, with the use of the word 'horrifying', suggests a strong negative opinion (negation) and a sense of certainty or strong belief (modality) in the speaker's viewpoint.""
}","['negation', 'modality']","{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of the word 'horrifying' expresses a negation of positivity towards the verdict.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'horrifying' conveys the sentiment of opposition or denial, indicating a form of negation in the statement.""
}",['negation']
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Verb_choices,"['modality', 'multiplication']",['modality'],['modality'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text does not contain any examples of modality, nominalization, personification, or multiplication. However, it does use negation with the word 'could cause'."" 
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'could cause violence' is a form of negation, as it implies the potential for the opposite of violence to occur.""
}",['negation'],"{
  ""Properties"": [""negation"", ""modality"", ""nominalization""],
  ""Explanation"": ""The text contains negation when Sellner was told that his speaking at Hyde Park could cause violence and disrupt community cohesion. It also includes modality with the use of 'could' and 'might' to express possibilities. Additionally, nominalization is present with the transformation of 'he was told' from a verb to a noun."" 
}","['negation', 'modality', 'nominalization']",['modality'],['negation'],-1,[],"{
  ""Properties"": [""modality""],
  ""Explanation"": ""The use of 'could' in the phrase 'could cause violence' indicates modality, as it expresses a possibility or potential event.""
}",['modality'],"{
  ""Properties"": [""modality""],
  ""Explanation"": ""The use of 'could' in the phrase 'could cause violence' indicates modality, as it expresses a possibility or likelihood.""
}",['modality'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The example text does not exhibit any of the other listed properties, but it does include the negation of being told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.""
}",['negation']
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Verb_choices,"['nominalization', 'personification']",['negation'],"['nominalization', 'negation']","{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The verb 'safeguard' has been nominalized to 'safeguard' in the sentence, '...Ethics rules which safeguard against the appearance...'""
}",['nominalization'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'safeguard' is used to deny or contradict the 'violation' mentioned in the sentence.""
}",['negation'],"{
  ""Properties"": [
    ""negation"",
    ""nominalization""
  ],
  ""Explanation"": ""The use of 'violation' negates the idea of following the rules, and 'cashing in' is a nominalized form of the verb 'cash'.""
}","['negation', 'nominalization']","['nominalization', 'personification']",['nominalization'],0,[],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The example does not contain any modality, nominalization, personification, or multiplication. However, it does contain negation in the form of 'violation' and the phrase 'safeguard against the appearance or actuality' which implies denial or contradiction.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text does not contain verb choices that exhibit modality, nominalization, personification, or multiplication. However, it does include the negation of 'cashing in' on their official position for political purposes.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement does not contain any clear instances of modality, nominalization, personification, or multiplication. However, it does include the negation of 'cashing in' on their official position for political purposes.""
}",['negation']
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Verb_choices,"['modality', 'multiplication']",['modality'],['modality'],"{
  ""Properties"": [""multiplication""],
  ""Explanation"": ""The verb 'must be totally taken' involves multiplication by adding the adverb 'totally'.""
}",['multiplication'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The statement uses the negation of 'must not' to emphasize the importance of taking Archbishop Carlo Maria Viganò's declarations seriously.""
}",['negation'],"``` 
{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The statement declares a contradiction (negation) by emphasizing the importance of the prelate's declarations, endowing them with a sense of agency (personification).""
}
```","['negation', 'personification']",['modality'],['multiplication'],-1,[],"{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The verb 'declares' has been transformed into the noun 'declaration' through nominalization.""
}",['nominalization'],"{
  ""Properties"": [""modality""],
  ""Explanation"": ""The use of 'must' in the statement indicates modality, expressing the necessity or strong recommendation of taking Archbishop Carlo Maria Viganò's declarations to heart.""
}",['modality'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The sentence does not contain any explicit negation or denial.""
}",['negation']
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Verb_choices,"['modality', 'negation']",['modality'],['modality'],"{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The verb 'prevails' has been nominalized to 'prevails' in the sentence 'the content of the written notes usually prevails.'""
}",['nominalization'],timeout,[],"{
  ""Properties"": [
    ""negation"",
    ""nominalization""
  ],
  ""Explanation"": ""The text uses the negation property through the use of 'neither' and 'nor', and nominalization is present in the phrase 'verbal testimony'.""
}","['negation', 'nominalization']",['modality'],['nominalization'],-1,[],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The use of 'neither nor' alongside the contradiction between 'written notes usually prevailing' and 'later verbal testimony' indicates the presence of negation.""
}",['negation'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'neither' and 'nor' creates a sense of negation, indicating the contradiction or denial of infallibility for both notes and memories.""
}",['negation'],"{
  ""Properties"": [
    ""negation""
  ],
  ""Explanation"": ""The statement includes the negation of the infallibility of both notes and memories.""
}",['negation']
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Verb_choices,"['multiplication', 'negation']",['negation'],['negation'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of 'commands' to describe Farrakhan's influence is a form of personification, endowing him with human-like agency.""
}",['personification'],"{
  ""Properties"": [""negation""],
  ""Explanation"": ""The use of 'don't' in the beginning of the sentence indicates negation, contradicting the idea of Louis Farrakhan as an aberration.""
}",['negation'],"{
  ""Properties"": [""negation"", ""multiplication""],
  ""Explanation"": ""The verb 'don’t regard' contains negation, and the multiplication of the phrase 'thousands and thousands and thousands and thousands' emphasizes the scale of Farrakhan's influence.""
}","['negation', 'multiplication']",['negation'],['personification'],-1,[],"{
  ""Properties"": [""negation"", ""multiplication""],
  ""Explanation"": ""The use of 'don't' in 'I don’t regard Louis Farrakhan as an aberration' indicates negation. Additionally, the repetition of 'thousands and thousands and thousands and thousands' demonstrates multiplication.""
}","['negation', 'multiplication']","{
  ""Properties"": [""negation"", ""multiplication""],
  ""Explanation"": ""The use of 'don't' represents negation, and the multiplication of 'thousands and thousands and thousands and thousands' emphasizes the large number of people impacted.""
}","['negation', 'multiplication']","{
  ""Properties"": [""negation""],
  ""Explanation"": ""The text contains the negation property as the speaker denies regarding Louis Farrakhan as an aberration.""
}",['negation']
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Verb_choices,['nominalization'],[],['nominalization'],"{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The verb 'signer' has been turned into the noun 'signer' through nominalization.""
}",['nominalization'],"```{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The nominalized form of 'John Hancock, the first signer of the Declaration of Independence, said,' would be 'John Hancock, the first signer of the Declaration of Independence, made a statement.'""
}```",['nominalization'],"{
  ""Properties"": [""nominalization""],
  ""Explanation"": ""The use of 'signer' turns the verb 'sign' into a noun, creating a nominalized version of the sentence.""
}",['nominalization'],['nominalization'],['nominalization'],1,[],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of 'said' suggests personification, as it attributes the act of speaking to a historical figure in a way that gives them agency and voice.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of the verb 'said' can be seen as a form of personification, as it endows John Hancock with the human-like ability to communicate.""
}",['personification'],"{
  ""Properties"": [""personification""],
  ""Explanation"": ""The use of personification is present in the quote, as it attributes agency and human-like qualities to John Hancock, the first signer of the Declaration of Independence.""
}",['personification']
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Verb_choices,[],[],[],"{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The use of 'I believe her because she is telling the truth' includes a form of negation, while 'you know it by her story' personifies the concept of 'truth' by attributing agency to the story."" 
}","['negation', 'personification']",timeout,[],"{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The verb 'believe' negates the possibility of disbelief, and the use of 'you know it by her story' personifies the story as having the ability to convey truth."" 
}","['negation', 'personification']",[],"['negation', 'personification']",-1,[],"{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The sentence uses negation to deny any doubt about Ms. Ford's truthfulness, and personification by attributing the ability to 'know' to 'her story'.""
}","['negation', 'personification']","{
  ""Properties"": [""negation"", ""personification""],
  ""Explanation"": ""The verb 'believe' negates any doubt or contradiction, and the statement personifies Ms. Ford's story by attributing knowledge to it.""
}","['negation', 'personification']","{
  ""Properties"": [""negation""],
  ""Explanation"": ""The verb 'believe' is used in negation to contradict any doubt about Ms. Ford's truthfulness.""
}",['negation']
