sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y,gpt3.5_consistency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Emphasis,['by_sentence_role'],['by_position'],['by_sentence_role'],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The salient elements are placed at the beginning and end of the sentence, giving them the most emphasis.""
}",['by_position'],"{
  ""Properties"": [
    ""by position"",
    ""from inversions""
  ],
  ""Explanation"": ""The sentence begins with 'Muhammad advises' and ends with 'the greatness of his conquests', placing emphasis on these elements. Additionally, the inverted word order 'wherefore the great Temur always strove' is used for emphasis.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence begins with the subject 'Muhammad' and ends with the emphasis on 'greatness of his conquests,' demonstrating the use of emphasis by position. Additionally, the phrase 'as much to acquire that glory' is an example of inversion, violating the normal SVO order.""
}","['by_position', 'from_inversions']",['by_sentence_role'],"['by_position', 'from_inversions']",-1,[],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The beginning of the sentence emphasizes 'Muhammad advises the same thing' and the end emphasizes 'to signalise himself by the greatness of his conquests.' This influences what is emphasized in the sentence.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence places emphasis on the actions and motivations of Temur by positioning them at the beginning and end of the sentence.""
}",['by_position'],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The sentence begins with 'Muhammad advises the same thing' and ends with 'greatness of his conquests', placing emphasis on these salient elements.""
}",['by_position'],1
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Emphasis,['by_sentence_role'],['by_position'],['by_sentence_role'],"{
  ""Properties"": [
    ""by position"",
    ""by sentence role""
  ],
  ""Explanation"": ""The beginning and end of the sentence are used to emphasize the important elements, and the subjects of the sentences receive the most attention.""
}","['by_position', 'by_sentence_role']","{
  ""Properties"": [
    ""by position"",
    ""by sentence role"",
    ""from inversions"",
    ""combinations""
  ],
  ""Explanation"": ""The writer uses emphasis by position to place salient elements at the beginning and end of the sentence, emphasizes the subject 'pope's word' by sentence role, uses inversion with 'it follows' and 'we can take', and employs a combination of emphasis strategies in one sentence.""
}","['by_position', 'by_sentence_role', 'from_inversions', 'combinations']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The writer uses inversion by placing 'The pope’s word' and 'his astoundingly brazen lie' at the beginning of the sentence, emphasizing these elements. This creates emphasis by position as the salient elements are placed at the beginning and end of the sentence.""
}","['by_position', 'from_inversions']",['by_sentence_role'],"['by_position', 'by_sentence_role']",0,[],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The writer places emphasis on the beginning and end of the sentence by starting with 'We are simply asked to take the pope’s word for it' and ending with 'we can take the assurance for what it seems to be worth.'""
}",['by_position'],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The sentence begins with 'We are simply asked to take the pope’s word for it' and ends with 'we can take the assurance for what it seems to be worth', placing emphasis on these statements.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'We are simply asked to take the pope’s word for it' and ends with 'we can take the assurance for what it seems to be worth', placing emphasis on these statements.""
}",['by_position'],1
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Emphasis,['by_position'],['by_position'],['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The salient element 'horrifying' is placed at the end of the sentence, giving it emphasis.""
}",['by_position'],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The quote 'horrifying' is placed at the end of the sentence for emphasis, and the normal order of subject, verb, and object is violated with 'the verdict was' at the beginning."" 
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position""],
  ""Explanation"": ""The salient element 'horrifying' is placed at the end of the sentence, receiving the most emphasis.""
}",['by_position'],['by_position'],['by_position'],1,[],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with the salient element 'Conservative Ben Shapiro' and ends with the emphasized word 'horrifying', indicating the use of emphasis by position.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The salient element 'horrifying' is placed at the end of the sentence, receiving emphasis.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence places the salient element 'horrifying' at the end, which emphasizes the strong emotion felt by Ben Shapiro about the verdict.""
}",['by_position'],1
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Emphasis,['by_position'],['by_position'],['by_position'],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The use of 'According to Breitbart' at the beginning of the sentence and 'could cause violence and disrupt community cohesion' at the end of the sentence emphasize the source of the information and the potential consequences of the speaker's actions.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The beginning of the sentence 'According to Breitbart' emphasizes the source of the information, while the end of the sentence emphasizes the reason for the authorities' action.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The beginning of the sentence focuses on the source of the information, Breitbart, and the end of the sentence emphasizes the reason for the authorities' warning.""
}",['by_position'],['by_position'],['by_position'],1,[],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'Sellner' and ends with 'community cohesion', placing emphasis on these key elements.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'Sellner' and ends with 'community cohesion', placing emphasis on these key elements.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence places emphasis on 'Sellner' and 'Hyde Park' by positioning them at the beginning and end of the sentence, influencing what is emphasized.""
}",['by_position'],1
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Emphasis,['by_position'],['by_position'],['by_position'],"```json
{
  ""Properties"": [""by position"", ""by sentence role""],
  ""Explanation"": ""The beginning of the sentence emphasizes the violation of Senate Ethics rules, while the subject 'Kendra Arnold' receives attention as the speaker of the statement.""
}
```","['by_position', 'by_sentence_role']","{
  ""Properties"": [""by position"", ""by sentence role""],
  ""Explanation"": ""The phrase 'This is a clear violation' is at the beginning of the sentence, emphasizing the seriousness of the violation. Also, the subject 'Kendra Arnold' receives attention as the speaker of the quote.""
}","['by_position', 'by_sentence_role']","{
  ""Properties"": [""by position""],
  ""Explanation"": ""The beginning of the sentence 'This is a clear violation' emphasizes the idea that a violation has occurred.""
}",['by_position'],['by_position'],"['by_position', 'by_sentence_role']",0,[],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'This is a clear violation' and ends with 'for political purposes,' placing emphasis on the violation and the political purposes.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'This is a clear violation' and ends with 'for political purposes,' placing emphasis on the violation and the political purposes.""
}",['by_position'],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The sentence begins with 'This is a clear violation' and ends with 'for political purposes,' placing emphasis on the violation and the political purposes.""
}",['by_position'],1
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Emphasis,['by_position'],['by_sentence_role'],['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The beginning of the sentence places emphasis on 'Cardinal Raymond Burke' and the end emphasizes 'those responsible in the Church.'""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The beginning of the sentence emphasizes 'Cardinal Raymond Burke's statement' and the end emphasizes 'those responsible in the Church.'""
}",['by_position'],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence begins with the subject 'Cardinal Raymond Burke' and ends with the emphasis on 'those responsible in the Church.' This positioning emphasizes the importance of the statement and directs attention to specific entities within the sentence."" 
}","['by_position', 'from_inversions']",['by_position'],['by_position'],1,[],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The sentence begins with 'Cardinal Raymond Burke’s statement declares' which places emphasis on the speaker and sets the tone for the rest of the statement. The end of the sentence also emphasizes 'those responsible in the Church' by placing them in a position of importance.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'Cardinal Raymond Burke’s statement declares' which places emphasis on the speaker and the act of declaring the statement. The end of the sentence emphasizes 'those responsible in the Church' by placing them in a position of importance.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence places emphasis on the beginning and end, with 'Cardinal Raymond Burke' and 'in the Church' receiving the most attention. This influences what is emphasized in the statement.""
}",['by_position'],1
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Emphasis,['by_position'],['by_position'],['by_position'],"```JSON
{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence starts with 'As a former trial lawyer' to emphasize the speaker's authority, and the inverted structure 'the content of the written notes usually prevails' places emphasis on the written notes.""
}
```","['by_position', 'from_inversions']","{
    ""Properties"": [""by position""],
    ""Explanation"": ""The beginning and end of the sentence receive emphasis, such as 'As a former trial lawyer' at the beginning and 'the content of the written notes usually prevails' at the end.""
}",['by_position'],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The beginning and end of the sentence are used to emphasize the writer's expertise as a former trial lawyer. The inversion 'in a contest between' also draws attention to the comparison being made.""
}","['by_position', 'from_inversions']",['by_position'],"['by_position', 'from_inversions']",0,[],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The sentence begins with 'As a former trial lawyer' and ends with 'the content of the written notes usually prevails', placing emphasis on the speaker's expertise and the key point of the statement.""
}",['by_position'],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The sentence places emphasis on the written notes by positioning them at the end of the sentence, influencing what is emphasized.""
}",['by_position'],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The sentence begins with 'As a former trial lawyer' and ends with 'the content of the written notes usually prevails', placing emphasis on the speaker's expertise and the main point of the statement.""
}",['by_position'],1
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Emphasis,['by_position'],['by_position'],['by_position'],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The emphasis is achieved through the use of anastrophe in the phrase 'thousands and thousands and thousands and thousands of people' and by positioning the emphasized elements at the end of the sentence, such as 'he emphasized later'.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position"", ""combinations""],
  ""Explanation"": ""The writer emphasizes certain elements by placing them at the beginning and end of the sentence. Additionally, by combining the emphasis on Louis Farrakhan and the repetition of 'thousands and thousands,' the writer further highlights the importance of Louis Farrakhan's influence.""
}","['by_position', 'combinations']","{
  ""Properties"": [""by position""],
  ""Explanation"": ""The writer uses the position at the end of the sentence to emphasize the importance of Louis Farrakhan's role in the lives of thousands of people.""
}",['by_position'],['by_position'],"['by_position', 'from_inversions']",0,[],"{
  ""Properties"": [
    ""by position"",
    ""from inversions""
  ],
  ""Explanation"": ""The sentence uses an inversion with the structure 'I don’t regard Louis Farrakhan as an aberration or anything' and 'he emphasized later', placing emphasis on the beginning and end of the sentence.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence uses an inversion with the structure 'I don’t regard Louis Farrakhan as an aberration or anything' and 'he emphasized later', placing emphasis on the beginning and end of the sentence. This emphasizes the speaker's opinion and the emphasis on Louis Farrakhan's influence.""
}","['by_position', 'from_inversions']","{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The sentence uses the strategy of emphasis by position, with the repetition of 'thousands and thousands and thousands and thousands' at the end of the sentence to draw attention. Additionally, the sentence also employs an inversion with the phrase 'thousands and thousands and thousands and thousands' placed at the end instead of the expected position.""
}","['by_position', 'from_inversions']",1
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Emphasis,['by_position'],['by_sentence_role'],['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with the name 'John Hancock', placing emphasis on this person as the subject of the sentence.""
}",['by_position'],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The phrase 'John Hancock, the first signer of the Declaration of Independence,' is placed at the beginning of the sentence, giving it the most emphasis.""
}",['by_position'],"{
  ""Properties"": [""by position"", ""by sentence role""],
  ""Explanation"": ""The beginning of the sentence 'John Hancock' and the end of the sentence 'said' receive emphasis, as well as the subject of the sentence 'John Hancock'.""
}","['by_position', 'by_sentence_role']",['by_position'],['by_position'],1,[],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The beginning of the sentence emphasizes 'John Hancock' as the subject, and the end emphasizes 'the first signer of the Declaration of Independence.'""
}",['by_position'],"{
  ""Properties"": [""by position"", ""by sentence role""],
  ""Explanation"": ""The sentence begins with the subject 'John Hancock', placing emphasis on him. The use of 'the first signer of the Declaration of Independence' also emphasizes his role and importance.""
}","['by_position', 'by_sentence_role']","{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The beginning of the sentence emphasizes 'John Hancock' as the subject, and the end emphasizes 'said', influencing the emphasis on the speaker and the action.""
}",['by_position'],1
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Emphasis,['by_position'],['by_position'],['by_position'],"{
  ""Properties"": [""by sentence role""],
  ""Explanation"": ""The subject 'Ms. Ford' receives the most attention in the sentence.""
}",['by_sentence_role'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The beginning of the sentence 'She said Thursday regarding Ms. Ford' receives emphasis by positioning the main action at the start.""
}",['by_position'],"{
  ""Properties"": [""by position"", ""from inversions""],
  ""Explanation"": ""The phrase 'regarding Ms. Ford' is placed at the beginning of the sentence to emphasize its importance. The normal order of Subject Verb Object is also violated in the sentence, using the inversion strategy.""
}","['by_position', 'from_inversions']",['by_position'],['by_sentence_role'],-1,[],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The sentence places emphasis on 'Thursday' at the beginning and 'her story' at the end, using the strategy of emphasis by position.""
}",['by_position'],"{
  ""Properties"": [
    ""by position""
  ],
  ""Explanation"": ""The sentence places emphasis on the statement 'I believe her' at the beginning, influencing what is emphasized in the sentence.""
}",['by_position'],"{
  ""Properties"": [""by position""],
  ""Explanation"": ""The sentence begins with 'She said Thursday' and ends with 'by her story', placing emphasis on the speaker and the evidence provided.""
}",['by_position'],1
