sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y,gpt3.5_consistency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Figures_of_argument,[],[],['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage includes the strategic repetition of the phrase 'according to the tradition'."" 
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition with the phrase 'Muhammad advises the same thing' being repeated at the beginning and end of the sentence.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains the strategic repetition of 'according to the tradition of the Muslim doctors' and 'to acquire that glory, as to signalise himself by the greatness of his conquests.'""
}",['strategic_repetition'],[],['strategic_repetition'],-1,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The text presents an argument from opposites by contrasting the advice of Muhammad with the actions of Temur, highlighting their opposing approaches to dealing with infidels.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests' presents an argument from opposites, contrasting the motivations of Temur in his actions.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'exterminate the infidels' and 'acquire that glory' presents an argument from opposites, which is an example of antithesis.""
}",['antithesis'],1
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Figures_of_argument,['eduction'],[],[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of strategic repetition is evident in the repeated phrase 'take the pope's word for it'.""
}",['strategic_repetition'],"```json
{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage uses strategic repetition by repeating the phrase 'take the' and 'for what it seems to be worth'.""
}
```",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage uses strategic repetition with the phrase 'we are simply asked to take', 'we can take the assurance', and 'for what it seems to be worth'.""
}",['strategic_repetition'],[],['strategic_repetition'],-1,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'astoundingly brazen lie' and 'assurance for what it seems to be worth' presents an argument from opposites, which is an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'astoundingly brazen lie' and 'no evidence' creates an argument from opposites, highlighting the contradiction in the Pope's statement.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The sentence presents an argument from opposites by contrasting the Pope's word with the implication of a lie, creating an antithesis.""
}",['antithesis'],1
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Figures_of_argument,[],[],[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of the phrase 'horrifying' in response to the current verdict is an example of antithesis, as it presents opposing or contrasting ideas within a short sentence.""
}",['antithesis'],"``` 
{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro told' is repeated at the beginning of the sentence for emphasis.""
}
```",['strategic_repetition'],"{
  ""Properties"": [
    ""strategic repetition"",
    ""eduction""
  ],
  ""Explanation"": ""The text does not use antithesis, antimetabole, definition as figure, or induction. However, it does use strategic repetition by repeating the word 'horrifying' for emphasis. It also uses eduction by generating the conclusion that Ben Shapiro found the verdict horrifying based on his statement on Fox news.""
}","['strategic_repetition', 'eduction']",[],['antithesis'],-1,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'horrifying' in juxtaposition with the conservative viewpoint of Ben Shapiro creates an argument from opposites, making it an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the word 'horrifying' is strategically repeated for emphasis and to convey a strong negative sentiment.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text does not exhibit any of the other listed properties of Figures of argument. However, it does contain strategic repetition with the use of the word 'horrifying' to emphasize the intensity of the verdict."" 
}",['strategic_repetition'],0
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Figures_of_argument,['eduction'],[],[],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The use of 'violence and disrupt community cohesion' presents an argument from opposites.""
}",['antithesis'],"``` 
{
  ""Properties"": [""strategic repetition"", ""antithesis""],
  ""Explanation"": ""The use of the phrase 'detention centre' is strategically repeated within the passage. Additionally, the use of 'violence and disrupt community cohesion' creates an antithesis by contrasting the potential effects of the speaker's actions.""
}
```","['strategic_repetition', 'antithesis']","{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The use of the phrase 'his speaking at Hyde Park could cause violence and disrupt community cohesion' is strategically repeated for emphasis and to reinforce the point being made.""
}",['strategic_repetition'],[],['antithesis'],-1,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'akin to a typical American prison' creates an antithesis by comparing the detention center to something that is typically associated with freedom and justice, thereby emphasizing the negative aspects of the detention center.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'akin to a typical American prison' presents an antithesis by comparing the detention centre to something that is typically associated with freedom and justice, creating a contrast.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'akin to a typical American prison' creates an antithesis by contrasting the detention centre with a typical American prison.""
}",['antithesis'],1
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Figures_of_argument,['defintion_as_figure'],[],['defintion_as_figure'],"```json
{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition with the repeated use of 'Senate Ethics rules' and 'cashing in' to emphasize the point.""
}
```",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The repetition of the phrase 'Senate Ethics rules' emphasizes the significance and impact of the violation.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The strategic repetition of the phrase 'official position' emphasizes the importance and seriousness of the violation being discussed.""
}",['strategic_repetition'],['defintion_as_figure'],['strategic_repetition'],-1,[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'cashing in' and the repetition of the concept of 'official position for political purposes' within the same sentence demonstrates strategic repetition.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'cashing in' and 'official position' is strategically repeated to emphasize the violation of Senate Ethics rules.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition of the phrase 'cashing in' and 'official position for political purposes' to emphasize the violation of Senate Ethics rules.""
}",['strategic_repetition'],1
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Figures_of_argument,[],[],[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of opposites is demonstrated in the statement 'totally taken to heart'""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'The declarations made by a prelate' is strategically repeated within the passage.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains the strategic repetition of the phrase 'The declarations made by a prelate of the authority'.""
}",['strategic_repetition'],[],['strategic_repetition'],-1,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting the authority of Archbishop Carlo Maria Viganò with those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by contrasting the authority of Archbishop Carlo Maria Viganò with those responsible in the Church.""
}",['antithesis'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The statement provides a clear and succinct definition of the authority and importance of Archbishop Carlo Maria Viganò's declarations within the Church.""
}",['defintion_as_figure'],0
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Figures_of_argument,[],['strategic_repetition'],[],"{
  ""Properties"": [
    ""antithesis""
  ],
  ""Explanation"": ""The use of 'neither notes nor memories' creates an argument from opposites, making this an example of antithesis.""
}",['antithesis'],"{
  ""Properties"": [""strategic repetition"", ""antimetabole""],
  ""Explanation"": ""The use of the phrase 'neither notes nor memories' and the repetition of 'contemporaneous notes' and 'later verbal testimony' demonstrate strategic repetition. The inversion of the arguments in the phrase 'neither notes nor memories are infallible' is an example of antimetabole.""
}","['strategic_repetition', 'antimetabole']","{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The text contains strategic repetition in the phrase 'neither notes nor memories' and 'the content of the written notes'.""
}",['strategic_repetition'],[],['antithesis'],-1,[],"{
  ""Properties"": [
    ""induction""
  ],
  ""Explanation"": ""The statement presents a conclusion drawn from specific examples or instances, specifically comparing the reliability of contemporaneous notes versus later verbal testimony.""
}",['induction'],"{
  ""Properties"": [
    ""induction""
  ],
  ""Explanation"": ""The statement presents a conclusion drawn from specific instances, suggesting that in a contest between contemporaneous notes and later verbal testimony, the content of the written notes usually prevails.""
}",['induction'],"{
  ""Properties"": [""induction""],
  ""Explanation"": ""The statement makes a conclusion from specific examples (contemporaneous notes and later verbal testimony) to a general principle about the superiority of written notes in a legal context.""
}",['induction'],1
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Figures_of_argument,['strategic_repetition'],['strategic_repetition'],['strategic_repetition'],"{
  ""Properties"": [""strategic repetition"", ""definition as figure""],
  ""Explanation"": ""The passage uses strategic repetition in the phrase 'thousands and thousands and thousands and thousands' to emphasize the large number of people impacted. It also sets forth the full meaning and character of Louis Farrakhan as an 'outstanding human being who commands a following of individuals who are learned and articulate.'""
}","['strategic_repetition', 'defintion_as_figure']","``` 
{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The text contains strategic repetition with the phrase 'thousands and thousands and thousands and thousands of people.'""
}
```",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage features the strategic repetition of the phrase 'thousands and thousands and thousands and thousands.'""
}",['strategic_repetition'],['strategic_repetition'],['strategic_repetition'],1,[],"{
  ""Properties"": [
    ""strategic repetition""
  ],
  ""Explanation"": ""The use of the phrase 'thousands and thousands and thousands and thousands' demonstrates strategic repetition, emphasizing the large number of people influenced by Louis Farrakhan.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The passage contains strategic repetition of the phrase 'thousands and thousands and thousands and thousands' to emphasize the large number of people influenced by Louis Farrakhan.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The use of the phrase 'thousands and thousands and thousands and thousands' is a form of strategic repetition within the passage.""
}",['strategic_repetition'],1
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Figures_of_argument,[],[],[],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The repetition of the phrase 'John Hancock' within the passage qualifies as strategic repetition.""
}",['strategic_repetition'],"{
  ""Properties"": [""strategic repetition""],
  ""Explanation"": ""The phrase 'John Hancock' is strategically repeated in the example text.""
}",['strategic_repetition'],"``` 
Properties: [""strategic repetition""]
Explanation: The phrase ""the first signer of the Declaration of Independence"" is strategically repeated in order to emphasize the significance of John Hancock's role. 
```",['strategic_repetition'],[],['strategic_repetition'],-1,[],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The text sets forth the full meaning and character of John Hancock as the first signer of the Declaration of Independence in a succinct and lucid manner.""
}",['defintion_as_figure'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The text sets forth the full meaning and character of John Hancock as the first signer of the Declaration of Independence.""
}",['defintion_as_figure'],"{
  ""Properties"": [""defintion as figure""],
  ""Explanation"": ""The text provides a clear and succinct definition of John Hancock as the first signer of the Declaration of Independence.""
}",['defintion_as_figure'],1
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Figures_of_argument,[],[],[],"{
  ""Properties"": [""strategic repetition"", ""antithesis""],
  ""Explanation"": ""The use of 'I believe her because' followed by 'she is telling the truth' is a form of strategic repetition. Additionally, the use of 'I believe her because' followed by 'you know it by her story' is an example of antithesis, as it presents two opposing ideas in the same sentence.""
}","['strategic_repetition', 'antithesis']","```{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The use of 'I believe her' and 'you know it by her story' presents an argument from opposites, which is an example of antithesis.""
}```",['antithesis'],"{
  ""Properties"": [""strategic repetition"", ""definition as figure""],
  ""Explanation"": ""The use of 'I believe her' and 'her story' in close proximity demonstrates strategic repetition, while the statement 'she is telling the truth' sets forth the full meaning and character of Ms. Ford's credibility in a lucid and succinct manner.""
}","['strategic_repetition', 'defintion_as_figure']",[],"['strategic_repetition', 'antithesis']",-1,[],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'I believe her because she is telling the truth and you know it by her story' presents an argument from opposites, contrasting the idea of believing someone with the assertion of knowing the truth from their story.""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement uses antithesis by presenting opposing ideas in close proximity: 'I believe her because she is telling the truth and you know it by her story.'""
}",['antithesis'],"{
  ""Properties"": [""antithesis""],
  ""Explanation"": ""The statement 'I believe her because she is telling the truth and you know it by her story' presents an antithesis by contrasting the idea of believing someone based on their truthfulness with the idea of knowing the truth based on their story.""
}",['antithesis'],1
